,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,29.394,1004,1114,1091,1545,1496,2831,1619,1044.0,-72.54351022707858,46.39555838882349
1,4.978,1069,1469,1632,0,1232,1716,1467,1044.0,-72.56033941741947,46.39462803259028
2,14.658,284,940,1053,717,1136,1857,1371,1044.0,-72.55153591669719,46.39462803259028
3,30.793,284,940,1053,717,1136,1857,1371,1044.0,-72.55027827373685,46.39462803259028
4,25.258,951,1061,1038,1492,1444,2779,1567,1044.0,-72.54273241597492,46.39462803259028
5,17.335,899,1008,986,1439,1391,2726,1514,1044.0,-72.54147477301458,46.39462803259028
6,14.027,953,1625,1789,156,1349,1560,1623,1044.0,-72.56207671567722,46.393697682242745
7,27.043,953,1625,1789,156,1349,1560,1623,1044.0,-72.5608190862008,46.39369768224274
8,15.087,905,1508,1671,599,1043,1512,1450,1044.0,-72.5595614567244,46.393697682242745
9,18.03,574,1163,1327,758,1178,1899,1413,1044.0,-72.55704619777156,46.393697682242745
10,61.609,574,1163,1327,758,1178,1899,1413,1044.0,-72.55578856829513,46.393697682242745
11,15.553,415,1004,1167,599,1018,1739,1253,1044.0,-72.55453093881871,46.393697682242745
12,27.08,227,986,1149,584,1004,1725,1239,1044.0,-72.55327330934229,46.39369768224274
13,13.304,197,1027,1141,659,1078,1799,1313,1044.0,-72.55201567986587,46.39369768224274
14,27.345,284,940,1053,717,1136,1857,1371,1044.0,-72.55075805038945,46.393697682242745
15,26.163,373,851,965,629,1048,1769,1283,1044.0,-72.54950042091302,46.39369768224274
16,9.268,718,809,923,627,1046,1767,1281,1044.0,-72.5469851619602,46.393697682242745
17,28.912,798,772,885,707,1126,1847,1361,1044.0,-72.54572753248377,46.39369768224274
18,29.661,946,1056,1033,1487,1438,2773,1561,1044.0,-72.54446990300737,46.393697682242745
19,26.027,907,1017,994,1448,1399,2734,1522,1044.0,-72.54321227353093,46.393697682242745
20,29.748,812,922,899,1353,1305,2640,1427,1044.0,-72.54195464405454,46.393697682242745
21,36.452,783,893,870,1324,1276,2611,1398,1044.0,-72.54069701457811,46.393697682242745
22,8.667,859,1721,1884,310,1255,1466,1555,1044.0,-72.56381399919218,46.39276733778059
23,28.936,859,1721,1884,310,1255,1466,1555,1044.0,-72.56255638319897,46.39276733778058
24,26.199,890,1515,1678,584,1050,1497,1456,1044.0,-72.5600411512126,46.39276733778059
25,16.87,839,1431,1594,677,966,1446,1373,1044.0,-72.5587835352194,46.39276733778058
26,26.801,364,845,1008,440,860,1581,1095,1044.0,-72.55501068723981,46.39276733778058
27,28.5,364,845,1008,440,860,1581,1095,1044.0,-72.55375307124663,46.39276733778059
28,31.227,227,986,1149,584,1004,1725,1239,1044.0,-72.55249545525344,46.39276733778059
29,38.03,108,867,1030,466,885,1606,1120,1044.0,-72.55123783926025,46.39276733778059
30,27.694,0,863,1026,462,881,1602,1116,1044.0,-72.54998022326707,46.39276733778058
31,22.244,567,657,771,486,906,1627,1141,1044.0,-72.54872260727387,46.39276733778058
32,39.061,598,625,739,486,906,1627,1141,1044.0,-72.54746499128069,46.39276733778059
33,40.842,798,772,885,707,1126,1847,1361,1044.0,-72.5462073752875,46.39276733778058
34,42.07,849,959,936,1390,1342,2677,1465,1044.0,-72.54494975929427,46.39276733778059
35,24.545,830,940,917,1370,1322,2657,1445,1044.0,-72.54369214330112,46.39276733778059
36,35.008,709,819,796,1250,1202,2537,1325,1044.0,-72.5424345273079,46.39276733778058
37,29.892,710,820,797,1250,1202,2537,1325,1044.0,-72.54117691131471,46.39276733778058
38,26.676,710,820,797,1250,1202,2537,1325,1044.0,-72.53991929532151,46.39276733778059
39,10.523,745,1606,1769,364,1141,1352,1441,1044.0,-72.56177846043376,46.391836999203576
40,30.6,705,1500,1663,550,1035,1312,1335,1044.0,-72.56052085792311,46.391836999203576
41,28.075,788,1398,1562,675,933,1420,1340,1044.0,-72.55926325541246,46.39183699920357
42,45.824,730,1304,1467,658,838,1386,1245,1044.0,-72.55800565290181,46.39183699920357
43,21.223,364,845,1008,440,860,1581,1095,1044.0,-72.55423284536988,46.39183699920357
44,50.369,323,747,910,344,763,1484,998,1044.0,-72.55297524285923,46.391836999203576
45,40.203,196,779,943,378,797,1518,1032,1044.0,-72.5517176403486,46.391836999203576
46,31.496,108,867,1030,466,885,1606,1120,1044.0,-72.55046003783796,46.39183699920357
47,52.578,579,689,803,423,842,1563,1077,1044.0,-72.5492024353273,46.39183699920357
48,50.179,582,624,738,488,907,1628,1134,1044.0,-72.54794483281665,46.39183699920357
49,35.293,712,686,799,817,1162,1957,1317,1044.0,-72.54668723030602,46.39183699920357
50,32.449,672,646,759,857,1122,1997,1277,1044.0,-72.54542962779537,46.39183699920357
51,41.858,849,959,936,1390,1342,2677,1465,1044.0,-72.54417202528472,46.391836999203576
52,36.835,569,679,656,1110,1062,2397,1185,1044.0,-72.54291442277406,46.391836999203576
53,33.582,619,729,706,1160,1112,2447,1234,1044.0,-72.54165682026343,46.39183699920357
54,40.081,894,1123,981,1344,1218,2692,1341,1044.0,-72.53914161524214,46.391836999203576
55,6.532,494,1586,1749,772,1121,1101,1421,1044.0,-72.56225816588403,46.39090666651145
56,9.288,632,1493,1656,477,1028,1239,1328,1044.0,-72.56100057685526,46.390906666511434
57,16.78,530,1392,1555,578,927,1137,1227,1044.0,-72.55974298782647,46.390906666511434
58,34.689,689,1262,1425,616,796,1344,1203,1044.0,-72.55848539879771,46.39090666651145
59,51.846,620,1193,1356,547,728,1275,1135,1044.0,-72.55722780976895,46.39090666651145
60,24.491,551,1124,1287,479,659,1207,1066,1044.0,-72.55597022074015,46.390906666511434
61,21.92,508,909,1072,252,671,1392,906,1044.0,-72.55471263171137,46.39090666651145
62,24.18,242,620,783,219,638,1359,873,1044.0,-72.55219745365382,46.39090666651145
63,33.756,323,539,702,138,557,1278,792,1044.0,-72.55093986462504,46.390906666511434
64,25.426,500,604,767,316,670,1456,901,1044.0,-72.54968227559627,46.39090666651145
65,60.568,601,620,783,418,706,1558,933,1044.0,-72.54842468656747,46.390906666511434
66,0.0,526,500,613,925,976,2138,1132,1044.0,-72.54465191948115,46.39090666651145
67,43.522,484,458,572,889,935,2176,1090,1044.0,-72.54339433045239,46.39090666651145
68,45.325,409,519,496,950,901,2236,1024,1044.0,-72.5421367414236,46.390906666511434
69,25.029,482,592,569,1023,975,2310,1098,1044.0,-72.54087915239482,46.390906666511434
70,41.278,769,1013,856,1219,1094,2568,1216,1044.0,-72.53962156336604,46.390906666511434
71,20.209,807,1051,894,1257,1131,2606,1254,1044.0,-72.53836397433726,46.390906666511434
72,19.745,455,1547,1710,733,1081,1062,1381,1044.0,-72.56148030800833,46.38997633970392
73,9.017,530,1392,1555,578,927,1137,1227,1044.0,-72.56022273246076,46.389976339703935
74,15.768,430,1214,1377,621,748,1058,1048,1044.0,-72.55896515691316,46.389976339703935
75,23.18,430,1214,1377,621,748,1058,1048,1044.0,-72.55770758136558,46.38997633970392
76,46.402,503,1076,1239,431,611,1159,1018,1044.0,-72.556450005818,46.38997633970392
77,23.567,503,1076,1239,431,611,1159,1018,1044.0,-72.55519243027041,46.38997633970392
78,27.048,314,656,819,0,419,1140,654,1044.0,-72.55267727917524,46.389976339703935
79,24.282,329,534,697,133,552,1273,787,1044.0,-72.55141970362763,46.38997633970392
80,30.302,382,401,564,254,487,1395,714,1044.0,-72.55016212808005,46.389976339703935
81,0.0,631,650,813,447,736,1588,962,1044.0,-72.54890455253246,46.38997633970392
82,47.969,601,620,783,418,706,1558,933,1044.0,-72.54764697698488,46.389976339703935
