,POP_2015,community_space,health_wellbeing,ID_HDC_G0,lng,lat
0,215.287,4410,194,7886.0,77.28604568443521,15.635618477029258
1,224.792,4410,194,7886.0,77.28585420986703,15.634797960502416
2,7.966,3057,1503,7886.0,77.26115209387437,15.633977445231277
3,12.108,3057,1503,7886.0,77.26217337107434,15.633977445231277
4,200.842,2942,960,7886.0,77.26727975707423,15.633977445231277
5,218.526,2963,967,7886.0,77.26830103427419,15.633977445231277
6,263.24,2874,843,7886.0,77.26932231147417,15.633977445231277
7,273.171,2819,782,7886.0,77.27034358867414,15.633977445231277
8,226.757,2761,631,7886.0,77.2713648658741,15.63397744523128
9,216.242,2880,461,7886.0,77.27238614307409,15.63397744523128
10,127.77,2880,461,7886.0,77.27340742027407,15.63397744523128
11,147.206,3076,313,7886.0,77.27442869747405,15.633977445231277
12,233.077,3119,235,7886.0,77.27544997467402,15.633977445231277
13,240.511,3292,264,7886.0,77.27647125187399,15.633977445231277
14,225.111,3292,264,7886.0,77.27749252907397,15.63397744523128
15,107.537,3578,549,7886.0,77.27953508347392,15.633977445231276
16,179.441,3632,603,7886.0,77.2805563606739,15.633977445231277
17,212.313,3743,698,7886.0,77.28157763787387,15.63397744523128
18,205.09,3813,524,7886.0,77.28259891507382,15.63397744523128
19,231.961,3955,380,7886.0,77.2836201922738,15.63397744523128
20,61.548,4057,278,7886.0,77.2846414694738,15.633977445231277
21,223.465,4218,101,7886.0,77.28566274667376,15.633977445231277
22,252.938,4286,33,7886.0,77.28668402387372,15.633977445231277
23,0.319,3057,1503,7886.0,77.26096070277347,15.633156931215764
24,2.39,3057,1503,7886.0,77.26198197744357,15.633156931215765
25,83.003,2894,912,7886.0,77.26708835079393,15.633156931215767
26,252.566,2892,910,7886.0,77.26810962546398,15.633156931215762
27,276.357,2808,826,7886.0,77.26913090013404,15.633156931215764
28,237.962,2782,757,7886.0,77.27015217480411,15.633156931215765
29,229.625,2720,622,7886.0,77.27117344947418,15.633156931215765
30,251.132,2810,465,7886.0,77.27219472414424,15.63315693121576
31,177.848,2831,422,7886.0,77.27321599881432,15.633156931215764
32,193.142,3046,308,7886.0,77.2742372734844,15.633156931215765
33,254.0,3110,229,7886.0,77.27525854815445,15.633156931215764
34,225.536,3229,201,7886.0,77.27627982282453,15.633156931215765
35,230.209,3205,176,7886.0,77.27730109749461,15.633156931215764
36,174.715,3365,337,7886.0,77.27832237216468,15.633156931215765
37,174.927,3491,463,7886.0,77.27934364683473,15.633156931215765
38,189.956,3576,548,7886.0,77.28036492150483,15.633156931215765
39,175.564,3685,633,7886.0,77.28138619617485,15.633156931215764
40,142.214,3766,552,7886.0,77.28240747084494,15.633156931215765
41,192.558,3928,391,7886.0,77.28342874551501,15.633156931215765
42,196.487,4043,286,7886.0,77.28445002018508,15.633156931215764
43,163.722,4151,206,7886.0,77.28547129485516,15.633156931215764
44,213.375,4337,24,7886.0,77.28649256952524,15.633156931215765
45,206.79,4365,156,7886.0,77.2875138441953,15.633156931215764
46,8.337,360,1829,7886.0,77.25566296234184,15.632336418455807
47,18.693,2894,912,7886.0,77.26689695588531,15.632336418455806
48,50.131,2864,882,7886.0,77.26791822802562,15.632336418455807
49,223.89,2751,769,7886.0,77.26893950016593,15.632336418455807
50,277.366,2689,662,7886.0,77.26996077230625,15.632336418455806
51,201.745,2627,592,7886.0,77.27098204444657,15.632336418455804
52,227.288,2736,448,7886.0,77.27200331658689,15.632336418455806
53,278.269,2778,368,7886.0,77.2730245887272,15.632336418455806
54,221.075,2907,234,7886.0,77.2740458608675,15.632336418455802
55,220.916,2940,118,7886.0,77.27506713300784,15.632336418455806
56,223.89,3110,82,7886.0,77.27608840514814,15.632336418455806
57,270.462,3238,210,7886.0,77.27710967728846,15.632336418455802
58,255.381,3303,275,7886.0,77.27813094942877,15.632336418455804
59,262.337,3504,476,7886.0,77.27915222156908,15.632336418455806
60,202.541,3569,540,7886.0,77.28017349370941,15.632336418455806
61,134.143,3669,577,7886.0,77.28119476584972,15.632336418455802
62,251.079,3751,488,7886.0,77.28221603799004,15.632336418455807
63,245.344,3910,390,7886.0,77.28323731013035,15.632336418455806
64,232.015,4046,368,7886.0,77.2842585822707,15.632336418455806
65,250.442,4158,259,7886.0,77.285279854411,15.632336418455806
66,233.395,4274,154,7886.0,77.28630112655131,15.632336418455802
