,POP_2015,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,96.89,1473,578,473,1095,843,8413.0,78.42356144960279,10.614506758636933
1,47.651,1469,581,469,1091,839,8413.0,78.4234325103472,10.613692629302793
2,44.907,1524,594,1224,1146,1339,8413.0,78.41409854891378,10.612064373122314
3,49.181,1524,594,1224,1146,1339,8413.0,78.41510700606592,10.612064373122315
4,29.601,1571,800,248,1193,617,8413.0,78.424183120435,10.612064373122314
5,40.229,1350,1021,27,972,397,8413.0,78.42519157758714,10.612064373122315
6,102.983,1322,1048,14,945,369,8413.0,78.42620003473925,10.612064373122317
7,85.54,1511,582,1212,1134,1327,8413.0,78.41396965602364,10.611250246275848
8,66.884,1524,594,1224,1146,1339,8413.0,78.41497811151811,10.611250246275844
9,120.802,1284,355,985,906,1100,8413.0,78.41699502250707,10.611250246275844
10,82.046,924,13,624,546,739,8413.0,78.419011933496,10.611250246275848
11,92.067,931,49,631,553,746,8413.0,78.42002038899047,10.611250246275844
12,71.534,1614,944,291,1236,661,8413.0,78.4230457554739,10.611250246275846
13,65.845,1567,896,244,1189,613,8413.0,78.42405421096836,10.611250246275848
14,20.475,1222,1126,126,844,421,8413.0,78.42506266646284,10.611250246275844
15,91.634,1382,1303,543,1004,606,8413.0,78.42607112195732,10.611250246275844
16,101.511,1617,1538,580,1239,840,8413.0,78.42808803294628,10.611250246275844
17,101.395,1617,1538,580,1239,840,8413.0,78.42909648844075,10.611250246275846
18,106.478,1228,299,928,850,1043,8413.0,78.41686613512506,10.610436120258473
19,52.04,1151,221,851,773,966,8413.0,78.41787458896201,10.610436120258473
20,105.236,913,15,614,535,728,8413.0,78.41888304279897,10.610436120258473
21,20.302,931,49,631,553,746,8413.0,78.41989149663594,10.610436120258472
22,45.803,1614,944,291,1236,661,8413.0,78.42291685814682,10.610436120258472
23,79.996,1048,969,60,670,259,8413.0,78.42392531198378,10.610436120258473
24,130.852,1382,1303,543,1004,606,8413.0,78.42493376582073,10.610436120258473
25,111.185,1358,1279,518,980,581,8413.0,78.42594221965768,10.610436120258473
26,155.63,1409,1331,549,1032,633,8413.0,78.42695067349464,10.610436120258472
27,105.149,1446,1367,510,1068,670,8413.0,78.4279591273316,10.610436120258473
28,131.198,1617,1538,580,1239,840,8413.0,78.42896758116858,10.610436120258473
29,26.482,1257,328,958,879,1072,8413.0,78.41572880604441,10.609621995070125
30,13.342,1145,314,846,767,961,8413.0,78.416737258224,10.609621995070125
31,50.972,1054,223,755,677,870,8413.0,78.41774571040358,10.609621995070125
32,37.803,747,182,447,369,562,8413.0,78.41875416258317,10.609621995070125
33,74.104,747,182,447,369,562,8413.0,78.41976261476275,10.609621995070126
34,58.076,884,805,151,507,96,8413.0,78.42278797130149,10.609621995070126
35,90.536,970,891,38,592,181,8413.0,78.42379642348108,10.609621995070125
36,75.721,1409,1331,549,1032,633,8413.0,78.42581332784022,10.609621995070125
37,117.365,1346,1267,410,968,570,8413.0,78.42682178001982,10.609621995070126
38,135.213,1509,1431,515,1132,733,8413.0,78.4278302321994,10.609621995070126
39,28.388,1210,476,910,832,1025,8413.0,78.41559994128137,10.608807870710734
40,82.393,1073,340,773,695,888,8413.0,78.41660839180372,10.60880787071073
41,49.788,747,182,447,369,562,8413.0,78.4186252928484,10.608807870710733
42,38.467,747,182,447,369,562,8413.0,78.41963374337074,10.608807870710734
43,66.855,640,561,306,262,312,8413.0,78.42165064441542,10.608807870710734
44,100.731,767,689,240,390,185,8413.0,78.42265909493776,10.608807870710734
45,79.967,877,799,147,500,92,8413.0,78.42366754546009,10.608807870710733
46,169.781,1061,983,222,684,285,8413.0,78.42467599598244,10.60880787071073
47,107.171,1148,1069,308,770,371,8413.0,78.42568444650477,10.60880787071073
48,133.595,1271,1192,335,893,494,8413.0,78.42669289702711,10.608807870710734
