,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,93.338,1927,0,1395,0,2572,7031.0,76.57242790727916,27.060870709288974
1,119.895,1959,31,1427,31,2604,7031.0,76.57349990733387,27.060870709288963
2,10.616,1927,0,1395,0,2572,7031.0,76.57206963645025,27.060025398006786
3,77.8,1927,0,1395,0,2572,7031.0,76.57314163148921,27.060025398006786
4,133.046,884,1557,654,408,1818,7031.0,76.57599141639564,27.051572418041232
5,150.273,778,1149,246,0,1423,7031.0,76.57134552573382,27.0507271333281
6,169.595,791,1162,259,12,1436,7031.0,76.57241746561449,27.0507271333281
7,200.817,890,1260,358,111,1535,7031.0,76.57348940549517,27.0507271333281
8,182.231,776,1448,545,299,1709,7031.0,76.57456134537583,27.050727133328095
9,159.236,884,1557,654,408,1818,7031.0,76.5756332852565,27.0507271333281
10,143.698,884,1557,654,408,1818,7031.0,76.57670522513715,27.0507271333281
11,179.843,778,1149,246,0,1423,7031.0,76.57098743053436,27.049881851029724
12,182.929,778,1162,259,12,1423,7031.0,76.57205936540196,27.049881851029728
13,152.073,856,1316,413,167,1590,7031.0,76.57313130026958,27.049881851029728
14,208.531,797,1398,495,249,1673,7031.0,76.5742032351372,27.04988185102973
15,160.999,708,1486,562,355,1642,7031.0,76.5752751700048,27.049881851029728
16,170.109,674,1457,528,531,1609,7031.0,76.57634710487241,27.049881851029728
17,158.905,721,1213,335,302,1366,7031.0,76.57170128107566,27.04903657114603
18,150.347,808,1359,456,210,1633,7031.0,76.57277321093044,27.049036571146026
19,213.857,712,1264,385,352,1416,7031.0,76.57384514078521,27.049036571146022
20,181.863,580,1361,433,438,1514,7031.0,76.57491707064,27.04903657114603
21,191.487,632,1415,485,525,1567,7031.0,76.57598900049474,27.049036571146022
22,148.51,532,1024,0,113,1177,7031.0,76.57134321263497,27.048191293676883
23,122.246,604,1096,218,185,1249,7031.0,76.57241513747714,27.048191293676886
24,178.41,604,1240,362,329,1393,7031.0,76.57348706231929,27.048191293676883
25,186.124,536,1252,361,352,1405,7031.0,76.57455898716145,27.048191293676883
26,164.232,570,1352,423,469,1504,7031.0,76.57563091200362,27.048191293676883
27,92.456,501,1284,355,465,1436,7031.0,76.57670283684578,27.048191293676883
28,157.62,418,911,33,0,1063,7031.0,76.57205707990911,27.04734601862222
29,127.646,455,1004,126,93,1157,7031.0,76.5731289997389,27.047346018622225
30,204.27,451,1178,292,267,1331,7031.0,76.57420091956865,27.047346018622225
31,130.401,413,1194,266,305,1347,7031.0,76.57527283939844,27.047346018622218
32,154.534,459,1295,312,232,1447,7031.0,76.5763447592282,27.047346018622225
33,82.465,0,430,447,165,690,7031.0,76.568483293773,27.046500745981927
34,132.348,165,596,281,0,749,7031.0,76.56955520859059,27.046500745981923
35,151.118,165,596,281,0,749,7031.0,76.57062712340822,27.046500745981927
36,152.624,385,878,0,33,1030,7031.0,76.57169903822582,27.046500745981927
37,116.883,318,810,67,100,963,7031.0,76.57277095304343,27.046500745981927
38,173.048,328,1102,181,215,1255,7031.0,76.57384286786102,27.046500745981927
39,108.361,293,1118,146,97,1270,7031.0,76.57491478267863,27.046500745981927
40,188.549,460,1297,314,0,1449,7031.0,76.57598669749623,27.046500745981923
41,170.182,501,1376,393,79,1528,7031.0,76.57705861231383,27.046500745981923
42,142.817,431,1370,383,149,1523,7031.0,76.57813052713145,27.046500745981923
43,120.483,582,0,1351,897,1024,7031.0,76.55955000456437,27.045655475755886
44,27.035,112,318,560,142,649,7031.0,76.56705337320399,27.04565547575589
45,129.63,0,443,461,168,676,7031.0,76.56812528300964,27.04565547575589
46,86.395,0,456,476,171,662,7031.0,76.5691971928153,27.04565547575589
47,87.02,165,596,281,0,749,7031.0,76.57026910262097,27.045655475755886
48,136.131,318,810,67,100,963,7031.0,76.57134101242664,27.045655475755886
49,111.373,318,810,67,100,963,7031.0,76.57241292223229,27.045655475755886
50,107.59,159,969,13,183,1121,7031.0,76.57348483203795,27.04565547575589
51,176.537,190,1026,43,125,1179,7031.0,76.57455674184362,27.04565547575589
52,181.459,330,1166,184,14,1319,7031.0,76.57562865164927,27.04565547575589
53,196.409,339,1279,291,126,1431,7031.0,76.57670056145494,27.045655475755893
54,151.449,431,1370,383,149,1523,7031.0,76.57777247126057,27.045655475755886
55,73.869,582,0,1351,897,1024,7031.0,76.55919204977772,27.044810207944018
56,89.664,231,255,1000,546,673,7031.0,76.5624077641595,27.044810207944014
57,139.804,231,255,1000,546,673,7031.0,76.56347966895346,27.044810207944014
58,78.387,171,284,648,0,506,7031.0,76.56669538333526,27.044810207944014
59,38.496,171,284,648,0,506,7031.0,76.56776728812919,27.044810207944014
60,15.171,0,456,476,171,662,7031.0,76.56883919292312,27.044810207944014
61,53.409,41,1170,89,131,1323,7031.0,76.57312681209888,27.04481020794402
62,137.711,44,1125,44,197,1277,7031.0,76.57419871689281,27.044810207944014
63,120.52,202,1235,154,273,1387,7031.0,76.57527062168676,27.044810207944014
64,131.723,258,1243,210,245,1395,7031.0,76.57634252648069,27.044810207944014
65,113.173,835,252,1604,1150,1135,7031.0,76.55776221108911,27.043964942546214
66,126.14,795,212,1564,1110,1137,7031.0,76.55883411087157,27.043964942546214
67,119.932,778,265,1617,1093,1048,7031.0,76.559906010654,27.04396494254622
68,168.162,738,320,1577,1053,1007,7031.0,76.56097791043643,27.043964942546214
69,57.303,317,340,1147,632,685,7031.0,76.56204981021888,27.043964942546218
70,45.695,216,239,1015,531,658,7031.0,76.56312171000131,27.043964942546214
71,27.439,126,149,1028,441,568,7031.0,76.56419360978374,27.04396494254621
72,83.787,145,0,878,291,587,7031.0,76.5652655095662,27.043964942546218
73,85.256,203,137,795,147,513,7031.0,76.56633740934862,27.04396494254622
74,34.051,171,284,648,0,506,7031.0,76.56740930913105,27.043964942546218
75,9.587,220,1349,268,160,1502,7031.0,76.5716969082608,27.043964942546214
76,130.915,115,1244,163,57,1397,7031.0,76.57276880804324,27.043964942546218
77,158.097,126,1253,172,98,1405,7031.0,76.57384070782568,27.043964942546214
78,153.102,149,1209,128,228,1362,7031.0,76.5749126076081,27.043964942546218
79,179.072,307,1320,276,323,1473,7031.0,76.57598450739056,27.04396494254622
80,57.744,835,252,1604,1150,1135,7031.0,76.55740429307421,27.04311967956237
81,120.667,787,255,1585,1102,1056,7031.0,76.5584761878454,27.043119679562373
82,153.836,714,329,1554,1029,983,7031.0,76.55954808261656,27.043119679562373
83,131.54,716,364,1556,1031,985,7031.0,76.5606199773877,27.043119679562373
84,57.964,353,376,1187,667,671,7031.0,76.56169187215885,27.043119679562373
85,32.766,275,298,1177,590,608,7031.0,76.56276376693003,27.043119679562373
86,61.49,61,84,963,376,503,7031.0,76.56383566170116,27.043119679562377
87,68.617,0,66,999,350,442,7031.0,76.56490755647236,27.043119679562373
88,53.115,203,137,795,147,513,7031.0,76.56597945124349,27.04311967956237
89,46.944,0,376,831,200,306,7031.0,76.56705134601465,27.043119679562373
90,95.982,251,1380,299,144,1532,7031.0,76.57133892509928,27.04311967956237
91,176.537,252,1382,300,120,1534,7031.0,76.57241081987046,27.043119679562373
92,218.302,197,1326,245,93,1479,7031.0,76.5734827146416,27.043119679562373
93,176.427,221,1346,265,169,1499,7031.0,76.57455460941276,27.043119679562373
94,178.043,283,1333,252,346,1485,7031.0,76.57562650418392,27.043119679562373
95,126.544,393,1440,362,443,1593,7031.0,76.57669839895509,27.043119679562377
96,143.588,783,369,1623,1098,1052,7031.0,76.5581182806986,27.042274418992402
97,172.056,650,392,1490,965,919,7031.0,76.55919017045869,27.042274418992402
98,122.944,585,483,1425,900,854,7031.0,76.5602620602188,27.0422744189924
99,63.694,420,444,1291,735,689,7031.0,76.56133394997889,27.0422744189924
100,50.25,278,301,1179,592,544,7031.0,76.56240583973899,27.042274418992402
101,54.805,194,260,1193,535,453,7031.0,76.56347772949911,27.0422744189924
102,71.702,66,0,932,284,375,7031.0,76.5645496192592,27.042274418992402
103,105.717,66,0,932,284,375,7031.0,76.56562150901932,27.042274418992402
104,125.369,0,376,831,200,306,7031.0,76.56669339877942,27.042274418992402
105,149.098,375,1505,424,34,1657,7031.0,76.57098095781984,27.042274418992402
106,176.868,395,1524,443,0,1676,7031.0,76.57205284757991,27.042274418992402
107,164.636,263,1389,308,181,1542,7031.0,76.57312473734002,27.0422744189924
108,155.893,303,1405,324,220,1558,7031.0,76.57419662710014,27.042274418992402
109,163.717,362,1438,357,317,1590,7031.0,76.57526851686025,27.042274418992402
110,151.485,803,467,1674,1118,1067,7031.0,76.55776038943061,27.0414291608362
111,148.584,728,517,1599,1043,992,7031.0,76.55883227417989,27.0414291608362
112,77.543,593,593,1489,908,858,7031.0,76.55990415892916,27.041429160836202
113,32.582,494,518,1396,809,763,7031.0,76.56097604367842,27.0414291608362
114,73.245,392,416,1294,707,656,7031.0,76.56204792842769,27.041429160836195
115,59.213,194,260,1193,535,453,7031.0,76.56311981317695,27.041429160836206
116,69.278,262,202,1135,448,367,7031.0,76.56419169792623,27.0414291608362
117,116.883,337,271,1204,361,279,7031.0,76.5652635826755,27.0414291608362
118,138.078,0,223,985,71,152,7031.0,76.56633546742478,27.0414291608362
119,83.383,0,223,985,71,152,7031.0,76.56740735217404,27.041429160836206
120,133.817,410,1539,458,0,1691,7031.0,76.57062300642185,27.041429160836206
121,149.208,395,1524,443,0,1676,7031.0,76.57169489117112,27.0414291608362
