,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,48.387,771,1481,211,2618,558,5789.0,50.231097445522146,30.616643166677253
1,11.76,771,1481,211,2618,558,5789.0,50.23219246099865,30.616643166677257
2,2.089,2078,2181,1476,2646,1805,5789.0,50.242047600287094,30.616643166677253
3,9.814,2078,2181,1476,2646,1805,5789.0,50.243142615763595,30.616643166677257
4,1.426,1930,2038,1333,2504,1662,5789.0,50.24423763124009,30.616643166677257
5,4.885,692,1402,160,2539,507,5789.0,50.23191615006868,30.615786842477736
6,0.718,571,1305,91,2443,438,5789.0,50.23301115952185,30.615786842477736
7,0.099,519,1368,185,2528,533,5789.0,50.23410616897501,30.615786842477732
8,1.26,0,1143,560,2586,907,5789.0,50.236296187881344,30.615786842477732
9,1.978,0,1143,560,2586,907,5789.0,50.23739119733452,30.615786842477736
10,4.874,522,780,663,2243,722,5789.0,50.24067622569405,30.615786842477736
11,27.365,587,845,728,2308,787,5789.0,50.24177123514721,30.615786842477736
12,20.17,2078,2181,1476,2646,1805,5789.0,50.24286624460038,30.615786842477736
13,20.668,1994,2093,1388,2558,1716,5789.0,50.24396125405355,30.615786842477732
14,8.112,1848,1956,1251,2421,1580,5789.0,50.245056263506726,30.61578684247774
15,0.0,1772,1881,1176,2346,1504,5789.0,50.2461512729599,30.615786842477732
16,0.0,1566,2198,1451,2459,1664,5789.0,50.24943630131942,30.615786842477736
17,0.0,669,1379,108,2515,455,5789.0,50.23163985113407,30.614930521141595
18,16.799,560,1270,49,2407,396,5789.0,50.232734854564164,30.61493052114159
19,26.835,445,1282,115,2448,462,5789.0,50.23382985799426,30.614930521141588
20,36.992,218,1182,341,2370,688,5789.0,50.23492486142438,30.61493052114159
21,18.7,0,1143,560,2586,907,5789.0,50.236019864854484,30.61493052114159
22,37.765,63,1079,618,2523,965,5789.0,50.23711486828459,30.61493052114159
23,22.292,122,956,739,2404,897,5789.0,50.2382098717147,30.61493052114159
24,8.61,508,747,630,2214,689,5789.0,50.240399878574934,30.614930521141595
25,29.288,573,812,695,2279,754,5789.0,50.24149488200504,30.614930521141588
26,15.915,2094,2193,1488,2658,1817,5789.0,50.242589885435144,30.61493052114159
27,25.763,1876,1975,1270,2441,1599,5789.0,50.243684888865246,30.61493052114159
28,17.507,1826,1925,1220,2391,1549,5789.0,50.24477989229536,30.61493052114159
29,0.0,1723,1828,1123,2293,1452,5789.0,50.24587489572548,30.614930521141588
30,0.0,1618,1720,1015,2185,1344,5789.0,50.24696989915558,30.614930521141588
31,0.0,1566,2198,1451,2459,1664,5789.0,50.249159906015805,30.614930521141595
32,27.708,633,1197,73,2333,273,5789.0,50.23245856160161,30.614074202668718
33,34.781,702,1170,142,2307,204,5789.0,50.23355355900892,30.61407420266872
34,35.942,250,1151,309,2339,656,5789.0,50.23464855641623,30.614074202668718
35,51.901,279,1121,402,2310,749,5789.0,50.23574355382353,30.614074202668714
36,51.514,119,1023,672,2467,965,5789.0,50.23683855123084,30.614074202668714
37,38.517,64,897,716,2346,839,5789.0,50.23793354863817,30.614074202668714
38,3.249,0,833,716,2282,775,5789.0,50.23902854604547,30.614074202668718
39,4.388,433,672,555,2139,614,5789.0,50.24012354345277,30.614074202668714
40,32.173,398,637,520,2104,579,5789.0,50.241218540860075,30.614074202668718
41,31.2,495,734,617,2200,676,5789.0,50.242313538267396,30.614074202668718
42,16.91,1994,2093,1388,2558,1716,5789.0,50.24340853567469,30.614074202668714
43,19.397,1848,1947,1242,2413,1571,5789.0,50.244503533082,30.614074202668718
44,14.213,1663,1762,1057,2228,1386,5789.0,50.24559853048933,30.614074202668714
45,0.354,1618,1720,1015,2185,1344,5789.0,50.24669352789663,30.614074202668714
46,2.078,984,1689,424,2756,348,5789.0,50.22780231509463,30.613217887058983
47,18.833,984,1689,424,2756,348,5789.0,50.22889730647939,30.613217887058983
48,17.871,907,1375,90,2511,0,5789.0,50.23108728924893,30.613217887058987
49,32.162,907,1375,90,2511,0,5789.0,50.2321822806337,30.613217887058983
50,29.123,694,1136,162,2272,239,5789.0,50.233277272018476,30.613217887058987
51,30.449,619,1035,242,2172,339,5789.0,50.23437226340323,30.613217887058987
52,53.647,298,1040,483,2228,829,5789.0,50.23546725478801,30.613217887058987
53,52.62,273,1015,508,2203,853,5789.0,50.236562246172774,30.613217887058987
54,37.909,85,747,630,2196,689,5789.0,50.23765723755754,30.613217887058987
55,0.674,42,692,584,2140,634,5789.0,50.23875222894232,30.613217887058987
56,18.037,262,534,417,1983,476,5789.0,50.2398472203271,30.613217887058987
57,28.095,262,534,417,1983,476,5789.0,50.240942211711875,30.613217887058987
58,38.119,432,671,554,2138,613,5789.0,50.242037203096615,30.613217887058987
59,5.338,1889,1988,1283,2453,1612,5789.0,50.24422718586617,30.61321788705899
60,11.119,1778,1877,1172,2343,1501,5789.0,50.24532217725095,30.613217887058983
61,0.387,1528,1627,922,2092,1251,5789.0,50.246417168635716,30.613217887058987
62,3.636,1472,1577,872,2042,1201,5789.0,50.24751216002048,30.613217887058987
63,0.276,1336,1451,746,1917,1075,5789.0,50.248607151405245,30.613217887058983
64,27.962,890,1662,770,2690,972,5789.0,50.22862105557246,30.612361574312295
65,27.299,967,1522,272,2589,181,5789.0,50.229716040934946,30.612361574312303
66,35.246,907,1375,90,2511,0,5789.0,50.23081102629744,30.612361574312295
67,43.457,868,1284,0,2421,90,5789.0,50.231906011659945,30.6123615743123
68,43.899,715,1131,182,2258,273,5789.0,50.23300099702243,30.6123615743123
69,37.765,663,1079,242,2206,333,5789.0,50.23409598238493,30.6123615743123
70,34.107,273,1015,508,2203,853,5789.0,50.235190967747414,30.6123615743123
71,50.763,230,919,594,2108,758,5789.0,50.2362859531099,30.612361574312295
72,13.02,248,885,619,2074,723,5789.0,50.237380938472405,30.612361574312303
73,31.753,72,564,543,2010,506,5789.0,50.23847592383488,30.612361574312295
74,33.687,132,515,405,1962,457,5789.0,50.239570909197376,30.6123615743123
75,18.214,220,461,347,1919,403,5789.0,50.240665894559875,30.6123615743123
76,12.909,233,421,304,1888,363,5789.0,50.24176087992237,30.6123615743123
77,15.97,400,628,511,2074,570,5789.0,50.242855865284845,30.6123615743123
78,7.261,455,549,269,1708,491,5789.0,50.24395085064736,30.6123615743123
79,0.177,1778,1877,1172,2343,1501,5789.0,50.245045836009844,30.612361574312295
80,10.809,1641,1740,1035,2205,1363,5789.0,50.246140821372336,30.612361574312303
81,30.869,1528,1627,922,2092,1251,5789.0,50.247235806734835,30.612361574312295
82,21.441,1339,1446,742,1912,1070,5789.0,50.24833079209732,30.612361574312295
83,36.837,789,1807,894,2834,883,5789.0,50.22724983731793,30.61150526442852
84,50.973,877,1650,757,2677,960,5789.0,50.2283448166584,30.611505264428526
85,36.063,815,1588,695,2615,898,5789.0,50.22943979599887,30.611505264428523
86,19.783,787,1341,213,2409,304,5789.0,50.23053477533935,30.611505264428523
87,37.058,825,1240,72,2357,163,5789.0,50.231629754679844,30.611505264428523
