,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
574,95.868,3885,3543,3421,454,4388,4460,8294.0,77.76953640726686,9.463312131165168
575,83.799,3787,3445,3323,545,4290,4362,8294.0,77.7705426572123,9.463312131165166
576,95.702,3602,3261,3139,782,4106,4178,8294.0,77.77154890715772,9.463312131165168
577,81.744,3488,3146,3024,870,3991,4064,8294.0,77.77255515710314,9.463312131165164
578,85.664,3381,3039,2917,933,3884,3956,8294.0,77.77356140704858,9.463312131165168
579,18.517,3265,2923,2801,951,3768,3840,8294.0,77.77456765699398,9.463312131165166
580,56.118,3154,2812,2690,840,3657,3729,8294.0,77.77557390693943,9.463312131165166
581,80.067,2920,2579,2456,606,3423,3496,8294.0,77.77658015688485,9.463312131165166
582,0.354,2920,2579,2456,606,3423,3496,8294.0,77.77758640683027,9.463312131165168
583,69.273,2627,2285,2163,57,3130,3202,8294.0,77.78161140661199,9.463312131165166
584,92.797,2737,2395,2273,167,3240,3312,8294.0,77.7826176565574,9.463312131165168
585,76.335,2715,2374,2251,295,3218,3249,8294.0,77.78362390650285,9.463312131165166
586,76.312,2667,2410,2288,380,3255,3147,8294.0,77.78463015644827,9.463312131165168
587,80.87,2697,2409,2287,563,3254,3177,8294.0,77.78563640639369,9.463312131165166
588,59.708,2618,2438,2422,663,3389,3098,8294.0,77.78664265633911,9.463312131165164
589,50.756,2534,2354,2483,746,3410,3014,8294.0,77.78764890628456,9.463312131165168
590,22.178,1678,1498,1627,409,2553,2158,8294.0,77.7896614061754,9.463312131165166
591,55.078,1546,1366,1495,541,2421,2026,8294.0,77.79066765612083,9.463312131165166
592,69.053,1522,1342,1472,564,2398,2002,8294.0,77.79167390606625,9.463312131165166
593,77.658,1725,1545,1643,808,2601,1887,8294.0,77.79268015601167,9.463312131165164
594,57.44,1781,1601,1588,863,2656,1831,8294.0,77.7936864059571,9.463312131165168
595,55.008,1843,1721,1467,984,2639,1711,8294.0,77.79469265590254,9.463312131165166
596,33.491,1607,1497,1231,1231,2403,1475,8294.0,77.7967051557934,9.463312131165168
597,68.328,1515,1406,1139,1139,2311,1383,8294.0,77.79771140573884,9.463312131165166
598,79.122,1518,1408,1142,1142,2314,1386,8294.0,77.79871765568427,9.463312131165166
599,55.385,1365,1255,989,989,2161,1233,8294.0,77.79972390562968,9.463312131165166
600,42.844,1055,946,679,679,2032,932,8294.0,77.80073015557511,9.463312131165166
601,13.415,1293,1184,918,918,2070,739,8294.0,77.80173640552053,9.463312131165166
602,38.782,1293,1184,918,918,2070,739,8294.0,77.80274265546596,9.463312131165166
603,26.854,1363,1254,987,987,2140,809,8294.0,77.80374890541141,9.463312131165168
604,47.497,1739,1630,1363,1363,2184,1119,8294.0,77.80576140530226,9.463312131165166
605,101.253,1781,1672,1406,1406,2139,1161,8294.0,77.80676765524767,9.463312131165166
606,107.275,1863,1754,1488,1488,1960,1243,8294.0,77.8077739051931,9.463312131165168
607,45.631,1951,1842,1575,1574,1847,1331,8294.0,77.80878015513854,9.463312131165166
608,108.858,2305,2195,1929,1929,2600,1643,8294.0,77.8148176548111,9.463312131165168
609,71.422,3456,3115,2992,989,3959,4032,8294.0,77.77344785352915,9.462499109022458
610,41.852,3357,3015,2893,1042,3860,3932,8294.0,77.7744541020054,9.46249910902246
611,3.826,3154,2812,2690,840,3657,3729,8294.0,77.77546035048164,9.46249910902246
612,77.02,2500,2158,2036,186,3003,3075,8294.0,77.78049159286289,9.46249910902246
613,103.756,2569,2227,2105,0,3072,3144,8294.0,77.78149784133915,9.462499109022458
614,90.979,2638,2297,2174,69,3142,3214,8294.0,77.7825040898154,9.462499109022461
615,86.137,2607,2265,2143,351,3110,3183,8294.0,77.78351033829163,9.46249910902246
616,73.761,2607,2265,2143,419,3110,3182,8294.0,77.7845165867679,9.46249910902246
617,81.578,2700,2385,2263,539,3230,3201,8294.0,77.78552283524412,9.462499109022458
