,POP_2015,community_space,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,7.425,521,848,2172,1133,7701.0,76.94444088248494,17.879735101034413
1,103.594,428,755,2079,1039,7701.0,76.94546964087816,17.879735101034413
2,71.817,512,793,2027,1006,7701.0,76.94422001721458,17.878910882570068
3,103.554,428,755,2079,1039,7701.0,76.94524877265481,17.878910882570068
4,102.676,512,793,2027,1006,7701.0,76.94399916389955,17.878086665564666
5,148.744,404,685,2009,970,7701.0,76.94502791638692,17.87808666556467
6,141.439,231,512,1836,797,7701.0,76.94605666887428,17.87808666556467
7,152.696,171,515,1839,800,7701.0,76.94708542136163,17.878086665564666
8,155.371,0,577,1759,720,7701.0,76.94811417384902,17.878086665564666
9,154.692,5,571,1753,714,7701.0,76.94914292633638,17.87808666556467
10,169.463,113,785,1966,927,7701.0,76.95120043131112,17.87808666556467
11,156.289,113,785,1966,927,7701.0,76.95222918379848,17.878086665564666
12,142.876,520,698,1930,909,7701.0,76.94377832253952,17.877262450018137
13,146.229,511,644,1876,854,7701.0,76.94480707207421,17.877262450018133
14,183.315,273,522,1807,786,7701.0,76.94583582160888,17.877262450018133
15,161.239,252,517,1822,792,7701.0,76.94686457114358,17.877262450018133
16,164.593,243,400,1724,685,7701.0,76.94789332067826,17.877262450018133
17,159.842,161,415,1597,558,7701.0,76.94892207021294,17.877262450018133
18,140.8,89,654,1836,797,7701.0,76.95097956928231,17.877262450018133
19,188.425,36,707,1889,850,7701.0,76.95200831881702,17.877262450018133
20,166.748,97,840,2022,983,7701.0,76.9530370683517,17.877262450018133
21,98.564,534,621,1853,832,7701.0,76.94458623971639,17.8764382359304
22,105.55,390,458,1690,669,7701.0,76.94561498629857,17.8764382359304
23,128.025,390,458,1690,669,7701.0,76.94664373288072,17.876438235930404
24,156.489,263,347,1671,632,7701.0,76.94767247946288,17.8764382359304
25,114.891,161,415,1597,558,7701.0,76.94870122604506,17.876438235930404
26,193.216,359,419,1600,561,7701.0,76.9497299726272,17.8764382359304
27,179.204,212,537,1719,679,7701.0,76.95075871920938,17.8764382359304
28,165.471,89,654,1836,797,7701.0,76.95178746579154,17.8764382359304
29,179.523,136,737,1917,879,7701.0,76.95281621237368,17.8764382359304
30,136.369,512,1256,1958,1252,7701.0,76.9559024521202,17.8764382359304
31,110.46,512,1256,1958,1252,7701.0,76.95693119870236,17.8764382359304
32,124.672,337,239,1421,382,7701.0,76.94848039383238,17.875614023301388
33,150.94,416,318,1500,461,7701.0,76.9495091374622,17.875614023301388
34,145.511,260,488,1670,631,7701.0,76.95053788109199,17.875614023301388
35,139.562,120,752,1933,895,7701.0,76.95156662472179,17.875614023301388
36,146.948,151,721,1902,864,7701.0,76.95259536835161,17.875614023301388
37,139.522,276,758,1777,834,7701.0,76.9536241119814,17.875614023301388
38,1.557,512,1256,1958,1252,7701.0,76.95671034287082,17.87561402330138
39,122.556,337,239,1421,382,7701.0,76.94825957357469,17.874789812131016
40,163.155,451,318,1500,461,7701.0,76.94928831425229,17.874789812131016
41,142.437,506,277,1458,419,7701.0,76.95031705492988,17.874789812131016
42,161.718,276,758,1777,834,7701.0,76.95237453628509,17.874789812131013
43,110.301,276,758,1777,834,7701.0,76.95340327696269,17.874789812131013
44,116.728,577,0,1323,284,7701.0,76.94701002754609,17.873965602419215
45,73.574,486,90,1272,233,7701.0,76.94803876527166,17.873965602419215
46,164.233,552,322,1480,463,7701.0,76.9490675029972,17.873965602419215
47,149.503,552,322,1480,463,7701.0,76.95009624072276,17.873965602419215
48,134.772,398,645,1655,712,7701.0,76.95215371617388,17.87396560241921
49,149.742,396,643,1657,714,7701.0,76.95318245389944,17.873965602419215
50,26.188,731,154,1297,322,7701.0,76.94576049937567,17.873141394165895
51,39.122,632,55,1332,302,7701.0,76.94678923414934,17.8731413941659
52,109.103,561,126,1197,158,7701.0,76.94781796892299,17.8731413941659
53,164.074,675,338,1357,340,7701.0,76.94987543847037,17.873141394165895
54,120.8,656,521,1397,454,7701.0,76.95090417324404,17.8731413941659
55,135.97,537,641,1516,573,7701.0,76.95193290801771,17.8731413941659
56,196.848,537,641,1516,573,7701.0,76.95296164279138,17.8731413941659
57,144.872,614,861,1552,846,7701.0,76.95399037756505,17.873141394165895
58,107.227,614,861,1552,846,7701.0,76.95501911233873,17.8731413941659
59,8.703,1089,511,1416,679,7701.0,76.94245352541866,17.872317187370996
60,19.122,1089,511,1416,679,7701.0,76.94348225724062,17.872317187370996
61,34.651,754,177,1274,345,7701.0,76.94553972088453,17.872317187370996
62,90.5,754,177,1274,345,7701.0,76.94656845270649,17.872317187370996
63,138.644,720,284,1039,0,7701.0,76.94759718452842,17.872317187370992
64,156.968,829,394,1127,109,7701.0,76.94862591635038,17.872317187370996
65,124.472,780,440,1253,235,7701.0,76.94965464817236,17.872317187370992
66,155.451,656,521,1397,454,7701.0,76.95068337999433,17.872317187370996
67,136.449,537,641,1516,573,7701.0,76.95171211181626,17.872317187370996
68,168.864,537,641,1516,573,7701.0,76.95274084363822,17.872317187370992
69,72.296,706,810,1448,742,7701.0,76.95376957546017,17.872317187370996
70,133.095,945,385,1066,225,7701.0,76.9463476832173,17.871492982034432
71,119.842,720,284,1039,0,7701.0,76.94737641208768,17.871492982034436
72,137.247,829,394,1127,109,7701.0,76.94840514095809,17.871492982034436
73,64.033,908,568,1268,283,7701.0,76.94943386982848,17.871492982034436
74,125.67,908,568,1268,283,7701.0,76.95046259869886,17.871492982034432
75,50.5,812,595,1242,422,7701.0,76.95149132756926,17.871492982034436
76,58.284,945,385,1066,225,7701.0,76.94612692568147,17.870668778156134
77,120.84,841,406,917,121,7701.0,76.94715565160047,17.870668778156134
78,146.828,920,485,937,200,7701.0,76.94818437751944,17.870668778156134
79,179.044,956,520,1001,236,7701.0,76.94921310343844,17.870668778156134
80,65.47,953,737,1100,544,7701.0,76.95127055527642,17.870668778156137
81,54.571,953,737,1100,544,7701.0,76.95229928119542,17.870668778156134
82,0.2,1238,518,1182,518,7701.0,76.94487745713099,17.869844575736025
83,54.052,1078,372,1022,358,7701.0,76.94590618009872,17.869844575736025
84,87.666,945,504,889,225,7701.0,76.94693490306648,17.86984457573602
85,123.035,924,488,834,204,7701.0,76.94796362603421,17.86984457573602
86,120.48,1111,676,855,383,7701.0,76.94899234900195,17.86984457573602
87,25.389,977,760,1076,567,7701.0,76.95104979493746,17.86984457573602
88,43.114,981,806,1075,613,7701.0,76.9520785179052,17.86984457573602
89,31.298,1069,899,1168,707,7701.0,76.95310724087297,17.86984457573602
90,66.268,1238,513,1182,518,7701.0,76.9446567264521,17.86902037477401
91,98.764,1009,574,749,276,7701.0,76.94671416648542,17.86902037477401
