,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,72.647,1079,102,1061,672,102,2135,813.0,-70.12401518121733,18.436419369691393
1,55.05,1077,64,996,608,64,2070,813.0,-70.12380688951968,18.43559414893098
2,82.992,1154,199,1073,685,199,2147,813.0,-70.12277610424434,18.43559414893098
3,95.542,1213,259,1133,744,259,2207,813.0,-70.12174531896898,18.43559414893098
4,30.938,1478,386,620,317,701,1975,813.0,-70.12071453369363,18.43559414893098
5,70.797,1478,386,620,317,701,1975,813.0,-70.11968374841828,18.435594148930985
6,10.083,1557,343,577,274,780,1932,813.0,-70.11865296314294,18.43559414893098
7,118.295,1000,161,919,531,161,1993,813.0,-70.12359860887652,18.434768929681436
8,75.115,1213,259,1133,744,259,2207,813.0,-70.1225678266628,18.434768929681436
9,24.698,1213,259,1133,744,259,2207,813.0,-70.12153704444908,18.434768929681436
10,66.953,1387,338,573,269,610,1927,813.0,-70.12050626223534,18.434768929681436
11,104.985,1471,285,520,216,694,1874,813.0,-70.1194754800216,18.434768929681432
12,58.175,1537,227,462,159,895,1816,813.0,-70.11844469780789,18.434768929681436
13,72.173,935,140,800,412,158,1874,813.0,-70.1233903392876,18.433943711942668
14,7.521,956,178,875,487,178,1949,813.0,-70.12235956013532,18.433943711942668
15,53.382,1214,185,437,288,521,1622,813.0,-70.12132878098306,18.433943711942668
16,57.321,1214,185,437,288,521,1622,813.0,-70.12029800183079,18.433943711942668
17,58.887,1448,138,372,69,810,1727,813.0,-70.11926722267853,18.433943711942668
18,82.327,1378,68,303,0,880,1657,813.0,-70.11823644352626,18.433943711942668
19,30.274,1364,217,289,112,1028,1644,813.0,-70.11720566437398,18.433943711942664
20,54.118,1035,77,700,312,258,1774,813.0,-70.1231820807526,18.43311849571459
21,13.12,1075,37,660,272,298,1734,813.0,-70.12215130466163,18.43311849571459
22,90.085,1183,216,468,258,552,1611,813.0,-70.12112052857066,18.43311849571459
23,65.245,1155,291,443,229,630,1515,813.0,-70.12008975247969,18.43311849571459
24,6.643,1378,68,303,0,880,1657,813.0,-70.11905897638871,18.43311849571459
25,113.977,1390,80,315,0,917,1669,813.0,-70.11802820029773,18.43311849571459
26,91.699,1361,207,286,103,1018,1640,813.0,-70.11699742420677,18.433118495714595
27,23.82,1371,271,296,167,1083,1650,813.0,-70.1159666481158,18.433118495714595
28,0.641,1283,1561,327,567,1511,2959,813.0,-70.13843542871881,18.43229328099715
29,16.608,1283,1561,327,567,1511,2959,813.0,-70.13740465568898,18.432293280997147
30,0.024,1365,1643,508,649,1593,3041,813.0,-70.13637388265914,18.432293280997154
31,43.536,1252,947,1514,1233,1198,2756,813.0,-70.13328156356964,18.43229328099715
32,11.198,1252,947,1514,1233,1198,2756,813.0,-70.13225079053981,18.432293280997154
33,2.515,690,662,573,300,919,2366,813.0,-70.13122001750996,18.432293280997147
34,0.759,782,614,665,392,959,2410,813.0,-70.13018924448012,18.432293280997154
35,28.637,664,450,776,503,804,2255,813.0,-70.12915847145028,18.43229328099715
36,70.18,593,349,853,576,705,2156,813.0,-70.12812769842046,18.43229328099715
37,71.722,533,228,796,514,590,2037,813.0,-70.12709692539063,18.432293280997154
38,79.978,416,60,679,397,473,1921,813.0,-70.12606615236079,18.43229328099715
39,95.519,468,60,731,449,525,1972,813.0,-70.12503537933095,18.432293280997154
40,95.068,557,150,793,511,587,2035,813.0,-70.12400460630111,18.43229328099715
41,65.601,1082,82,667,275,418,1737,813.0,-70.12297383327129,18.43229328099715
42,107.903,1041,57,621,176,394,1675,813.0,-70.12194306024143,18.432293280997154
43,123.42,1078,283,462,153,628,1534,813.0,-70.1209122872116,18.43229328099715
44,102.518,1079,197,305,232,764,1377,813.0,-70.11988151418177,18.432293280997147
45,38.008,1079,197,305,232,764,1377,813.0,-70.11885074115195,18.432293280997154
46,86.645,1290,79,215,0,1028,1569,813.0,-70.11781996812209,18.43229328099715
47,145.271,1207,166,132,0,979,1487,813.0,-70.11678919509227,18.432293280997154
48,1.447,5000,5000,5000,5000,5000,5000,813.0,-70.11266610297292,18.432293280997154
49,46.051,5000,5000,5000,5000,5000,5000,813.0,-70.11163532994307,18.43229328099715
50,74.593,1946,1148,1940,689,736,2197,813.0,-70.08792755025682,18.432293280997154
51,67.357,1952,1155,1947,696,742,2204,813.0,-70.08689677722698,18.432293280997147
52,14.544,1283,1561,327,567,1511,2959,813.0,-70.13822714637631,18.431468067790252
53,10.7,1262,1540,348,546,1490,2938,813.0,-70.13719637640745,18.431468067790252
54,0.688,1107,1386,503,391,1336,2783,813.0,-70.1361656064386,18.43146806779025
