,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,53.663,2090,3191,3319,1442,2214,9508.0,85.83469062122484,19.82912482767282
1,119.957,2090,3191,3319,1442,2214,9508.0,85.83441381764023,19.828296949876368
2,4.559,2090,3191,3319,1442,2214,9508.0,85.83544999586648,19.82829694987637
3,31.184,1779,2880,3008,1132,1903,9508.0,85.83386025263644,19.826641199214176
4,23.396,1779,2880,3008,1132,1903,9508.0,85.83358349121654,19.825813326348268
5,14.563,1779,2880,3008,1132,1903,9508.0,85.83461965941923,19.825813326348268
6,4.591,1985,3085,3213,1337,2108,9508.0,85.83565582762193,19.82581332634827
7,32.229,1985,3085,3213,1337,2108,9508.0,85.83669199582464,19.825813326348268
8,3.767,1390,3066,3063,772,1487,9508.0,85.84083666863545,19.825813326348268
9,104.697,1678,3750,2814,460,1775,9508.0,85.85016218245975,19.825813326348268
10,28.493,1790,2891,3019,965,1914,9508.0,85.82916208440336,19.824985455125727
11,59.14,1790,2891,3019,965,1914,9508.0,85.83019824926522,19.824985455125724
12,32.482,1602,2703,2831,955,1726,9508.0,85.83330674385078,19.824985455125724
13,18.521,1601,2702,2830,953,1725,9508.0,85.83434290871264,19.824985455125724
14,24.093,2032,3065,3193,1406,2066,9508.0,85.83537907357449,19.824985455125724
15,16.969,1978,3000,3128,1436,2000,9508.0,85.83641523843636,19.824985455125724
16,0.602,1978,3000,3128,1436,2000,9508.0,85.8374514032982,19.824985455125724
17,20.262,1273,2950,3077,656,1371,9508.0,85.83952373302193,19.824985455125727
18,30.393,1390,3066,3063,772,1487,9508.0,85.84055989788375,19.824985455125724
19,69.904,1524,3214,2994,920,1622,9508.0,85.84159606274562,19.824985455125724
20,117.393,1534,3344,2983,1050,1632,9508.0,85.8426322276075,19.824985455125724
21,105.869,1549,3440,2987,1146,1646,9508.0,85.84366839246933,19.82498545512572
22,96.593,1488,3574,2850,1157,1586,9508.0,85.8447045573312,19.824985455125724
23,55.815,1464,3549,2737,613,1561,9508.0,85.84677688705492,19.824985455125727
24,49.135,1471,3557,2745,605,1569,9508.0,85.84781305191673,19.824985455125724
25,88.171,1610,3683,2746,393,1708,9508.0,85.84884921677862,19.824985455125724
26,106.407,1678,3750,2814,460,1775,9508.0,85.84988538164048,19.824985455125724
27,78.927,1827,3545,2609,38,1925,9508.0,85.85195771136416,19.824985455125727
