,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,2.84,3829,1608,924,2974,2029,4223,7037.0,73.33125507361704,17.011803665559608
1,72.367,4900,2988,807,4233,2093,3644,7037.0,73.34253814651116,17.011803665559608
2,41.011,4900,2988,807,4233,2093,3644,7037.0,73.3435638804106,17.011803665559608
3,12.54,3465,4428,5000,2681,1768,5000,7037.0,73.28592368617403,17.010980942721197
4,16.723,4352,2440,259,3685,1545,3450,7037.0,73.33823597292995,17.010980942721194
5,0.71,4529,2617,436,3862,1722,3272,7037.0,73.33926170404283,17.010980942721197
6,64.635,4529,2617,436,3862,1722,3272,7037.0,73.34028743515569,17.010980942721194
7,21.925,4651,2739,558,3984,1844,3395,7037.0,73.34131316626856,17.010980942721194
8,59.953,4840,2928,747,4173,2033,3584,7037.0,73.34233889738142,17.010980942721194
9,66.774,4840,2928,747,4173,2033,3584,7037.0,73.34336462849426,17.010980942721194
10,0.841,3616,1395,786,2761,1816,4084,7037.0,73.3298309194851,17.01015822126202
11,5.59,3616,1395,786,2761,1816,4084,7037.0,73.3308566478115,17.01015822126202
12,5.951,3703,1482,699,2848,1828,3997,7037.0,73.33188237613793,17.01015822126202
13,30.676,4282,2181,0,3547,1475,3645,7037.0,73.33495956111715,17.010158221262024
14,42.765,4282,2181,0,3547,1475,3645,7037.0,73.33598528944356,17.01015822126202
15,19.954,4352,2440,259,3685,1545,3450,7037.0,73.33803674609639,17.010158221262024
16,71.124,4529,2617,436,3862,1722,3272,7037.0,73.33906247442282,17.01015822126202
17,82.167,4529,2617,436,3862,1722,3272,7037.0,73.34008820274923,17.01015822126202
18,65.154,4651,2739,558,3984,1844,3395,7037.0,73.34111393107564,17.010158221262024
19,78.601,4744,2832,651,4077,1937,3487,7037.0,73.34213965940205,17.01015822126202
20,49.825,4840,2928,747,4173,2033,3584,7037.0,73.34316538772846,17.01015822126202
21,37.84,3703,1482,699,2848,1828,3997,7037.0,73.33065745163148,17.00933550118202
22,0.263,3703,1482,699,2848,1828,3997,7037.0,73.3316831771716,17.00933550118202
23,29.135,4109,2007,173,3373,1302,3472,7037.0,73.3357860793321,17.00933550118202
24,32.37,4699,2795,614,4031,1892,3094,7037.0,73.33988898149259,17.009335501182015
25,41.501,4825,2918,737,4157,2018,3220,7037.0,73.34091470703268,17.009335501182015
26,52.696,4917,3010,829,4249,2109,3312,7037.0,73.34194043257281,17.00933550118202
27,52.41,5000,3106,925,4345,2206,3408,7037.0,73.34296615811293,17.00933550118202
28,29.917,5000,5000,2035,5000,2494,1792,7037.0,73.34809478581354,17.009335501182015
29,92.722,5000,5000,1967,5000,2426,1724,7037.0,73.34912051135366,17.00933550118202
30,52.284,4161,1955,225,3321,1354,3524,7037.0,73.33456115761557,17.0085127824811
31,51.192,4135,1981,199,3347,1328,3498,7037.0,73.33558688036953,17.0085127824811
32,64.938,4109,2007,173,3373,1302,3472,7037.0,73.33661260312353,17.008512782481098
33,65.145,4699,2795,614,4031,1892,3094,7037.0,73.33968977138548,17.0085127824811
34,47.908,4825,2918,737,4157,2018,3220,7037.0,73.34071549413947,17.008512782481098
35,44.158,4917,3010,829,4249,2109,3312,7037.0,73.34174121689347,17.008512782481105
36,23.685,5000,3106,925,4345,2206,3408,7037.0,73.34276693964745,17.0085127824811
37,0.0,3156,4119,5000,2372,1458,5000,7037.0,73.28410169415538,17.007690065159203
38,11.41,3156,4119,5000,2372,1458,5000,7037.0,73.2851274141234,17.00769006515921
39,8.886,3014,3977,5000,2230,1316,5000,7037.0,73.2871788540594,17.007690065159206
40,0.894,3334,1113,1068,2479,1534,4218,7037.0,73.32923337274765,17.007690065159206
41,70.425,3959,2157,323,3292,1152,3322,7037.0,73.33641341252368,17.007690065159206
42,37.861,4449,2783,863,3782,1642,2845,7037.0,73.34154201236373,17.007690065159206
43,2.892,5000,4915,1677,5000,2136,1433,7037.0,73.34769633217178,17.007690065159206
44,57.521,5000,4896,1657,5000,2116,1414,7037.0,73.34872205213976,17.007690065159206
45,0.0,3156,4119,5000,2372,1458,5000,7037.0,73.28390265678117,17.006867349216254
46,0.0,3124,4087,5000,2340,1426,5000,7037.0,73.28492837396334,17.006867349216254
47,0.841,3014,3977,5000,2230,1316,5000,7037.0,73.28595409114551,17.006867349216257
48,15.563,3014,3977,5000,2230,1316,5000,7037.0,73.2869798083277,17.006867349216254
49,65.092,3188,967,1214,2333,1538,4222,7037.0,73.328008495615,17.006867349216254
50,15.037,3225,1004,1176,2370,1500,4184,7037.0,73.32903421279718,17.006867349216257
51,58.047,3391,1170,1267,2536,1375,4059,7037.0,73.33005992997934,17.006867349216254
52,51.501,3547,1326,1423,2692,1268,3952,7037.0,73.33108564716153,17.006867349216257
53,17.982,3547,1326,1423,2692,1268,3952,7037.0,73.33211136434372,17.006867349216254
54,70.165,3959,2157,323,3292,1152,3322,7037.0,73.33621423307243,17.006867349216254
55,21.124,4449,2783,863,3782,1642,2845,7037.0,73.34134281898335,17.006867349216254
56,18.928,5000,4896,1657,5000,2116,1414,7037.0,73.34749712207645,17.006867349216257
57,41.984,5000,4857,1618,4982,2077,1375,7037.0,73.34852283925864,17.006867349216254
58,1.656,5000,4744,1506,4869,1965,1262,7037.0,73.3495485564408,17.006867349216254
59,11.41,5000,5000,2296,5000,1347,531,7037.0,73.3557028595339,17.00686734921625
60,81.313,5000,5000,2247,5000,1297,481,7037.0,73.35672857671608,17.006867349216254
61,29.523,2890,2817,5000,2665,1026,5000,7037.0,73.30011506089154,17.006044634652174
62,0.131,2875,2778,5000,2650,1011,5000,7037.0,73.30114077528803,17.006044634652174
63,0.0,3188,967,1214,2333,1538,4222,7037.0,73.32780934959742,17.006044634652174
64,0.526,3188,967,1214,2333,1538,4222,7037.0,73.32883506399392,17.00604463465217
65,11.015,3365,1144,1241,2510,1361,4045,7037.0,73.32986077839044,17.00604463465217
66,77.948,3526,1305,1402,2671,1280,3964,7037.0,73.33088649278696,17.006044634652174
67,46.453,3603,1382,1457,2748,1212,3896,7037.0,73.33191220718348,17.006044634652174
68,92.696,3628,1407,1361,2773,1117,3801,7037.0,73.33293792157998,17.006044634652174
69,5.284,3762,1625,1199,2991,955,3639,7037.0,73.33396363597649,17.006044634652167
70,21.031,3762,1625,1199,2991,955,3639,7037.0,73.33498935037301,17.006044634652174
71,85.097,4278,2612,1035,3610,1471,2673,7037.0,73.34114363675208,17.00604463465217
72,22.926,4523,2856,1280,3855,1715,2430,7037.0,73.34319506554512,17.00604463465217
73,38.645,4523,2856,1280,3855,1715,2430,7037.0,73.34422077994164,17.00604463465217
74,1.13,5000,4744,1506,4869,1965,1262,7037.0,73.3483236375277,17.00604463465217
75,28.445,5000,4701,1462,4826,1921,1219,7037.0,73.3493493519242,17.006044634652174
76,2.655,5000,4657,1419,4782,1878,1175,7037.0,73.35037506632071,17.00604463465217
77,3.496,5000,5000,2298,5000,1348,533,7037.0,73.35550363830329,17.00604463465217
78,82.943,5000,5000,2298,5000,1348,533,7037.0,73.3565293526998,17.006044634652174
79,55.234,2784,3747,5000,2000,1086,5000,7037.0,73.28658175028659,17.005221921466873
80,0.263,2784,3747,5000,2000,1086,5000,7037.0,73.28760746189758,17.005221921466877
81,3.418,2226,3184,5000,2001,0,5000,7037.0,73.29273601995259,17.005221921466877
82,25.211,2297,3255,5000,2072,71,5000,7037.0,73.29376173156359,17.00522192146687
83,8.754,3356,3307,5000,3131,1492,5000,7037.0,73.29581315478559,17.005221921466877
84,22.372,2851,2802,5000,2626,987,5000,7037.0,73.29991600122962,17.005221921466873
85,0.0,2875,2778,5000,2650,1011,5000,7037.0,73.3009417128406,17.005221921466877
86,4.679,3002,781,1399,2147,1590,4274,7037.0,73.32761021472665,17.00522192146687
87,51.948,3107,886,1504,2252,1485,4169,7037.0,73.32863592633765,17.005221921466873
88,47.952,3207,986,1604,2352,1438,4122,7037.0,73.32966163794865,17.005221921466877
89,57.022,3514,1293,1390,2659,1211,3895,7037.0,73.33068734955967,17.00522192146687
90,49.95,3459,1238,1378,2604,1134,3818,7037.0,73.33171306117067,17.005221921466877
91,21.426,3602,1381,1235,2747,991,3675,7037.0,73.33273877278168,17.005221921466877
92,58.283,3725,1546,1173,2912,929,3613,7037.0,73.33376448439267,17.005221921466877
93,112.939,3642,1537,1079,2903,835,3519,7037.0,73.33479019600367,17.005221921466873
94,70.228,3680,2013,602,3012,872,3042,7037.0,73.33684161922568,17.005221921466877
95,20.378,3857,2191,780,3190,1050,2864,7037.0,73.33786733083667,17.00522192146688
96,74.428,3857,2191,780,3190,1050,2864,7037.0,73.33889304244768,17.005221921466873
97,25.842,4278,2612,1035,3610,1471,2673,7037.0,73.34094446566968,17.00522192146687
98,50.25,4523,2856,1280,3855,1715,2430,7037.0,73.34299588889166,17.005221921466873
99,42.953,4574,2908,1338,3907,1767,2481,7037.0,73.34402160050269,17.005221921466877
100,20.269,4551,2885,1451,3884,1744,2458,7037.0,73.3450473121137,17.005221921466877
101,55.102,4652,2986,1552,3984,1845,2558,7037.0,73.3460730237247,17.005221921466873
102,14.906,5000,4657,1419,4782,1878,1175,7037.0,73.3491501585577,17.005221921466877
103,22.924,5000,4657,1419,4782,1878,1175,7037.0,73.35017587016868,17.00522192146687
104,22.188,5000,5000,1971,5000,1021,205,7037.0,73.35838156305671,17.00522192146687
105,22.635,2836,3799,5000,2052,1139,5000,7037.0,73.28433132032536,17.004399209660296
106,57.758,2784,3747,5000,2000,1086,5000,7037.0,73.28638273797665,17.004399209660292
107,33.677,2262,3219,5000,2037,35,5000,7037.0,73.29253699093053,17.004399209660292
108,11.594,2316,3274,5000,2091,153,5000,7037.0,73.29356269975617,17.004399209660296
109,37.042,3381,3331,5000,3156,1517,5000,7037.0,73.29561411740745,17.004399209660296
110,25.685,3356,3307,5000,3131,1492,5000,7037.0,73.2966398262331,17.004399209660296
