,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,22.023,5000,399,5000,5000,5000,5000,4558.0,35.008550872725515,-15.717676483479336
1,19.893,5000,337,5000,5000,5000,5000,4558.0,35.00957240876591,-15.717676483479334
2,6.511,5000,79,5000,5000,5000,5000,4558.0,35.01161548084672,-15.717676483479336
3,19.797,5000,79,5000,5000,5000,5000,4558.0,35.01263701688713,-15.717676483479336
4,13.136,5000,2094,5000,5000,5000,5000,4558.0,35.01468008896794,-15.717676483479334
5,7.762,5000,2094,5000,5000,5000,5000,4558.0,35.01570162500834,-15.717676483479336
6,21.62,5000,1955,5000,5000,5000,5000,4558.0,35.01672316104876,-15.717676483479336
7,50.806,5000,1871,5000,5000,5000,5000,4558.0,35.01774469708916,-15.717676483479336
8,0.465,5000,5000,3678,2127,5000,5000,4558.0,35.06371381890742,-15.717676483479336
9,41.972,5000,5000,3017,2469,5000,5000,4558.0,35.06677842702864,-15.717676483479336
10,56.083,5000,5000,2917,2370,5000,5000,4558.0,35.06779996306905,-15.717676483479336
11,31.626,5000,5000,2933,2386,5000,5000,4558.0,35.068821499109454,-15.717676483479336
12,39.733,5000,5000,2933,2386,5000,5000,4558.0,35.06984303514986,-15.717676483479336
13,29.317,5000,5000,3063,2516,5000,5000,4558.0,35.07392917931148,-15.717676483479336
14,32.768,5000,5000,2662,2927,5000,5000,4558.0,35.078015323473096,-15.717676483479336
15,31.602,5000,5000,2516,2911,5000,5000,4558.0,35.07903685951351,-15.717676483479336
16,21.245,5000,399,5000,5000,5000,5000,4558.0,35.00863810497066,-15.718497127206398
17,23.741,5000,311,5000,5000,5000,5000,4558.0,35.00965964355647,-15.7184971272064
18,26.102,5000,0,5000,5000,5000,5000,4558.0,35.01068118214228,-15.7184971272064
19,16.309,5000,39,5000,5000,5000,5000,4558.0,35.01170272072808,-15.718497127206401
20,6.837,5000,79,5000,5000,5000,5000,4558.0,35.01272425931389,-15.7184971272064
21,19.709,5000,2094,5000,5000,5000,5000,4558.0,35.014767336485505,-15.7184971272064
22,9.999,5000,2094,5000,5000,5000,5000,4558.0,35.01578887507132,-15.7184971272064
23,42.461,5000,1955,5000,5000,5000,5000,4558.0,35.016810413657126,-15.7184971272064
24,55.393,5000,1842,5000,5000,5000,5000,4558.0,35.017831952242936,-15.7184971272064
25,1.795,5000,5000,3609,2058,5000,5000,4558.0,35.06277965001854,-15.7184971272064
26,18.352,5000,5000,3678,2127,5000,5000,4558.0,35.06380118860435,-15.718497127206398
27,5.418,5000,5000,3630,2079,5000,5000,4558.0,35.06482272719016,-15.7184971272064
28,6.572,5000,5000,3238,2691,5000,5000,4558.0,35.065844265775965,-15.718497127206398
29,33.28,5000,5000,3238,2691,5000,5000,4558.0,35.06686580436177,-15.7184971272064
30,56.361,5000,5000,2862,2315,5000,5000,4558.0,35.067887342947586,-15.7184971272064
31,45.459,5000,5000,2786,2239,5000,5000,4558.0,35.068908881533396,-15.718497127206401
32,65.184,5000,5000,2719,2172,5000,5000,4558.0,35.0699304201192,-15.718497127206398
33,34.662,5000,5000,2724,2177,5000,5000,4558.0,35.07095195870501,-15.718497127206398
34,30.528,5000,5000,2823,2275,5000,5000,4558.0,35.07197349729082,-15.718497127206398
35,47.727,5000,5000,3063,2516,5000,5000,4558.0,35.07401657446244,-15.718497127206398
36,32.586,5000,5000,2818,2494,5000,5000,4558.0,35.07503811304825,-15.7184971272064
37,21.487,5000,5000,2818,2494,5000,5000,4558.0,35.07605965163406,-15.718497127206398
38,31.603,5000,5000,2691,2732,5000,5000,4558.0,35.07708119021986,-15.718497127206398
39,0.24,5000,5000,2418,2791,5000,5000,4558.0,35.079124267391485,-15.7184971272064
40,19.707,5000,335,5000,5000,5000,5000,4558.0,35.008725342378156,-15.71931777219658
41,23.628,5000,204,5000,5000,5000,5000,4558.0,35.009746883509514,-15.71931777219658
42,9.875,5000,410,5000,5000,5000,5000,4558.0,35.01178996577225,-15.71931777219658
43,12.826,5000,274,5000,5000,5000,5000,4558.0,35.012811506903624,-15.71931777219658
44,13.333,5000,297,5000,5000,5000,5000,4558.0,35.01383304803498,-15.71931777219658
45,18.865,5000,5000,3601,2050,5000,5000,4558.0,35.062867022340406,-15.71931777219658
46,13.704,5000,5000,3630,2079,5000,5000,4558.0,35.063888563471764,-15.71931777219658
47,31.159,5000,5000,3630,2079,5000,5000,4558.0,35.06491010460312,-15.71931777219658
48,9.312,5000,5000,3269,2722,5000,5000,4558.0,35.065931645734494,-15.71931777219658
49,14.962,5000,5000,3269,2722,5000,5000,4558.0,35.06695318686585,-15.71931777219658
50,18.678,5000,5000,2896,2349,5000,5000,4558.0,35.06797472799722,-15.719317772196582
51,12.687,5000,5000,2896,2349,5000,5000,4558.0,35.06899626912858,-15.71931777219658
52,24.817,5000,5000,2649,2102,5000,5000,4558.0,35.07001781025994,-15.71931777219658
53,34.689,5000,5000,2724,2177,5000,5000,4558.0,35.07103935139131,-15.71931777219658
