,POP_2015,active_living,community_space,education,health_wellbeing,ID_HDC_G0,lng,lat
0,67.595,2764,2342,2978,2084,8739.0,83.19687237330345,23.15048801211791
1,11.976,2507,2085,2911,1998,8739.0,83.18814360066332,23.149652908409152
2,73.962,2487,2065,2891,1978,8739.0,83.18919453322856,23.14965290840915
3,40.501,2331,1909,2735,1822,8739.0,83.19024546579381,23.149652908409152
4,58.956,2331,1909,2735,1822,8739.0,83.19129639835904,23.14965290840915
5,57.778,2284,1862,2689,1775,8739.0,83.1923473309243,23.149652908409152
6,17.53,2740,2318,2953,2060,8739.0,83.19655106118529,23.149652908409152
7,0.028,2412,1990,2817,1903,8739.0,83.18782233608069,23.148817806679443
8,32.031,2412,1990,2817,1903,8739.0,83.18887326458733,23.148817806679446
9,67.763,2331,1909,2735,1822,8739.0,83.18992419309397,23.14881780667944
10,79.487,2331,1909,2735,1822,8739.0,83.19097512160062,23.148817806679446
11,85.882,2297,1876,2702,1788,8739.0,83.19202605010726,23.148817806679443
12,94.605,2309,1887,2713,1800,8739.0,83.1930769786139,23.148817806679446
13,75.112,2387,1965,2791,1878,8739.0,83.19412790712056,23.148817806679446
14,26.926,2633,2212,2847,1954,8739.0,83.19622976413383,23.148817806679443
15,113.004,2606,2421,2887,543,8739.0,83.17699184208044,23.147982706928705
16,5.469,2343,2114,2624,1862,8739.0,83.18645016211455,23.147982706928705
17,3.394,2381,1959,2748,1872,8739.0,83.18750108656278,23.147982706928705
18,29.899,2337,1915,2742,1828,8739.0,83.18855201101101,23.147982706928705
19,26.729,2211,1789,2616,1702,8739.0,83.18960293545925,23.147982706928705
20,47.653,2211,1789,2616,1702,8739.0,83.19065385990747,23.147982706928705
21,51.355,2186,1764,2591,1677,8739.0,83.19275570880394,23.14798270692871
22,66.501,2307,1885,2712,1798,8739.0,83.19380663325217,23.147982706928705
23,81.591,2307,1885,2712,1798,8739.0,83.19485755770042,23.14798270692871
24,57.862,2540,2118,2753,1860,8739.0,83.19590848214865,23.14798270692871
25,29.114,2473,2052,2687,1794,8739.0,83.19695940659689,23.14798270692871
26,88.294,2578,2394,2859,516,8739.0,83.17667064820903,23.14714760915684
27,106.469,2551,2366,2832,489,8739.0,83.17772156859903,23.14714760915684
28,67.567,2323,2093,2604,1842,8739.0,83.18612893171914,23.14714760915684
29,46.279,2350,2054,2631,1869,8739.0,83.18717985210915,23.147147609156836
30,60.05,2195,1773,2599,1686,8739.0,83.18823077249917,23.147147609156843
31,67.006,2028,1606,2433,1519,8739.0,83.1913835336692,23.14714760915684
32,24.822,2089,1667,2493,1580,8739.0,83.19243445405922,23.14714760915684
33,12.004,2307,1885,2712,1798,8739.0,83.19348537444924,23.147147609156843
34,24.598,2307,1885,2712,1798,8739.0,83.19453629483925,23.14714760915684
35,22.663,2473,2052,2687,1794,8739.0,83.19558721522925,23.147147609156843
36,27.992,2399,1977,2612,1719,8739.0,83.19663813561927,23.14714760915684
37,123.971,2507,2323,2788,445,8739.0,83.1763494693995,23.14631251336376
38,53.094,2113,1928,2394,839,8739.0,83.18055313472742,23.146312513363757
39,88.715,2195,1773,2599,1686,8739.0,83.18790954905131,23.146312513363757
40,87.761,2062,1640,2466,1553,8739.0,83.19001138171528,23.146312513363757
41,89.865,1935,1513,2340,1426,8739.0,83.19106229804726,23.14631251336376
