,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,48.037,2062,450,1979,1448,1317,1704,12635.0,112.90395457429624,-7.628446650068598
1,45.862,3812,3650,3625,98,2988,3712,12635.0,112.87800183873665,-7.629258176572398
2,31.363,3812,3650,3625,98,2988,3712,12635.0,112.87900510511483,-7.6292581765723995
3,1.107,3030,2868,2844,1510,2199,2922,12635.0,112.8890377688963,-7.629258176572399
4,59.322,2134,750,2051,1079,1302,1833,12635.0,112.9010769654341,-7.629258176572398
5,63.238,2006,506,1923,1392,1261,1648,12635.0,112.90308349819038,-7.6292581765723995
6,53.608,2034,478,1951,1420,1289,1676,12635.0,112.90408676456852,-7.629258176572397
7,162.661,1911,244,1827,1296,1166,1553,12635.0,112.90509003094668,-7.6292581765723995
8,155.226,1911,244,1827,1296,1166,1553,12635.0,112.90609329732484,-7.629258176572399
9,73.929,1758,91,1675,1144,1013,1400,12635.0,112.90709656370298,-7.629258176572397
10,36.078,1706,39,1622,1091,960,1347,12635.0,112.90809983008113,-7.6292581765723995
11,58.956,3816,3654,3629,0,2992,3715,12635.0,112.87713074540625,-7.630069703665642
12,18.767,3728,3566,3541,113,2913,3637,12635.0,112.87813401295917,-7.630069703665642
13,52.707,3684,3522,3497,132,2869,3592,12635.0,112.87913728051213,-7.630069703665643
14,206.408,3586,3424,3399,236,2756,3479,12635.0,112.88014054806504,-7.630069703665644
15,90.195,3170,3008,2983,898,2339,3063,12635.0,112.88515688582964,-7.630069703665642
16,23.044,3030,2868,2844,1510,2199,2922,12635.0,112.88916995604133,-7.630069703665644
17,75.644,1924,439,1841,1310,1179,1566,12635.0,112.90321570178223,-7.630069703665643
18,74.093,1871,432,1787,1256,1126,1513,12635.0,112.90421896933513,-7.630069703665642
19,77.454,1879,347,1796,1264,1134,1521,12635.0,112.90522223688806,-7.630069703665641
20,202.449,1847,180,1763,1232,1102,1489,12635.0,112.90622550444098,-7.630069703665642
21,55.451,1741,74,1657,1126,995,1382,12635.0,112.90722877199393,-7.630069703665644
22,38.571,1686,19,1602,1071,941,1328,12635.0,112.90823203954685,-7.630069703665642
23,32.272,1602,445,1519,1497,1126,1244,12635.0,112.90923530709973,-7.630069703665643
24,32.886,1547,389,1463,1442,1071,1189,12635.0,112.91023857465268,-7.630069703665642
25,1.542,1865,861,1782,1863,1029,1476,12635.0,112.91425164486436,-7.630069703665642
26,3.786,1865,861,1782,1863,1029,1476,12635.0,112.91525491241727,-7.630069703665643
27,38.061,1908,1166,1835,1885,1073,1374,12635.0,112.91726144752315,-7.630069703665643
28,39.318,2206,1899,2276,2057,1516,1562,12635.0,112.9202712501819,-7.63006970366564
29,33.395,2264,1957,2335,2115,1574,1620,12635.0,112.92127451773482,-7.630069703665642
30,27.355,3867,3705,3605,315,3053,3776,12635.0,112.87726293294504,-7.630881231348385
31,60.805,3760,3598,3573,208,2946,3669,12635.0,112.87826620167289,-7.630881231348387
32,129.645,3731,3569,3488,178,2916,3639,12635.0,112.8792694704007,-7.630881231348388
33,140.529,3535,3373,3348,287,2705,3428,12635.0,112.88027273912854,-7.630881231348388
34,163.813,3454,3292,3267,364,2632,3355,12635.0,112.88127600785636,-7.630881231348388
35,147.237,3255,3093,3068,560,2441,3164,12635.0,112.88227927658419,-7.630881231348387
36,102.853,3217,3055,3030,598,2403,3126,12635.0,112.88328254531199,-7.630881231348388
37,117.156,3162,3000,2974,890,2331,3054,12635.0,112.8842858140398,-7.630881231348387
38,108.507,3166,3004,2979,894,2335,3058,12635.0,112.88528908276766,-7.630881231348385
39,37.537,2861,2699,2675,1257,2030,2754,12635.0,112.88729562022328,-7.630881231348388
40,59.698,2867,2705,2681,1348,2036,2760,12635.0,112.88829888895114,-7.630881231348389
41,87.267,1862,377,1779,1248,1117,1504,12635.0,112.90334791986844,-7.630881231348387
42,167.312,1894,455,1811,1279,1149,1536,12635.0,112.90435118859625,-7.630881231348387
43,62.226,1795,356,1712,1180,1050,1437,12635.0,112.90535445732407,-7.630881231348389
44,79.493,1696,288,1613,1082,951,1338,12635.0,112.90635772605191,-7.630881231348388
45,46.829,1582,100,1499,967,837,1224,12635.0,112.90736099477976,-7.630881231348387
46,26.757,1563,107,1479,1159,1029,1204,12635.0,112.90836426350756,-7.630881231348388
47,26.141,1512,354,1428,1407,1036,1154,12635.0,112.9093675322354,-7.630881231348389
48,32.57,1484,327,1401,1379,1008,1126,12635.0,112.9103708009632,-7.630881231348387
49,37.098,1388,384,1304,1385,912,1030,12635.0,112.91137406969102,-7.630881231348387
50,19.119,1470,466,1387,1468,857,1112,12635.0,112.91237733841884,-7.630881231348389
51,16.55,1865,861,1782,1863,1029,1476,12635.0,112.91438387587453,-7.630881231348388
52,29.672,1911,934,1838,1895,1076,1404,12635.0,112.9153871446023,-7.630881231348387
53,48.202,1911,958,1838,1888,1076,1376,12635.0,112.91639041333015,-7.630881231348389
54,62.855,1892,1150,1819,1870,1057,1358,12635.0,112.91739368205796,-7.630881231348387
55,29.271,2083,1776,2153,1934,1392,1439,12635.0,112.91839695078578,-7.630881231348385
56,46.167,2206,1899,2276,2057,1516,1562,12635.0,112.92040348824143,-7.630881231348388
57,34.411,2206,1899,2276,2057,1516,1562,12635.0,112.92140675696926,-7.63088123134839
58,122.486,3971,3809,3500,419,3157,3880,12635.0,112.87739513497503,-7.631692759620704
59,77.856,3814,3652,3371,295,2999,3722,12635.0,112.87839840487786,-7.631692759620704
60,68.188,3808,3646,3378,289,2993,3716,12635.0,112.87940167478072,-7.631692759620701
61,70.352,3236,3074,3049,579,2422,3145,12635.0,112.88241148448931,-7.631692759620704
62,101.241,3152,2990,2965,667,2329,3052,12635.0,112.88341475439213,-7.631692759620702
63,129.323,3039,2877,2851,777,2216,2940,12635.0,112.884418024295,-7.631692759620704
64,32.33,2992,2830,2805,830,2162,2885,12635.0,112.88542129419785,-7.631692759620704
65,41.044,2864,2702,2677,951,2050,2773,12635.0,112.8864245641007,-7.631692759620702
66,103.369,2745,2583,2559,1240,1914,2637,12635.0,112.88742783400355,-7.631692759620704
67,104.612,2812,2650,2627,1300,1982,2705,12635.0,112.88843110390643,-7.631692759620703
68,55.99,1829,344,1746,1214,1084,1471,12635.0,112.9034801524492,-7.631692759620704
69,111.366,1667,182,1584,1052,922,1309,12635.0,112.90448342235206,-7.631692759620704
70,82.508,1628,269,1544,1013,883,1270,12635.0,112.90548669225488,-7.631692759620701
71,34.061,1567,373,1483,952,821,1208,12635.0,112.90648996215775,-7.6316927596207025
72,30.132,1527,187,1443,912,782,1169,12635.0,112.9074932320606,-7.631692759620704
73,77.245,1590,203,1507,976,845,1232,12635.0,112.90849650196347,-7.631692759620703
74,36.028,1414,256,1330,1308,938,1055,12635.0,112.90949977186631,-7.6316927596207025
75,53.482,1269,265,1186,1267,794,911,12635.0,112.91050304176916,-7.631692759620704
76,103.23,1335,331,1251,1332,841,977,12635.0,112.911506311672,-7.631692759620703
77,110.531,1486,482,1402,1483,842,1128,12635.0,112.91250958157484,-7.631692759620701
78,32.043,1593,589,1509,1590,756,1234,12635.0,112.91351285147769,-7.6316927596207025
79,30.363,1717,713,1633,1714,880,1320,12635.0,112.91451612138056,-7.631692759620704
80,32.214,1779,807,1706,1756,944,1245,12635.0,112.91551939128344,-7.6316927596207025
81,32.155,1802,1060,1729,1779,967,1268,12635.0,112.91652266118628,-7.6316927596207025
82,88.598,1747,1220,1743,1749,982,1245,12635.0,112.91752593108914,-7.631692759620704
83,44.54,2083,1776,2153,1934,1392,1439,12635.0,112.91852920099198,-7.631692759620704
84,72.774,2030,1723,2100,1881,1339,1386,12635.0,112.91953247089484,-7.631692759620702
85,21.703,2030,1723,2100,1881,1339,1386,12635.0,112.9205357407977,-7.631692759620704
86,41.904,4118,3930,3535,566,3303,4027,12635.0,112.87652408041828,-7.632504288482652
87,93.305,4053,3865,3471,501,3239,3962,12635.0,112.8775273514963,-7.632504288482651
88,79.323,3896,3695,3300,378,3081,3805,12635.0,112.8785306225743,-7.632504288482651
89,38.407,3859,3697,3327,340,3044,3767,12635.0,112.87953389365235,-7.632504288482652
90,51.832,3341,3179,3154,697,2527,3250,12635.0,112.88254370688637,-7.632504288482652
91,29.05,3216,3054,3029,823,2402,3125,12635.0,112.88354697796436,-7.632504288482652
92,80.62,3156,2994,2969,857,2342,3065,12635.0,112.88455024904238,-7.63250428848265
93,123.374,2864,2702,2677,951,2050,2773,12635.0,112.88555352012042,-7.632504288482652
94,86.263,2772,2610,2586,1047,1950,2673,12635.0,112.88655679119843,-7.632504288482652
95,141.147,2655,2493,2469,1168,1828,2551,12635.0,112.8875600622764,-7.632504288482651
96,83.961,2600,2438,2465,1219,1777,2501,12635.0,112.88856333335443,-7.63250428848265
97,159.588,1546,36,1462,931,801,1188,12635.0,112.90461567060264,-7.632504288482652
98,58.377,1541,227,1457,926,796,1182,12635.0,112.90561894168063,-7.632504288482652
99,112.825,1447,320,1364,833,702,1089,12635.0,112.9066222127586,-7.63250428848265
100,69.569,1482,295,1399,868,737,1124,12635.0,112.90762548383664,-7.632504288482651
101,50.631,1542,251,1458,927,797,1184,12635.0,112.90862875491466,-7.632504288482652
102,48.478,1269,265,1186,1267,794,911,12635.0,112.91063529707068,-7.632504288482651
103,65.992,1395,391,1311,1392,676,1037,12635.0,112.91163856814867,-7.63250428848265
104,63.201,1496,492,1413,1494,660,1138,12635.0,112.9126418392267,-7.632504288482652
105,30.466,1578,574,1495,1576,742,1181,12635.0,112.9136451103047,-7.63250428848265
106,31.731,1761,757,1677,1758,924,1295,12635.0,112.91464838138272,-7.632504288482651
107,33.134,1770,816,1696,1747,934,1235,12635.0,112.91565165246074,-7.632504288482652
108,27.506,1623,881,1550,1600,788,1089,12635.0,112.91665492353874,-7.63250428848265
109,102.471,1691,1380,1758,1718,997,1223,12635.0,112.91765819461678,-7.632504288482651
110,50.93,1871,1563,1941,1722,1180,1227,12635.0,112.91866146569478,-7.632504288482652
111,2.846,2030,1723,2100,1881,1339,1386,12635.0,112.91966473677277,-7.632504288482652
112,16.476,2030,1723,2100,1881,1339,1386,12635.0,112.9206680078508,-7.63250428848265
113,66.396,4148,3711,3316,553,3440,4163,12635.0,112.87665631025577,-7.6333158179342995
114,172.838,4084,3728,3333,565,3269,3993,12635.0,112.87765958250905,-7.633315817934298
115,147.395,3933,3646,3252,415,3119,3842,12635.0,112.87866285476235,-7.633315817934295
116,48.177,3933,3646,3252,415,3119,3842,12635.0,112.87966612701567,-7.6333158179342995
117,16.196,3358,3196,3171,871,2544,3267,12635.0,112.88267594377557,-7.633315817934298
118,40.041,3246,3084,3058,890,2431,3154,12635.0,112.88367921602884,-7.633315817934298
119,86.362,3193,3031,3006,871,2379,3102,12635.0,112.88468248828215,-7.633315817934298
120,121.898,2609,2447,2422,1206,1794,2517,12635.0,112.88769230504205,-7.633315817934298
121,115.077,2609,2447,2422,1206,1794,2517,12635.0,112.88869557729537,-7.633315817934298
122,117.373,2433,2270,2280,1254,1613,2337,12635.0,112.88969884954864,-7.633315817934298
123,173.736,2406,2244,2322,1227,1575,2298,12635.0,112.89070212180192,-7.633315817934298
124,89.139,2248,2086,2164,1069,1417,2140,12635.0,112.89170539405526,-7.6333158179342995
125,95.569,2358,2196,2274,1179,1527,2250,12635.0,112.89270866630854,-7.633315817934298
126,50.294,2410,2248,2327,1231,1579,2303,12635.0,112.89371193856185,-7.633315817934295
