,POP_2015,active_living,community_space,health_wellbeing,ID_HDC_G0,lng,lat
0,16.366,3798,4067,1068,7077.0,77.3208787233696,28.165249665641138
1,15.745,3798,4067,1068,7077.0,77.3219574562875,28.165249665641138
2,7.596,4044,4314,1148,7077.0,77.32411492212331,28.165249665641138
3,0.0,4068,4337,488,7077.0,77.31618299690702,28.164401117688268
4,0.0,4044,4313,465,7077.0,77.31726172451201,28.164401117688264
5,48.408,3747,4017,0,7077.0,77.32049790732701,28.16440111768827
6,42.228,3749,4019,557,7077.0,77.321576634932,28.164401117688268
7,46.682,4044,4314,1148,7077.0,77.323734090142,28.164401117688264
8,4.558,3938,4207,1042,7077.0,77.32481281774702,28.164401117688264
9,0.0,4101,4370,521,7077.0,77.31580221884954,28.163552572284523
10,0.0,3989,4258,410,7077.0,77.31688094114187,28.16355257228453
11,0.0,3964,4234,385,7077.0,77.3179596634342,28.163552572284523
12,99.717,3747,4017,0,7077.0,77.32011710801885,28.16355257228453
13,32.56,3698,3968,968,7077.0,77.32119583031115,28.16355257228453
14,33.043,3599,3868,869,7077.0,77.32227455260346,28.16355257228453
15,76.031,3705,3975,975,7077.0,77.3233532748958,28.163552572284527
16,30.419,3892,4161,996,7077.0,77.32443199718811,28.16355257228453
17,27.243,3845,4114,949,7077.0,77.32551071948046,28.16355257228453
18,41.952,3659,3928,763,7077.0,77.32658944177278,28.16355257228453
19,19.957,3856,4125,932,7077.0,77.3175788914847,28.16270402942982
20,1.865,3858,4127,934,7077.0,77.31865760846459,28.16270402942982
21,141.53,3579,3848,0,7077.0,77.32081504242436,28.162704029429822
22,98.129,3693,3962,1170,7077.0,77.32189375940422,28.162704029429822
23,11.291,3674,3944,944,7077.0,77.32297247638411,28.162704029429825
24,28.244,3857,4126,1040,7077.0,77.32405119336399,28.16270402942982
25,23.306,3943,4212,1126,7077.0,77.32512991034389,28.162704029429822
26,18.645,3659,3928,763,7077.0,77.32620862732374,28.16270402942982
27,11.394,3523,3792,626,7077.0,77.32728734430364,28.162704029429825
28,1.381,3631,3900,734,7077.0,77.3283660612835,28.162704029429822
29,1.761,3933,4203,1010,7077.0,77.31719813626792,28.161855489124036
30,8.977,3871,4140,947,7077.0,77.31827684793559,28.16185548912404
31,114.909,3411,3680,681,7077.0,77.32151298293861,28.161855489124036
32,4.281,3643,3912,913,7077.0,77.32259169460629,28.16185548912404
33,25.896,3778,4047,1004,7077.0,77.32367040627396,28.16185548912404
34,18.714,3943,4212,1126,7077.0,77.32474911794162,28.16185548912404
35,5.697,3523,3792,626,7077.0,77.32690654127695,28.16185548912404
36,5.041,3619,3889,723,7077.0,77.32798525294464,28.16185548912404
37,18.852,3707,3976,1948,7077.0,77.34416592795974,28.161855489124036
38,90.705,3707,3976,1948,7077.0,77.3452446396274,28.161855489124044
39,0.0,3869,4138,974,7077.0,77.3168173977832,28.161006951367085
40,31.524,3933,4203,1010,7077.0,77.31789610413888,28.16100695136708
41,0.0,3579,3848,416,7077.0,77.32005351685028,28.16100695136708
42,102.652,3370,3640,208,7077.0,77.32113222320598,28.16100695136708
43,67.053,3391,3660,444,7077.0,77.32221092956168,28.16100695136708
44,20.233,3560,3830,830,7077.0,77.32328963591738,28.161006951367078
45,8.77,3592,3861,862,7077.0,77.32436834227308,28.161006951367085
46,6.871,3387,3656,491,7077.0,77.32652575498446,28.161006951367085
47,57.765,3534,3803,638,7077.0,77.32760446134016,28.161006951367078
48,0.207,3472,3742,576,7077.0,77.32868316769587,28.16100695136708
49,29.211,3597,3867,1838,7077.0,77.34378505667563,28.16100695136708
50,115.876,3569,3838,1809,7077.0,77.34486376303131,28.16100695136708
51,72.578,3588,3857,1829,7077.0,77.34594246938701,28.161006951367085
52,0.242,3546,3816,1787,7077.0,77.34702117574271,28.16100695136708
53,0.0,3792,4061,837,7077.0,77.31535797498597,28.160158416158836
54,7.458,3777,4046,852,7077.0,77.31643667602991,28.160158416158833
55,5.421,3569,3839,645,7077.0,77.31751537707387,28.160158416158836
56,3.487,3569,3839,577,7077.0,77.31859407811781,28.16015841615884
57,7.493,3579,3848,416,7077.0,77.31967277916179,28.16015841615884
58,57.144,3297,3567,281,7077.0,77.32183018124968,28.160158416158836
59,31.075,3253,3522,523,7077.0,77.32290888229366,28.160158416158836
60,18.818,3356,3625,469,7077.0,77.3239875833376,28.16015841615884
61,1.208,3286,3555,390,7077.0,77.32614498542549,28.16015841615884
62,145.674,3260,3530,364,7077.0,77.32722368646947,28.160158416158836
63,55.521,3432,3701,535,7077.0,77.32830238751343,28.160158416158836
64,0.0,3124,3393,817,7077.0,77.33369589273319,28.160158416158833
65,115.98,3591,3860,1833,7077.0,77.34232550108483,28.16015841615884
66,108.418,3563,3833,1805,7077.0,77.34340420212878,28.160158416158836
67,66.846,3457,3726,1698,7077.0,77.34448290317276,28.160158416158836
68,107.382,3533,3802,1774,7077.0,77.34556160421671,28.160158416158836
69,24.791,3463,3732,1704,7077.0,77.34664030526068,28.160158416158833
70,70.921,3540,3810,1752,7077.0,77.3477190063046,28.160158416158836
71,138.665,3500,3769,1672,7077.0,77.3487977073486,28.160158416158836
72,30.903,3769,4039,753,7077.0,77.314977275275,28.159309883499212
73,19.612,3662,3932,768,7077.0,77.31605597100746,28.159309883499215
74,41.675,3555,3825,646,7077.0,77.3171346667399,28.159309883499212
75,57.731,3555,3825,631,7077.0,77.31821336247235,28.159309883499212
76,36.427,3452,3721,554,7077.0,77.31929205820478,28.159309883499212
77,52.172,3422,3691,554,7077.0,77.32037075393723,28.159309883499215
78,38.671,3106,3375,376,7077.0,77.32252814540213,28.159309883499212
79,116.498,3318,3588,422,7077.0,77.32360684113458,28.15930988349921
80,8.287,3260,3530,364,7077.0,77.32576423259947,28.159309883499212
81,38.844,3208,3477,312,7077.0,77.3268429283319,28.159309883499215
82,16.021,3393,3663,497,7077.0,77.32792162406437,28.15930988349921
83,20.199,3055,3324,748,7077.0,77.33115771126171,28.159309883499215
