,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,44.484,4161,1802,932,1167,1880,1627,6396.0,70.916142041227,26.92565156695343
1,33.343,3858,1989,1119,1354,2067,1814,6396.0,70.91828444195329,26.925651566953427
2,42.066,3858,1989,1119,1354,2067,1814,6396.0,70.91935564231645,26.92565156695343
3,97.139,3362,2374,1722,1410,2414,1967,6396.0,70.92578284449532,26.92565156695343
4,62.666,2851,2610,1958,1645,2649,2202,6396.0,70.92685404485847,26.92565156695343
5,11.981,2827,2634,1983,1670,2674,2227,6396.0,70.92792524522162,26.925651566953423
6,11.561,4841,1865,859,172,1587,1700,6396.0,70.90938516523013,26.924806640937913
7,63.559,4841,1865,859,172,1587,1700,6396.0,70.91045636061307,26.92480664093791
8,13.689,4136,1802,932,1168,1881,1628,6396.0,70.91581233752765,26.92480664093791
9,34.368,4039,1815,945,1180,1893,1640,6396.0,70.91688353291056,26.924806640937913
10,48.425,3997,1861,990,1226,1939,1686,6396.0,70.91795472829347,26.924806640937906
11,60.275,3824,2023,1153,1388,2101,1848,6396.0,70.91902592367637,26.924806640937906
12,45.561,3732,2110,1245,1425,2188,1935,6396.0,70.92009711905929,26.92480664093791
13,14.478,3566,2224,1411,1259,2272,1816,6396.0,70.92116831444223,26.924806640937906
14,9.117,3566,2224,1411,1259,2272,1816,6396.0,70.92223950982515,26.924806640937913
15,11.981,3330,2186,1534,1221,2225,1778,6396.0,70.92331070520807,26.92480664093791
16,104.417,3224,2237,1585,1272,2276,1829,6396.0,70.92438190059096,26.924806640937913
17,79.587,3223,2379,1727,1415,2419,1972,6396.0,70.92545309597388,26.92480664093791
18,112.694,2851,2610,1958,1645,2649,2202,6396.0,70.9265242913568,26.924806640937913
19,96.666,2898,2650,1998,1685,2689,2242,6396.0,70.92759548673972,26.924806640937913
20,20.363,2888,2688,2036,1723,2727,2280,6396.0,70.92866668212264,26.92480664093791
21,103.97,4827,1851,791,0,1519,1686,6396.0,70.90798431565237,26.92396171732226
22,96.613,4804,1828,822,70,1549,1662,6396.0,70.9090555060553,26.92396171732226
23,10.72,4841,1865,859,172,1587,1700,6396.0,70.91012669645819,26.92396171732226
24,29.927,4186,1727,857,1092,1805,1552,6396.0,70.91548264847273,26.92396171732226
25,35.445,4128,1751,880,1116,1829,1576,6396.0,70.91655383887564,26.92396171732226
26,55.94,4049,1841,970,1206,1919,1666,6396.0,70.91762502927854,26.923961717322264
27,40.043,3889,1953,1109,1318,2031,1778,6396.0,70.91869621968144,26.92396171732226
28,50.553,3889,2024,1180,1389,2103,1850,6396.0,70.91976741008436,26.923961717322264
29,3.416,3566,2224,1411,1259,2272,1816,6396.0,70.92083860048727,26.92396171732226
30,16.632,3566,2224,1411,1259,2272,1816,6396.0,70.92190979089018,26.923961717322264
31,17.657,3402,2068,1417,1104,2108,1661,6396.0,70.92298098129308,26.92396171732226
32,45.272,3224,2237,1585,1272,2276,1829,6396.0,70.92405217169598,26.923961717322264
33,73.78,3127,2334,1682,1369,2373,1926,6396.0,70.92512336209889,26.92396171732226
34,92.225,3126,2427,1775,1462,2466,2019,6396.0,70.9261945525018,26.92396171732226
35,53.732,4827,1851,791,0,1519,1686,6396.0,70.90765467609991,26.923116796106388
36,95.273,4797,1821,760,30,1489,1656,6396.0,70.90872586152302,26.923116796106388
37,66.686,4643,1667,661,184,1389,1502,6396.0,70.90979704694615,26.923116796106388
38,18.156,4262,1585,715,950,1664,1411,6396.0,70.91515297406174,26.923116796106395
39,69.051,4290,1602,731,967,1680,1427,6396.0,70.91622415948486,26.92311679610639
40,43.275,4077,1801,960,1166,1879,1626,6396.0,70.91729534490797,26.923116796106388
41,53.627,4117,1876,1038,1241,1954,1702,6396.0,70.9183665303311,26.923116796106388
42,38.572,4142,1949,1111,1314,2028,1775,6396.0,70.91943771575423,26.92311679610639
43,5.702,3456,2006,1354,1042,2050,1599,6396.0,70.92265127202359,26.923116796106388
44,89.598,3579,2113,1461,1149,2152,1706,6396.0,70.9237224574467,26.923116796106388
45,91.516,3672,2163,1511,1198,2202,1755,6396.0,70.92479364286983,26.923116796106388
46,83.108,3769,2328,1677,1364,2368,1921,6396.0,70.92586482829293,26.92311679610639
47,98.794,3899,2459,1807,1494,2498,2051,6396.0,70.92693601371606,26.923116796106388
48,94.222,4014,2573,1921,1609,2613,2166,6396.0,70.92800719913919,26.923116796106388
49,76.933,4014,2573,1921,1609,2613,2166,6396.0,70.92907838456229,26.923116796106388
50,110.881,4311,2657,2006,1693,2697,2250,6396.0,70.9301495699854,26.923116796106388
51,99.556,4299,2756,2104,1792,2795,2348,6396.0,70.93122075540853,26.923116796106388
52,97.559,4723,1747,686,104,1415,1582,6396.0,70.90839623163284,26.922271877290196
53,71.1,4623,1646,641,204,1368,1481,6396.0,70.9094674120764,26.922271877290203
54,104.969,4554,1578,572,273,1300,1413,6396.0,70.91053859251993,26.9222718772902
55,37.179,4364,1479,609,845,1558,1305,6396.0,70.91482331429414,26.9222718772902
56,49.949,4328,1557,687,922,1635,1382,6396.0,70.9158944947377,26.922271877290196
