,POP_2015,active_living,community_space,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,50.099,2631,3216,734,2652,6623.0,73.73237951632994,27.219832263548923
1,31.529,2547,3132,1029,2568,6623.0,73.72237547662642,27.218986496300168
2,40.69,2547,3132,1029,2568,6623.0,73.7234484185418,27.218986496300175
3,9.085,3088,3484,1446,3109,6623.0,73.74061548918787,27.218986496300168
4,62.887,3088,3484,1446,3109,6623.0,73.74168843110324,27.218986496300165
5,11.623,3088,3484,1446,3109,6623.0,73.74026790165695,27.218140731486173
6,45.194,3088,3484,1446,3109,6623.0,73.74134083851486,27.218140731486177
7,70.139,2613,3197,716,2634,6623.0,73.7334827387173,27.217294969106838
8,65.807,2613,3197,716,2634,6623.0,73.73455567051793,27.21729496910684
9,82.468,2613,3197,716,2634,6623.0,73.73313521231834,27.216449209162047
10,67.601,2613,3197,716,2634,6623.0,73.73420813906198,27.21644920916205
11,69.261,2481,3066,584,2502,6623.0,73.73528106580558,27.216449209162054
12,80.464,2688,3272,1046,2709,6623.0,73.73849984603649,27.216449209162054
13,62.6,2404,3368,0,2072,6623.0,73.71347511094922,27.215603451651724
14,27.063,2404,3368,0,2072,6623.0,73.71454803263605,27.215603451651727
15,76.285,2481,3066,584,2502,6623.0,73.73386062299893,27.215603451651724
16,75.369,2481,3066,584,2502,6623.0,73.73493354468576,27.215603451651724
17,98.825,2674,3259,1032,2695,6623.0,73.73815230974625,27.215603451651727
18,84.644,2945,3103,1304,2967,6623.0,73.74029815311992,27.215603451651724
19,64.356,2945,3103,1304,2967,6623.0,73.74137107480675,27.215603451651724
20,47.905,2404,3368,0,2072,6623.0,73.71312770635356,27.214757696575756
21,46.817,2404,3368,0,2072,6623.0,73.7142006229838,27.214757696575756
22,78.556,2441,3025,697,2462,6623.0,73.73458603895854,27.214757696575752
23,100.37,2501,3085,741,2522,6623.0,73.73565895558882,27.214757696575756
24,78.766,2478,3063,836,2499,6623.0,73.73673187221905,27.21475769657575
25,96.42,2478,3063,836,2499,6623.0,73.73780478884929,27.214757696575756
26,89.644,2945,3103,1304,2967,6623.0,73.7399506221098,27.214757696575756
27,63.421,2945,3103,1304,2967,6623.0,73.74102353874007,27.214757696575752
28,90.007,1897,2481,0,1918,6623.0,73.7288739907539,27.213911943934026
29,87.278,2375,2960,733,2396,6623.0,73.73423854862338,27.21391194393403
30,90.274,2375,2960,733,2396,6623.0,73.73531146019728,27.213911943934033
31,86.992,2396,2981,755,2417,6623.0,73.73638437177118,27.213911943934026
32,113.101,2497,3009,855,2518,6623.0,73.73745728334507,27.213911943934026
33,102.088,2581,3060,939,2602,6623.0,73.73853019491895,27.21391194393403
34,86.591,2801,2959,1160,2822,6623.0,73.73960310649285,27.213911943934033
35,47.695,2816,2974,1175,2837,6623.0,73.74067601806675,27.213911943934033
36,45.061,2135,2720,958,2156,6623.0,73.72316200850204,27.21306619372646
37,27.521,2092,2677,915,2113,6623.0,73.72423491501984,27.213066193726455
38,81.533,2249,2833,607,2270,6623.0,73.73496398019748,27.21306619372645
39,92.736,2209,2794,567,2230,6623.0,73.73603688671524,27.213066193726455
40,90.465,2514,2992,872,2535,6623.0,73.737109793233,27.21306619372645
41,91.076,2581,3060,939,2602,6623.0,73.73818269975077,27.21306619372646
42,49.947,2801,2959,1160,2822,6623.0,73.7403285127863,27.21306619372645
43,20.918,3002,3160,1360,3023,6623.0,73.74140141930405,27.213066193726455
44,66.704,3111,3269,1469,3132,6623.0,73.74247432582185,27.21306619372645
45,77.831,2047,2632,870,2069,6623.0,73.72281459950835,27.212220445952944
46,66.914,2017,2602,840,2038,6623.0,73.72388750097022,27.212220445952934
47,56.55,1664,2249,232,1685,6623.0,73.72817910681766,27.212220445952937
48,95.504,2209,2794,567,2230,6623.0,73.73461651558883,27.212220445952934
49,81.839,2416,3000,774,2437,6623.0,73.73568941705068,27.212220445952937
50,101.439,2464,3049,823,2486,6623.0,73.73676231851253,27.212220445952934
51,12.501,3002,3160,1360,3023,6623.0,73.74105392435997,27.212220445952944
52,25.651,3111,3269,1469,3132,6623.0,73.74212682582184,27.212220445952934
53,66.112,1972,2557,795,1993,6623.0,73.7224672059028,27.21137470061337
54,71.742,1934,2519,757,1955,6623.0,73.72354010230897,27.21137470061337
55,90.809,1816,2400,654,1837,6623.0,73.72461299871516,27.211374700613362
56,57.104,1664,2249,232,1685,6623.0,73.72783168793367,27.21137470061337
57,99.035,2804,2687,910,2840,6623.0,73.73856065199546,27.211374700613366
58,93.29,2145,2729,335,2166,6623.0,73.72104693633409,27.210528957707652
59,80.865,2014,2598,408,2035,6623.0,73.72211982768479,27.210528957707652
60,84.835,1935,2519,526,1956,6623.0,73.72319271903552,27.210528957707652
61,104.417,1807,2391,642,1828,6623.0,73.72426561038623,27.210528957707655
62,84.186,1674,2258,632,1695,6623.0,73.72533850173696,27.210528957707652
63,94.206,1847,2431,475,1868,6623.0,73.73284874119199,27.210528957707652
64,112.795,1847,2431,475,1868,6623.0,73.73392163254273,27.210528957707652
65,102.718,2675,2753,806,2696,6623.0,73.73606741524416,27.210528957707655
66,105.81,2675,2753,806,2696,6623.0,73.73714030659488,27.210528957707652
67,98.672,2804,2687,910,2840,6623.0,73.73821319794561,27.210528957707655
68,98.92,2145,2729,335,2166,6623.0,73.72069957855834,27.209683217235686
69,84.281,2062,2646,317,2083,6623.0,73.72177246485381,27.209683217235686
70,92.889,1886,2470,352,1907,6623.0,73.7228453511493,27.20968321723569
71,77.086,1792,2376,461,1813,6623.0,73.72391823744479,27.209683217235686
72,102.642,1663,2248,514,1684,6623.0,73.72499112374028,27.20968321723569
73,56.569,1570,2155,528,1591,6623.0,73.72606401003577,27.209683217235686
