,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,5.913,3482,4347,265,1465,1407,5000,727.0,-71.3397826894353,10.227073759397792
1,19.989,3482,4347,265,1465,1407,5000,727.0,-71.33877500133804,10.227073759397792
2,37.784,2550,3887,1927,2263,1503,4053,727.0,-71.32970580846273,10.227073759397792
3,39.745,2264,3797,2071,2365,1647,3969,727.0,-71.32869812036546,10.227073759397792
4,29.34,2277,3851,2131,2420,1708,3982,727.0,-71.3276904322682,10.22707375939779
5,24.896,2415,4332,3550,2976,2541,3620,727.0,-71.31358279890658,10.22707375939779
6,20.375,2492,4409,3627,3053,2618,3697,727.0,-71.31257511080935,10.227073759397793
7,48.479,2504,4407,3640,3065,2611,3696,727.0,-71.31156742271207,10.22707375939779
8,45.861,2612,4505,3747,3163,2709,3793,727.0,-71.31055973461483,10.227073759397792
9,46.894,2587,4475,3722,3133,2679,3764,727.0,-71.30955204651757,10.227073759397792
10,36.084,2635,4523,3770,3181,2727,3812,727.0,-71.3085443584203,10.227073759397792
11,10.27,3482,4347,265,1465,1407,5000,727.0,-71.33966983388298,10.226260017293287
12,8.231,3482,4347,265,1465,1407,5000,727.0,-71.33866214737984,10.226260017293288
13,31.099,2322,3733,2007,2301,1583,4027,727.0,-71.32858528234833,10.226260017293287
14,37.948,2264,3797,2071,2365,1647,3969,727.0,-71.32757759584516,10.226260017293287
15,5.169,2281,4197,3416,2842,2407,3485,727.0,-71.31447767130419,10.226260017293285
16,31.794,2349,4266,3484,2910,2475,3554,727.0,-71.31346998480103,10.226260017293287
17,53.367,2370,4274,3505,2931,2478,3562,727.0,-71.31246229829789,10.226260017293283
18,54.507,2450,4354,3585,3011,2558,3642,727.0,-71.31145461179474,10.226260017293287
19,51.86,2457,4348,3592,3005,2551,3636,727.0,-71.31044692529159,10.226260017293285
20,45.832,2561,4451,3696,3108,2654,3739,727.0,-71.30943923878844,10.226260017293287
21,36.006,2591,4423,3920,3080,2627,3711,727.0,-71.30843155228528,10.226260017293287
22,27.572,2591,4423,3920,3080,2627,3711,727.0,-71.30742386578213,10.226260017293287
23,19.902,3220,4084,0,1199,1141,4844,727.0,-71.33754161799115,10.225446275986467
24,45.648,5000,5000,5000,5000,5000,5000,727.0,-71.33653393308195,10.225446275986467
25,49.058,5000,5000,5000,5000,5000,5000,727.0,-71.3355262481728,10.225446275986467
26,28.983,3083,4015,473,1213,1155,4735,727.0,-71.33451856326363,10.225446275986467
27,35.098,2904,3836,553,1293,1207,4556,727.0,-71.33351087835443,10.225446275986467
28,36.547,2904,3836,553,1293,1207,4556,727.0,-71.33250319344525,10.225446275986467
29,32.915,2993,3925,1028,1768,1296,4645,727.0,-71.33149550853608,10.225446275986467
30,36.383,2993,3925,1028,1768,1296,4645,727.0,-71.3304878236269,10.225446275986465
31,29.92,2333,3612,1651,1988,1228,4037,727.0,-71.32948013871771,10.225446275986467
32,34.741,2051,3624,1910,2193,1486,3755,727.0,-71.32746476889936,10.225446275986467
33,14.975,2065,3638,1947,2207,1524,3769,727.0,-71.32645708399016,10.225446275986467
34,4.782,2032,3949,3167,2593,2160,3237,727.0,-71.31638023489839,10.225446275986467
35,7.709,2125,4042,3261,2687,2253,3330,727.0,-71.31537254998919,10.225446275986465
36,24.906,2192,4109,3328,2754,2320,3397,727.0,-71.31436486508002,10.225446275986467
37,48.382,2264,4171,3400,2826,2375,3459,727.0,-71.31335718017084,10.225446275986467
38,57.831,2215,4116,3350,2774,2320,3405,727.0,-71.31234949526166,10.225446275986467
39,52.768,2322,4171,3457,2828,2375,3459,727.0,-71.31134181035249,10.225446275986467
40,44.257,2376,4276,3512,2934,2480,3564,727.0,-71.3103341254433,10.225446275986467
41,53.348,2441,4273,3770,2930,2477,3561,727.0,-71.30932644053414,10.225446275986467
42,53.966,2494,4326,3900,2983,2530,3614,727.0,-71.30831875562494,10.225446275986465
43,30.548,2466,4298,4021,2956,2502,3586,727.0,-71.30731107071576,10.225446275986467
44,21.061,2661,4493,4475,3151,2697,3781,727.0,-71.30428801598823,10.225446275986467
45,16.858,3092,3957,0,1071,1013,4717,727.0,-71.33742878458403,10.224632535477268
