,POP_2015,community_space,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,34.537,1608,1565,699,769,1537.0,-10.058696448768014,29.003175172900445
1,64.809,1608,1565,699,769,1537.0,-10.057612362283264,29.003175172900445
2,43.206,1468,1425,559,758,1537.0,-10.056528275798511,29.003175172900445
3,155.256,1773,1426,314,410,1537.0,-10.05436010282901,29.00317517290045
4,179.473,1773,1426,314,410,1537.0,-10.053276016344256,29.003175172900445
5,212.589,1705,1294,165,210,1537.0,-10.052191929859505,29.003175172900445
6,147.0,1758,1347,584,296,1537.0,-10.04893967040525,29.003175172900445
7,106.409,1758,1347,584,296,1537.0,-10.0478555839205,29.003175172900445
8,0.0,1597,1554,689,674,1537.0,-10.05972905731267,29.002324060234447
9,97.832,1544,1501,635,727,1537.0,-10.058644976375406,29.002324060234447
10,200.755,1490,1447,582,781,1537.0,-10.057560895438149,29.00232406023444
11,162.962,1351,1308,443,712,1537.0,-10.056476814500888,29.002324060234443
12,123.746,1687,1393,280,389,1537.0,-10.054308652626368,29.00232406023444
13,205.204,1733,1335,214,292,1537.0,-10.053224571689105,29.002324060234447
14,203.874,1691,1280,165,210,1537.0,-10.052140490751844,29.002324060234447
15,213.919,1629,1218,305,69,1537.0,-10.051056409814581,29.00232406023444
16,206.764,1641,1229,373,0,1537.0,-10.049972328877322,29.002324060234443
17,190.986,1591,1180,450,181,1537.0,-10.04888824794006,29.002324060234447
18,153.972,1534,1123,530,254,1537.0,-10.047804167002802,29.002324060234443
19,67.927,1718,1185,890,222,1537.0,-10.046720086065537,29.00232406023444
20,103.015,1802,1269,975,196,1537.0,-10.045636005128278,29.002324060234436
21,175.667,1858,1325,1031,192,1537.0,-10.044551924191019,29.002324060234443
22,132.323,1939,1406,1112,261,1537.0,-10.043467843253756,29.00232406023444
23,1.514,1490,1447,582,781,1537.0,-10.058593506232368,29.001472950222
24,12.567,1490,1447,582,781,1537.0,-10.057509430842357,29.001472950222002
25,76.825,1351,1308,443,712,1537.0,-10.056425355452342,29.001472950222
26,25.96,1600,1306,194,463,1537.0,-10.054257204672318,29.001472950222002
27,173.969,1632,1221,100,387,1537.0,-10.053173129282303,29.001472950222
28,207.36,1571,1159,132,241,1537.0,-10.052089053892292,29.001472950222
29,193.096,1511,1099,236,136,1537.0,-10.051004978502279,29.001472950222002
30,196.031,1502,1090,318,154,1537.0,-10.049920903112268,29.001472950222002
31,191.674,1489,1078,436,200,1537.0,-10.048836827722253,29.001472950222
32,94.254,1502,1091,581,286,1537.0,-10.047752752332242,29.001472950222002
33,110.353,1626,1093,799,152,1537.0,-10.046668676942229,29.001472950222002
34,128.333,1746,1213,919,150,1537.0,-10.045584601552216,29.001472950222
35,157.916,1848,1315,1020,170,1537.0,-10.044500526162203,29.001472950222002
36,131.406,1939,1402,1112,261,1537.0,-10.043416450772192,29.001472950222002
37,192.362,2061,1513,1234,382,1537.0,-10.042332375382179,29.001472950222
38,213.322,2061,1513,1234,382,1537.0,-10.041248299992166,29.001472950222002
39,0.55,1462,1805,940,423,1537.0,-10.060710178024818,29.000621842863016
40,0.321,1462,1805,940,423,1537.0,-10.05962610818181,29.000621842863016
41,26.969,1524,1113,17,391,1537.0,-10.053121689123772,29.000621842863016
42,119.939,1448,1037,112,321,1537.0,-10.052037619280766,29.000621842863012
43,185.711,1427,1016,186,267,1537.0,-10.050953549437756,29.000621842863016
44,161.494,1387,976,305,268,1537.0,-10.04986947959475,29.000621842863016
45,145.808,1380,969,467,285,1537.0,-10.048785409751744,29.000621842863016
46,24.447,1386,975,544,275,1537.0,-10.047701339908738,29.000621842863012
47,57.057,1584,1051,773,142,1537.0,-10.046617270065727,29.000621842863016
