,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,1.89,924,165,717,72,862,205,862,12519.0,126.70738735518643,35.994478460639726
1,0.03,924,165,717,72,862,205,862,12519.0,126.70852530069358,35.994478460639726
2,27.62,892,583,764,649,909,241,909,12519.0,126.70423299416332,35.99360197025565
3,37.567,892,583,764,649,909,241,909,12519.0,126.70537093178089,35.99360197025565
4,31.509,918,179,702,57,847,189,847,12519.0,126.70650886939842,35.99360197025565
5,28.145,879,200,654,48,798,141,798,12519.0,126.70764680701598,35.99360197025565
6,30.094,807,48,613,44,758,156,758,12519.0,126.70878474463355,35.993601970255654
7,13.741,790,31,573,0,718,173,718,12519.0,126.70992268225105,35.99360197025565
8,10.467,773,463,645,530,789,122,789,12519.0,126.7022166329528,35.99272548353414
9,58.319,773,463,645,530,789,122,789,12519.0,126.70335456268111,35.99272548353414
10,31.054,892,583,764,649,909,241,909,12519.0,126.7044924924094,35.992725483534144
11,9.507,889,445,663,184,808,353,808,12519.0,126.70563042213769,35.99272548353414
12,14.731,836,267,611,116,755,112,755,12519.0,126.70676835186602,35.99272548353413
13,33.26,770,203,544,120,689,0,689,12519.0,126.7079062815943,35.99272548353413
14,37.029,745,84,520,0,664,120,664,12519.0,126.70904421132262,35.992725483534144
15,3.314,1040,730,912,797,1056,93,1056,12519.0,126.70020032604475,35.99184900047504
16,33.826,957,648,829,714,974,94,974,12519.0,126.70133824788418,35.99184900047504
17,45.673,1607,1264,1479,826,1624,660,1624,12519.0,126.70247616972354,35.991849000475035
18,18.51,684,374,555,463,700,11,700,12519.0,126.70361409156298,35.99184900047504
19,10.249,609,300,481,497,626,41,626,12519.0,126.70475201340237,35.991849000475035
20,1.434,726,319,500,278,645,270,645,12519.0,126.7058899352418,35.991849000475035
21,23.525,684,253,458,169,603,161,603,12519.0,126.70702785708119,35.991849000475035
22,46.813,652,186,426,102,571,94,571,12519.0,126.70816577892062,35.991849000475035
23,30.638,584,278,533,193,495,185,573,12519.0,126.70930370076002,35.99184900047504
24,37.989,584,278,533,193,495,185,573,12519.0,126.7104416225994,35.991849000475035
25,22.17,345,414,1019,418,392,452,894,12519.0,126.71271746627824,35.991849000475035
26,8.508,345,414,1019,418,392,452,894,12519.0,126.71385538811765,35.991849000475035
27,0.0,1271,961,1143,1028,1287,324,1287,12519.0,126.6981840734363,35.99097252107821
28,23.141,1118,808,990,875,1134,171,1134,12519.0,126.69932198738717,35.99097252107823
29,31.739,1040,730,912,797,1056,93,1056,12519.0,126.70045990133804,35.99097252107822
30,30.417,905,595,777,662,921,0,921,12519.0,126.70159781528889,35.99097252107821
31,1.049,1597,1171,1420,851,1564,644,1564,12519.0,126.70273572923976,35.99097252107822
32,4.125,348,345,526,793,671,516,671,12519.0,126.70387364319059,35.99097252107821
33,2.167,244,225,406,673,551,396,551,12519.0,126.70501155714148,35.99097252107821
34,39.166,388,160,341,608,486,257,486,12519.0,126.70614947109232,35.99097252107821
35,35.793,546,181,321,254,465,84,465,12519.0,126.70728738504316,35.99097252107821
36,37.375,468,170,243,277,387,0,387,12519.0,126.70842529899404,35.99097252107822
37,33.507,504,391,444,313,375,160,447,12519.0,126.70956321294491,35.99097252107822
38,38.543,457,414,529,329,359,75,437,12519.0,126.71070112689574,35.99097252107821
39,24.533,5000,5000,5000,5000,5000,5000,5000,12519.0,126.71183904084661,35.99097252107821
40,20.683,219,649,769,292,265,170,618,12519.0,126.71297695479747,35.99097252107821
41,18.173,192,567,944,265,239,299,741,12519.0,126.71411486874831,35.99097252107821
42,19.657,192,567,944,265,239,299,741,12519.0,126.71525278269921,35.99097252107821
43,3.215,1271,961,1143,1028,1287,324,1287,12519.0,126.69730578118715,35.99009604534351
44,17.715,1271,961,1143,1028,1287,324,1287,12519.0,126.6984436872498,35.99009604534351
45,9.794,1030,721,902,787,1047,84,1047,12519.0,126.69958159331246,35.99009604534352
46,7.716,1030,721,902,787,1047,84,1047,12519.0,126.70071949937513,35.99009604534351
