,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,28.402,98,98,576,1848,719,2087,2804,1317.0,-46.393267561077074,-23.6887097852416
1,25.884,98,98,576,1848,719,2087,2804,1317.0,-46.39221397079783,-23.688709785241596
2,11.276,13,532,13,1808,678,2047,2763,1317.0,-46.39555893300134,-23.689546183890418
3,0.457,210,430,210,1706,576,1945,2661,1317.0,-46.394505338539304,-23.68954618389042
4,22.067,98,98,576,1848,719,2087,2804,1317.0,-46.39345174407727,-23.68954618389042
5,22.327,111,111,562,1834,705,2073,2790,1317.0,-46.39239814961523,-23.689546183890418
6,86.952,493,493,965,2237,1107,2476,3192,1317.0,-46.39029096069115,-23.689546183890418
7,69.369,413,413,885,2157,1027,2396,3112,1317.0,-46.389237366229125,-23.689546183890418
8,0.488,437,437,908,2181,1051,2420,3136,1317.0,-46.38818377176709,-23.689546183890418
9,24.61,180,400,180,1675,546,1914,2631,1317.0,-46.394689534274185,-23.690382584575662
10,15.733,48,48,471,1743,614,1982,2699,1317.0,-46.39363593562916,-23.690382584575662
11,6.686,52,52,480,1753,623,1991,2708,1317.0,-46.39258233698414,-23.690382584575662
12,25.713,93,93,564,1836,707,2075,2792,1317.0,-46.39152873833912,-23.690382584575662
13,40.284,668,119,886,2158,978,2397,3114,1317.0,-46.38942154104907,-23.690382584575662
14,42.48,735,185,953,2225,1045,2464,3180,1317.0,-46.38836794240405,-23.690382584575662
15,34.577,761,211,978,2251,1071,2490,3206,1317.0,-46.38731434375904,-23.690382584575662
16,0.0,592,592,595,1500,385,1739,2428,1317.0,-46.39698094421765,-23.69121898729742
17,0.811,547,547,550,1455,340,1694,2384,1317.0,-46.39592734138945,-23.69121898729742
18,26.024,281,281,284,1517,388,1756,2465,1317.0,-46.39487373856125,-23.691218987297418
19,48.465,212,212,312,1579,449,1818,2534,1317.0,-46.39382013573304,-23.691218987297415
20,65.126,175,175,393,1665,533,1904,2621,1317.0,-46.39276653290484,-23.69121898729742
21,78.203,309,240,527,1799,619,2038,2754,1317.0,-46.391712930076636,-23.69121898729742
22,36.398,423,126,640,1913,733,2152,2868,1317.0,-46.390659327248436,-23.69121898729742
23,104.915,549,0,767,2039,859,2278,2994,1317.0,-46.389605724420214,-23.691218987297418
24,70.056,617,67,834,2106,926,2345,3062,1317.0,-46.38855212159202,-23.69121898729742
25,120.236,827,277,1044,2263,1136,2502,3239,1317.0,-46.38749851876381,-23.69121898729742
26,36.786,885,335,1102,2213,1194,2452,3211,1317.0,-46.38644491593561,-23.69121898729742
27,0.0,547,547,550,1455,340,1694,2384,1317.0,-46.39716516542391,-23.69205539205578
28,11.67,478,478,481,1380,264,1619,2308,1317.0,-46.39611155841232,-23.692055392055778
29,15.527,281,281,284,1509,380,1748,2469,1317.0,-46.39505795140073,-23.692055392055778
30,45.766,388,388,396,1528,344,1767,2526,1317.0,-46.39400434438916,-23.69205539205578
31,50.073,364,364,475,1608,399,1846,2605,1317.0,-46.39295073737757,-23.69205539205578
32,83.35,482,219,700,1836,652,2075,2834,1317.0,-46.39084352335443,-23.692055392055778
33,106.51,576,167,794,1931,747,2170,2929,1317.0,-46.38978991634283,-23.69205539205578
34,38.763,627,77,844,2021,837,2260,3019,1317.0,-46.38873630933125,-23.692055392055778
35,69.493,934,384,1151,2137,1148,2376,3135,1317.0,-46.38768270231968,-23.692055392055778
36,133.486,885,335,1102,2213,1194,2452,3211,1317.0,-46.3866290953081,-23.692055392055778
37,0.01,909,909,912,1390,24,1629,2299,1317.0,-46.398403006378395,-23.69289179885084
38,2.916,875,875,878,1356,27,1595,2264,1317.0,-46.397349395183234,-23.69289179885084
39,1.563,460,460,463,1348,234,1587,2289,1317.0,-46.39629578398809,-23.69289179885084
40,30.402,499,499,502,1363,181,1602,2361,1317.0,-46.39524217279294,-23.692891798850837
41,65.244,559,559,562,1480,237,1719,2478,1317.0,-46.394188561597794,-23.69289179885084
42,55.357,586,586,589,1538,295,1777,2536,1317.0,-46.39313495040264,-23.69289179885084
43,58.954,631,631,634,1577,334,1816,2575,1317.0,-46.3920813392075,-23.69289179885084
44,62.95,566,336,709,1819,608,2058,2817,1317.0,-46.39102772801235,-23.69289179885084
45,127.364,586,356,730,1804,629,2043,2802,1317.0,-46.3899741168172,-23.69289179885084
46,35.891,855,305,1073,2059,1069,2298,3056,1317.0,-46.38786689442691,-23.69289179885084
47,121.514,872,323,1090,2076,1087,2315,3074,1317.0,-46.38681328323175,-23.692891798850837
48,0.817,909,909,912,1390,24,1629,2299,1317.0,-46.39858724887487,-23.693728207682685
49,69.109,822,822,825,1303,31,1542,2211,1317.0,-46.39753363349596,-23.693728207682682
