,POP_2015,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,40.643,2760,2786,645,1473,7051.0,73.51551315330896,17.538632488702877
1,86.363,2760,2786,645,1473,7051.0,73.5165407027803,17.538632488702877
2,15.467,2760,2786,645,1473,7051.0,73.51530659358178,17.537808867730092
3,98.507,2760,2786,645,1473,7051.0,73.51633414016597,17.537808867730096
4,74.717,2940,3265,293,1654,7051.0,73.50749421687676,17.53533801337615
5,89.425,2850,3175,203,1563,7051.0,73.50852175480047,17.535338013376155
6,96.544,2716,3040,14,1429,7051.0,73.50954929272416,17.535338013376155
7,61.658,2699,3024,60,1412,7051.0,73.51057683064786,17.535338013376155
8,69.431,2572,2897,220,1285,7051.0,73.51160436857157,17.535338013376155
9,4.344,2572,2897,220,1285,7051.0,73.51263190649526,17.53533801337615
10,69.981,2440,2626,325,1153,7051.0,73.51571452026639,17.535338013376155
11,90.394,2940,3265,293,1654,7051.0,73.5072877226493,17.534514398112723
12,105.599,2850,3175,203,1563,7051.0,73.50831525768648,17.534514398112723
13,112.168,2701,3026,29,1414,7051.0,73.50934279272367,17.53451439811272
14,103.244,2596,2921,68,1309,7051.0,73.51037032776085,17.53451439811272
15,75.084,2572,2897,220,1285,7051.0,73.51139786279803,17.534514398112726
16,3.978,2416,2740,377,1129,7051.0,73.51242539783524,17.534514398112723
17,0.0,2416,2740,377,1129,7051.0,73.5134529328724,17.534514398112723
18,117.428,2357,2543,242,1070,7051.0,73.51550800294677,17.534514398112723
19,2.591,2625,2268,361,1247,7051.0,73.51859060805832,17.534514398112716
20,2.094,2625,2268,361,1247,7051.0,73.51961814309551,17.53451439811272
21,65.427,2581,2905,0,1294,7051.0,73.51016383619606,17.53369078427643
22,83.563,2435,2759,79,1148,7051.0,73.51119136834689,17.53369078427643
23,60.664,2416,2740,377,1129,7051.0,73.5122189004977,17.53369078427643
24,13.687,2416,2740,377,1129,7051.0,73.51324643264851,17.53369078427643
25,98.166,2221,2407,106,934,7051.0,73.51530149695017,17.533690784276427
26,85.212,2221,2407,106,934,7051.0,73.516329029101,17.53369078427643
27,0.785,2517,2376,253,1230,7051.0,73.51838409340264,17.533690784276427
28,0.0,2681,2212,417,1191,7051.0,73.51941162555349,17.53369078427643
29,18.163,3440,1362,1307,1699,7051.0,73.52968694706175,17.533690784276427
30,100.182,2636,2960,281,1349,7051.0,73.50892982668859,17.532867171867213
31,75.974,2589,2914,234,1302,7051.0,73.5099573559532,17.532867171867213
32,72.545,2435,2759,79,1148,7051.0,73.51098488521782,17.532867171867213
33,103.924,2355,2679,0,1068,7051.0,73.51201241448246,17.532867171867213
34,42.606,2196,2465,187,909,7051.0,73.5140674730117,17.532867171867213
35,142.029,2194,2462,206,907,7051.0,73.51509500227633,17.53286717186721
36,121.903,2168,2354,53,881,7051.0,73.51612253154096,17.53286717186721
37,95.628,2114,2301,0,827,7051.0,73.51715006080558,17.532867171867213
38,56.346,3266,1692,1133,1525,7051.0,73.52742535345183,17.532867171867213
39,19.837,3440,1362,1307,1699,7051.0,73.52948041198108,17.532867171867213
40,22.978,2636,2960,281,1349,7051.0,73.50872336065348,17.53204356088499
41,85.84,2636,2960,281,1349,7051.0,73.50975088703206,17.53204356088499
42,62.836,2683,3008,155,1397,7051.0,73.51077841341063,17.53204356088499
43,102.563,2184,2509,0,897,7051.0,73.5128334661678,17.532043560884993
44,57.131,2180,2483,105,893,7051.0,73.51386099254638,17.53204356088499
45,55.927,2163,2432,220,876,7051.0,73.51488851892498,17.53204356088499
46,125.044,2114,2301,0,827,7051.0,73.51591604530356,17.532043560884993
47,97.12,2114,2301,0,827,7051.0,73.51694357168213,17.532043560884993
48,106.803,2264,2151,0,977,7051.0,73.51797109806071,17.53204356088499
49,65.191,3215,1674,1082,1474,7051.0,73.52721883546795,17.532043560884993
50,45.93,3223,1598,1090,1482,7051.0,73.52824636184654,17.532043560884993
51,63.83,2683,3008,155,1397,7051.0,73.50954442943232,17.53121995132969
52,30.751,2683,3008,155,1397,7051.0,73.510571952925,17.531219951329685
53,37.843,2414,2739,130,1127,7051.0,73.51159947641773,17.531219951329682
54,99.684,2111,2435,73,824,7051.0,73.51365452340313,17.53121995132969
