,POP_2015,community_space,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,53.257,1109,215,470,1067,1362,8133.0,77.4292536063771,11.464107824482825
1,89.908,1109,215,470,1067,1362,8133.0,77.42911567035691,11.463292793798816
2,50.513,1109,215,470,1067,1362,8133.0,77.43012593379653,11.463292793798818
3,39.524,1491,799,540,1115,1122,8133.0,77.43416698755497,11.463292793798816
4,48.273,1623,931,672,1159,1200,8133.0,77.43517725099458,11.463292793798818
5,34.282,1650,958,699,1132,1181,8133.0,77.4361875144342,11.463292793798814
6,11.736,1825,1133,828,1230,1279,8133.0,77.43719777787382,11.463292793798816
7,76.728,1821,1342,696,1241,1424,8133.0,77.43921830475303,11.463292793798816
8,83.643,1821,1342,696,1241,1424,8133.0,77.44022856819262,11.463292793798816
9,50.481,899,0,260,857,1276,8133.0,77.4279674831902,11.462477764013972
10,72.378,899,0,260,857,1276,8133.0,77.42897774483022,11.46247776401397
11,95.573,1025,190,386,983,1278,8133.0,77.42998800647024,11.462477764013972
12,97.294,1210,376,308,976,1164,8133.0,77.43099826811023,11.462477764013974
13,12.093,1210,376,308,976,1164,8133.0,77.43200852975023,11.462477764013972
14,54.133,1363,671,412,986,1132,8133.0,77.43301879139028,11.462477764013972
15,73.839,1491,799,540,1100,1107,8133.0,77.43402905303029,11.462477764013972
16,80.688,1606,920,655,1117,1149,8133.0,77.43503931467029,11.462477764013972
17,94.794,1670,987,718,1070,1120,8133.0,77.43604957631032,11.462477764013972
18,93.885,1774,1153,763,1165,1215,8133.0,77.43705983795031,11.462477764013972
19,64.749,1821,1342,696,1241,1424,8133.0,77.43908036123034,11.462477764013972
20,80.705,1821,1342,696,1241,1424,8133.0,77.44009062287037,11.462477764013972
21,10.632,762,136,123,720,1243,8133.0,77.42782956995626,11.461662735128227
22,47.851,940,72,301,898,1203,8133.0,77.42883982979683,11.461662735128227
23,61.291,929,94,290,887,1182,8133.0,77.42985008963741,11.461662735128229
24,72.102,1141,448,235,904,1091,8133.0,77.43086034947795,11.461662735128227
25,70.365,1145,415,270,939,1126,8133.0,77.4318706093185,11.461662735128227
26,66.356,1360,668,409,983,1141,8133.0,77.43288086915906,11.461662735128229
27,84.714,1464,772,513,1030,1031,8133.0,77.4338911289996,11.461662735128225
28,109.24,1521,857,569,1044,1063,8133.0,77.43490138884017,11.461662735128227
29,55.691,1598,934,647,998,1048,8133.0,77.43591164868073,11.461662735128227
30,92.408,1717,1076,735,1107,1157,8133.0,77.43692190852127,11.461662735128227
31,80.185,512,755,586,1130,1805,8133.0,77.42365063505048,11.460847707141514
32,64.96,405,648,479,1023,1697,8133.0,77.42466089309171,11.460847707141514
33,68.855,368,611,437,986,1656,8133.0,77.42567115113295,11.460847707141514
34,43.956,539,365,164,761,1382,8133.0,77.42668140917418,11.460847707141514
35,8.554,686,213,47,644,1251,8133.0,77.42769166721541,11.460847707141514
36,65.463,716,182,77,674,1243,8133.0,77.42870192525665,11.460847707141513
37,66.096,850,211,209,809,1140,8133.0,77.42971218329788,11.460847707141514
38,66.177,970,288,132,800,988,8133.0,77.4307224413391,11.460847707141516
39,78.594,1120,451,214,882,1070,8133.0,77.43173269938033,11.460847707141513
40,65.577,1218,556,267,842,1030,8133.0,77.43274295742157,11.460847707141514
41,82.977,1295,603,344,919,1106,8133.0,77.43375321546281,11.460847707141516
42,81.922,1393,762,441,911,911,8133.0,77.43476347350403,11.460847707141513
43,66.745,1489,877,537,924,967,8133.0,77.4357737315453,11.460847707141513
44,76.257,1618,1006,636,1009,1058,8133.0,77.43678398958652,11.460847707141514
45,30.353,1653,1114,528,1074,1166,8133.0,77.43779424762774,11.460847707141514
46,75.543,1521,1042,396,941,1124,8133.0,77.43880450566898,11.460847707141516
47,49.653,1563,1084,438,983,1166,8133.0,77.43981476371022,11.460847707141514
48,66.015,1604,1117,470,1016,1198,8133.0,77.44082502175146,11.460847707141514
49,43.842,555,797,491,1173,1909,8133.0,77.42250249375718,11.460032680053766
50,80.899,424,667,614,1042,1779,8133.0,77.4235127499992,11.460032680053766
51,72.848,317,559,386,935,1605,8133.0,77.42452300624126,11.460032680053766
52,70.982,377,518,355,904,1574,8133.0,77.4255332624833,11.460032680053766
53,39.2,380,506,381,882,1600,8133.0,77.42654351872537,11.460032680053766
54,63.596,670,228,31,628,1236,8133.0,77.42755377496741,11.460032680053766
55,62.915,640,258,16,598,1220,8133.0,77.42856403120943,11.460032680053766
56,64.375,749,289,139,701,1105,8133.0,77.42957428745152,11.460032680053766
57,84.6,972,348,72,741,928,8133.0,77.43058454369354,11.460032680053764
58,65.106,960,411,17,686,873,8133.0,77.43159479993558,11.460032680053766
59,75.819,1120,540,169,744,931,8133.0,77.43260505617765,11.460032680053766
60,93.836,1286,674,334,828,828,8133.0,77.4336153124197,11.460032680053766
61,72.848,1328,716,377,785,786,8133.0,77.43462556866174,11.460032680053764
62,62.963,1518,916,493,743,793,8133.0,77.43563582490381,11.460032680053766
63,59.977,1653,1114,528,1074,1166,8133.0,77.43664608114584,11.460032680053766
64,80.218,1653,1114,528,1074,1166,8133.0,77.43765633738788,11.460032680053766
65,69.083,1465,987,340,886,1068,8133.0,77.43866659362993,11.460032680053766
66,80.429,1513,1035,388,934,1116,8133.0,77.439676849872,11.460032680053766
67,62.979,1604,1117,470,1016,1198,8133.0,77.44068710611403,11.460032680053766
68,44.67,1645,1157,511,1056,1239,8133.0,77.44169736235607,11.460032680053764
69,19.916,913,1094,0,1086,1268,8133.0,77.44472813108221,11.460032680053768
70,14.852,913,1094,0,1086,1268,8133.0,77.44573838732427,11.460032680053764
71,3.019,933,1328,233,1319,1502,8133.0,77.44674864356634,11.460032680053766
72,3.198,933,1328,233,1319,1502,8133.0,77.44775889980838,11.460032680053766
73,84.6,555,797,491,1173,1909,8133.0,77.4223646209971,11.45921765386491
74,55.61,382,625,572,1000,1737,8133.0,77.4233748754401,11.459217653864908
75,82.052,266,509,446,884,1620,8133.0,77.4243851298831,11.45921765386491
76,94.696,256,499,446,874,1611,8133.0,77.42539538432612,11.459217653864913
77,74.407,484,290,145,564,1300,8133.0,77.4274158932121,11.459217653864911
78,60.496,595,338,24,514,1187,8133.0,77.4284261476551,11.459217653864911
79,52.835,731,396,121,594,1041,8133.0,77.42943640209812,11.45921765386491
80,55.789,834,500,37,687,938,8133.0,77.43044665654111,11.459217653864913
81,64.44,968,489,56,634,822,8133.0,77.43145691098411,11.45921765386491
82,59.262,1096,578,158,659,846,8133.0,77.4324671654271,11.459217653864911
83,87.522,1189,693,262,661,756,8133.0,77.4334774198701,11.459217653864911
84,67.524,1317,789,329,690,690,8133.0,77.43448767431312,11.459217653864911
85,64.521,1496,894,471,721,770,8133.0,77.4354979287561,11.459217653864911
86,52.981,1464,846,538,672,847,8133.0,77.43650818319911,11.45921765386491
87,57.526,1464,846,538,672,847,8133.0,77.43751843764211,11.459217653864908
88,69.748,1374,863,224,762,945,8133.0,77.43852869208511,11.459217653864911
89,83.837,1386,920,274,819,1002,8133.0,77.4395389465281,11.459217653864913
90,40.709,1515,1027,381,926,1109,8133.0,77.44054920097112,11.459217653864908
91,83.837,1152,776,226,768,951,8133.0,77.44155945541411,11.459217653864911
92,35.353,806,900,193,892,1074,8133.0,77.44256970985711,11.459217653864911
93,14.349,785,922,171,914,1096,8133.0,77.44357996430011,11.459217653864911
94,41.505,913,1094,0,1086,1268,8133.0,77.44459021874312,11.459217653864908
95,36.343,913,1094,0,1086,1268,8133.0,77.4456004731861,11.459217653864911
96,41.31,933,1328,233,1319,1502,8133.0,77.4466107276291,11.459217653864911
97,0.763,933,1328,233,1319,1502,8133.0,77.4476209820721,11.45921765386491
98,88.301,0,2615,4,2544,3325,8133.0,77.4050524637794,11.458402628574884
99,85.607,4,2610,0,2540,3321,8133.0,77.40606271642349,11.458402628574886
100,76.841,693,936,352,1106,1887,8133.0,77.42121650608482,11.458402628574886
101,71.534,693,936,352,1106,1887,8133.0,77.42222675872893,11.458402628574886
102,60.545,138,381,381,756,1493,8133.0,77.4242472640171,11.458402628574884
103,42.398,138,363,363,738,1475,8133.0,77.42525751666119,11.458402628574884
104,23.504,305,166,166,528,1264,8133.0,77.42626776930527,11.458402628574884
105,68.417,361,110,110,472,1208,8133.0,77.42727802194936,11.458402628574886
106,74.812,427,176,137,406,1142,8133.0,77.42828827459344,11.458402628574886
107,87.441,611,361,0,464,957,8133.0,77.42929852723755,11.458402628574884
108,38.762,750,500,132,582,818,8133.0,77.43030877988163,11.458402628574886
109,83.139,879,585,141,575,800,8133.0,77.43131903252572,11.458402628574886
110,66.794,1008,603,87,485,673,8133.0,77.4323292851698,11.458402628574886
111,68.206,1011,636,54,452,640,8133.0,77.4333395378139,11.458402628574886
112,81.565,1146,771,117,515,611,8133.0,77.43434979045797,11.458402628574884
113,75.786,1369,842,344,663,649,8133.0,77.43536004310207,11.458402628574886
114,59.603,1264,646,0,545,728,8133.0,77.43738054839025,11.458402628574886
115,76.744,1310,738,92,637,820,8133.0,77.43839080103434,11.458402628574886
116,74.52,1393,872,225,771,953,8133.0,77.43940105367844,11.458402628574884
117,65.122,1042,666,116,658,841,8133.0,77.44041130632252,11.458402628574886
118,99.842,1086,710,159,702,884,8133.0,77.44142155896661,11.458402628574884
119,43.826,806,900,193,892,1074,8133.0,77.44243181161069,11.458402628574884
120,52.607,806,900,193,892,1074,8133.0,77.44344206425477,11.458402628574886
121,47.056,0,2615,4,2544,3325,8133.0,77.40491464258207,11.457587604183624
122,67.135,4,2610,0,2540,3321,8133.0,77.4059248934274,11.457587604183626
123,13.537,956,1658,0,1588,2369,8133.0,77.41400690018992,11.457587604183626
124,66.307,956,1658,0,1588,2369,8133.0,77.4150171510352,11.457587604183624
125,68.742,693,936,352,1106,1887,8133.0,77.4210786561071,11.457587604183626
126,82.685,693,936,352,1106,1887,8133.0,77.42208890695241,11.457587604183622
127,69.342,94,363,363,738,1475,8133.0,77.42410940864305,11.457587604183624
128,19.722,0,458,273,710,1491,8133.0,77.42511965948836,11.457587604183624
129,71.014,268,195,195,567,1326,8133.0,77.42612991033369,11.457587604183624
