,POP_2015,community_space,education,health_wellbeing,ID_HDC_G0,lng,lat
280,14.165,3816,971,933,3597.0,26.708227740338497,-29.252665932401847
281,67.653,3794,949,911,3597.0,26.709313462720665,-29.25266593240185
282,24.222,3719,733,709,3597.0,26.71039918510284,-29.252665932401847
283,1.823,3719,733,709,3597.0,26.711484907485016,-29.252665932401847
284,0.0,3656,523,588,3597.0,26.71474207463155,-29.252665932401847
285,38.593,3656,523,588,3597.0,26.71582779701372,-29.252665932401847
286,64.556,3889,756,822,3597.0,26.716913519395895,-29.252665932401847
287,54.352,3962,829,894,3597.0,26.717999241778077,-29.25266593240185
288,71.504,4115,684,1047,3597.0,26.719084964160245,-29.252665932401847
289,30.776,4169,762,1101,3597.0,26.72017068654242,-29.252665932401847
290,10.126,4712,954,758,3597.0,26.725599298453307,-29.252665932401847
291,24.332,4796,771,692,3597.0,26.72668502083548,-29.25266593240185
292,50.817,4796,771,692,3597.0,26.72777074321766,-29.25266593240185
293,55.443,4402,505,297,3597.0,26.73102791036419,-29.25266593240185
294,46.461,4480,491,375,3597.0,26.732113632746362,-29.25266593240185
295,33.52,4571,251,466,3597.0,26.73319935512854,-29.252665932401847
296,25.203,4656,224,552,3597.0,26.734285077510712,-29.252665932401847
297,0.0,4815,515,619,3597.0,26.73754224465725,-29.25266593240185
298,10.057,4904,370,726,3597.0,26.738627967039417,-29.252665932401847
299,60.794,5000,414,979,3597.0,26.740799411803774,-29.252665932401847
300,9.32,3920,3225,1231,3597.0,26.688822865386907,-29.253517829895777
301,71.642,3870,3175,1181,3597.0,26.689908593388264,-29.253517829895777
302,91.189,4198,3503,1509,3597.0,26.692080049390974,-29.253517829895777
303,82.341,4295,3600,1606,3597.0,26.693165777392334,-29.253517829895777
304,79.255,4032,3337,1343,3597.0,26.694251505393698,-29.25351782989578
305,47.378,4192,3497,1503,3597.0,26.695337233395055,-29.253517829895777
306,35.987,3171,1482,1729,3597.0,26.702937329404563,-29.253517829895777
307,61.704,3241,1552,1798,3597.0,26.704023057405923,-29.253517829895777
308,50.201,3228,1539,1630,3597.0,26.705108785407276,-29.253517829895777
309,68.885,3301,1612,1806,3597.0,26.706194513408633,-29.253517829895777
310,30.581,3356,1667,1860,3597.0,26.70728024140999,-29.253517829895777
311,81.211,3649,804,766,3597.0,26.71053742541407,-29.25351782989578
312,94.473,3747,733,708,3597.0,26.711623153415427,-29.253517829895777
313,67.813,3624,581,557,3597.0,26.712708881416784,-29.253517829895777
314,37.464,3518,430,450,3597.0,26.713794609418144,-29.25351782989578
315,29.656,3518,385,450,3597.0,26.71488033741951,-29.25351782989578
316,14.398,3736,603,668,3597.0,26.715966065420865,-29.253517829895777
317,66.854,3814,682,747,3597.0,26.717051793422215,-29.253517829895777
318,55.727,4317,730,1254,3597.0,26.71813752142358,-29.253517829895777
319,77.257,4317,730,1254,3597.0,26.71922324942493,-29.253517829895777
320,57.789,4169,762,1101,3597.0,26.720308977426296,-29.253517829895777
321,9.801,4009,423,1206,3597.0,26.721394705427652,-29.253517829895777
322,0.0,3936,349,1133,3597.0,26.72248043342901,-29.253517829895777
323,19.028,4683,1006,729,3597.0,26.72573761743308,-29.253517829895777
324,20.798,4531,634,427,3597.0,26.72899480143716,-29.253517829895777
325,10.596,4531,634,427,3597.0,26.73008052943852,-29.253517829895777
326,14.901,4359,463,255,3597.0,26.73116625743988,-29.25351782989578
327,7.312,4571,251,466,3597.0,26.733337713442594,-29.253517829895777
328,5.097,4626,488,430,3597.0,26.736594897446665,-29.253517829895777
329,36.881,4803,309,625,3597.0,26.73768062544803,-29.253517829895777
330,65.117,4904,370,726,3597.0,26.738766353449382,-29.253517829895777
331,80.509,5000,340,1009,3597.0,26.739852081450746,-29.253517829895777
332,74.468,5000,340,1009,3597.0,26.740937809452102,-29.253517829895777
333,1.423,3870,3175,1181,3597.0,26.68896099934329,-29.25436973007516
334,32.447,3772,3077,1083,3597.0,26.690046732964074,-29.25436973007516
335,82.514,3725,3030,1036,3597.0,26.69113246658486,-29.254369730075165
336,54.184,4344,3649,1655,3597.0,26.692218200205648,-29.25436973007516
337,42.061,4032,3337,1343,3597.0,26.693303933826435,-29.25436973007516
338,63.309,4032,3337,1343,3597.0,26.694389667447215,-29.254369730075165
339,3.842,4174,3479,1485,3597.0,26.695475401068002,-29.254369730075165
340,35.675,3090,1401,1647,3597.0,26.7030755364135,-29.254369730075165
341,47.654,3106,1417,1663,3597.0,26.704161270034284,-29.254369730075165
342,38.025,3204,1515,1709,3597.0,26.705247003655074,-29.25436973007516
343,53.093,3301,1612,1806,3597.0,26.706332737275854,-29.25436973007516
344,53.258,3500,1811,2004,3597.0,26.70741847089665,-29.25436973007517
345,93.835,3549,789,666,3597.0,26.710675671759,-29.254369730075165
346,110.264,3776,733,708,3597.0,26.71176140537979,-29.254369730075165
347,44.669,3655,612,587,3597.0,26.712847139000576,-29.254369730075165
348,33.148,3497,455,430,3597.0,26.713932872621363,-29.254369730075165
349,34.66,3445,293,425,3597.0,26.715018606242147,-29.25436973007516
350,16.451,3814,682,747,3597.0,26.716104339862937,-29.25436973007516
351,7.69,3899,766,831,3597.0,26.717190073483717,-29.254369730075165
352,23.165,4317,730,1254,3597.0,26.718275807104504,-29.254369730075165
353,53.927,4245,658,1325,3597.0,26.719361540725284,-29.254369730075165
354,60.325,3911,324,1108,3597.0,26.721533007966862,-29.25436973007516
355,4.533,3936,349,1133,3597.0,26.72261874158764,-29.25436973007516
356,0.171,4654,1135,784,3597.0,26.72479020882922,-29.25436973007516
357,24.955,4654,1135,784,3597.0,26.72587594245,-29.254369730075165
358,33.746,4406,1013,536,3597.0,26.728047409691573,-29.254369730075165
359,17.523,4165,657,210,3597.0,26.730218876933144,-29.254369730075165
360,6.679,4240,582,135,3597.0,26.731304610553927,-29.25436973007516
361,17.463,4239,718,0,3597.0,26.732390344174714,-29.25436973007516
362,12.802,4367,727,171,3597.0,26.733476077795498,-29.254369730075165
363,20.927,4430,684,234,3597.0,26.73456181141628,-29.25436973007516
364,64.087,4545,501,394,3597.0,26.735647545037068,-29.254369730075158
365,69.024,4672,423,494,3597.0,26.73673327865786,-29.254369730075165
366,63.894,4844,248,670,3597.0,26.737819012278646,-29.25436973007516
367,65.713,4910,217,733,3597.0,26.73890474589943,-29.25436973007516
368,90.168,5000,340,1009,3597.0,26.739990479520216,-29.254369730075165
369,68.915,5000,340,1009,3597.0,26.741076213141,-29.25436973007516
370,29.356,3582,2887,892,3597.0,26.688013400088252,-29.255221632940113
371,28.415,3582,2887,892,3597.0,26.68909913932871,-29.25522163294011
372,65.976,3725,3030,1036,3597.0,26.690184878569166,-29.255221632940113
373,42.369,3623,2928,933,3597.0,26.69127061780962,-29.25522163294011
374,32.915,3530,2835,841,3597.0,26.692356357050087,-29.25522163294011
375,20.508,3000,1311,1557,3597.0,26.70321374945467,-29.25522163294011
376,0.329,3071,1382,1629,3597.0,26.704299488695128,-29.25522163294011
377,10.057,3375,1686,1879,3597.0,26.70538522793559,-29.25522163294011
378,58.089,3411,1722,1916,3597.0,26.706470967176042,-29.255221632940106
379,34.726,3448,1759,1952,3597.0,26.7075567064165,-29.25522163294011
380,26.843,3571,811,688,3597.0,26.710813924137877,-29.255221632940113
381,33.013,3393,633,510,3597.0,26.711899663378336,-29.25522163294011
382,19.193,3410,258,390,3597.0,26.71407114185925,-29.255221632940113
383,8.914,3410,258,390,3597.0,26.715156881099713,-29.25522163294011
384,59.899,3586,0,783,3597.0,26.718414098821082,-29.25522163294011
