,POP_2015,active_living,community_space,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,17.528,1206,1578,600,2664,7401.0,75.33084199688196,17.68855535454035
1,54.531,1172,1544,566,2639,7401.0,75.33062832994186,17.687731472508244
2,30.739,1138,1510,532,2614,7401.0,75.33165640459815,17.687731472508244
3,39.874,1138,1510,532,2614,7401.0,75.33041467464936,17.686907591917404
4,119.16,1138,1510,532,2614,7401.0,75.3314427463898,17.6869075919174
5,51.278,1120,1298,0,2652,7401.0,75.33247081813025,17.6869075919174
6,2.108,1120,1298,0,2652,7401.0,75.33349888987074,17.686907591917404
7,61.477,1120,1298,0,2652,7401.0,75.3322571686537,17.686083712767743
8,60.012,1120,1298,0,2652,7401.0,75.33328523747848,17.686083712767747
9,79.607,1258,1236,423,2719,7401.0,75.33431330630322,17.686083712767743
10,79.848,1258,1236,423,2719,7401.0,75.33534137512798,17.686083712767743
11,75.773,962,1337,413,2337,7401.0,75.32998739900611,17.685259835059206
12,117.534,957,1329,372,2346,7401.0,75.33101546491534,17.685259835059206
13,102.576,877,1218,242,2409,7401.0,75.33204353082455,17.685259835059206
14,75.732,1000,1179,119,2532,7401.0,75.33307159673377,17.685259835059206
15,103.841,1188,1166,354,2649,7401.0,75.334099662643,17.685259835059206
16,89.827,1228,1206,394,2689,7401.0,75.33512772855221,17.685259835059206
17,0.141,1670,2196,837,2457,7401.0,75.31949314871652,17.684435958791703
18,17.467,1670,2196,837,2457,7401.0,75.32052121171036,17.684435958791706
19,86.775,858,1234,479,2234,7401.0,75.32977377865483,17.684435958791706
20,97.376,823,1198,440,2250,7401.0,75.33080184164868,17.684435958791703
21,56.619,782,1098,341,2314,7401.0,75.3318299046425,17.684435958791706
22,42.464,821,1059,308,2353,7401.0,75.33285796763634,17.684435958791703
23,71.215,1004,982,319,2465,7401.0,75.3338860306302,17.684435958791703
24,17.889,995,974,331,2456,7401.0,75.33491409362402,17.684435958791703
25,72.681,2372,3139,374,2864,7401.0,75.31105508853514,17.683612083965162
26,18.752,2372,3139,374,2864,7401.0,75.31208314861377,17.683612083965166
27,46.6,1263,1789,430,2050,7401.0,75.32339180947845,17.683612083965162
28,34.051,1263,1789,430,2050,7401.0,75.32441986955705,17.683612083965162
29,50.555,1152,1678,396,2015,7401.0,75.32544792963566,17.683612083965162
30,73.183,1013,1539,319,1903,7401.0,75.32647598971428,17.683612083965162
31,65.834,823,1349,391,2047,7401.0,75.32750404979288,17.683612083965162
32,59.871,815,1341,383,2055,7401.0,75.32853210987149,17.683612083965162
33,106.17,692,1218,282,2039,7401.0,75.3295601699501,17.683612083965166
34,77.901,736,1141,368,2187,7401.0,75.33058823002871,17.683612083965162
35,92.316,793,1029,338,2325,7401.0,75.3316162901073,17.68361208396516
36,94.565,862,941,429,2393,7401.0,75.33264435018593,17.683612083965162
37,124.541,913,891,407,2374,7401.0,75.33367241026454,17.683612083965162
38,61.056,889,860,289,2343,7401.0,75.33470047034314,17.683612083965166
39,58.887,976,886,202,2430,7401.0,75.33572853042175,17.683612083965162
40,96.412,2372,3139,374,2864,7401.0,75.31084154394779,17.68278821057951
41,16.684,2372,3139,374,2864,7401.0,75.31186960111135,17.68278821057951
42,69.348,1131,1678,299,1919,7401.0,75.32420628707386,17.682788210579513
43,64.67,1050,1576,293,1913,7401.0,75.3252343442374,17.68278821057951
44,66.677,1031,1578,199,1818,7401.0,75.32626240140097,17.68278821057951
45,62.903,977,1503,344,1893,7401.0,75.3272904585645,17.68278821057951
46,63.385,806,1332,374,2063,7401.0,75.32831851572806,17.68278821057951
47,104.182,642,1171,220,1976,7401.0,75.32934657289158,17.682788210579513
48,94.846,652,1044,279,2078,7401.0,75.33037463005513,17.68278821057951
49,89.385,638,991,280,2171,7401.0,75.33140268721868,17.682788210579517
50,93.381,703,889,352,2235,7401.0,75.33243074438222,17.68278821057951
51,84.024,798,811,402,2294,7401.0,75.33345880154577,17.682788210579513
52,95.489,889,860,289,2343,7401.0,75.33448685870931,17.68278821057951
53,55.795,1131,1678,299,1919,7401.0,75.32399271623586,17.681964338634668
54,90.971,983,1529,151,1770,7401.0,75.32502077048451,17.681964338634668
55,71.837,961,1507,151,1748,7401.0,75.32604882473314,17.681964338634668
