,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,0.028,5000,0,5000,5000,5000,5000,5000,576.0,-88.99474292091257,40.54701534679276
1,0.056,5000,5000,5000,5000,5000,5000,5000,576.0,-88.99000912651655,40.54701534679275
2,0.053,5000,5000,5000,5000,5000,5000,5000,576.0,-88.98882567791753,40.547015346792755
3,0.0,5000,12,5000,5000,5000,5000,5000,576.0,-88.99399655769957,40.54611798784797
4,0.0,5000,5000,5000,5000,5000,5000,5000,576.0,-88.98926280300401,40.54611798784798
5,0.0,5000,5000,5000,5000,5000,5000,5000,576.0,-88.98807936433006,40.546117987847964
6,12.223,833,857,2994,564,2213,2588,2026,576.0,-88.98571248698228,40.54611798784797
7,6.456,771,795,2931,502,2150,2525,1963,576.0,-88.98452904830839,40.546117987847964
8,7.086,838,862,2999,547,2218,2593,2031,576.0,-88.98334560963448,40.54611798784798
9,0.0,5000,76,5000,5000,5000,5000,5000,576.0,-88.99325022865169,40.54522063340056
10,0.0,5000,5000,5000,5000,5000,5000,5000,576.0,-88.98969994240396,40.545220633400575
11,0.0,5000,5000,5000,5000,5000,5000,5000,576.0,-88.98851651365472,40.545220633400554
12,0.0,1038,1062,3041,769,2223,2598,2036,576.0,-88.98733308490549,40.54522063340056
13,9.78,853,877,3014,584,2233,2608,2046,576.0,-88.98614965615621,40.54522063340057
14,25.157,843,867,3004,574,2223,2598,2036,576.0,-88.98496622740699,40.54522063340056
15,13.559,771,795,2931,502,2150,2525,1963,576.0,-88.98378279865774,40.54522063340056
16,14.587,838,862,2999,547,2218,2593,2031,576.0,-88.9825993699085,40.545220633400554
17,0.0,5000,5000,5000,5000,5000,5000,5000,576.0,-88.98895367729186,40.54432328345037
18,0.0,1038,1062,3041,769,2223,2598,2036,576.0,-88.98777025846678,40.54432328345036
19,16.73,1017,1041,3041,748,2223,2598,2036,576.0,-88.98658683964176,40.54432328345037
20,20.098,786,810,2947,517,2166,2541,1979,576.0,-88.98540342081671,40.54432328345035
21,22.868,853,877,3014,584,2233,2608,2046,576.0,-88.98422000199167,40.54432328345036
22,23.279,642,666,2802,351,2021,2396,1834,576.0,-88.98303658316664,40.54432328345037
23,21.541,697,721,2858,406,2077,2452,1890,576.0,-88.98185316434159,40.54432328345037
24,19.755,565,589,2725,273,1944,2319,1757,576.0,-88.9834738107344,40.54342593799716
25,16.411,613,637,2774,322,1993,2368,1806,576.0,-88.9822904018331,40.54342593799718
26,31.045,444,248,2870,595,2089,2464,1902,576.0,-88.98110699293181,40.54342593799718
27,0.0,5000,523,5000,5000,5000,5000,5000,576.0,-88.99574504239126,40.542528597040814
28,0.0,5000,489,5000,5000,5000,5000,5000,576.0,-88.99456164341323,40.5425285970408
29,0.0,5000,477,5000,5000,5000,5000,5000,576.0,-88.99337824443528,40.542528597040814
30,0.0,5000,638,5000,5000,5000,5000,5000,576.0,-88.99219484545723,40.5425285970408
31,0.0,5000,638,5000,5000,5000,5000,5000,576.0,-88.99101144647925,40.54252859704081
32,0.0,576,600,2737,307,1955,2331,1769,576.0,-88.98746124954522,40.54252859704081
33,22.224,496,520,2657,227,1876,2251,1689,576.0,-88.98627785056722,40.542528597040814
34,16.863,394,418,2555,125,1773,2148,1587,576.0,-88.98509445158925,40.54252859704081
35,13.263,367,391,2528,76,1746,2122,1560,576.0,-88.9839110526112,40.5425285970408
36,33.861,500,524,2660,176,1879,2254,1692,576.0,-88.98272765363322,40.542528597040814
37,31.574,551,575,2712,227,1930,2306,1744,576.0,-88.98154425465519,40.542528597040814
38,12.205,444,248,2871,596,2089,2464,1903,576.0,-88.98036085567718,40.5425285970408
39,0.0,5000,598,5000,5000,5000,5000,5000,576.0,-88.99618219934817,40.54163126058107
40,0.0,5000,589,5000,5000,5000,5000,5000,576.0,-88.99499881029298,40.54163126058107
41,0.0,5000,530,5000,5000,5000,5000,5000,576.0,-88.99381542123783,40.54163126058106
42,0.0,5000,557,5000,5000,5000,5000,5000,576.0,-88.99263203218267,40.54163126058107
43,0.0,5000,819,5000,5000,5000,5000,5000,576.0,-88.99144864312748,40.54163126058108
44,0.0,5000,819,5000,5000,5000,5000,5000,576.0,-88.99026525407233,40.541631260581084
45,0.0,5000,994,5000,5000,5000,5000,5000,576.0,-88.98908186501716,40.54163126058108
46,0.0,5000,1104,5000,5000,5000,5000,5000,576.0,-88.98789847596197,40.54163126058107
47,34.286,576,600,2737,307,1955,2331,1769,576.0,-88.98671508690683,40.54163126058108
48,22.777,496,520,2657,227,1876,2251,1689,576.0,-88.98553169785164,40.54163126058106
49,26.848,394,418,2555,125,1773,2148,1587,576.0,-88.9843483087965,40.54163126058108
50,33.634,323,347,2484,27,1703,2078,1516,576.0,-88.98316491974133,40.54163126058108
51,47.928,418,442,2579,95,1798,2173,1611,576.0,-88.98198153068614,40.54163126058107
52,22.098,262,66,2688,411,1907,2282,1720,576.0,-88.98079814163097,40.54163126058107
53,9.815,326,130,2752,478,1971,2346,1784,576.0,-88.97961475257581,40.54163126058107
54,0.0,1755,1388,1538,1054,1200,1041,2040,576.0,-88.9966193706175,40.540733928617826
55,0.0,1765,1390,1548,1064,1200,1051,2040,576.0,-88.99543599148468,40.54073392861782
56,0.0,5000,560,5000,5000,5000,5000,5000,576.0,-88.99425261235191,40.540733928617826
57,0.0,5000,772,5000,5000,5000,5000,5000,576.0,-88.99306923321913,40.540733928617826
58,0.0,5000,772,5000,5000,5000,5000,5000,576.0,-88.99188585408633,40.54073392861782
59,0.0,5000,828,5000,5000,5000,5000,5000,576.0,-88.99070247495358,40.540733928617826
60,0.0,5000,1050,5000,5000,5000,5000,5000,576.0,-88.98951909582078,40.54073392861783
61,0.0,5000,1013,5000,5000,5000,5000,5000,576.0,-88.988335716688,40.540733928617826
62,0.0,5000,1104,5000,5000,5000,5000,5000,576.0,-88.98715233755522,40.54073392861782
63,21.248,218,242,2379,105,1598,1973,1411,576.0,-88.98360220015684,40.54073392861782
64,3.212,30,165,2567,293,1786,2161,1599,576.0,-88.9824188210241,40.540733928617826
65,1.25,93,102,2519,245,1738,2113,1551,576.0,-88.9812354418913,40.54073392861783
66,5.584,196,0,2622,347,1840,2215,1654,576.0,-88.98005206275849,40.54073392861781
67,10.619,333,137,2759,485,1978,2353,1791,576.0,-88.9788686836257,40.54073392861782
68,0.0,1703,1329,1486,1002,1139,989,1978,576.0,-88.99587318698782,40.539836601150846
69,0.0,5000,772,5000,5000,5000,5000,5000,576.0,-88.99232307935524,40.539836601150846
