,POP_2015,active_living,education,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,23.647,1923,1378,1284,762,11897.0,116.96305365664648,31.47785682066115
1,57.203,1929,1384,1290,768,11897.0,116.96415485331603,31.47785682066115
2,35.511,1637,897,936,936,11897.0,116.94036160943023,31.47699756314553
3,2.171,1624,884,923,923,11897.0,116.94146279980835,31.476997563145527
4,49.116,1918,1372,1278,757,11897.0,116.96238541699265,31.476997563145535
5,28.635,1918,1372,1278,757,11897.0,116.96348660737077,31.47699756314553
6,15.403,923,988,1403,1403,11897.0,116.93308642004042,31.476138308610356
7,22.851,1215,1280,1199,1199,11897.0,116.93528878821438,31.476138308610356
8,37.053,1215,1280,1199,1199,11897.0,116.93638997230137,31.47613830861036
9,48.917,1612,870,911,911,11897.0,116.94079470864926,31.476138308610356
10,38.584,883,7,875,883,11897.0,116.95070536543209,31.47613830861036
11,9.313,1455,1247,1994,1576,11897.0,116.92581133509745,31.475279057055516
12,6.934,1452,1243,1991,1573,11897.0,116.92691251289355,31.475279057055516
13,55.894,840,905,1321,1321,11897.0,116.93241840187412,31.475279057055516
14,82.821,944,1009,1215,1215,11897.0,116.93351957967019,31.47527905705551
15,55.324,944,1009,1215,1215,11897.0,116.93462075746629,31.475279057055516
16,19.899,1691,2146,2900,1130,11897.0,116.91743518308964,31.47441980848088
17,14.582,1507,1962,2715,946,11897.0,116.91853635459515,31.474419808480874
18,17.661,1500,1954,2708,938,11897.0,116.91963752610066,31.474419808480878
19,10.721,1448,1240,1987,1569,11897.0,116.92624455513369,31.474419808480874
20,79.192,840,905,1321,1321,11897.0,116.93175041266124,31.474419808480878
21,51.933,944,1009,1215,1215,11897.0,116.93285158416676,31.474419808480874
22,53.855,944,1009,1215,1215,11897.0,116.93395275567225,31.474419808480878
23,57.286,1105,1170,979,979,11897.0,116.93615509868327,31.474419808480878
24,56.01,1464,919,825,347,11897.0,116.95927970029894,31.47441980848088
25,18.642,1473,927,833,350,11897.0,116.96038087180445,31.47441980848087
26,0.0,1932,1256,1293,321,11897.0,116.96478555782647,31.474419808480878
