,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,59.676,4086,4929,1243,5000,5000,5000,11796.0,106.34722632855076,9.98217310368188
1,23.249,4086,4929,1243,5000,5000,5000,11796.0,106.34823354285886,9.98217310368188
2,66.165,4086,4929,1243,5000,5000,5000,11796.0,106.34706226046292,9.981359598694002
3,58.23,4086,4929,1243,5000,5000,5000,11796.0,106.34806947321718,9.981359598694002
4,22.792,3647,4490,1682,5000,4929,5000,11796.0,106.34455572448387,9.978919088396816
5,20.007,3303,4145,1811,5000,4585,5000,11796.0,106.34221331125251,9.977292085420077
6,34.688,3303,4145,1811,5000,4585,5000,11796.0,106.34322051623931,9.977292085420073
7,36.058,3295,4137,1819,5000,4577,5000,11796.0,106.34204933384602,9.976478585097915
8,25.194,3303,4145,1811,5000,4585,5000,11796.0,106.3430565372797,9.976478585097915
9,14.884,2969,3812,2113,4835,4251,5000,11796.0,106.34071422093574,9.974851586785704
10,18.078,3303,4145,1488,4969,4585,5000,11796.0,106.3437358219195,9.974851586785704
11,26.335,3303,4145,1488,4969,4585,5000,11796.0,106.34474302224741,9.974851586785704
12,8.349,3303,4145,1488,4969,4585,5000,11796.0,106.34357188363794,9.974038088795515
13,14.517,3303,4145,1488,4969,4585,5000,11796.0,106.34457908241313,9.974038088795519
14,18.929,3151,3994,1304,4786,4433,5000,11796.0,106.34961507628924,9.974038088795517
15,16.861,3232,4075,213,4645,4514,5000,11796.0,106.35162947383968,9.974038088795515
16,25.079,3232,4075,213,4645,4514,5000,11796.0,106.35263667261493,9.974038088795517
17,16.205,3152,3995,1683,5000,4434,5000,11796.0,106.34240076221033,9.973224591582522
18,15.01,3166,4009,1697,5000,4448,5000,11796.0,106.343407959433,9.973224591582524
19,16.619,3355,4198,1851,5000,4637,5000,11796.0,106.34441515665566,9.973224591582524
20,13.908,3355,4198,1851,5000,4637,5000,11796.0,106.34542235387832,9.973224591582524
21,46.437,3118,3961,1271,4754,4400,5000,11796.0,106.34945114276898,9.973224591582524
22,15.552,3085,3928,1238,4721,4367,5000,11796.0,106.35045833999166,9.973224591582524
23,26.454,3232,4075,213,4645,4514,5000,11796.0,106.35146553721431,9.973224591582524
24,37.942,3232,4075,213,4645,4514,5000,11796.0,106.35247273443699,9.97322459158252
25,53.894,3112,3955,0,4520,4394,4921,11796.0,106.35347993165966,9.97322459158252
26,18.874,2653,3496,2125,4519,3935,4753,11796.0,106.34022246229375,9.97241109514665
27,5.382,3031,3874,1780,4897,4313,5000,11796.0,106.34223685363428,9.972411095146652
28,5.76,3268,4111,1757,5000,4550,5000,11796.0,106.34324404930452,9.972411095146652
