,POP_2015,community_space,education,food_choices,mobility,ID_HDC_G0,lng,lat
0,0.0,4483,1414,2030,0,11606.0,113.12261255454513,28.7981335140281
1,0.692,4475,1406,2022,7,11606.0,113.12203904840902,28.797283037767286
2,0.158,4468,1399,2015,14,11606.0,113.12312179944921,28.79728303776729
3,1.12,3035,2085,2393,0,11606.0,113.13821595241642,28.795582093128754
4,8.689,4269,1200,1816,986,11606.0,113.1159877422722,28.794731624750828
5,18.762,3027,2078,2385,0,11606.0,113.13764243374455,28.794731624750828
6,0.231,4407,1338,1954,848,11606.0,113.11433162937841,28.793881159000314
7,13.491,4338,1269,1885,917,11606.0,113.11541435846365,28.793881159000314
8,10.277,4269,1200,1816,986,11606.0,113.11649708754888,28.793881159000318
9,5.468,4407,1338,1954,848,11606.0,113.1137582761481,28.7930306958771
10,5.672,4407,1338,1954,848,11606.0,113.11484099974524,28.7930306958771
11,12.213,3849,780,1396,780,11606.0,113.11802520806125,28.79132977751217
12,18.491,3849,780,1396,780,11606.0,113.11910792068282,28.79132977751217
13,8.215,3702,633,1249,633,11606.0,113.12019063330438,28.79132977751217
14,10.896,3702,633,1249,633,11606.0,113.12127334592597,28.79132977751217
15,14.42,4685,1616,2232,14,11606.0,113.10229400277947,28.790479322270247
16,20.277,4678,1609,2224,7,11606.0,113.10337670991365,28.790479322270244
17,17.46,3702,633,1249,633,11606.0,113.11961731692614,28.790479322270244
18,23.136,3702,633,1249,633,11606.0,113.1207000240603,28.790479322270247
19,14.724,2617,2177,1744,640,11606.0,113.13477521680444,28.790479322270244
20,6.972,2098,1148,3004,0,11606.0,113.14451958101193,28.79047932227024
21,3.868,2526,1576,3433,464,11606.0,113.14885040954859,28.790479322270244
22,0.0,2520,1570,3426,463,11606.0,113.14993311668275,28.790479322270244
23,5.431,2885,1977,2387,1072,11606.0,113.15967748089025,28.79047932227024
24,23.647,2987,2079,2361,1173,11606.0,113.16076018802441,28.790479322270244
25,0.0,3658,2750,1231,514,11606.0,113.16725643082941,28.790479322270244
26,0.0,3658,2750,1231,514,11606.0,113.1683391379636,28.79047932227025
27,60.693,3924,3016,138,768,11606.0,113.17591808790273,28.790479322270244
28,32.966,3965,3057,97,808,11606.0,113.1770007950369,28.790479322270247
29,27.441,4062,3155,0,906,11606.0,113.17808350217106,28.79047932227024
30,10.646,2442,2002,1569,815,11606.0,113.13528455034049,28.789628869655196
31,3.607,2514,1564,3420,463,11606.0,113.14935967175143,28.7896288696552
32,0.394,2931,2023,2443,1118,11606.0,113.16018668822143,28.7896288696552
33,13.307,4062,3155,0,906,11606.0,113.17750991457332,28.789628869655193
34,11.725,4157,1088,1704,6,11606.0,113.1076437978311,28.788778419666926
35,22.451,4135,1076,1692,0,11606.0,113.10872649399116,28.788778419666926
36,20.883,4075,1015,1631,55,11606.0,113.10980919015122,28.788778419666926
37,37.339,2442,2002,1569,815,11606.0,113.13471120183273,28.788778419666926
38,7.063,2258,1308,3164,706,11606.0,113.14878625191358,28.788778419666926
39,2.128,3359,2451,932,215,11606.0,113.16935747895485,28.788778419666926
40,75.866,3359,2451,932,215,11606.0,113.17044017511489,28.788778419666926
41,15.926,5000,4989,2118,3025,11606.0,113.19967297143667,28.78877841966693
42,23.979,4080,1021,1637,55,11606.0,113.10815330225331,28.787927972305326
43,9.269,4086,1026,1642,54,11606.0,113.1092359929267,28.787927972305315
44,9.368,2258,1308,3164,706,11606.0,113.14821285716823,28.787927972305322
45,4.432,2258,1308,3164,706,11606.0,113.14929554784162,28.787927972305322
46,2.935,2825,1917,3315,1011,11606.0,113.15470900120849,28.787927972305326
47,0.857,2708,1800,3194,895,11606.0,113.15579169188187,28.787927972305315
48,1.302,3359,2451,932,215,11606.0,113.16878397996237,28.78792797230532
49,16.107,3287,2380,965,143,11606.0,113.16986667063576,28.78792797230532
50,84.266,3338,2430,738,168,11606.0,113.17094936130911,28.787927972305315
51,70.206,3338,2430,738,168,11606.0,113.17203205198251,28.787927972305322
52,5.72,5000,4989,2118,3025,11606.0,113.19909931881689,28.787927972305322
53,8.294,5000,4989,2118,3025,11606.0,113.20018200949028,28.787927972305322
54,1.607,3618,551,1167,542,11606.0,113.11299356153275,28.787077527570272
55,1.001,3572,513,1129,65,11606.0,113.11407624671965,28.787077527570272
56,0.666,1649,699,2555,96,11606.0,113.14330874676668,28.787077527570272
57,2.115,1649,699,2555,96,11606.0,113.14439143195361,28.787077527570275
58,4.618,1864,914,2771,312,11606.0,113.14547411714055,28.787077527570272
59,1.41,2050,1100,2957,498,11606.0,113.14655680232747,28.787077527570275
60,12.424,2050,1100,2957,498,11606.0,113.14763948751437,28.78707752757028
61,16.752,3063,2155,3553,1250,11606.0,113.153052913449,28.787077527570272
62,10.335,2848,1940,3337,1034,11606.0,113.15413559863596,28.78707752757028
63,6.267,2787,1880,3277,974,11606.0,113.15521828382286,28.787077527570272
64,4.634,2816,1908,3306,1003,11606.0,113.15630096900979,28.787077527570272
65,0.882,2501,1593,2988,688,11606.0,113.1573836541967,28.787077527570272
66,0.0,2481,1573,2791,667,11606.0,113.15846633938366,28.787077527570272
67,0.0,2481,1573,2791,667,11606.0,113.1595490245706,28.787077527570272
68,16.571,3144,2236,925,46,11606.0,113.1692931912529,28.78707752757027
69,66.744,3205,2298,879,33,11606.0,113.17037587643983,28.787077527570275
70,76.468,3338,2430,738,168,11606.0,113.17145856162676,28.787077527570272
71,19.885,3563,2655,700,394,11606.0,113.17362393200062,28.78707752757028
72,16.533,4434,1374,1990,292,11606.0,113.10592431432387,28.786227085461675
73,18.11,4434,1374,1990,292,11606.0,113.10700699402459,28.786227085461675
74,5.389,3643,584,1200,0,11606.0,113.11242039252816,28.78622708546168
75,1.462,3574,515,1131,69,11606.0,113.11350307222888,28.786227085461675
76,14.46,3282,223,839,0,11606.0,113.11675111133103,28.786227085461675
77,0.325,1552,602,2458,0,11606.0,113.14273542414824,28.78622708546167
78,6.193,1552,602,2458,0,11606.0,113.14381810384894,28.786227085461675
79,8.999,1864,914,2771,312,11606.0,113.14490078354967,28.786227085461675
80,10.086,1905,955,2812,353,11606.0,113.14598346325037,28.786227085461675
81,9.974,1982,1032,2888,429,11606.0,113.1470661429511,28.786227085461675
82,7.22,3063,2155,3553,1250,11606.0,113.15247954145468,28.786227085461675
83,7.782,2948,2040,3437,1134,11606.0,113.15356222115541,28.78622708546168
84,6.498,2893,1985,3382,1079,11606.0,113.15464490085611,28.78622708546168
85,7.444,2921,2013,3411,1107,11606.0,113.15572758055684,28.786227085461675
86,4.686,2504,1596,2996,690,11606.0,113.15681026025754,28.786227085461675
87,0.476,2376,1468,2896,562,11606.0,113.15897561965899,28.78622708546168
88,26.505,3190,2282,906,0,11606.0,113.16980241666614,28.786227085461675
89,24.837,3536,2628,727,366,11606.0,113.17196777606758,28.78622708546168
90,0.738,3568,2660,718,399,11606.0,113.17305045576829,28.78622708546168
91,0.361,3621,2713,757,451,11606.0,113.17413313546899,28.78622708546168
92,6.067,3287,229,844,0,11606.0,113.1161779454645,28.78537664597944
93,15.58,3207,150,766,84,11606.0,113.11726061967926,28.785376645979433
94,16.245,3082,19,635,5,11606.0,113.11834329389399,28.785376645979436
95,27.503,2184,1387,771,328,11606.0,113.13133538447097,28.785376645979433
96,27.464,2045,1605,1172,473,11606.0,113.13350073290044,28.785376645979436
97,28.854,2045,1605,1172,473,11606.0,113.1345834071152,28.785376645979436
98,15.253,1767,817,2673,214,11606.0,113.14432747504793,28.785376645979433
99,17.453,1767,817,2673,214,11606.0,113.14541014926267,28.785376645979436
100,8.221,2007,1057,2914,467,11606.0,113.14757549769215,28.785376645979433
101,7.787,2007,1057,2914,467,11606.0,113.14865817190693,28.785376645979436
102,6.203,2921,2013,3411,1107,11606.0,113.1551542171954,28.785376645979433
103,7.12,2270,1362,2918,456,11606.0,113.15840223983962,28.78537664597944
104,16.47,2270,1362,2918,456,11606.0,113.15948491405436,28.785376645979436
105,21.945,3209,2301,1154,0,11606.0,113.1692289819871,28.785376645979433
106,0.0,3621,2713,757,451,11606.0,113.17247700463135,28.785376645979436
107,1.565,3621,2713,757,451,11606.0,113.1735596788461,28.785376645979436
108,33.702,3985,928,1544,336,11606.0,113.11019146103476,28.784526209123424
109,3.248,3985,928,1544,336,11606.0,113.1112741297638,28.78452620912343
110,14.704,3447,390,1006,155,11606.0,113.11560480467986,28.784526209123428
111,21.996,3094,37,653,10,11606.0,113.1177701421379,28.784526209123428
112,9.585,2894,237,853,210,11606.0,113.11993547959591,28.784526209123428
113,2.866,2894,237,853,210,11606.0,113.12101814832494,28.784526209123424
114,11.93,2636,475,1091,0,11606.0,113.123183485783,28.784526209123428
115,19.111,2184,1387,771,328,11606.0,113.13076216688611,28.784526209123428
116,30.916,1914,1474,1041,342,11606.0,113.13292750434415,28.784526209123424
117,20.843,1914,1474,1041,342,11606.0,113.13401017307315,28.784526209123424
118,14.614,2007,1057,2914,467,11606.0,113.14700219782138,28.784526209123428
119,7.443,1950,1000,2856,525,11606.0,113.14808486655038,28.784526209123424
120,0.593,2045,1095,2952,590,11606.0,113.14916753527939,28.784526209123424
121,1.512,2358,1408,3264,818,11606.0,113.15133287273744,28.784526209123424
