,POP_2015,active_living,community_space,education,food_choices,mobility,ID_HDC_G0,lng,lat
0,104.207,1052,99,2837,1304,974,303.0,-90.31988998817252,15.482203646493614
1,77.44,1052,99,2837,1304,974,303.0,-90.31886917645002,15.482203646493613
2,158.714,0,727,2339,550,575,303.0,-90.31376511783758,15.482203646493614
3,35.309,45,682,2294,505,529,303.0,-90.31274430611509,15.482203646493614
4,110.119,549,546,2112,67,773,303.0,-90.30866105922513,15.482203646493613
5,59.315,549,546,2112,67,773,303.0,-90.30764024750265,15.482203646493614
6,89.881,698,696,2261,221,923,303.0,-90.30661943578016,15.482203646493614
7,57.853,806,803,2369,328,1030,303.0,-90.30559862405768,15.482203646493613
8,59.315,937,935,2500,460,1162,303.0,-90.30457781233518,15.482203646493613
9,51.746,1040,87,2850,1316,986,303.0,-90.31966860151209,15.481383363519909
10,61.881,1052,99,2837,1304,974,303.0,-90.31864779229176,15.481383363519905
11,158.161,76,708,2322,533,498,303.0,-90.31354374619008,15.481383363519909
12,154.199,146,581,2193,404,446,303.0,-90.31252293696973,15.481383363519903
13,111.808,350,516,2128,271,524,303.0,-90.31150212774939,15.481383363519907
14,75.686,350,516,2128,271,524,303.0,-90.31048131852907,15.481383363519909
15,88.517,431,423,2015,55,650,303.0,-90.30946050930874,15.481383363519907
16,146.955,481,479,2044,55,706,303.0,-90.3084397000884,15.481383363519909
17,135.261,638,635,2201,176,862,303.0,-90.30741889086806,15.481383363519909
18,79.877,698,696,2261,221,923,303.0,-90.30639808164774,15.481383363519905
19,152.542,884,882,2447,437,1109,303.0,-90.3053772724274,15.481383363519907
20,170.213,969,966,2532,492,1194,303.0,-90.30435646320703,15.481383363519907
21,109.761,1071,1068,2634,594,1296,303.0,-90.30333565398671,15.481383363519909
22,16.696,1196,1194,2759,780,1421,303.0,-90.30231484476637,15.481383363519907
23,42.553,0,952,3804,2270,1941,303.0,-90.32863448856402,15.480563081788326
24,7.146,0,952,3804,2270,1941,303.0,-90.32761368184569,15.48056308178832
