,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,0.112,937,694,1011,832,1547,1099,1328,3453.0,26.904522474419103,46.59013240117784
1,0.539,937,694,1011,832,1547,1099,1328,3453.0,26.905782964122515,46.59013240117784
2,0.223,925,683,912,782,1535,1000,1316,3453.0,26.904231600165623,46.5892008091647
3,4.424,937,694,1011,832,1547,1099,1328,3453.0,26.90549207624143,46.5892008091647
4,3.736,763,521,1038,659,1373,925,1155,3453.0,26.90675255231725,46.5892008091647
5,35.8,924,742,1153,394,1249,891,1030,3453.0,26.911794456620495,46.5892008091647
6,54.35,920,738,1150,390,1245,888,1026,3453.0,26.913054932696305,46.5892008091647
7,48.272,0,580,3190,1624,2723,2975,3162,3453.0,26.930701597757665,46.5892008091647
8,66.971,334,245,3347,1781,2879,3131,3318,3453.0,26.933222549909296,46.5892008091647
9,1.375,925,683,912,782,1535,1000,1316,3453.0,26.903940740623213,46.5882692230914
10,0.39,925,683,912,782,1535,1000,1316,3453.0,26.905201203072114,46.588269223091395
11,16.653,763,521,1038,659,1373,925,1155,3453.0,26.906461665521014,46.588269223091395
12,5.354,763,521,1038,659,1373,925,1155,3453.0,26.907722127969915,46.588269223091395
13,28.367,916,734,1146,387,1241,884,1022,3453.0,26.91150351531663,46.588269223091395
14,66.06,867,685,1097,337,1192,835,973,3453.0,26.912763977765533,46.588269223091395
15,64.015,38,541,3152,1586,2684,2936,3123,3453.0,26.930410452050182,46.5882692230914
16,11.654,334,245,3347,1781,2879,3131,3318,3453.0,26.932931376947987,46.5882692230914
17,16.84,459,120,3222,1656,2755,3007,3194,3453.0,26.9341918393969,46.58826922309141
18,0.297,592,442,696,75,1448,768,1229,3453.0,26.904910344613523,46.58733764295769
19,18.066,604,454,708,64,1460,780,1241,3453.0,26.90617079343621,46.587337642957685
20,63.699,767,585,997,237,1092,735,873,3453.0,26.91247303754963,46.5873376429577
21,31.413,88,491,3101,1535,2634,2886,3073,3453.0,26.93011932106722,46.58733764295769
22,25.651,459,120,3222,1656,2755,3007,3194,3453.0,26.932640218712585,46.58733764295769
23,55.335,459,120,3222,1656,2755,3007,3194,3453.0,26.93390066753527,46.58733764295769
24,66.896,885,222,3414,1848,2947,3199,3386,3453.0,26.93768201400332,46.58733764295769
25,3.214,686,497,655,526,1542,744,1323,3453.0,26.903359065667505,46.58640606876331
26,0.725,539,389,643,128,1395,715,1176,3453.0,26.904619500864655,46.58640606876331
27,13.041,526,376,630,51,1381,701,1163,3453.0,26.905879936061808,46.58640606876331
28,32.323,459,309,586,92,1315,635,1096,3453.0,26.907140371258965,46.58640606876331
29,59.313,301,59,550,342,1084,476,865,3453.0,26.90840080645612,46.58640606876331
30,24.605,356,0,604,347,1062,531,843,3453.0,26.909661241653275,46.58640606876332
31,10.613,390,61,665,285,1000,552,781,3453.0,26.91092167685043,46.58640606876331
32,61.004,739,557,969,209,1064,707,845,3453.0,26.912182112047585,46.58640606876331
33,60.205,269,332,2921,1355,2454,2706,2893,3453.0,26.92982820480775,46.58640606876332
34,45.446,320,281,2870,1304,2402,2654,2841,3453.0,26.931088640004905,46.5864060687633
35,61.209,492,109,3042,1476,2574,2826,3013,3453.0,26.93234907520206,46.58640606876331
36,64.313,580,0,3151,1585,2684,2936,3123,3453.0,26.933609510399215,46.58640606876332
37,52.603,910,403,3108,1542,2640,2893,3079,3453.0,26.934869945596365,46.5864060687633
38,60.521,948,159,3352,1786,2884,3136,3323,3453.0,26.93739081599068,46.5864060687633
39,71.246,1019,89,3338,1772,2870,3122,3309,3453.0,26.93865125118783,46.58640606876331
40,0.019,513,363,617,153,1369,689,1150,3453.0,26.904328671824473,46.58547450050801
41,5.952,414,264,511,144,1270,589,1051,3453.0,26.905589093396785,46.585474500508
42,45.217,386,236,514,175,1242,562,1023,3453.0,26.9068495149691,46.585474500508006
43,81.227,271,105,509,296,1117,446,898,3453.0,26.90810993654142,46.585474500508006
44,65.632,323,70,577,329,1001,492,782,3453.0,26.909370358113733,46.585474500508006
45,51.264,347,115,622,232,946,506,728,3453.0,26.910630779686045,46.585474500508
46,49.833,540,358,770,10,865,508,646,3453.0,26.911891201258353,46.58547450050801
47,33.142,488,306,717,41,812,455,594,3453.0,26.913151622830668,46.585474500508
48,2.677,929,747,1159,400,1254,897,1035,3453.0,26.916932887547613,46.585474500508006
