,POP_2015,community_space,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,1.635,1122,2410,675,1644,2574,1634.0,-5.909571063794393,35.023795843795426
1,32.105,1122,2410,675,1644,2574,1634.0,-5.908441666553344,35.023795843795426
2,64.073,434,2140,224,2066,2844,1634.0,-5.919656853491747,35.02205082166662
3,63.725,434,2140,224,2066,2844,1634.0,-5.91852747128179,35.02205082166662
4,54.991,287,2198,264,1919,2823,1634.0,-5.9162687068618744,35.02205082166661
5,40.309,287,2198,264,1919,2823,1634.0,-5.915139324651917,35.02205082166661
6,4.178,438,1988,286,1985,2692,1634.0,-5.920746838028426,35.021178315859984
7,48.816,381,2043,171,2013,2746,1634.0,-5.919617463333522,35.02117831585998
8,64.043,334,2040,124,1965,2744,1634.0,-5.918488088638617,35.021178315859984
9,69.992,201,2090,61,1832,2737,1634.0,-5.917358713943718,35.02117831585999
10,62.878,194,2106,115,1826,2730,1634.0,-5.916229339248814,35.021178315859984
11,49.512,198,2110,133,1613,2517,1634.0,-5.915099964553912,35.02117831585999
12,56.218,460,2211,218,1498,2402,1634.0,-5.913970589859008,35.021178315859984
13,44.275,460,2211,218,1498,2402,1634.0,-5.912841215164104,35.02117831585998
14,29.32,598,2168,355,1402,2332,1634.0,-5.910582465774299,35.02117831585999
15,12.442,751,2039,305,1274,2204,1634.0,-5.909453091079396,35.02117831585998
16,38.175,807,2087,352,1321,2251,1634.0,-5.908323716384493,35.02117831585999
17,32.12,518,2042,372,2040,2746,1634.0,-5.9218368092540885,35.02030581355834
18,31.393,448,1998,299,1995,2701,1634.0,-5.9207074420739145,35.020305813558345
19,55.597,354,1928,209,1926,2632,1634.0,-5.919578074893737,35.020305813558345
20,65.315,254,1965,96,1915,2669,1634.0,-5.91844870771356,35.02030581355834
21,71.021,172,2003,38,1841,2696,1634.0,-5.917319340533384,35.02030581355834
22,63.771,91,2002,174,1722,2626,1634.0,-5.916189973353209,35.020305813558345
23,78.302,156,2067,99,1599,2504,1634.0,-5.915060606173032,35.02030581355834
24,66.586,263,2166,21,1495,2399,1634.0,-5.9139312389928556,35.02030581355834
25,45.168,454,2131,211,1417,2321,1634.0,-5.912801871812681,35.020305813558345
26,26.005,505,2154,263,1440,2344,1634.0,-5.911672504632503,35.02030581355834
27,14.804,598,2168,355,1402,2332,1634.0,-5.9105431374523265,35.02030581355834
28,28.729,747,1989,255,1223,2154,1634.0,-5.909413770272152,35.020305813558345
29,14.758,815,2028,306,1262,2192,1634.0,-5.908284403091974,35.02030581355834
30,1.271,1280,2128,491,1362,2292,1634.0,-5.907155035911798,35.02030581355834
31,64.634,518,2023,408,2020,2727,1634.0,-5.921797407503866,35.01943331476157
32,60.198,403,1899,308,1896,2602,1634.0,-5.920668047838088,35.01943331476157
33,55.052,315,1836,260,1833,2539,1634.0,-5.919538688172311,35.01943331476157
