,POP_2015,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,21.518,0,2396,7633.0,77.15907564705833,19.743862034270844
1,87.077,0,2104,7633.0,77.15572053369566,19.743034325343785
2,45.675,46,2350,7633.0,77.15882803856704,19.743034325343785
3,138.364,0,2104,7633.0,77.15547294778048,19.742206618052077
4,145.24,0,1914,7633.0,77.15522537446884,19.74137891239564
5,54.855,59,1973,7633.0,77.15626120277832,19.74137891239564
6,145.017,0,1914,7633.0,77.15497781376042,19.740551208374377
7,95.922,0,1914,7633.0,77.15601363874636,19.740551208374377
8,153.825,435,2191,7633.0,77.15912111370412,19.740551208374377
9,142.749,435,2191,7633.0,77.16015693869002,19.74055120837438
10,140.705,369,1685,7633.0,77.15265862232984,19.739723505988213
11,73.214,411,1775,7633.0,77.15576608731742,19.73972350598822
12,168.096,500,1865,7633.0,77.15680190897993,19.739723505988216
13,167.836,596,1960,7633.0,77.15783773064246,19.739723505988216
14,170.437,435,2191,7633.0,77.15887355230498,19.739723505988213
15,147.692,495,2131,7633.0,77.1599093739675,19.739723505988213
16,152.895,369,1685,7633.0,77.1524110934733,19.738895805237085
17,88.378,304,1668,7633.0,77.1555185484912,19.73889580523709
18,168.616,427,1791,7633.0,77.1565543668305,19.738895805237085
19,156.538,596,1960,7633.0,77.1575901851698,19.738895805237085
20,65.447,546,2081,7633.0,77.15862600350908,19.738895805237085
21,118.704,495,2131,7633.0,77.1596618218484,19.738895805237085
22,122.792,779,1274,7633.0,77.1490561321699,19.7380681061209
23,0.929,274,1639,7633.0,77.15527102226736,19.7380681061209
24,17.244,447,1812,7633.0,77.15630683728361,19.7380681061209
25,34.414,447,1812,7633.0,77.15734265229985,19.7380681061209
26,63.106,779,1274,7633.0,77.14880863848543,19.737240408639583
27,1.301,1091,2866,7633.0,77.16641743727244,19.737240408639583
28,156.761,1091,2866,7633.0,77.1674532489658,19.737240408639583
29,142.415,933,1121,7633.0,77.14856115740167,19.736412712793047
30,146.986,1091,2866,7633.0,77.16720570807311,19.736412712793047
31,15.386,1824,3265,7633.0,77.1410630535817,19.735585018581208
32,42.368,1824,3265,7633.0,77.14209885862978,19.735585018581205
33,12.116,1824,3265,7633.0,77.14081562095498,19.734757326004
34,81.465,1824,3265,7633.0,77.14185142268069,19.734757326004004
35,122.978,1218,836,7633.0,77.14885458815476,19.733929635061344
36,22.336,713,940,7633.0,77.15353869153918,19.73227425807934
37,51.696,713,940,7633.0,77.15457448329876,19.73227425807934
38,180.583,1167,488,7633.0,77.15018390080877,19.73144657203984
39,139.813,1161,488,7633.0,77.14993649795598,19.730618887634556
40,11.372,1112,433,7633.0,77.14968910770173,19.729791204863417
41,3.865,899,159,7633.0,77.14840595157192,19.728963523726353
42,31.144,933,254,7633.0,77.1494417300457,19.72896352372635
43,40.064,791,266,7633.0,77.14815858983478,19.728135844223267
44,1.747,899,159,7633.0,77.14919436498752,19.72813584422327
45,120.228,5000,5000,7633.0,77.1468754688631,19.727308166354085
46,50.878,1058,0,7633.0,77.147911240695,19.727308166354085
47,0.111,1058,0,7633.0,77.14894701252689,19.727308166354085
48,187.273,291,1479,7633.0,77.15516164351824,19.727308166354085
49,107.406,291,1479,7633.0,77.15619741535016,19.72730816635409
50,83.026,613,444,7633.0,77.1466281356411,19.726480490118735
51,139.925,1058,0,7633.0,77.14766390415227,19.72648049011873
52,23.265,1058,0,7633.0,77.14869967266348,19.726480490118732
53,129.668,0,1187,7633.0,77.15284274670829,19.726480490118732
54,184.225,0,1187,7633.0,77.1538785152195,19.72648049011873
55,182.479,291,1479,7633.0,77.1549142837307,19.726480490118732
56,148.101,291,1479,7633.0,77.1559500522419,19.72648049011873
57,169.434,16,1171,7633.0,77.15259540615969,19.725652815517122
58,171.924,132,1253,7633.0,77.15363117135037,19.72565281551713
59,146.206,132,1253,7633.0,77.15466693654106,19.725652815517122
60,171.664,319,1440,7633.0,77.15570270173173,19.725652815517126
61,154.791,213,1223,7633.0,77.15338384007862,19.724825142549186
62,198.013,213,1223,7633.0,77.15441960194894,19.724825142549182
63,170.586,316,1343,7633.0,77.15545536381929,19.724825142549186
64,170.511,343,1371,7633.0,77.15649112568961,19.72482514254919
65,72.583,279,908,7633.0,77.15210076285378,19.723997471214822
66,133.272,279,908,7633.0,77.15313652140394,19.723997471214822
67,174.339,104,1115,7633.0,77.15417227995408,19.723997471214822
68,159.548,196,1223,7633.0,77.15520803850423,19.723997471214822
69,97.297,343,1371,7633.0,77.15624379705437,19.723997471214822
70,0.0,794,2235,7633.0,77.13838864210405,19.723169801513972
71,0.0,794,2235,7633.0,77.13942439733421,19.72316980151397
72,13.119,457,1898,7633.0,77.14149590779445,19.72316980151397
73,81.911,457,1898,7633.0,77.1425316630246,19.72316980151397
74,100.233,282,921,7633.0,77.15185346009584,19.72316980151397
75,143.864,217,1003,7633.0,77.15288921532598,19.72316980151397
76,172.147,104,1115,7633.0,77.15392497055612,19.72316980151397
77,166.423,99,1320,7633.0,77.15496072578625,19.72316980151397
