,POP_2015,community_space,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,17.531,5000,5000,2278,3130,7673.0,78.73116256970084,23.86858248920288
1,38.524,5000,5000,2278,3130,7673.0,78.73221706375838,23.868582489202876
2,178.909,5000,5000,2110,2961,7673.0,78.72768368890478,23.86774565271398
3,130.765,5000,5000,2110,2961,7673.0,78.72873817873781,23.86774565271398
4,42.839,5000,5000,2278,3130,7673.0,78.73190164823687,23.867745652713978
5,11.688,5000,5000,2727,3579,7673.0,78.72315036244437,23.86690881828063
6,227.862,5000,5000,2303,3154,7673.0,78.72525933366182,23.86690881828063
7,151.084,5000,5000,2303,3154,7673.0,78.72631381927056,23.866908818280635
8,106.941,5000,5000,2120,2971,7673.0,78.72736830487928,23.86690881828063
9,126.001,5000,5000,2102,2954,7673.0,78.728422790488,23.86690881828063
10,121.281,5000,5000,2057,2909,7673.0,78.72947727609673,23.866908818280628
11,102.356,5000,5000,2038,2889,7673.0,78.73053176170546,23.866908818280628
12,116.246,5000,5000,2100,2951,7673.0,78.7315862473142,23.86690881828063
13,74.081,5000,5000,2100,2951,7673.0,78.73264073292292,23.86690881828063
14,4.81,5000,5000,195,752,7673.0,78.802236783099,23.866908818280628
15,21.757,5000,5000,206,763,7673.0,78.80329126870774,23.86690881828063
16,15.463,5000,5000,264,489,7673.0,78.80434575431647,23.866908818280628
17,1.124,5000,5000,420,333,7673.0,78.80540023992519,23.86690881828063
18,27.016,5000,5000,420,333,7673.0,78.80645472553394,23.86690881828063
19,59.831,5000,5000,754,0,7673.0,78.80856369675139,23.86690881828063
20,102.625,5000,5000,754,0,7673.0,78.8096181823601,23.86690881828063
21,46.031,5000,5000,2651,3503,7673.0,78.72283500991286,23.866071985902746
22,60.146,5000,5000,2242,3093,7673.0,78.72599845406671,23.86607198590275
23,145.869,5000,5000,2208,3059,7673.0,78.72705293545133,23.866071985902746
24,122.854,5000,5000,2013,2864,7673.0,78.72810741683595,23.866071985902742
25,102.76,5000,5000,2009,2860,7673.0,78.72916189822058,23.866071985902746
26,110.627,5000,5000,1978,2830,7673.0,78.73021637960522,23.86607198590275
27,161.737,5000,5000,2066,2917,7673.0,78.73127086098985,23.86607198590275
28,48.009,5000,5000,2045,2897,7673.0,78.73232534237447,23.866071985902746
29,35.782,5000,5000,315,1020,7673.0,78.79981215099052,23.866071985902742
30,92.331,5000,5000,245,950,7673.0,78.80086663237515,23.866071985902746
31,163.266,5000,5000,184,861,7673.0,78.80192111375975,23.866071985902746
32,206.959,5000,5000,195,752,7673.0,78.80297559514437,23.866071985902746
33,30.972,5000,5000,215,570,7673.0,78.80403007652899,23.86607198590275
34,86.308,5000,5000,253,532,7673.0,78.80508455791363,23.866071985902742
35,77.273,5000,5000,385,411,7673.0,78.80613903929826,23.866071985902746
36,89.769,5000,5000,586,237,7673.0,78.80719352068289,23.866071985902746
37,25.308,5000,5000,586,237,7673.0,78.8082480020675,23.866071985902746
38,61.629,5000,5000,752,36,7673.0,78.80930248345213,23.86607198590275
39,56.55,5000,5000,2603,3538,7673.0,78.72251967197764,23.86523515558024
40,10.654,5000,5000,2577,3428,7673.0,78.72357414913834,23.865235155580244
41,2.248,5000,5000,2161,3236,7673.0,78.72462862629905,23.865235155580237
42,28.05,5000,5000,2169,3207,7673.0,78.72568310345977,23.86523515558024
43,18.745,5000,5000,2143,2994,7673.0,78.72673758062048,23.865235155580233
44,84.555,5000,5000,1938,2789,7673.0,78.7277920577812,23.865235155580237
45,152.342,5000,5000,1839,2690,7673.0,78.72884653494194,23.865235155580233
46,176.122,5000,5000,1870,2722,7673.0,78.72990101210266,23.86523515558023
47,173.964,5000,5000,1882,2733,7673.0,78.73095548926338,23.865235155580237
48,74.89,5000,5000,1931,2782,7673.0,78.73200996642407,23.86523515558023
49,5.529,5000,5000,1367,2068,7673.0,78.73728235222768,23.865235155580233
50,24.544,5000,5000,1675,2376,7673.0,78.74044578370983,23.865235155580237
51,86.668,5000,5000,1702,2415,7673.0,78.74150026087054,23.86523515558023
52,110.537,5000,5000,1659,2316,7673.0,78.74255473803127,23.865235155580237
53,36.861,5000,5000,1651,2236,7673.0,78.743609215192,23.865235155580237
54,66.934,5000,5000,1575,2141,7673.0,78.7446636923527,23.86523515558024
55,51.335,5000,5000,1298,2459,7673.0,78.74571816951342,23.865235155580237
56,8.586,5000,5000,1298,2459,7673.0,78.74677264667412,23.865235155580233
57,96.827,5000,5000,1071,2316,7673.0,78.74782712383485,23.865235155580237
58,57.943,5000,5000,922,2462,7673.0,78.74888160099557,23.865235155580233
59,51.11,5000,5000,899,2382,7673.0,78.74993607815631,23.86523515558024
60,16.902,5000,5000,694,2594,7673.0,78.750990555317,23.86523515558024
61,60.64,5000,5000,605,2676,7673.0,78.75204503247772,23.865235155580233
62,82.397,5000,5000,558,2722,7673.0,78.75309950963843,23.86523515558024
63,4.81,5000,4930,486,2650,7673.0,78.75415398679915,23.865235155580233
64,8.181,5000,5000,1872,4745,7673.0,78.78157039297783,23.865235155580237
65,0.18,5000,5000,1872,4745,7673.0,78.78262487013853,23.865235155580237
66,1.304,5000,5000,1569,4441,7673.0,78.78473382445999,23.865235155580233
67,4.585,5000,5000,1556,4428,7673.0,78.78578830162073,23.865235155580233
68,21.217,5000,5000,1779,4652,7673.0,78.7868427787814,23.865235155580233
69,9.395,5000,5000,1779,4652,7673.0,78.78789725594213,23.865235155580237
70,29.264,5000,5000,957,1794,7673.0,78.7973875503886,23.86523515558023
71,159.67,5000,5000,1024,1861,7673.0,78.79844202754931,23.86523515558023
72,52.684,5000,5000,318,1067,7673.0,78.79949650471005,23.865235155580237
73,253.125,5000,5000,345,1050,7673.0,78.80055098187077,23.865235155580233
74,173.74,5000,5000,148,937,7673.0,78.80160545903146,23.86523515558024
75,147.173,5000,5000,62,768,7673.0,78.80265993619217,23.865235155580237
76,146.409,5000,5000,110,679,7673.0,78.80371441335289,23.86523515558024
77,141.329,5000,5000,184,647,7673.0,78.80476889051361,23.865235155580233
78,191.99,5000,5000,380,501,7673.0,78.80582336767435,23.865235155580233
79,96.018,5000,5000,493,575,7673.0,78.80687784483506,23.86523515558024
80,169.874,5000,5000,622,237,7673.0,78.80793232199576,23.865235155580233
81,142.633,5000,5000,712,111,7673.0,78.8089867991565,23.865235155580237
82,147.263,5000,5000,1102,405,7673.0,78.81215023063865,23.86523515558024
83,51.965,5000,5000,1102,405,7673.0,78.81320470779937,23.865235155580233
84,30.298,5000,5000,2603,3538,7673.0,78.72220434863826,23.86439832731302
85,10.878,5000,5000,2112,3201,7673.0,78.72536776744927,23.864398327313012
86,0.0,5000,5000,2134,3118,7673.0,78.72642224038626,23.864398327313012
87,22.926,5000,5000,1952,2840,7673.0,78.72747671332328,23.864398327313012
88,74.351,5000,5000,1888,2739,7673.0,78.72853118626027,23.864398327313015
89,163.985,5000,5000,1793,2644,7673.0,78.72958565919728,23.864398327313012
90,148.432,5000,5000,1814,2665,7673.0,78.7306401321343,23.864398327313012
91,111.301,5000,5000,1928,2779,7673.0,78.7316946050713,23.864398327313012
92,38.299,5000,5000,1928,2779,7673.0,78.7327490780083,23.864398327313012
93,0.0,5000,5000,1316,2016,7673.0,78.73696696975632,23.864398327313012
94,0.0,5000,5000,1316,2016,7673.0,78.73802144269334,23.864398327313012
95,102.311,5000,5000,1778,2411,7673.0,78.74118486150435,23.864398327313015
96,117.37,5000,5000,1768,2333,7673.0,78.74223933444138,23.864398327313012
97,101.097,5000,5000,1612,2177,7673.0,78.74329380737838,23.86439832731302
98,75.609,5000,5000,1480,2046,7673.0,78.74434828031536,23.864398327313015
99,110.672,5000,5000,1429,1995,7673.0,78.74540275325236,23.864398327313012
100,35.737,5000,5000,1213,2173,7673.0,78.74751169912639,23.864398327313015
101,123.213,5000,5000,1213,2173,7673.0,78.74856617206339,23.86439832731302
102,158.726,5000,5000,955,2326,7673.0,78.74962064500039,23.864398327313015
103,8.091,5000,5000,799,2483,7673.0,78.7506751179374,23.864398327313012
104,11.822,5000,5000,585,2696,7673.0,78.75172959087442,23.86439832731301
105,51.47,5000,4930,486,2650,7673.0,78.7527840638114,23.864398327313015
106,40.232,5000,4891,436,2610,7673.0,78.75383853674842,23.864398327313015
107,10.114,5000,4915,402,2635,7673.0,78.75489300968542,23.864398327313012
108,1.573,4937,4807,230,2748,7673.0,78.75594748262243,23.864398327313012
109,51.38,4937,4807,230,2748,7673.0,78.75700195555943,23.864398327313012
110,0.27,5000,5000,1589,4462,7673.0,78.78230930604757,23.864398327313015
111,17.262,5000,5000,1530,4403,7673.0,78.78336377898458,23.864398327313012
112,0.764,5000,5000,1489,4362,7673.0,78.78441825192158,23.864398327313012
113,84.465,5000,5000,1464,4337,7673.0,78.78547272485858,23.864398327313015
114,8.945,5000,5000,1572,4445,7673.0,78.78652719779559,23.86439832731302
115,50.436,5000,5000,1863,4736,7673.0,78.78758167073262,23.864398327313015
116,15.553,5000,5000,1863,4736,7673.0,78.78863614366962,23.864398327313012
117,81.138,5000,5000,939,1775,7673.0,78.79601745422866,23.864398327313012
118,221.658,5000,5000,915,1751,7673.0,78.79707192716565,23.864398327313012
119,111.751,5000,5000,936,1773,7673.0,78.79812640010267,23.864398327313012
120,86.982,5000,5000,281,1154,7673.0,78.79918087303969,23.864398327313012
121,202.194,5000,5000,75,1053,7673.0,78.80023534597669,23.864398327313015
122,204.801,5000,5000,18,996,7673.0,78.80128981891369,23.864398327313015
123,220.085,5000,5000,113,884,7673.0,78.80234429185069,23.864398327313012
124,190.147,5000,5000,153,834,7673.0,78.80339876478772,23.864398327313012
125,184.843,5000,5000,257,730,7673.0,78.80445323772469,23.864398327313015
126,189.967,5000,5000,324,604,7673.0,78.80550771066171,23.864398327313015
127,206.285,5000,5000,509,590,7673.0,78.80656218359871,23.864398327313015
128,187.944,5000,5000,578,448,7673.0,78.80761665653573,23.864398327313015
129,191.81,5000,5000,749,210,7673.0,78.80867112947273,23.864398327313012
130,199.947,5000,5000,717,242,7673.0,78.80972560240974,23.864398327313015
131,86.128,5000,5000,1102,405,7673.0,78.81288902122074,23.864398327313015
132,19.554,5000,5000,1890,3385,7673.0,78.72294350860773,23.863561501100985
133,37.535,5000,5000,1906,3358,7673.0,78.72399797732123,23.863561501100985
134,0.494,5000,5000,2052,3201,7673.0,78.72505244603471,23.86356150110098
135,25.443,5000,5000,1869,2874,7673.0,78.72716138346169,23.86356150110098
136,19.105,5000,5000,1888,2788,7673.0,78.72821585217517,23.863561501100982
137,86.308,5000,5000,1716,2567,7673.0,78.72927032088867,23.863561501100982
138,185.157,5000,5000,1649,2500,7673.0,78.73032478960215,23.863561501100985
139,87.387,5000,5000,1766,2618,7673.0,78.73137925831566,23.863561501100982
140,0.0,5000,5000,1172,1873,7673.0,78.73770607059657,23.86356150110098
141,1.214,5000,5000,1747,2312,7673.0,78.74086947673705,23.863561501100982
142,65.36,5000,5000,1721,2287,7673.0,78.74192394545054,23.863561501100985
143,135.081,5000,5000,1525,2090,7673.0,78.74297841416401,23.86356150110098
144,105.547,5000,5000,1444,2010,7673.0,78.74403288287752,23.863561501100985
145,124.157,5000,5000,1402,1968,7673.0,78.745087351591,23.863561501100985
146,26.567,5000,5000,1226,2161,7673.0,78.74719628901798,23.863561501100982
147,80.554,5000,5000,1226,2161,7673.0,78.74825075773148,23.863561501100985
148,71.923,5000,5000,1031,2215,7673.0,78.74930522644497,23.863561501100985
149,46.211,5000,5000,1031,2215,7673.0,78.75035969515845,23.86356150110098
