,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,101.967,1883,1659,2683,523,1498,11453.0,114.11383700752206,31.57583174438058
1,109.754,1888,1664,2678,529,1493,11453.0,114.11493892320347,31.57583174438058
2,112.371,1359,1135,2161,0,977,11453.0,114.11934658592904,31.57583174438058
3,71.712,1359,1135,2161,0,977,11453.0,114.12044850161043,31.57583174438058
4,174.765,1893,1669,2672,534,1488,11453.0,114.1131822444599,31.57497214631508
5,121.978,1893,1669,2672,534,1488,11453.0,114.11428415381874,31.574972146315076
6,122.488,1359,1135,2161,0,977,11453.0,114.118691791254,31.574972146315073
7,61.531,1361,1138,2154,10,966,11453.0,114.11979370061279,31.574972146315076
8,46.851,559,336,2137,799,948,11453.0,114.12860897548333,31.574972146315073
9,11.17,110,112,2553,1248,1397,11453.0,114.13191470355979,31.574972146315073
10,25.979,0,21,2664,1359,1508,11453.0,114.13301661291861,31.574972146315073
11,30.064,53,74,2689,1384,1533,11453.0,114.13411852227745,31.574972146315076
12,113.584,566,343,2130,805,941,11453.0,114.12795415228497,31.574112551243573
13,29.776,510,286,2187,849,998,11453.0,114.12905605532148,31.57411255124357
14,0.096,308,85,2375,1050,1199,11453.0,114.13015795835798,31.57411255124357
15,30.255,298,74,2375,1060,1209,11453.0,114.1312598613945,31.574112551243566
16,107.457,54,0,2680,1375,1524,11453.0,114.13236176443102,31.574112551243573
17,34.372,76,60,2661,1356,1505,11453.0,114.13346366746754,31.574112551243566
18,31.966,327,6,2486,1182,1331,11453.0,114.13060504760873,31.573252959165956
19,74.808,298,19,2530,1226,1375,11453.0,114.13170694432323,31.57325295916596
20,18.957,251,50,2570,1265,1414,11453.0,114.13280884103771,31.573252959165956
21,48.6,385,0,2544,1240,1389,11453.0,114.12995026220125,31.572393370082096
22,42.287,361,33,2586,1281,1430,11453.0,114.13105215259395,31.572393370082096
23,32.84,349,97,2640,1335,1484,11453.0,114.13215404298668,31.5723933700821
24,61.563,348,167,2701,1396,1545,11453.0,114.13325593337942,31.572393370082096
25,121.339,1968,1344,2138,576,955,11453.0,114.11276724410219,31.57153378399188
26,156.446,1968,1344,2138,576,955,11453.0,114.11386912817342,31.571533783991885
27,92.521,460,75,2619,1315,1464,11453.0,114.13039738924209,31.57153378399188
28,45.159,394,148,2698,1393,1543,11453.0,114.13149927331335,31.571533783991885
29,75.852,348,167,2701,1396,1545,11453.0,114.13260115738454,31.57153378399188
30,108.925,1968,1344,2138,576,955,11453.0,114.11211261026581,31.570674200895194
31,84.35,1968,1344,2138,576,955,11453.0,114.11321448801586,31.5706742008952
32,131.361,1411,787,1581,19,399,11453.0,114.11872387676601,31.570674200895198
33,134.456,1408,785,1579,17,388,11453.0,114.11982575451607,31.570674200895198
34,129.222,1411,787,1581,19,399,11453.0,114.11806923337458,31.569814620791924
35,115.084,1400,776,1570,8,384,11453.0,114.11917110480371,31.569814620791927
36,123.51,1111,1155,1355,387,8,11453.0,114.122476719091,31.569814620791917
37,111.574,1107,1151,1350,383,4,11453.0,114.1235785905201,31.569814620791927
38,133.722,1226,1270,1469,502,123,11453.0,114.12468046194923,31.569814620791924
39,71.425,1306,1350,1549,582,203,11453.0,114.12578233337831,31.569814620791917
40,134.393,1103,1147,1346,379,0,11453.0,114.12182207878796,31.568955043681935
41,141.095,1103,1147,1346,379,0,11453.0,114.12292394389641,31.568955043681942
42,117.893,934,1116,1515,547,168,11453.0,114.12402580900482,31.56895504368193
43,65.744,958,1139,1538,582,203,11453.0,114.12512767411327,31.568955043681942
44,0.032,845,1026,1446,637,257,11453.0,114.1262295392217,31.56895504368193
45,33.51,1259,1286,1696,830,451,11453.0,114.12733140433015,31.56895504368194
46,112.212,1231,1258,1668,852,472,11453.0,114.12843326943859,31.568955043681935
47,119.584,845,1026,1446,637,257,11453.0,114.12447304321992,31.56809546956511
48,2.106,845,1026,1446,637,257,11453.0,114.12557490200801,31.568095469565115
49,22.979,1233,1282,1691,825,446,11453.0,114.12667676079604,31.568095469565115
50,123.478,1228,1255,1665,848,469,11453.0,114.12777861958409,31.56809546956512
51,126.733,1425,1452,1862,1045,666,11453.0,114.12888047837217,31.56809546956512
52,101.01,1425,1452,1862,1045,666,11453.0,114.12998233716019,31.568095469565115
53,120.446,1421,1448,1858,1041,661,11453.0,114.12932770303682,31.567235898441343
54,71.712,1244,621,1404,0,1769,11453.0,114.11104355891452,31.566376330310504
55,74.425,1244,621,1404,0,1769,11453.0,114.11214540506259,31.566376330310504
56,0.702,988,1015,1425,1082,703,11453.0,114.12536755883984,31.56637633031051
57,116.137,988,1015,1425,1082,703,11453.0,114.1264694049879,31.5663763303105
58,120.988,1487,591,1186,350,2012,11453.0,114.11128386957483,31.56379764387437
59,111.829,1487,591,1186,350,2012,11453.0,114.11238569676505,31.56379764387437
60,142.148,623,0,793,621,1147,11453.0,114.11679300552595,31.563797643874366
61,126.893,623,0,793,621,1147,11453.0,114.11789483271619,31.56379764387437
62,123.733,1487,591,1186,350,2012,11453.0,114.11062946575518,31.562938087714066
63,126.51,1487,591,1186,350,2012,11453.0,114.11173128662666,31.562938087714066
64,122.137,623,0,793,621,1147,11453.0,114.11613857011258,31.562938087714063
65,126.254,626,2,791,618,1150,11453.0,114.11724039098408,31.56293808771407
66,90.095,287,347,447,447,900,11453.0,114.11989142127345,31.56207853454608
67,135.573,281,342,451,451,894,11453.0,114.12099323582646,31.562078534546078
68,155.903,287,347,447,447,900,11453.0,114.11923701731047,31.561218984370324
69,107.68,221,379,385,385,960,11453.0,114.12033882554529,31.561218984370324
70,123.829,221,379,379,379,966,11453.0,114.1214406337801,31.561218984370317
71,76.148,82,518,518,518,1100,11453.0,114.12254244201493,31.561218984370324
72,3.0,0,601,601,601,1103,11453.0,114.12364425024973,31.561218984370317
73,51.638,359,773,773,773,1355,11453.0,114.12474605848456,31.56121898437032
74,84.893,358,790,790,790,1340,11453.0,114.1258478667194,31.561218984370324
75,140.807,1002,166,701,701,1526,11453.0,114.11527723595762,31.560359437186662
76,112.371,152,513,513,513,1100,11453.0,114.12188804745901,31.560359437186655
77,44.425,57,608,608,608,1160,11453.0,114.12298984937591,31.56035943718666
78,11.489,380,771,771,771,1358,11453.0,114.1240916512928,31.560359437186655
79,137.616,416,848,848,848,1398,11453.0,114.1251934532097,31.560359437186655
80,141.35,416,848,848,848,1398,11453.0,114.12629525512662,31.56035943718666
81,112.627,1135,0,534,534,1693,11453.0,114.11462290766809,31.559499892994975
82,105.637,587,1020,1020,1020,1570,11453.0,114.1256408636606,31.559499892994975
83,124.116,587,1020,1020,1020,1570,11453.0,114.12674265925986,31.559499892994975
84,114.925,1244,0,643,643,1802,11453.0,114.11286681845435,31.55864035179515
85,120.988,1190,0,589,589,1747,11453.0,114.11396860773621,31.558640351795148
86,116.425,900,235,299,299,1646,11453.0,114.11617218629995,31.55864035179515
87,120.701,900,235,299,299,1646,11453.0,114.11727397558184,31.55864035179515
88,132.669,601,0,0,0,1346,11453.0,114.11947755414559,31.55864035179515
89,147.669,601,0,0,0,1346,11453.0,114.12057934342745,31.558640351795155
90,104.375,587,1020,1020,1020,1570,11453.0,114.12498650055495,31.558640351795145
91,122.01,587,1020,1020,1020,1570,11453.0,114.12608828983683,31.558640351795148
92,159.541,1244,0,643,643,1802,11453.0,114.11331433616074,31.557780813587065
93,133.946,900,235,299,299,1646,11453.0,114.1155179020903,31.55778081358707
94,130.116,900,235,299,299,1646,11453.0,114.11661968505504,31.557780813587062
95,133.754,601,0,0,0,1346,11453.0,114.11882325098462,31.557780813587065
96,129.829,601,0,0,0,1346,11453.0,114.1199250339494,31.557780813587065
97,153.765,1159,558,558,558,1904,11453.0,114.11885741465466,31.55348316741855
