,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,23.252,3129,2948,1085,1227,2665,4931,4890,890.0,-78.9007042257647,43.064289062967816
1,12.326,3058,2702,89,981,2420,5000,5000,890.0,-78.89706536994672,43.06428906296783
2,15.566,3144,2789,21,1067,2506,5000,5000,890.0,-78.89585241800734,43.06428906296782
3,11.086,2293,1880,1207,1248,1635,5000,3141,890.0,-78.87644518697802,43.06428906296783
4,21.737,2293,1880,1207,1248,1635,5000,3141,890.0,-78.87523223503867,43.064289062967816
5,9.457,2282,1808,1252,992,1562,5000,2886,890.0,-78.87401928309936,43.06428906296783
6,5.809,2354,1810,1241,982,1635,5000,2875,890.0,-78.87280633116,43.06428906296782
7,5.461,2394,1710,1129,869,1675,5000,2762,890.0,-78.87159337922066,43.06428906296782
8,2.988,2518,1595,993,734,1810,5000,2627,890.0,-78.87038042728133,43.06428906296783
9,9.223,2416,1492,891,632,1711,5000,2525,890.0,-78.86916747534201,43.064289062967816
10,12.948,2516,1592,774,514,1810,5000,2407,890.0,-78.86795452340267,43.06428906296782
11,10.184,2630,1492,657,397,1924,5000,2290,890.0,-78.86674157146334,43.06428906296783
12,12.188,2671,1533,698,438,1965,5000,2286,890.0,-78.86552861952399,43.064289062967816
13,0.0,2821,1683,741,588,2116,5000,2099,890.0,-78.86431566758468,43.06428906296783
14,0.0,2834,1696,728,601,2128,5000,2086,890.0,-78.86310271564535,43.06428906296782
15,0.0,2948,1809,525,641,2242,5000,1972,890.0,-78.86188976370602,43.06428906296783
16,12.026,2917,1779,495,611,2212,5000,1942,890.0,-78.86067681176667,43.064289062967816
17,15.159,3360,1737,215,1032,2015,5000,1483,890.0,-78.85703795594866,43.064289062967816
18,11.902,3360,1737,215,1032,2015,5000,1483,890.0,-78.85582500400933,43.06428906296782
19,11.054,3451,1672,397,859,1950,5000,1418,890.0,-78.85461205207,43.06428906296782
20,9.002,3464,1476,184,782,1754,5000,1222,890.0,-78.85339910013067,43.06428906296782
21,9.063,3561,1497,282,685,1775,5000,1243,890.0,-78.85218614819132,43.06428906296783
22,3.196,4161,751,1027,60,1029,5000,497,890.0,-78.84490843655534,43.06428906296783
23,2.397,4175,764,1041,73,1042,5000,510,890.0,-78.843695484616,43.06428906296783
24,8.583,3096,2915,1053,1194,2633,4899,4857,890.0,-78.90118214292893,43.06337843654687
25,7.208,3129,2948,1085,1227,2665,4931,4890,890.0,-78.89996920228923,43.06337843654688
26,8.527,2985,2630,162,908,2347,5000,5000,890.0,-78.8975433210098,43.06337843654688
27,15.945,2986,2631,160,910,2348,5000,5000,890.0,-78.8963303803701,43.06337843654687
28,20.96,2858,2502,291,781,2220,5000,5000,890.0,-78.89511743973038,43.06337843654687
29,7.698,2769,2414,380,692,2131,5000,5000,890.0,-78.89390449909067,43.06337843654688
30,19.041,2648,2292,501,571,2010,4981,4940,890.0,-78.89269155845096,43.06337843654687
31,11.866,2384,2029,771,308,1746,4717,4676,890.0,-78.88905273653184,43.06337843654688
32,29.254,2276,1803,1247,987,1557,5000,2880,890.0,-78.87328450821559,43.06337843654687
33,19.751,2359,1745,1164,904,1640,5000,2797,890.0,-78.87207156757584,43.06337843654687
34,8.588,2394,1710,1129,869,1675,5000,2762,890.0,-78.87085862693615,43.06337843654688
35,11.484,2518,1595,993,734,1810,5000,2627,890.0,-78.86964568629645,43.06337843654687
36,14.692,2416,1492,891,632,1711,5000,2525,890.0,-78.86843274565673,43.06337843654688
37,26.939,2516,1592,774,514,1810,5000,2407,890.0,-78.86721980501702,43.06337843654687
38,18.61,2630,1492,657,397,1924,5000,2290,890.0,-78.8660068643773,43.06337843654687
39,0.0,2630,1492,657,397,1924,5000,2290,890.0,-78.8647939237376,43.06337843654688
40,0.0,2676,1538,0,329,1971,5000,2073,890.0,-78.86358098309788,43.06337843654687
41,0.0,2676,1538,0,329,1971,5000,2073,890.0,-78.86236804245816,43.063378436546884
42,0.0,2838,1700,416,532,2133,5000,2002,890.0,-78.86115510181845,43.06337843654687
43,14.83,2838,1700,416,532,2133,5000,2002,890.0,-78.85994216117875,43.06337843654688
44,20.642,3264,1656,118,961,1933,5000,1402,890.0,-78.85630333925961,43.06337843654688
45,19.578,3382,1537,0,1011,1815,5000,1283,890.0,-78.8550903986199,43.06337843654687
46,16.916,3408,1437,67,911,1715,5000,1183,890.0,-78.85387745798019,43.06337843654688
47,18.503,3390,1386,110,876,1664,5000,1132,890.0,-78.8526645173405,43.06337843654687
48,14.158,3636,1099,398,718,1376,5000,845,890.0,-78.85023863606105,43.06337843654688
49,10.41,3636,1087,409,707,1364,5000,833,890.0,-78.84902569542135,43.06337843654687
50,18.692,3936,670,824,296,948,5000,416,890.0,-78.84538687350219,43.06337843654688
51,8.776,3936,667,824,291,945,5000,413,890.0,-78.8441739328625,43.06337843654687
52,0.379,4011,604,892,221,881,5000,350,890.0,-78.84296099222279,43.06337843654687
53,18.9,3008,2827,964,1105,2544,4810,4769,890.0,-78.90044714302644,43.06246781516901
54,13.861,2535,2179,615,458,1896,4868,4826,890.0,-78.89316956698269,43.06246781516901
55,11.527,2443,2088,707,366,1805,4776,4735,890.0,-78.89195663764207,43.06246781516901
56,11.127,2443,2088,707,366,1805,4776,4735,890.0,-78.89074370830144,43.062467815169
57,18.911,2278,1923,764,201,1640,4611,4570,890.0,-78.88953077896083,43.06246781516901
58,21.859,2284,1929,770,207,1646,4617,4576,890.0,-78.88831784962018,43.06246781516899
59,4.639,2080,1724,565,1104,1441,4746,4682,890.0,-78.88104027357645,43.062467815169
60,13.002,2080,1724,565,1104,1441,4746,4682,890.0,-78.87982734423579,43.06246781516901
61,19.381,2091,1725,866,1283,1452,4835,3473,890.0,-78.87740148555457,43.062467815169
62,0.935,2046,1634,967,1192,1388,4896,3381,890.0,-78.87618855621392,43.062467815169
63,0.0,1992,1579,1100,1022,1333,4854,3211,890.0,-78.87497562687331,43.062467815169
64,12.271,2069,1595,1243,914,1349,4931,3088,890.0,-78.8737626975327,43.062467815169
65,19.396,2069,1595,1243,914,1349,4931,3088,890.0,-78.87254976819207,43.062467815169
66,18.355,2450,1311,476,217,1744,5000,2337,890.0,-78.86648512148895,43.062467815169
67,0.0,2450,1311,476,217,1744,5000,2337,890.0,-78.86527219214831,43.062467815169
68,0.0,2569,1431,106,222,1864,5000,1967,890.0,-78.86405926280767,43.062467815169
69,0.0,2593,1455,130,246,1888,5000,1960,890.0,-78.86284633346705,43.062467815169
70,0.0,2684,1546,235,350,1978,5000,1863,890.0,-78.86163340412642,43.06246781516899
71,32.03,2759,1621,337,453,2054,5000,1736,890.0,-78.86042047478581,43.062467815169
72,17.03,2860,1721,438,553,2117,5000,1636,890.0,-78.85920754544517,43.062467815169
73,0.0,3283,1439,47,1003,1716,5000,1185,890.0,-78.85435582808267,43.06246781516901
74,0.0,3273,1429,57,993,1706,5000,1175,890.0,-78.85314289874205,43.062467815169
75,15.159,3529,1110,376,736,1388,5000,856,890.0,-78.84950411072016,43.06246781516899
76,21.145,3628,1082,413,707,1359,5000,828,890.0,-78.84829118137955,43.062467815169
77,28.844,3710,886,600,512,1164,5000,632,890.0,-78.84707825203893,43.062467815169
78,31.137,3936,670,824,296,948,5000,416,890.0,-78.84465239335766,43.06246781516899
79,9.417,4135,507,1025,350,754,5000,220,890.0,-78.84343946401707,43.062467815169
80,0.0,4130,470,1020,346,797,5000,214,890.0,-78.8422265346764,43.062467815169
81,10.459,2939,2758,896,1037,2476,4742,4700,890.0,-78.89971217799435,43.061557198834
82,12.112,2125,1769,610,48,1486,4458,4416,890.0,-78.89000883365777,43.061557198834
83,11.428,2125,1769,610,48,1486,4458,4416,890.0,-78.88879591561569,43.061557198834
84,6.635,2109,1754,595,539,1471,4776,4712,890.0,-78.88637007953153,43.061557198834
85,35.831,2109,1754,595,539,1471,4776,4712,890.0,-78.88515716148945,43.061557198834
86,23.511,1999,1644,485,724,1361,4665,4601,890.0,-78.8839442434474,43.061557198834
87,3.164,1999,1644,485,724,1361,4665,4601,890.0,-78.8827313254053,43.061557198834
88,28.172,2080,1724,565,1104,1441,4746,4682,890.0,-78.88030548932117,43.061557198834
89,15.177,2080,1724,565,1104,1441,4746,4682,890.0,-78.87909257127909,43.061557198834
90,7.738,1897,1484,951,1075,1239,4747,3264,890.0,-78.87666673519496,43.061557198834
91,0.0,1999,1586,1052,1070,1340,4849,3259,890.0,-78.87545381715285,43.061557198833995
92,0.0,1992,1579,1100,1022,1333,4854,3211,890.0,-78.87424089911077,43.061557198834
93,0.027,2044,1570,1218,889,1324,4906,3071,890.0,-78.87302798106872,43.061557198834
94,16.64,2069,1595,1243,914,1349,4931,3088,890.0,-78.87181506302665,43.061557198834
95,37.513,2367,1229,420,134,1662,5000,2280,890.0,-78.86696339085833,43.061557198834
96,0.0,2334,1196,361,88,1629,5000,2221,890.0,-78.86575047281625,43.061557198834
97,0.0,2389,1250,294,41,1683,5000,2154,890.0,-78.86453755477417,43.061557198834
98,11.527,2441,1303,234,94,1736,5000,2095,890.0,-78.8633246367321,43.061557198833995
99,10.24,2569,1431,106,222,1864,5000,1967,890.0,-78.86211171869002,43.06155719883399
100,18.509,2612,1474,389,504,1907,5000,1975,890.0,-78.86089880064796,43.061557198833995
101,18.729,2658,1520,434,550,1953,5000,2020,890.0,-78.85968588260586,43.061557198834
102,13.025,2860,1721,438,553,2117,5000,1636,890.0,-78.85847296456379,43.061557198833995
103,15.086,2950,1796,432,647,2023,5000,1541,890.0,-78.85726004652172,43.061557198834
104,0.0,3066,1680,316,762,1907,5000,1426,890.0,-78.85604712847964,43.061557198834
105,0.0,3043,1591,287,1203,1657,5000,1337,890.0,-78.85483421043757,43.061557198834
106,16.288,3143,1491,188,1103,1602,5000,1237,890.0,-78.85362129239547,43.061557198834
107,25.619,3237,1397,282,1023,1510,5000,1143,890.0,-78.85240837435343,43.061557198834
108,23.871,3237,1397,282,1023,1510,5000,1143,890.0,-78.85119545631136,43.061557198834
109,26.036,3529,1110,376,736,1388,5000,856,890.0,-78.84876962022719,43.061557198834
110,19.206,3576,1020,734,645,1297,5000,766,890.0,-78.84755670218512,43.061557198834
111,17.834,3619,977,691,603,1255,5000,723,890.0,-78.84634378414304,43.061557198834
112,0.0,4299,442,1203,529,662,5000,29,890.0,-78.8427050300168,43.061557198834
113,0.0,4250,356,1143,465,706,5000,123,890.0,-78.84149211197474,43.061557198834
114,1.711,4414,790,2123,1383,1434,5000,1104,890.0,-78.84027919393267,43.061557198834
115,11.893,2830,2475,612,754,2192,4773,4732,890.0,-78.89897724783054,43.060646587541655
116,10.739,2830,2475,612,754,2192,4773,4732,890.0,-78.89776434108647,43.060646587541655
117,19.153,2682,2327,464,606,2044,4922,4880,890.0,-78.89655143434241,43.060646587541655
118,21.261,2555,2199,592,478,1917,4872,4830,890.0,-78.89533852759835,43.060646587541655
119,22.575,2423,2067,724,346,1784,4740,4698,890.0,-78.8941256208543,43.060646587541655
120,21.028,2383,2028,764,306,1745,4708,4667,890.0,-78.89291271411022,43.060646587541655
121,17.948,2252,1897,738,176,1614,4585,4544,890.0,-78.89169980736618,43.060646587541655
122,18.476,2252,1897,738,176,1614,4585,4544,890.0,-78.89048690062211,43.060646587541655
123,23.113,2076,1721,562,0,1438,4409,4368,890.0,-78.88927399387805,43.060646587541655
124,11.345,1955,1600,441,158,1317,4568,4527,890.0,-78.88806108713398,43.060646587541655
125,7.082,2000,1645,486,224,1362,4634,4593,890.0,-78.88684818038993,43.060646587541655
126,10.891,1920,1565,406,645,1282,4587,4523,890.0,-78.8844223669018,43.060646587541655
127,19.875,1920,1565,406,645,1282,4587,4523,890.0,-78.88320946015773,43.060646587541655
128,11.637,1999,1644,485,724,1361,4665,4601,890.0,-78.88199655341366,43.060646587541655
129,6.803,1795,1440,844,1103,1157,4637,3292,890.0,-78.87714492643742,43.06064658754165
130,0.0,1799,1387,957,971,1141,4662,3160,890.0,-78.87593201969337,43.060646587541655
131,0.0,1833,1390,1102,824,1145,4696,3014,890.0,-78.87471911294931,43.06064658754165
132,0.0,1890,1413,1079,750,1171,4753,2940,890.0,-78.87350620620525,43.060646587541655
133,3.814,2009,1312,923,594,1290,4872,2784,890.0,-78.87229329946118,43.060646587541655
134,12.173,2121,1197,808,479,1405,4983,2668,890.0,-78.87108039271715,43.060646587541655
