,POP_2015,active_living,community_space,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,58.143,2130,2309,3097,428,1625,8649.0,79.4409714597681,10.6763830196064
1,102.2,2130,2309,3097,428,1625,8649.0,79.4419800483005,10.676383019606398
2,86.889,2130,2309,3097,428,1625,8649.0,79.44084005677682,10.675568827051194
3,1.301,2130,2309,3097,428,1625,8649.0,79.44184864364092,10.675568827051196
4,6.89,1526,287,2609,1184,1446,8649.0,79.45180310156942,10.674754635330348
5,14.813,1526,287,2609,1184,1446,8649.0,79.45281168676534,10.674754635330348
6,66.028,1604,173,2687,1263,1524,8649.0,79.45482885715718,10.674754635330348
7,87.157,1988,2168,2956,148,1484,8649.0,79.44057728268018,10.673940444443785
8,12.172,1982,2162,2950,142,1477,8649.0,79.44158586620809,10.673940444443787
9,20.249,1632,1812,2600,1067,1128,8649.0,79.44562020031962,10.673940444443785
10,135.654,1632,1812,2600,1067,1128,8649.0,79.44662878384753,10.673940444443785
11,107.1,1519,1698,2486,953,1014,8649.0,79.44763736737542,10.673940444443785
12,20.631,1497,317,2580,1156,1417,8649.0,79.451671701487,10.673940444443785
13,121.147,1469,347,2552,1127,1389,8649.0,79.45268028501488,10.673940444443785
14,145.76,1411,19,2494,1070,1331,8649.0,79.45368886854278,10.673940444443787
15,88.497,1581,150,2664,1239,1501,8649.0,79.45469745207066,10.673940444443785
16,47.081,1654,223,2737,1313,1574,8649.0,79.45570603559855,10.673940444443785
17,93.358,1982,2162,2950,142,1477,8649.0,79.44044591157447,10.673126254391446
18,115.253,1982,2162,2950,142,1477,8649.0,79.44145449343445,10.673126254391446
19,64.535,1632,1812,2600,1067,1128,8649.0,79.44548882087443,10.673126254391446
20,108.324,1632,1812,2600,1067,1128,8649.0,79.44649740273444,10.673126254391445
21,158.2,1483,1662,2451,917,978,8649.0,79.44750598459443,10.673126254391446
22,169.874,1396,1575,2363,830,891,8649.0,79.44851456645442,10.673126254391443
23,155.252,1403,1582,2370,837,898,8649.0,79.44952314831441,10.673126254391446
24,47.004,1469,347,2552,1127,1389,8649.0,79.4515403120344,10.673126254391445
25,123.98,1337,216,2420,996,1257,8649.0,79.4525488938944,10.673126254391446
26,131.559,1335,95,2417,993,1254,8649.0,79.4535574757544,10.673126254391443
27,150.2,1558,127,2640,1216,1477,8649.0,79.4545660576144,10.673126254391445
28,75.904,1654,223,2737,1313,1574,8649.0,79.45557463947436,10.673126254391445
29,128.65,1996,2175,2963,0,1491,8649.0,79.44031455109696,10.672312065173259
30,88.65,1996,2175,2963,0,1491,8649.0,79.4413231312892,10.67231206517326
31,44.057,1565,1744,2533,491,1060,8649.0,79.4443488718659,10.67231206517326
32,138.372,1565,1744,2533,491,1060,8649.0,79.44535745205813,10.672312065173259
33,149.932,1285,1464,2252,719,780,8649.0,79.4473746124426,10.672312065173259
34,142.008,1341,1520,2308,775,836,8649.0,79.44838319263485,10.67231206517326
35,63.349,1403,1582,2370,837,898,8649.0,79.44939177282707,10.672312065173259
36,15.847,1337,216,2420,996,1257,8649.0,79.45241751340376,10.672312065173259
37,103.884,1276,154,2359,934,1196,8649.0,79.45342609359598,10.672312065173259
38,142.583,1881,2061,2849,114,1376,8649.0,79.44018320124754,10.671497876789159
39,169.836,1881,2061,2849,114,1376,8649.0,79.44119177977214,10.671497876789159
40,157.664,1711,1890,2678,285,1206,8649.0,79.44220035829673,10.671497876789156
41,128.994,1566,1745,2533,271,1061,8649.0,79.44320893682135,10.671497876789156
42,128.803,1566,1745,2533,271,1061,8649.0,79.44421751534595,10.671497876789156
