,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,207.191,1147,2335,3479,1367,4533,7145.0,77.83871027337439,28.426724252212964
1,325.922,1079,2197,3300,1299,4395,7145.0,77.83724190529107,28.42587491414881
2,38.83,1079,2197,3300,1299,4395,7145.0,77.83832228035305,28.425874914148807
3,1.551,795,2229,3735,1140,4424,7145.0,77.85344753122126,28.425874914148807
4,0.0,795,2229,3735,1140,4424,7145.0,77.85452790628327,28.425874914148807
5,136.998,2595,243,5000,3015,4632,7145.0,77.86209053171737,28.425874914148807
6,176.345,1067,2184,3287,1286,4382,7145.0,77.83685393467297,28.425025578666048
7,131.483,948,2065,3168,1167,4263,7145.0,77.83793430434997,28.42502557866605
8,311.906,1022,2140,3243,1242,4338,7145.0,77.839014674027,28.425025578666048
9,0.0,805,1992,3325,1024,4190,7145.0,77.84333615273502,28.425025578666055
10,4.021,805,1992,3325,1024,4190,7145.0,77.84441652241203,28.425025578666048
11,22.919,750,2178,3685,1101,4376,7145.0,77.84549689208903,28.425025578666048
12,16.198,750,2178,3685,1101,4376,7145.0,77.84657726176606,28.42502557866605
13,69.217,602,2041,3548,953,4237,7145.0,77.84765763144307,28.425025578666048
14,0.0,795,2229,3735,1140,4424,7145.0,77.8530594798281,28.425025578666048
15,0.0,795,2229,3735,1140,4424,7145.0,77.85413984950513,28.425025578666055
16,26.768,2481,357,5000,2901,4518,7145.0,77.86170243724419,28.425025578666048
17,28.319,2481,357,5000,2901,4518,7145.0,77.8627828069212,28.42502557866605
18,7.64,2675,0,5000,3095,4712,7145.0,77.8638631765982,28.42502557866605
19,21.885,2675,0,5000,3095,4712,7145.0,77.86494354627524,28.425025578666055
20,71.629,2518,156,5000,2938,4555,7145.0,77.86602391595224,28.425025578666048
21,218.737,1186,2303,2452,1372,4501,7145.0,77.83430525248775,28.4241762457646
22,29.64,1073,2191,2340,1260,4389,7145.0,77.83538561677997,28.4241762457646
23,29.467,971,2089,2812,1191,4287,7145.0,77.83646598107221,28.4241762457646
24,39.462,858,1975,2819,1077,4173,7145.0,77.83754634536444,28.424176245764595
25,95.123,805,1923,3026,1025,4121,7145.0,77.83862670965671,28.424176245764603
26,0.0,805,1992,3325,1024,4190,7145.0,77.84294816682566,28.4241762457646
27,0.0,805,1992,3325,1024,4190,7145.0,77.84402853111791,28.4241762457646
28,18.037,558,1975,3482,909,4173,7145.0,77.84510889541016,28.424176245764603
29,152.507,714,2143,3649,1065,4339,7145.0,77.8461892597024,28.4241762457646
30,213.452,537,1977,3484,888,4173,7145.0,77.84726962399465,28.4241762457646
31,71.802,540,1974,3481,885,4170,7145.0,77.84834998828688,28.424176245764595
32,45.494,2429,409,4989,2849,4466,7145.0,77.86239472408606,28.424176245764595
33,203.227,2483,191,5000,2903,4520,7145.0,77.86563581696278,28.4241762457646
34,280.141,2518,156,5000,2938,4555,7145.0,77.86671618125501,28.424176245764595
35,42.851,1252,2369,2518,1438,4567,7145.0,77.83391732667273,28.42332691544434
36,24.24,1179,2296,2235,1155,4494,7145.0,77.83499768558045,28.42332691544434
37,20.047,1241,2358,2341,1261,4556,7145.0,77.83607804448815,28.423326915444346
38,65.138,807,1924,2607,1026,4122,7145.0,77.83715840339588,28.42332691544434
39,28.376,779,1896,2634,998,4094,7145.0,77.83823876230359,28.42332691544434
40,112.125,652,1769,2856,871,3967,7145.0,77.83931912121129,28.42332691544434
41,227.353,604,1722,2809,824,3920,7145.0,77.840399480119,28.42332691544434
42,0.0,633,1820,3153,852,4018,7145.0,77.84256019793443,28.423326915444342
43,93.572,365,1781,3288,767,3979,7145.0,77.84472091574985,28.42332691544434
44,273.191,411,1828,3335,781,4026,7145.0,77.84580127465757,28.42332691544434
45,210.12,379,1818,3325,730,4014,7145.0,77.84688163356527,28.423326915444342
46,17.06,539,1972,3479,884,4168,7145.0,77.84796199247299,28.423326915444346
47,0.0,414,1848,3354,759,4043,7145.0,77.85120306919615,28.42332691544434
48,20.104,2335,515,4908,2756,4372,7145.0,77.86200665827326,28.423326915444342
49,0.287,2329,509,4901,2749,4366,7145.0,77.86308701718096,28.42332691544434
50,79.786,2448,226,5000,2868,4485,7145.0,77.8652477349964,28.423326915444346
51,4.251,1548,2408,2043,963,4515,7145.0,77.83244906434989,28.422477587705163
