,POP_2015,active_living,community_space,food_choices,ID_HDC_G0,lng,lat
0,114.794,618,242,566,271.0,-91.45523146756454,15.359175041319894
1,146.25,618,242,566,271.0,-91.45500922563859,15.358354943856687
2,139.45,305,107,305,271.0,-91.45682786331328,15.357534847624754
3,108.435,412,0,412,271.0,-91.45580743020145,15.35753484762475
4,122.684,566,29,514,271.0,-91.45376656397782,15.357534847624752
5,38.853,0,811,1023,271.0,-91.46680994950611,15.356714752624024
6,36.144,231,580,792,271.0,-91.46476908824133,15.35671475262402
7,22.71,371,440,652,271.0,-91.46374865760892,15.356714752624022
8,8.954,465,346,558,271.0,-91.46272822697652,15.356714752624022
9,4.205,473,260,473,271.0,-91.46170779634414,15.356714752624024
10,91.253,230,182,230,271.0,-91.4576260738146,15.356714752624022
11,103.037,281,136,281,271.0,-91.45660564318221,15.356714752624026
12,107.604,331,130,305,271.0,-91.45558521254982,15.356714752624022
13,95.432,348,147,296,271.0,-91.45456478191743,15.35671475262402
14,87.023,537,0,485,271.0,-91.45354435128503,15.35671475262402
15,44.952,0,923,1136,271.0,-91.46760814611211,15.35589465885443
16,10.901,27,839,1051,271.0,-91.46658771795899,15.355894658854426
17,0.0,473,260,473,271.0,-91.46250600534654,15.355894658854428
18,0.0,473,260,473,271.0,-91.46148557719344,15.355894658854426
19,4.308,202,160,202,271.0,-91.46046514904033,15.35589465885443
20,39.917,102,261,102,271.0,-91.45944472088725,15.355894658854432
21,83.935,50,259,50,271.0,-91.45842429273414,15.35589465885443
22,97.56,151,158,151,271.0,-91.45740386458102,15.35589465885443
23,76.953,211,165,165,271.0,-91.45638343642791,15.355894658854428
24,82.974,347,206,237,271.0,-91.45536300827479,15.355894658854428
25,29.224,0,923,1136,271.0,-91.46738592546382,15.355074566315894
26,0.0,53,870,1082,271.0,-91.46636549978983,15.35507456631589
27,25.668,312,51,312,271.0,-91.46126337141995,15.355074566315892
28,28.757,312,51,312,271.0,-91.46024294574597,15.35507456631589
29,117.648,154,163,154,271.0,-91.45922252007199,15.355074566315889
30,72.512,26,200,65,271.0,-91.45820209439803,15.355074566315894
31,103.736,159,27,27,271.0,-91.45718166872406,15.355074566315894
32,113.392,268,112,112,271.0,-91.45616124305006,15.35507456631589
33,75.526,352,169,169,271.0,-91.45514081737608,15.35507456631589
34,38.853,393,183,453,271.0,-91.46206160221841,15.354254475008341
35,89.837,263,23,294,271.0,-91.46104117902341,15.354254475008341
36,58.192,195,89,229,271.0,-91.46002075582841,15.354254475008341
37,126.914,130,213,206,271.0,-91.45900033263344,15.354254475008341
38,75.783,84,136,136,271.0,-91.45797990943844,15.354254475008343
39,62.841,191,52,52,271.0,-91.45695948624342,15.354254475008341
40,69.66,295,109,109,271.0,-91.45593906304842,15.354254475008341
41,1.22,348,165,165,271.0,-91.45491863985345,15.35425447500834
42,0.0,499,289,560,271.0,-91.46285984143589,15.353434384931706
43,2.362,393,183,453,271.0,-91.46183942071971,15.353434384931706
44,12.432,257,47,317,271.0,-91.46081900000355,15.353434384931706
45,56.761,303,231,371,271.0,-91.4597985792874,15.353434384931704
46,77.031,215,272,290,271.0,-91.45877815857123,15.353434384931706
47,120.062,177,252,252,271.0,-91.45775773785508,15.353434384931706
48,71.606,275,188,188,271.0,-91.45673731713892,15.353434384931706
49,27.797,916,707,977,271.0,-91.46671934378497,15.352614296085914
50,0.597,916,707,977,271.0,-91.4656989255475,15.352614296085914
51,0.0,499,289,560,271.0,-91.46263767083506,15.352614296085912
52,0.0,499,289,560,271.0,-91.46161725259758,15.352614296085916
53,40.773,366,294,434,271.0,-91.45957641612262,15.352614296085916
54,138.619,310,349,385,271.0,-91.45855599788513,15.352614296085912
55,73.19,276,351,351,271.0,-91.4575355796477,15.352614296085914
56,79.341,518,472,594,271.0,-91.45833385057486,15.351794208470888
57,89.463,389,464,464,271.0,-91.45731343481593,15.351794208470885
58,67.662,658,733,733,271.0,-91.45527260329803,15.351794208470887
