,POP_2015,community_space,education,ID_HDC_G0,lng,lat
0,24.053,3748,169,2175.0,3.63953105721345,6.860997536023514
1,6.676,3940,361,2175.0,3.641535480210676,6.860997536023513
2,15.831,3699,121,2175.0,3.6385250218847314,6.860186538974423
3,15.474,3723,145,2175.0,3.639527232330092,6.860186538974424
4,2.414,3748,169,2175.0,3.640529442775454,6.860186538974424
5,30.034,3940,361,2175.0,3.641531653220815,6.860186538974424
6,20.66,5000,110,2175.0,3.6495493367837066,6.860186538974423
7,47.675,5000,110,2175.0,3.6505515472290675,6.860186538974423
8,44.218,3445,1064,2175.0,3.631505732772207,6.859375542454139
9,49.678,3568,1023,2175.0,3.632507942164444,6.85937554245414
10,41.356,3575,926,2175.0,3.633510151556681,6.859375542454139
11,44.941,3539,746,2175.0,3.6345123609489183,6.859375542454139
12,35.814,3539,746,2175.0,3.635514570341156,6.859375542454139
13,31.845,3538,590,2175.0,3.636516779733393,6.859375542454139
14,32.302,3607,540,2175.0,3.6375189891256308,6.859375542454139
15,27.683,3578,0,2175.0,3.6385211985178683,6.859375542454139
16,31.323,3605,27,2175.0,3.6395234079101053,6.859375542454139
17,38.722,3899,482,2175.0,3.6425300360868174,6.859375542454139
18,18.693,3899,482,2175.0,3.643532245479055,6.859375542454139
19,29.357,5000,0,2175.0,3.648543292440243,6.859375542454139
20,25.388,5000,0,2175.0,3.6495455018324794,6.85937554245414
21,47.547,5000,148,2175.0,3.6505477112247164,6.859375542454139
22,29.0,3445,1064,2175.0,3.6315019172395577,6.8585645464626
23,24.135,3321,941,2175.0,3.6325041255787998,6.858564546462602
24,17.477,3476,827,2175.0,3.6335063339180396,6.858564546462602
25,27.391,3476,807,2175.0,3.63450854225728,6.858564546462602
26,32.494,3502,709,2175.0,3.635510750596522,6.858564546462602
27,48.873,3461,513,2175.0,3.636512958935763,6.858564546462601
28,44.09,3461,513,2175.0,3.6375151672750037,6.858564546462601
29,45.316,3578,0,2175.0,3.6385173756142453,6.858564546462601
30,44.493,3578,0,2175.0,3.639519583953485,6.858564546462602
31,29.549,3733,315,2175.0,3.641524000631968,6.8585645464626
32,24.354,3821,403,2175.0,3.6425262089712085,6.858564546462602
33,19.855,3899,482,2175.0,3.643528417310449,6.858564546462602
34,3.082,5000,0,2175.0,3.648539459006654,6.858564546462602
35,24.254,5000,0,2175.0,3.649541667345896,6.858564546462602
36,25.507,5000,134,2175.0,3.650543875685136,6.858564546462602
37,20.422,4881,734,2175.0,3.6545527090421,6.858564546462602
38,2.588,4877,729,2175.0,3.6555549173813406,6.858564546462602
39,29.64,3174,794,2175.0,3.6284914803101342,6.857753550999742
40,39.49,3020,640,2175.0,3.629493687596506,6.857753550999742
41,29.997,2974,600,2175.0,3.630495894882878,6.857753550999742
42,15.602,3321,941,2175.0,3.6325003094556223,6.857753550999741
43,55.705,3356,563,2175.0,3.635506931314739,6.857753550999742
44,55.65,3332,539,2175.0,3.636509138601111,6.857753550999742
45,45.892,3356,289,2175.0,3.637511345887483,6.857753550999742
46,31.095,3371,206,2175.0,3.6385135531738553,6.857753550999742
47,46.459,3506,431,2175.0,3.6395157604602275,6.857753550999742
48,26.129,3577,416,2175.0,3.640517967746599,6.857753550999741
49,35.192,3705,288,2175.0,3.641520175032971,6.857753550999743
50,23.778,3733,315,2175.0,3.642522382319344,6.857753550999742
51,8.761,4847,699,2175.0,3.6545488697558084,6.857753550999741
52,13.599,4852,704,2175.0,3.6555510770421806,6.857753550999742
53,37.945,3171,790,2175.0,3.6284876688603878,6.856942556065501
54,39.472,3015,635,2175.0,3.6294898750940185,6.856942556065501
55,36.088,2959,591,2175.0,3.630492081327649,6.8569425560655
56,40.368,3040,707,2175.0,3.6314942875612797,6.856942556065501
57,48.425,3040,707,2175.0,3.6324964937949105,6.856942556065501
58,58.312,3013,745,2175.0,3.6334987000285417,6.856942556065501
59,36.362,3219,426,2175.0,3.636505318729434,6.8569425560655
60,40.094,3296,314,2175.0,3.6375075249630653,6.8569425560655
61,38.42,3326,257,2175.0,3.6385097311966956,6.8569425560655
62,45.462,3452,377,2175.0,3.6395119374303264,6.8569425560655
63,46.029,3506,431,2175.0,3.640514143663957,6.8569425560655
64,43.286,3652,503,2175.0,3.641516349897587,6.8569425560655
65,22.544,3652,503,2175.0,3.6425185561312183,6.856942556065501
66,26.705,2831,478,2175.0,3.6304882682346244,6.8561315616598115
67,53.4,3040,707,2175.0,3.6314904734156412,6.856131561659812
68,45.636,2977,662,2175.0,3.6324926785966594,6.8561315616598115
69,47.492,2981,749,2175.0,3.6334948837776753,6.8561315616598115
70,49.303,2949,752,2175.0,3.6344970889586925,6.856131561659812
71,39.097,3133,444,2175.0,3.636501499320728,6.856131561659812
72,48.398,3263,314,2175.0,3.637503704501745,6.856131561659812
73,46.752,3263,314,2175.0,3.638505909682761,6.8561315616598115
74,44.127,3463,548,2175.0,3.6405103200447955,6.8561315616598115
75,38.329,3652,503,2175.0,3.641512525225812,6.8561315616598115
76,23.842,3652,503,2175.0,3.6425147304068295,6.8561315616598115
77,19.013,4003,0,2175.0,3.6465235511308984,6.8561315616598115
78,19.178,3888,219,2175.0,3.6475257563119157,6.856131561659812
79,19.727,3958,327,2175.0,3.6485279614929333,6.8561315616598115
80,8.167,3997,424,2175.0,3.64953016667395,6.8561315616598115
81,0.878,4618,470,2175.0,3.655543397760053,6.8561315616598115
82,44.758,4618,470,2175.0,3.6565456029410703,6.856131561659812
83,16.105,2960,579,2175.0,3.627477843218207,6.855320567782613
