,POP_2015,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,6.731,5000,2987,2987,9553.0,86.53573743712712,21.107717212775658
1,29.972,4945,2839,3993,9553.0,86.5354376089698,21.106886704071574
2,137.542,5000,0,608,9553.0,86.51189576205672,21.093598805385223
3,157.989,5000,0,608,9553.0,86.5115962487421,21.09276832674928
4,179.325,5000,0,0,9553.0,86.51724606666097,21.091107374781195
5,297.435,5000,0,0,9553.0,86.51694657580036,21.090276901448906
6,316.803,5000,391,391,9553.0,86.51977147823561,21.089446429884326
7,123.953,5000,436,436,9553.0,86.52081293776916,21.089446429884322
8,111.824,5000,391,391,9553.0,86.51947200595065,21.08861596008738
9,118.618,5000,391,391,9553.0,86.52051346187935,21.088615960087385
10,57.214,2198,0,5000,9553.0,86.5191725483606,21.087785492057996
11,141.86,2198,0,5000,9553.0,86.52021400068467,21.087785492058
12,63.564,2198,0,5000,9553.0,86.51887310546509,21.086955025796076
13,320.676,2198,0,5000,9553.0,86.51991455418472,21.086955025796076
14,66.548,5000,785,785,9553.0,86.51753223214841,21.086124561301535
15,132.525,5000,785,785,9553.0,86.51857367726375,21.08612456130154
16,307.913,1487,338,5000,9553.0,86.51201311544199,21.0794809089612
17,195.136,1487,338,5000,9553.0,86.51305453172934,21.0794809089612
18,49.657,921,227,5000,9553.0,86.51171383387987,21.07865046036941
19,98.933,921,227,5000,9553.0,86.51275524656451,21.07865046036941
20,141.034,4232,1672,2103,9553.0,86.50829033976058,21.07782001354417
21,123.826,4232,1672,2103,9553.0,86.50933174884274,21.077820013544173
22,109.093,1148,0,5000,9553.0,86.51037315792486,21.07782001354417
23,158.624,4232,1672,2103,9553.0,86.50903250386341,21.076989568485416
24,33.973,1020,639,5000,9553.0,86.50188648900942,21.074498243907136
25,141.161,1020,639,5000,9553.0,86.50158732438982,21.073667805913445
26,202.248,3055,494,4271,9553.0,86.49161658438129,21.072006935224138
27,178.563,3055,494,4271,9553.0,86.49265796825075,21.072006935224138
28,1.588,2204,733,4150,9553.0,86.49890627146738,21.072006935224138
29,0.0,1373,991,5000,9553.0,86.49994765533681,21.072006935224138
30,280.989,0,0,5000,9553.0,86.50619595855346,21.072006935224138
31,265.558,0,0,5000,9553.0,86.5072373424229,21.072006935224135
32,226.505,3042,481,4258,9553.0,86.49235887649485,21.07117650252837
33,190.31,2560,0,3776,9553.0,86.49592622929738,21.069515642434183
34,162.116,381,0,5000,9553.0,86.50425721383057,21.069515642434187
35,190.564,381,0,5000,9553.0,86.50529858689723,21.069515642434183
36,162.688,2560,0,3776,9553.0,86.4956271671861,21.068685215035597
37,158.306,2560,0,3776,9553.0,86.49666853665217,21.0686852150356
38,257.684,421,40,5000,9553.0,86.50395812291467,21.0686852150356
39,234.316,381,0,5000,9553.0,86.50499949238075,21.068685215035597
40,170.879,578,156,5000,9553.0,86.50365904668233,21.067854789402574
41,216.79,572,191,5000,9553.0,86.50470041254803,21.067854789402574
42,136.018,572,191,5000,9553.0,86.5057417784137,21.067854789402574
43,22.162,1028,0,5000,9553.0,86.50023589833684,21.067024365535026
44,239.586,735,0,5000,9553.0,86.50231862286775,21.067024365535026
