,POP_2015,active_living,health_wellbeing,ID_HDC_G0,lng,lat
0,52.204,973,501,6758.0,73.7193629620683,23.86021421680302
1,13.249,973,501,6758.0,73.72041741388969,23.860214216803012
2,17.272,891,123,6758.0,73.71590441100103,23.859377400865608
3,45.12,891,123,6758.0,73.71695885859988,23.85937740086561
4,63.485,882,411,6758.0,73.71906775379756,23.85937740086561
5,51.141,972,501,6758.0,73.72012220139639,23.85937740086561
6,55.782,1041,569,6758.0,73.72117664899524,23.859377400865615
7,38.783,1072,601,6758.0,73.72223109659407,23.85937740086561
8,43.338,1394,0,6758.0,73.70928256880384,23.858540586982855
9,40.364,1394,0,6758.0,73.71033701218036,23.858540586982862
10,36.154,948,180,6758.0,73.71455478568632,23.858540586982862
11,38.122,923,155,6758.0,73.71560922906282,23.85854058698286
12,39.631,855,88,6758.0,73.71666367243931,23.858540586982866
13,62.824,707,235,6758.0,73.71771811581583,23.85854058698286
14,41.039,841,369,6758.0,73.7187725591923,23.85854058698286
15,65.468,906,435,6758.0,73.7198270025688,23.858540586982862
16,80.599,1003,532,6758.0,73.7208814459453,23.858540586982862
17,39.372,1072,601,6758.0,73.72193588932178,23.858540586982862
18,32.073,1394,0,6758.0,73.70898742586299,23.857703775154672
19,16.467,1394,0,6758.0,73.71004186501735,23.857703775154672
20,6.481,407,405,6758.0,73.71320518248038,23.857703775154675
21,16.194,940,172,6758.0,73.71425962163472,23.857703775154672
22,35.536,813,45,6758.0,73.7153140607891,23.857703775154675
23,54.949,767,11,6758.0,73.71636849994343,23.857703775154672
24,49.302,619,148,6758.0,73.71742293909777,23.857703775154675
25,57.751,711,239,6758.0,73.71847737825212,23.85770377515468
26,26.023,758,0,6758.0,73.70869229658499,23.85686696538096
27,9.311,697,60,6758.0,73.70974673151741,23.856866965380963
28,4.641,566,282,6758.0,73.71185560138218,23.85686696538097
29,11.381,548,264,6758.0,73.71291003631458,23.856866965380963
30,50.365,407,405,6758.0,73.71396447124698,23.856866965380963
31,32.057,638,138,6758.0,73.71607334111177,23.856866965380963
32,42.476,585,191,6758.0,73.71712777604415,23.856866965380963
33,61.688,523,253,6758.0,73.71818221097655,23.856866965380963
34,59.748,711,75,6758.0,73.70628831954816,23.856030157661632
35,37.777,705,0,6758.0,73.7073427502588,23.856030157661635
36,53.929,697,60,6758.0,73.70839718096943,23.856030157661632
37,41.082,603,34,6758.0,73.70945161168008,23.856030157661632
38,37.663,571,48,6758.0,73.71050604239073,23.856030157661632
39,30.894,555,96,6758.0,73.71156047310136,23.856030157661632
40,20.39,548,264,6758.0,73.712614903812,23.856030157661632
41,64.749,282,612,6758.0,73.71472376523324,23.856030157661632
42,30.42,638,138,6758.0,73.71577819594388,23.85603015766164
43,54.072,550,267,6758.0,73.71683262665452,23.856030157661632
44,58.01,480,275,6758.0,73.71788705736516,23.85603015766164
45,68.385,347,348,6758.0,73.71894148807581,23.856030157661635
46,66.732,347,348,6758.0,73.71999591878644,23.856030157661635
47,35.953,881,0,6758.0,73.70493879954863,23.855193351996608
48,45.58,749,0,6758.0,73.7059932260377,23.855193351996608
49,59.82,646,102,6758.0,73.70704765252678,23.855193351996608
50,70.957,526,172,6758.0,73.70810207901587,23.85519335199661
51,64.016,506,105,6758.0,73.70915650550495,23.855193351996608
52,38.266,555,96,6758.0,73.710210931994,23.855193351996604
53,61.947,462,189,6758.0,73.71126535848309,23.855193351996608
54,44.531,175,510,6758.0,73.71442863795029,23.855193351996604
55,53.498,303,607,6758.0,73.7154830644394,23.855193351996608
56,33.941,447,507,6758.0,73.71653749092846,23.85519335199661
57,75.627,401,249,6758.0,73.71759191741754,23.855193351996608
58,74.477,322,201,6758.0,73.71864634390661,23.85519335199661
59,0.029,871,10,6758.0,73.70464372392071,23.85435654838578
60,26.124,764,122,6758.0,73.70569814618841,23.854356548385773
61,52.521,584,141,6758.0,73.70675256845614,23.854356548385777
62,68.873,556,147,6758.0,73.70780699072384,23.854356548385773
63,58.24,369,204,6758.0,73.70886141299154,23.854356548385773
64,42.95,367,201,6758.0,73.70991583525925,23.854356548385777
65,56.831,418,313,6758.0,73.71097025752697,23.854356548385773
66,60.021,349,314,6758.0,73.71202467979467,23.85435654838577
67,59.863,40,611,6758.0,73.71413352433008,23.854356548385777
68,46.83,276,613,6758.0,73.7151879465978,23.854356548385773
69,58.843,318,507,6758.0,73.71624236886551,23.85435654838578
70,41.097,392,282,6758.0,73.71729679113321,23.854356548385773
71,69.491,326,149,6758.0,73.71835121340092,23.854356548385773
72,73.443,158,122,6758.0,73.71940563566862,23.854356548385777
73,11.51,759,133,6758.0,73.70540307999985,23.85351974682906
74,48.871,455,0,6758.0,73.70751191609293,23.853519746829058
75,57.104,409,79,6758.0,73.70856633413946,23.853519746829058
76,58.326,302,186,6758.0,73.70962075218601,23.853519746829058
77,59.72,408,344,6758.0,73.71067517023253,23.853519746829058
78,54.604,349,314,6758.0,73.71172958827908,23.853519746829058
79,43.224,0,652,6758.0,73.71383842437216,23.853519746829065
80,64.059,80,707,6758.0,73.71489284241868,23.85351974682906
81,73.773,159,627,6758.0,73.71594726046524,23.85351974682906
82,50.38,369,216,6758.0,73.71700167851176,23.853519746829058
83,52.722,261,18,6758.0,73.71805609655829,23.853519746829058
84,68.916,158,122,6758.0,73.71911051460482,23.85351974682906
85,46.816,71,283,6758.0,73.72016493265136,23.85351974682906
86,49.992,401,580,6758.0,73.7072168551227,23.85268294732637
87,41.226,401,580,6758.0,73.70827126894828,23.85268294732637
88,63.686,231,257,6758.0,73.70932568277384,23.85268294732637
