,POP_2015,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,7.436,922,212,385,1632,1239,7935.0,76.68370845551458,11.820363231760497
1,0.0,922,212,385,1632,1239,7935.0,76.6847195203704,11.8203632317605
2,51.462,842,282,306,1553,923,7935.0,76.68255633914318,11.81954780167687
3,0.026,831,153,295,1542,1149,7935.0,76.6835674021392,11.819547801676869
4,5.538,854,128,317,1564,1172,7935.0,76.68457846513522,11.819547801676867
5,20.769,876,154,340,1587,1194,7935.0,76.68558952813125,11.81954780167687
6,18.462,1025,507,488,1735,916,7935.0,76.68039317581068,11.818732372521948
7,6.154,985,433,449,1695,910,7935.0,76.68140423694707,11.81873237252195
8,0.821,842,322,306,1553,880,7935.0,76.68241529808348,11.818732372521948
9,11.103,786,213,250,1497,992,7935.0,76.68342635921987,11.818732372521948
10,34.103,847,122,310,1557,1164,7935.0,76.68443742035626,11.818732372521948
11,37.564,876,154,340,1587,1194,7935.0,76.68544848149266,11.818732372521948
12,10.0,706,422,462,1602,1209,7935.0,76.68645954262904,11.818732372521948
13,38.564,672,450,490,1631,1238,7935.0,76.68747060376543,11.81873237252195
14,55.359,569,541,581,1575,1328,7935.0,76.68848166490184,11.81873237252195
15,94.847,0,810,852,1499,1574,7935.0,76.69050378717463,11.818732372521948
16,68.693,0,810,852,1499,1574,7935.0,76.691514848311,11.818732372521948
17,2.692,995,490,458,1705,886,7935.0,76.68025214892572,11.81791694429567
18,0.0,943,419,407,1653,834,7935.0,76.68126320820264,11.817916944295668
19,2.359,842,337,305,1552,747,7935.0,76.68227426747951,11.81791694429567
20,35.462,721,216,184,1431,879,7935.0,76.6832853267564,11.81791694429567
21,76.975,661,64,124,1371,978,7935.0,76.68429638603331,11.817916944295671
22,104.898,770,121,234,1481,1088,7935.0,76.6853074453102,11.817916944295666
23,36.513,706,422,462,1602,1209,7935.0,76.6863185045871,11.81791694429567
24,74.616,640,476,516,1647,1264,7935.0,76.68732956386401,11.81791694429567
25,79.154,462,508,548,1469,1294,7935.0,76.6883406231409,11.81791694429567
26,34.846,351,622,662,1539,1408,7935.0,76.68935168241781,11.817916944295668
27,34.205,122,709,751,1496,1472,7935.0,76.6903627416947,11.817916944295666
28,6.718,31,779,821,1468,1542,7935.0,76.6913738009716,11.817916944295668
29,4.744,953,494,462,1663,711,7935.0,76.68112218991358,11.817101516997957
30,7.231,869,397,365,1579,674,7935.0,76.68213324733112,11.817101516997958
31,25.744,752,247,215,1462,866,7935.0,76.68314430474865,11.817101516997957
32,33.231,523,30,30,1233,841,7935.0,76.68415536216622,11.81710151699796
33,120.437,494,1,41,1204,812,7935.0,76.68516641958374,11.81710151699796
34,98.206,636,176,216,1382,990,7935.0,76.68617747700127,11.817101516997957
35,65.129,538,274,314,1454,1061,7935.0,76.68718853441881,11.817101516997957
36,81.103,431,379,443,1416,1163,7935.0,76.68819959183638,11.817101516997957
37,38.436,348,474,514,1386,1260,7935.0,76.68921064925394,11.81710151699796
38,2.077,217,593,634,1443,1356,7935.0,76.69022170667145,11.817101516997957
39,2.692,176,643,693,1323,1398,7935.0,76.69123276408901,11.817101516997958
40,1.718,877,444,521,1587,634,7935.0,76.6809811820798,11.81628609062876
41,61.385,768,336,427,1479,565,7935.0,76.68199223763814,11.816286090628763
42,51.821,696,264,355,1406,538,7935.0,76.68300329319646,11.81628609062876
43,40.923,510,21,61,1221,828,7935.0,76.6840143487548,11.816286090628761
44,60.872,442,23,114,1152,759,7935.0,76.68502540431311,11.81628609062876
45,52.205,608,202,293,1358,966,7935.0,76.68603645987142,11.816286090628763
46,74.283,608,202,293,1358,966,7935.0,76.68704751542975,11.816286090628761
47,41.616,461,395,313,1171,1097,7935.0,76.68805857098809,11.816286090628763
48,7.128,420,460,441,1277,1217,7935.0,76.68906962654641,11.816286090628761
49,7.051,302,568,560,1326,1321,7935.0,76.69008068210474,11.816286090628763
50,2.538,228,666,647,1271,1346,7935.0,76.69109173766307,11.816286090628761
