,POP_2015,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,50.739,1886,3352,868,1217,868,5279.0,39.546036071129905,9.686108147586232
1,2.161,1886,3352,868,1217,868,5279.0,39.5470427286175,9.68610814758623
2,28.902,671,2007,1019,972,1411,5279.0,39.53182463030344,9.684481695882033
3,32.29,545,2134,892,845,1284,5279.0,39.532831284780215,9.684481695882031
4,119.286,1495,2958,475,823,475,5279.0,39.543904484024765,9.684481695882031
5,70.892,671,2007,1019,972,1411,5279.0,39.531765520119585,9.68366847116058
6,115.922,1495,2958,475,823,475,5279.0,39.54384535577845,9.683668471160582
7,52.616,1475,1764,1716,1527,2488,5279.0,39.522646551947986,9.682855247192801
8,16.169,2155,2162,2396,2176,3168,5279.0,39.51755421592224,9.682042023978632
9,61.294,2074,2082,2316,2096,3087,5279.0,39.5185608658838,9.682042023978633
10,56.813,2074,2082,2316,2096,3087,5279.0,39.51956751584534,9.682042023978632
11,0.0,1524,1714,1765,1576,2537,5279.0,39.52158081576847,9.682042023978633
12,58.867,1499,1739,1741,1552,2512,5279.0,39.52258746573003,9.682042023978632
13,70.202,1308,1655,1550,1361,2321,5279.0,39.52359411569159,9.682042023978633
14,10.272,870,1731,1111,922,1883,5279.0,39.52661406557626,9.682042023978632
15,60.355,702,1650,944,755,1715,5279.0,39.527620715537815,9.682042023978632
16,66.571,704,1705,956,767,1622,5279.0,39.52862736549938,9.682042023978633
17,137.534,704,1705,956,767,1622,5279.0,39.52963401546094,9.682042023978632
18,135.852,704,1705,956,767,1622,5279.0,39.530640665422496,9.682042023978633
19,134.279,240,1742,625,703,1158,5279.0,39.53164731538405,9.682042023978632
20,192.496,246,1871,594,547,986,5279.0,39.53265396534562,9.682042023978633
21,153.514,246,1871,594,547,986,5279.0,39.53366061530716,9.682042023978632
22,157.244,328,2013,676,409,691,5279.0,39.53466726526873,9.682042023978633
23,129.525,372,2048,526,257,651,5279.0,39.53567391523029,9.682042023978632
24,143.385,457,2134,549,288,566,5279.0,39.536680565191844,9.682042023978632
25,157.171,632,2317,388,215,388,5279.0,39.537687215153404,9.682042023978632
26,190.046,933,2419,233,270,233,5279.0,39.538693865114965,9.682042023978633
27,154.721,1009,2484,10,346,10,5279.0,39.53970051507652,9.682042023978632
28,162.656,1009,2484,10,346,10,5279.0,39.540707165038086,9.682042023978633
29,18.294,2274,2282,2516,2296,3287,5279.0,39.51648849398099,9.681228801518008
30,66.961,2232,2240,2474,2254,3245,5279.0,39.51749514243773,9.681228801518007
31,81.748,2155,2162,2396,2176,3168,5279.0,39.518501790894476,9.681228801518008
32,55.308,2011,2018,2252,2032,3024,5279.0,39.519508439351235,9.681228801518008
33,23.005,1524,1714,1765,1576,2537,5279.0,39.522528384721475,9.681228801518007
34,29.487,1308,1655,1550,1361,2321,5279.0,39.52353503317824,9.681228801518007
35,13.973,816,1676,1057,868,1829,5279.0,39.52655497854849,9.681228801518008
36,122.358,732,1652,973,784,1745,5279.0,39.52756162700525,9.681228801518008
37,110.473,659,1606,900,711,1672,5279.0,39.528568275462,9.681228801518007
38,120.31,626,1627,877,689,1544,5279.0,39.529574923918744,9.68122880151801
39,141.958,289,1661,581,657,1207,5279.0,39.53058157237549,9.681228801518007
40,115.373,204,1706,586,646,1122,5279.0,39.53158822083224,9.681228801518008
41,161.12,166,1734,589,597,1037,5279.0,39.532594869288985,9.681228801518007
42,151.576,195,1880,543,495,911,5279.0,39.53360151774574,9.68122880151801
43,146.932,264,1949,588,496,779,5279.0,39.534608166202496,9.681228801518007
44,150.515,402,2078,444,175,681,5279.0,39.53561481465924,9.681228801518008
45,159.438,526,2175,530,261,601,5279.0,39.536621463116,9.681228801518008
46,160.937,632,2317,388,215,388,5279.0,39.537628111572744,9.681228801518007
47,141.447,866,2351,165,203,165,5279.0,39.5386347600295,9.681228801518007
48,113.106,931,2386,114,259,114,5279.0,39.539641408486254,9.68122880151801
49,157.683,1009,2483,10,346,10,5279.0,39.540648056943006,9.681228801518008
50,1.169,2274,2282,2516,2296,3287,5279.0,39.51642942720986,9.680415579810859
51,72.699,2102,2110,2344,2124,3115,5279.0,39.51743607416192,9.680415579810859
52,72.947,2037,2044,2278,2058,3050,5279.0,39.51844272111399,9.680415579810857
53,58.496,1932,1939,2173,1953,2945,5279.0,39.51944936806607,9.68041557981086
54,43.991,1655,1663,1897,1677,2668,5279.0,39.52045601501815,9.68041557981086
55,34.587,1528,1637,1769,1549,2541,5279.0,39.521462661970226,9.680415579810859
56,51.5,1486,1613,1727,1507,2499,5279.0,39.5224693089223,9.68041557981086
57,36.836,1445,1572,1686,1466,2458,5279.0,39.523475955874375,9.68041557981086
58,3.364,814,1586,1056,867,1827,5279.0,39.52649589673061,9.68041557981086
59,90.105,783,1583,1024,835,1795,5279.0,39.52750254368267,9.680415579810859
60,66.847,559,1506,800,611,1572,5279.0,39.52850919063475,9.680415579810859
61,57.156,443,1556,689,566,1382,5279.0,39.52951583758683,9.680415579810859
62,161.705,273,1586,514,560,1258,5279.0,39.530522484538906,9.68041557981086
63,143.458,137,1618,481,563,1129,5279.0,39.53152913149098,9.68041557981086
64,118.664,26,1658,501,534,1046,5279.0,39.53253577844305,9.680415579810859
65,130.805,136,1789,447,400,913,5279.0,39.53354242539513,9.680415579810859
66,177.357,308,1985,315,205,725,5279.0,39.53454907234722,9.68041557981086
67,159.146,509,1985,269,0,520,5279.0,39.53555571929929,9.680415579810859
68,141.593,598,2069,347,45,436,5279.0,39.53656236625136,9.680415579810859
69,135.815,665,2132,363,21,374,5279.0,39.53756901320344,9.68041557981086
70,131.829,762,2241,268,86,268,5279.0,39.53857566015551,9.68041557981086
71,133.877,951,2355,135,271,135,5279.0,39.53958230710759,9.680415579810859
72,144.262,1007,2417,175,327,175,5279.0,39.54058895405966,9.680415579810859
73,32.533,2144,2151,2385,2165,3157,5279.0,39.51737701109473,9.679602358857123
74,70.999,2102,2110,2344,2124,3115,5279.0,39.51838365654226,9.679602358857123
75,66.341,1840,1847,2082,1862,2853,5279.0,39.5193903019898,9.679602358857123
76,59.045,1786,1793,2027,1807,2799,5279.0,39.52039694743733,9.679602358857124
77,57.982,1633,1640,1874,1654,2645,5279.0,39.52140359288486,9.679602358857123
78,62.48,1439,1548,1680,1460,2452,5279.0,39.5224102383324,9.679602358857123
79,39.44,1334,1462,1576,1356,2347,5279.0,39.52341688377992,9.679602358857123
80,15.23,1068,1347,1309,1089,2081,5279.0,39.52442352922746,9.679602358857123
81,18.101,1051,1364,1292,1088,2064,5279.0,39.525430174675,9.679602358857123
82,77.196,929,1411,1170,982,1942,5279.0,39.52643682012253,9.679602358857123
83,155.635,741,1435,982,793,1754,5279.0,39.527443465570066,9.679602358857123
84,48.819,606,1467,847,658,1619,5279.0,39.528450111017605,9.679602358857123
85,163.278,440,1483,681,493,1453,5279.0,39.52945675646512,9.679602358857123
86,133.877,278,1452,519,461,1291,5279.0,39.53046340191267,9.679602358857124
87,100.965,163,1541,387,474,1158,5279.0,39.53147004736019,9.679602358857121
88,220.325,64,1620,463,548,1084,5279.0,39.53247669280773,9.679602358857123
89,151.247,228,1817,328,281,801,5279.0,39.53348333825526,9.679602358857121
90,115.483,486,1860,132,28,646,5279.0,39.5344899837028,9.679602358857123
91,116.617,486,1905,178,28,600,5279.0,39.53549662915032,9.679602358857123
92,139.216,532,1998,270,22,508,5279.0,39.53650327459786,9.679602358857123
93,169.677,738,2162,418,73,422,5279.0,39.53750992004539,9.679602358857121
94,124.479,881,2199,318,197,318,5279.0,39.53851656549293,9.679602358857123
95,154.209,1028,2343,241,344,241,5279.0,39.539523210940466,9.679602358857124
96,156.184,1121,2419,314,439,314,5279.0,39.540529856388,9.679602358857123
97,165.326,1121,2456,288,441,288,5279.0,39.54153650183554,9.679602358857123
98,25.626,2043,2050,2284,2064,3056,5279.0,39.51731795323609,9.678789138656736
99,71.282,1979,1986,2220,2000,2992,5279.0,39.51832459717921,9.678789138656736
100,59.062,1870,1877,2111,1891,2883,5279.0,39.51933124112234,9.678789138656732
101,53.82,1722,1729,1963,1743,2735,5279.0,39.52033788506545,9.678789138656736
102,63.649,1547,1554,1788,1568,2560,5279.0,39.52134452900859,9.678789138656736
103,66.058,1375,1484,1616,1396,2388,5279.0,39.5223511729517,9.678789138656736
104,50.508,1244,1371,1485,1265,2257,5279.0,39.52335781689483,9.678789138656736
105,25.272,1097,1376,1338,1118,2109,5279.0,39.52436446083795,9.678789138656734
106,86.375,1040,1268,1281,1010,2053,5279.0,39.52537110478107,9.678789138656736
107,138.119,881,1299,1122,933,1894,5279.0,39.526377748724194,9.678789138656736
108,101.441,622,1235,864,630,1635,5279.0,39.52738439266732,9.678789138656734
109,123.162,511,1335,753,522,1524,5279.0,39.52839103661045,9.678789138656736
110,151.101,375,1371,615,383,1386,5279.0,39.529397680553565,9.678789138656736
111,127.404,293,1442,534,451,1306,5279.0,39.53040432449669,9.678789138656734
112,142.214,342,1472,454,270,1232,5279.0,39.531410968439815,9.678789138656736
113,152.124,331,1679,195,356,967,5279.0,39.532417612382936,9.678789138656736
114,90.434,527,1728,0,160,779,5279.0,39.533424256326064,9.678789138656734
115,139.764,284,1760,272,224,745,5279.0,39.53443090026919,9.678789138656736
116,184.524,514,1888,160,0,675,5279.0,39.53543754421232,9.678789138656734
117,166.35,685,2065,362,175,637,5279.0,39.53644418815544,9.678789138656736
118,159.365,764,2036,463,239,480,5279.0,39.53745083209856,9.678789138656736
119,144.226,854,2100,414,230,414,5279.0,39.538457476041685,9.678789138656734
120,164.485,1007,2262,435,349,435,5279.0,39.539464119984814,9.678789138656736
121,141.593,1100,2348,386,420,386,5279.0,39.54047076392794,9.678789138656734
122,156.366,1240,2482,427,562,427,5279.0,39.541477407871064,9.678789138656736
123,4.711,2043,2050,2284,2064,3056,5279.0,39.51725890058594,9.677975919209626
124,51.376,1979,1985,2221,2001,2992,5279.0,39.51826554302478,9.677975919209624
125,50.668,1807,1811,2048,1828,2819,5279.0,39.51927218546363,9.677975919209626
126,52.049,1640,1644,1881,1661,2653,5279.0,39.520278827902466,9.677975919209624
127,66.5,1485,1492,1727,1507,2498,5279.0,39.52128547034132,9.677975919209626
128,62.285,1418,1386,1659,1433,2431,5279.0,39.52229211278016,9.677975919209624
129,16.275,1307,1415,1549,1329,2320,5279.0,39.52329875521902,9.677975919209624
130,36.305,1157,1216,1398,1126,2170,5279.0,39.52430539765786,9.677975919209626
131,159.255,990,1219,1232,960,2003,5279.0,39.52531204009671,9.677975919209624
132,142.982,948,1177,1190,918,1961,5279.0,39.526318682535546,9.677975919209624
133,85.424,727,1238,968,757,1740,5279.0,39.5273253249744,9.677975919209626
134,132.012,579,1231,820,576,1592,5279.0,39.528331967413244,9.677975919209624
135,135.559,450,1234,689,388,1461,5279.0,39.52933860985209,9.677975919209624
136,126.819,438,1375,492,173,1269,5279.0,39.530345252290935,9.677975919209626
137,156.732,342,1472,454,270,1232,5279.0,39.531351894729795,9.677975919209626
138,135.376,512,1508,220,183,999,5279.0,39.53235853716863,9.677975919209626
139,95.846,408,1597,130,284,909,5279.0,39.53336517960748,9.677975919209626
140,110.912,712,1862,184,345,843,5279.0,39.53437182204633,9.677975919209626
141,145.103,772,1904,279,330,752,5279.0,39.53537846448517,9.677975919209626
142,133.438,816,1948,432,305,604,5279.0,39.53638510692402,9.677975919209626
143,135.778,865,1964,549,340,575,5279.0,39.53739174936287,9.677975919209626
144,127.514,887,2115,567,363,567,5279.0,39.538398391801714,9.677975919209626
145,142.836,1045,2288,518,399,518,5279.0,39.53940503424056,9.677975919209628
146,128.721,1087,2330,459,410,459,5279.0,39.54041167667941,9.677975919209626
147,140.203,1240,2482,427,562,427,5279.0,39.541418319118264,9.677975919209626
148,23.288,1896,1900,2137,1917,2909,5279.0,39.51820649407888,9.67716270051573
149,62.445,1723,1726,1964,1744,2736,5279.0,39.51921313501358,9.67716270051573
150,44.77,1586,1589,1827,1607,2599,5279.0,39.52021977594829,9.677162700515732
151,71.849,1605,1467,1846,1613,2618,5279.0,39.521226416882996,9.677162700515732
152,60.514,1500,1362,1741,1508,2513,5279.0,39.5222330578177,9.677162700515732
153,42.875,1340,1161,1581,1307,2353,5279.0,39.5232396987524,9.67716270051573
154,108.681,1262,1070,1503,1217,2275,5279.0,39.5242463396871,9.67716270051573
155,145.871,1089,1101,1331,1020,2102,5279.0,39.52525298062181,9.677162700515732
156,124.223,985,1088,1226,830,1998,5279.0,39.526259621556505,9.677162700515732
157,95.224,682,1143,923,676,1695,5279.0,39.5272662624912,9.677162700515732
158,174.724,623,1169,864,575,1636,5279.0,39.528272903425915,9.677162700515732
159,166.862,613,1200,611,277,1388,5279.0,39.52927954436061,9.67716270051573
160,154.867,466,1347,495,169,1272,5279.0,39.530286185295324,9.677162700515732
161,101.258,474,1340,471,138,1249,5279.0,39.53129282623003,9.677162700515732
162,84.144,546,1474,289,156,1068,5279.0,39.53229946716473,9.677162700515732
163,57.01,613,1609,321,284,1100,5279.0,39.533306108099424,9.677162700515732
164,77.269,813,1760,305,448,938,5279.0,39.534312749034136,9.677162700515732
165,130.366,798,1790,271,431,786,5279.0,39.535319389968826,9.67716270051573
166,135.34,906,1820,379,415,684,5279.0,39.53632603090353,9.677162700515732
167,117.823,953,1977,562,428,661,5279.0,39.53733267183823,9.677162700515732
168,172.018,923,2135,629,398,629,5279.0,39.53833931277293,9.67716270051573
169,147.517,1023,2213,648,478,648,5279.0,39.53934595370764,9.677162700515732
170,149.126,1142,2332,606,500,606,5279.0,39.540352594642336,9.677162700515732
171,5.508,1831,1834,2072,1852,2844,5279.0,39.51814745034149,9.676349482574988
172,59.098,1835,1656,2076,1803,2848,5279.0,39.51915408977217,9.676349482574988
173,61.471,1774,1610,2015,1757,2787,5279.0,39.520160729202864,9.67634948257499
174,67.634,1685,1506,1926,1653,2698,5279.0,39.52116736863355,9.676349482574986
175,72.964,1505,1326,1746,1473,2518,5279.0,39.52217400806425,9.676349482574986
176,1.151,1419,1240,1660,1387,2432,5279.0,39.52318064749493,9.676349482574988
177,104.001,1209,983,1450,1129,2222,5279.0,39.524187286925624,9.676349482574988
178,115.885,1140,1030,1381,933,2152,5279.0,39.52519392635631,9.676349482574988
179,27.755,891,920,1110,662,1888,5279.0,39.52620056578701,9.676349482574988
180,117.165,739,1072,981,710,1752,5279.0,39.5272072052177,9.67634948257499
181,135.742,668,1016,812,479,1590,5279.0,39.52821384464839,9.676349482574988
182,126.965,700,1119,688,355,1466,5279.0,39.529220484079076,9.676349482574986
183,167.593,629,1293,602,269,1380,5279.0,39.53022712350977,9.676349482574988
184,119.067,577,1359,379,46,1157,5279.0,39.53123376294045,9.676349482574988
185,129.196,660,1505,393,180,1172,5279.0,39.53224040237115,9.676349482574986
186,124.515,674,1609,382,345,1100,5279.0,39.533247041801836,9.676349482574988
187,127.66,787,1640,495,458,1073,5279.0,39.534253681232535,9.67634948257499
188,124.625,930,1665,403,564,835,5279.0,39.53526032066323,9.676349482574988
189,167.374,905,1792,377,508,752,5279.0,39.53626696009392,9.676349482574988
190,136.217,1005,1861,477,578,813,5279.0,39.5372735995246,9.676349482574988
191,93.249,1077,2047,653,552,762,5279.0,39.538280238955295,9.676349482574988
192,140.496,1091,2157,721,566,721,5279.0,39.539286878385994,9.676349482574986
193,150.442,1198,2331,726,658,726,5279.0,39.54029351781668,9.676349482574988
194,96.394,1198,2386,726,658,726,5279.0,39.54130015724737,9.676349482574988
195,24.316,1835,1656,2076,1803,2848,5279.0,39.519095049739306,9.675536265387327
196,65.916,1719,1540,1960,1687,2732,5279.0,39.520101687666106,9.67553626538733
197,50.597,1623,1444,1864,1590,2636,5279.0,39.52110832559292,9.67553626538733
198,15.0,1550,1371,1791,1517,2563,5279.0,39.52211496351973,9.67553626538733
199,7.826,1258,909,1499,1055,2271,5279.0,39.52412823937335,9.67553626538733
200,37.044,1258,909,1499,1055,2271,5279.0,39.52513487730016,9.67553626538733
201,55.547,922,882,1078,630,1856,5279.0,39.526141515226975,9.67553626538733
202,146.274,834,972,1039,590,1816,5279.0,39.527148153153796,9.67553626538733
203,130.037,784,931,881,433,1659,5279.0,39.5281547910806,9.675536265387327
204,158.158,782,1033,772,407,1549,5279.0,39.52916142900741,9.67553626538733
205,90.434,746,1174,583,237,1362,5279.0,39.53016806693422,9.675536265387327
206,119.615,715,1373,506,102,1285,5279.0,39.53117470486103,9.67553626538733
207,144.189,727,1440,467,186,1246,5279.0,39.532181342787844,9.67553626538733
208,164.229,766,1498,474,360,1163,5279.0,39.533187980714665,9.675536265387327
209,155.891,848,1532,536,519,986,5279.0,39.534194618641486,9.67553626538733
210,121.919,994,1669,468,629,881,5279.0,39.535201256568286,9.675536265387327
211,155.343,1045,1743,517,671,914,5279.0,39.53620789449509,9.67553626538733
212,76.976,1157,1881,656,686,921,5279.0,39.537214532421906,9.67553626538733
213,69.48,1104,1988,680,580,814,5279.0,39.53822117034872,9.67553626538733
214,96.76,1173,2123,750,649,802,5279.0,39.53922780827554,9.67553626538733
215,145.067,1290,2289,826,758,826,5279.0,39.540234446202355,9.67553626538733
216,75.697,1198,2386,726,658,726,5279.0,39.541241084129155,9.67553626538733
217,19.977,1799,1620,2040,1766,2812,5279.0,39.52004265133796,9.674723048952684
218,0.514,1624,1445,1865,1592,2637,5279.0,39.52104928776103,9.674723048952686
219,0.053,1624,1445,1865,1592,2637,5279.0,39.522055924184095,9.674723048952684
220,7.935,1139,861,1183,640,1961,5279.0,39.525075833453286,9.674723048952684
221,125.174,953,843,1046,598,1823,5279.0,39.52608246987636,9.674723048952684
222,113.874,890,845,919,449,1697,5279.0,39.527089106299414,9.674723048952684
223,121.407,883,919,809,359,1586,5279.0,39.528095742722485,9.674723048952684
224,154.136,883,1071,735,227,1514,5279.0,39.52910237914554,9.674723048952684
225,129.379,829,1144,660,217,1439,5279.0,39.530109015568605,9.674723048952684
226,159.95,877,1245,662,264,1397,5279.0,39.531115651991676,9.674723048952684
227,185.877,815,1350,583,251,1283,5279.0,39.53212228841473,9.674723048952684
228,186.682,874,1360,581,389,1130,5279.0,39.533128924837804,9.674723048952686
229,153.075,855,1455,563,493,1043,5279.0,39.534135561260875,9.674723048952682
230,150.004,959,1606,621,622,1034,5279.0,39.535142197683946,9.674723048952684
231,114.934,1041,1703,592,712,993,5279.0,39.536148834107,9.674723048952686
232,39.969,1200,1886,720,750,985,5279.0,39.537155470530074,9.674723048952684
233,35.215,1250,1948,774,725,960,5279.0,39.53816210695314,9.674723048952686
234,28.194,1311,2261,855,786,855,5279.0,39.54017537979927,9.674723048952686
235,54.853,1507,659,1749,1304,2520,5279.0,39.52300352497671,9.673909833270988
236,10.276,1486,680,1728,1283,2499,5279.0,39.52401015989616,9.673909833270992
237,39.823,1139,861,1183,640,1961,5279.0,39.525016794815606,9.673909833270988
238,129.086,1032,754,1076,533,1853,5279.0,39.526023429735055,9.673909833270992
239,136.875,945,750,977,434,1755,5279.0,39.52703006465451,9.67390983327099
240,142.032,1019,961,914,272,1693,5279.0,39.52803669957397,9.673909833270988
241,133.694,974,1049,834,193,1613,5279.0,39.529043334493416,9.673909833270992
242,129.196,922,1034,757,203,1537,5279.0,39.530049969412865,9.673909833270988
243,150.186,930,1169,737,310,1473,5279.0,39.53105660433231,9.673909833270992
244,130.147,929,1222,715,316,1267,5279.0,39.53206323925176,9.673909833270988
245,122.394,918,1341,658,423,1202,5279.0,39.53306987417122,9.673909833270988
246,165.179,990,1468,698,506,1205,5279.0,39.53407650909067,9.67390983327099
247,127.404,1092,1566,730,637,1142,5279.0,39.53508314401012,9.673909833270992
248,116.507,1082,1744,682,752,1095,5279.0,39.53608977892958,9.673909833270988
249,92.335,1211,1836,812,837,1072,5279.0,39.53709641384903,9.673909833270994
250,69.224,1262,1855,862,892,1127,5279.0,39.53810304876848,9.67390983327099
251,36.287,1680,487,1921,1401,2693,5279.0,39.52193786113915,9.67309661834219
252,109.339,1573,594,1814,1369,2586,5279.0,39.52294449455512,9.673096618342187
253,63.19,1298,619,1342,799,2120,5279.0,39.52495776138707,9.673096618342187
254,114.313,1140,579,1170,626,1947,5279.0,39.52596439480303,9.673096618342187
255,112.667,1073,679,1079,536,1857,5279.0,39.526971028219,9.673096618342187
256,148.797,1091,898,976,220,1755,5279.0,39.52797766163497,9.67309661834219
257,145.067,1077,957,930,97,1709,5279.0,39.52898429505094,9.673096618342187
258,95.882,1021,935,856,114,1586,5279.0,39.529990928466916,9.67309661834219
259,158.122,1063,1041,870,223,1445,5279.0,39.530997561882884,9.67309661834219
260,161.157,1020,1174,806,335,1355,5279.0,39.53200419529885,9.673096618342187
261,137.497,1035,1373,762,474,1303,5279.0,39.533010828714836,9.673096618342187
262,139.582,1043,1482,751,554,1226,5279.0,39.5340174621308,9.673096618342187
263,146.712,1146,1590,851,662,1280,5279.0,39.535024095546774,9.673096618342187
264,129.562,1170,1686,771,758,1183,5279.0,39.53603072896274,9.673096618342187
265,85.131,1239,1781,840,848,1126,5279.0,39.53703736237871,9.673096618342187
266,0.366,1307,1900,907,937,1172,5279.0,39.53804399579468,9.67309661834219
267,21.173,1352,1945,952,982,1217,5279.0,39.53905062921066,9.673096618342187
268,60.557,1716,451,1957,1366,2728,5279.0,39.521878837429725,9.672283404166203
269,99.539,1680,487,1921,1401,2693,5279.0,39.522885469342334,9.672283404166203
270,182.293,1266,586,1309,766,2087,5279.0,39.52489873316758,9.672283404166203
271,123.711,1196,500,1240,685,2017,5279.0,39.525905365080206,9.672283404166203
272,125.942,1205,705,1192,429,1971,5279.0,39.52691199699283,9.672283404166203
273,146.712,1187,802,1074,229,1838,5279.0,39.527918628905454,9.672283404166203
274,147.297,1083,853,935,61,1630,5279.0,39.52892526081808,9.672283404166205
275,109.047,1099,890,933,81,1595,5279.0,39.529931892730694,9.672283404166203
276,157.573,1157,1051,965,237,1538,5279.0,39.53093852464331,9.672283404166203
277,165.435,1082,1247,868,431,1413,5279.0,39.53194515655594,9.672283404166201
278,130.622,1142,1334,886,518,1427,5279.0,39.53295178846856,9.672283404166203
279,145.432,1129,1446,836,600,1377,5279.0,39.53395842038118,9.672283404166203
280,141.044,1207,1565,915,690,1396,5279.0,39.534965052293806,9.672283404166205
281,117.348,1341,1764,941,929,1304,5279.0,39.53597168420643,9.672283404166203
282,50.611,1446,1878,1046,1055,1311,5279.0,39.536978316119054,9.672283404166203
283,9.727,1352,1945,952,982,1217,5279.0,39.53798494803167,9.672283404166203
284,85.277,1807,359,2049,1274,2820,5279.0,39.521819818928876,9.671470190742973
285,85.277,1418,266,1461,795,2239,5279.0,39.52383307974769,9.671470190742973
286,117.019,1365,395,1409,718,2186,5279.0,39.524839710157096,9.671470190742975
287,156.659,1326,491,1370,577,2147,5279.0,39.5258463405665,9.671470190742971
288,164.448,1251,651,1268,555,2046,5279.0,39.52685297097591,9.671470190742971
289,124.369,1231,696,1134,261,1856,5279.0,39.527859601385316,9.671470190742971
