,POP_2015,education,health_wellbeing,ID_HDC_G0,lng,lat
0,35.09,2220,1055,8227.0,77.84428387879562,11.592894012170095
1,48.96,503,0,8227.0,77.8269642327765,11.592078838570426
2,24.576,2220,1055,8227.0,77.84414357422463,11.592078838570428
3,57.188,503,0,8227.0,77.82682396973964,11.591263665880588
4,49.43,450,53,8227.0,77.82783451741531,11.591263665880588
5,1.304,346,346,8227.0,77.83086616044241,11.591263665880586
6,23.743,358,358,8227.0,77.83187670811809,11.591263665880588
7,82.619,529,529,8227.0,77.83288725579378,11.591263665880588
8,113.114,589,589,8227.0,77.83389780346948,11.591263665880586
9,113.2,683,503,8227.0,77.83490835114519,11.591263665880586
10,28.508,2174,1044,8227.0,77.83793999417226,11.591263665880588
11,111.447,2142,1012,8227.0,77.83895054184796,11.591263665880586
12,28.487,2085,955,8227.0,77.83996108952364,11.591263665880586
13,18.079,1926,761,8227.0,77.84198218487505,11.591263665880588
14,66.377,1984,703,8227.0,77.84299273255074,11.591263665880588
15,63.834,450,53,8227.0,77.82668371727307,11.590448494100505
16,99.437,382,121,8227.0,77.82769426312767,11.590448494100505
17,78.921,295,207,8227.0,77.82870480898222,11.590448494100508
18,82.576,997,690,8227.0,77.83173644654597,11.590448494100505
19,65.821,997,690,8227.0,77.83274699240053,11.590448494100507
20,63.3,589,589,8227.0,77.8337575382551,11.590448494100505
21,46.652,710,475,8227.0,77.83476808410968,11.590448494100507
22,4.253,2142,1012,8227.0,77.8377997216734,11.590448494100505
23,4.616,2055,925,8227.0,77.83881026752799,11.590448494100507
24,64.817,2055,925,8227.0,77.83982081338257,11.590448494100507
25,30.218,1800,670,8227.0,77.84083135923716,11.590448494100503
26,44.985,1812,682,8227.0,77.84184190509175,11.590448494100508
27,64.304,1967,678,8227.0,77.84285245094631,11.590448494100505
28,57.252,2121,840,8227.0,77.84386299680088,11.590448494100508
29,10.172,2377,731,8227.0,77.84588408851003,11.590448494100508
30,31.693,2377,731,8227.0,77.8468946343646,11.590448494100503
31,28.572,2527,588,8227.0,77.84790518021919,11.590448494100505
32,80.225,295,207,8227.0,77.82755401941027,11.589633323230123
33,59.047,285,212,8227.0,77.82856456344389,11.589633323230123
34,64.582,139,139,8227.0,77.83058565151107,11.589633323230121
35,112.687,178,178,8227.0,77.83159619554465,11.589633323230123
36,72.19,997,690,8227.0,77.83260673957825,11.589633323230121
37,84.414,454,292,8227.0,77.83361728361184,11.589633323230123
38,73.921,800,386,8227.0,77.83462782764543,11.589633323230123
39,9.189,1746,616,8227.0,77.84069109184702,11.589633323230123
40,104.032,1746,616,8227.0,77.84170163588063,11.589633323230123
41,49.323,1886,588,8227.0,77.84271217991423,11.589633323230125
42,20.9,2121,840,8227.0,77.84372272394783,11.589633323230123
43,50.37,2377,731,8227.0,77.845743812015,11.589633323230121
44,79.37,2377,731,8227.0,77.8467543560486,11.589633323230123
45,82.854,2527,588,8227.0,77.84776490008221,11.589633323230123
46,98.475,83,26,8227.0,77.82943487068853,11.58881815326936
47,104.267,56,0,8227.0,77.83044541290128,11.58881815326936
48,80.567,226,226,8227.0,77.83145595511404,11.58881815326936
49,75.951,402,318,8227.0,77.83246649732678,11.588818153269358
50,59.474,468,275,8227.0,77.83347703953955,11.588818153269361
51,54.623,789,309,8227.0,77.83448758175228,11.58881815326936
52,94.949,789,309,8227.0,77.83549812396504,11.58881815326936
53,42.656,1642,512,8227.0,77.84055083502881,11.588818153269363
54,95.334,1642,512,8227.0,77.84156137724158,11.588818153269361
55,58.32,1777,480,8227.0,77.84257191945433,11.588818153269361
56,43.745,2518,578,8227.0,77.84560354609256,11.58881815326936
57,63.406,2518,578,8227.0,77.84661408830533,11.588818153269361
58,76.955,2391,452,8227.0,77.84762463051808,11.58881815326936
59,68.129,56,0,8227.0,77.82929464446984,11.588002984218162
60,78.152,0,0,8227.0,77.83030518486186,11.588002984218162
61,79.926,444,259,8227.0,77.83232626564597,11.588002984218162
62,62.402,458,193,8227.0,77.833336806038,11.58800298421816
63,98.817,640,160,8227.0,77.83434734643005,11.58800298421816
64,58.769,637,158,8227.0,77.83535788682211,11.588002984218162
65,71.484,1461,331,8227.0,77.8394000483903,11.588002984218162
66,44.622,1502,372,8227.0,77.84041058878233,11.588002984218162
67,56.098,1777,480,8227.0,77.84243166956644,11.58800298421816
68,58.32,2474,535,8227.0,77.84546329074254,11.58800298421816
69,88.987,2474,535,8227.0,77.84647383113462,11.58800298421816
70,71.613,2298,359,8227.0,77.84748437152666,11.58800298421816
71,95.163,2271,332,8227.0,77.8484949119187,11.588002984218162
72,64.09,159,159,8227.0,77.83117550596411,11.587187816076453
73,96.274,288,203,8227.0,77.83218604453562,11.587187816076455
74,95.996,433,112,8227.0,77.83319658310708,11.587187816076453
75,117.559,566,75,8227.0,77.83420712167857,11.587187816076453
76,74.797,629,94,8227.0,77.83521766025007,11.587187816076455
77,31.757,1417,287,8227.0,77.83925981453595,11.587187816076453
78,32.547,1439,309,8227.0,77.84027035310743,11.587187816076451
79,63.919,1803,314,8227.0,77.84431250739334,11.587187816076453
80,101.852,2081,318,8227.0,77.84633358453631,11.587187816076455
81,108.306,2229,289,8227.0,77.84734412310779,11.587187816076453
