,POP_2015,active_living,community_space,education,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,19.681,4550,3656,1042,2104,5000,5000,7508.0,76.03829276065754,18.234285255672347
1,0.0,5000,4848,1669,3295,5000,5000,7508.0,76.05580349245875,18.23428525567235
2,0.0,5000,4848,1669,3295,5000,5000,7508.0,76.0568335355059,18.234285255672347
3,6.038,4503,3609,996,2057,5000,5000,7508.0,76.03806966824148,18.233460402761434
4,22.35,4480,3586,973,2034,5000,5000,7508.0,76.0390997082665,18.23346040276144
5,0.0,4992,4098,506,2546,5000,5000,7508.0,76.04630998844176,18.233460402761438
6,0.0,5000,4848,1669,3295,5000,5000,7508.0,76.05558034866709,18.233460402761438
7,0.0,5000,4848,1669,3295,5000,5000,7508.0,76.05661038869214,18.23346040276144
8,39.663,4444,3550,958,1998,5000,5000,7508.0,76.03784658774882,18.23263555134246
9,69.451,4416,3522,909,1970,5000,5000,7508.0,76.03887662475192,18.232635551342458
10,10.408,4913,4019,426,2467,5000,5000,7508.0,76.04608688377364,18.23263555134246
11,52.906,4933,4039,446,2487,5000,5000,7508.0,76.04711692077676,18.23263555134246
12,98.273,4486,3592,0,2040,5000,5000,7508.0,76.04277368908596,18.23181070141534
13,14.711,4933,4039,446,2487,5000,5000,7508.0,76.04586379102994,18.23181070141534
14,31.924,4933,4039,446,2487,5000,5000,7508.0,76.0468938250113,18.23181070141534
15,157.483,4914,4020,842,2467,5000,5000,7508.0,76.04895389297396,18.231810701415345
16,16.245,5000,4219,1041,2667,5000,5000,7508.0,76.05101396093663,18.23181070141534
17,124.959,4202,3308,731,1756,5000,5000,7508.0,76.03740046253255,18.230985852980005
18,16.979,4608,3714,1101,2162,5000,5000,7508.0,76.03843049349227,18.23098585298
19,58.977,4284,3390,368,1838,5000,5000,7508.0,76.039460524452,18.230985852980005
20,121.256,4305,3411,323,1858,5000,5000,7508.0,76.04049055541172,18.230985852980005
21,3.069,4581,3687,509,2135,5000,5000,7508.0,76.04564071021036,18.23098585298
22,3.202,4683,3789,611,2237,5000,5000,7508.0,76.0466707411701,18.230985852980005
23,83.862,4782,3888,710,2336,5000,5000,7508.0,76.04770077212983,18.230985852980005
24,97.205,4914,4020,842,2467,5000,5000,7508.0,76.04873080308954,18.23098585298
25,0.1,5000,4219,1041,2667,5000,5000,7508.0,76.050790865009,18.230985852980005
26,81.56,4202,3308,731,1756,5000,5000,7508.0,76.03717741780838,18.230161006036372
27,4.103,4202,3308,731,1756,5000,5000,7508.0,76.03820744574665,18.23016100603637
28,153.413,4113,3219,563,1667,5000,5000,7508.0,76.03923747368493,18.230161006036372
29,133.632,4305,3411,323,1858,5000,5000,7508.0,76.04026750162322,18.230161006036372
30,16.979,4279,3385,207,1833,5000,5000,7508.0,76.04232755749977,18.230161006036365
31,9.274,4279,3385,207,1833,5000,5000,7508.0,76.04335758543806,18.230161006036376
32,112.85,4581,3687,509,2135,5000,5000,7508.0,76.0454176413146,18.230161006036372
33,119.622,4581,3687,509,2135,5000,5000,7508.0,76.0464476692529,18.230161006036372
34,25.319,4097,3203,608,1650,4996,5000,7508.0,76.03798440992344,18.229336160584367
35,113.317,4134,3240,518,1688,5000,5000,7508.0,76.03901443484044,18.229336160584367
36,144.273,4155,3262,473,1709,5000,5000,7508.0,76.04004445975741,18.229336160584364
