,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,53.156,3617,5000,1654,189,1588,528,6538.0,73.85647171565103,29.933343340526985
1,26.213,3617,5000,1654,189,1588,528,6538.0,73.85756200095621,29.933343340526985
2,20.806,3531,5000,1522,57,1456,516,6538.0,73.85865228626137,29.933343340526978
3,43.34,3475,5000,1465,0,1398,570,6538.0,73.85974257156657,29.93334334052698
4,91.888,3002,5000,954,461,888,1060,6538.0,73.86519399809248,29.933343340526985
5,69.354,2734,4949,686,501,620,1318,6538.0,73.86737456870284,29.933343340526978
6,44.958,2138,4737,1237,1049,930,2026,6538.0,73.8750065658391,29.93334334052698
7,65.365,3558,5000,1652,216,1615,489,6538.0,73.85716789711773,29.932489267967604
8,112.827,3495,5000,1559,110,1509,480,6538.0,73.85825817660515,29.932489267967604
9,119.829,3437,5000,1502,37,1436,532,6538.0,73.85934845609258,29.932489267967604
10,35.984,2989,5000,942,449,875,1048,6538.0,73.86479985352968,29.932489267967604
11,102.634,2724,4939,677,491,610,1309,6538.0,73.86698041250452,29.932489267967604
12,62.839,2649,4864,602,416,535,1234,6538.0,73.86807069199193,29.9324892679676
13,63.526,2557,4780,496,310,429,1340,6538.0,73.86916097147935,29.932489267967604
14,68.645,2138,4737,1237,1049,930,2026,6538.0,73.87461236891646,29.9324892679676
15,73.564,1819,4418,918,731,611,2345,6538.0,73.87788320737872,29.932489267967604
16,59.759,1519,4117,1184,1031,912,2646,6538.0,73.88115404584097,29.9324892679676
17,69.908,1582,4181,1247,1094,975,2709,6538.0,73.88224432532841,29.9324892679676
18,42.233,3434,5000,1554,250,1755,344,6538.0,73.85677381042667,29.93163519818129
19,86.149,3417,5000,1485,199,1685,385,6538.0,73.85786408409659,29.93163519818129
20,137.289,3330,5000,1398,156,1598,370,6538.0,73.85895435776652,29.93163519818129
21,65.853,3241,5000,1309,178,1531,379,6538.0,73.86004463143642,29.93163519818129
22,52.868,2912,5000,865,372,798,971,6538.0,73.86440572611609,29.931635198181294
23,54.02,2649,4864,602,416,535,1234,6538.0,73.8665862734559,29.93163519818129
24,49.234,2649,4864,602,416,535,1234,6538.0,73.86767654712581,29.931635198181286
25,53.156,2557,4780,496,310,429,1340,6538.0,73.86876682079574,29.93163519818129
26,58.43,2385,4618,323,138,257,1512,6538.0,73.86985709446564,29.931635198181283
27,96.32,2385,4618,323,138,257,1512,6538.0,73.87094736813553,29.931635198181286
28,51.332,2251,4493,214,0,119,1650,6538.0,73.87203764180548,29.931635198181294
29,59.223,2111,4356,334,146,27,1797,6538.0,73.87312791547538,29.931635198181286
30,78.305,2019,4273,427,239,120,1890,6538.0,73.87421818914531,29.931635198181294
31,100.241,1900,4176,546,359,239,2009,6538.0,73.87530846281521,29.931635198181286
32,60.158,1799,4221,652,464,345,2115,6538.0,73.87639873648511,29.93163519818129
33,71.237,1758,4357,854,666,547,2317,6538.0,73.87748901015503,29.931635198181294
34,65.853,1680,4278,776,588,468,2238,6538.0,73.87857928382496,29.931635198181286
35,60.734,1519,4117,1184,1031,912,2646,6538.0,73.88075983116477,29.931635198181286
