,POP_2015,active_living,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
171,126.467,1740,189,937,451,8553.0,80.1713460336805,16.0895585301801
172,172.142,1860,208,1027,539,8553.0,80.17236873825988,16.0895585301801
173,207.178,1937,151,1134,603,8553.0,80.17339144283925,16.0895585301801
174,155.584,2048,61,1244,714,8553.0,80.17441414741862,16.0895585301801
175,71.113,993,266,418,1269,8553.0,80.16193681478325,16.088737308083065
176,109.868,1189,360,340,874,8553.0,80.16295951674881,16.088737308083065
177,176.821,1228,212,490,733,8553.0,80.16398221871437,16.08873730808306
178,192.62,1305,279,524,636,8553.0,80.16500492067993,16.088737308083065
179,129.226,1362,337,625,578,8553.0,80.16602762264549,16.088737308083065
180,181.781,1419,394,666,527,8553.0,80.167050324611,16.088737308083065
181,180.061,1510,294,748,432,8553.0,80.16807302657656,16.08873730808306
182,191.3,1593,172,805,386,8553.0,80.1690957285421,16.088737308083065
183,173.822,1724,4,920,266,8553.0,80.17011843050767,16.08873730808306
184,161.703,1800,92,997,353,8553.0,80.17114113247322,16.088737308083065
185,140.545,1894,241,1091,456,8553.0,80.17216383443876,16.08873730808306
186,182.581,1977,308,1173,519,8553.0,80.17318653640433,16.088737308083065
187,211.978,2104,61,1300,709,8553.0,80.17420923836987,16.088737308083065
188,41.196,1184,75,228,1079,8553.0,80.16173194902211,16.08791608728211
189,125.227,1315,310,234,865,8553.0,80.16275464837398,16.08791608728211
190,168.822,1342,336,365,725,8553.0,80.16377734772588,16.08791608728211
191,187.5,1372,346,412,616,8553.0,80.16480004707776,16.08791608728211
192,167.942,1465,397,522,476,8553.0,80.16582274642964,16.087916087282114
193,193.14,1528,353,545,414,8553.0,80.16684544578152,16.08791608728211
194,200.459,1610,210,688,315,8553.0,80.16786814513341,16.087916087282114
195,188.54,1685,153,781,259,8553.0,80.1688908444853,16.087916087282114
196,170.862,1802,18,880,132,8553.0,80.16991354383715,16.087916087282114
197,187.5,2040,84,1117,292,8553.0,80.17093624318906,16.08791608728211
198,161.823,2040,84,1117,292,8553.0,80.17195894254095,16.087916087282114
199,216.537,2040,261,1237,508,8553.0,80.17298164189282,16.08791608728211
200,164.543,2150,151,1346,616,8553.0,80.17400434124471,16.08791608728211
201,164.223,2205,163,1402,662,8553.0,80.17502704059659,16.087916087282114
202,119.987,1342,98,112,957,8553.0,80.16152709518245,16.08709486777717
203,198.059,1450,225,103,901,8553.0,80.16254979192082,16.08709486777717
204,176.621,1421,361,245,775,8553.0,80.16357248865918,16.08709486777717
205,159.103,1479,453,360,590,8553.0,80.16459518539756,16.08709486777717
206,146.585,1581,448,465,486,8553.0,80.16561788213592,16.08709486777717
207,185.021,1606,404,536,414,8553.0,80.1666405788743,16.08709486777717
208,152.544,1668,266,669,265,8553.0,80.16766327561267,16.08709486777717
209,178.261,1743,192,754,182,8553.0,80.16868597235103,16.08709486777717
210,181.541,1870,50,900,60,8553.0,80.1697086690894,16.08709486777717
211,145.905,1955,15,1033,207,8553.0,80.17073136582778,16.08709486777717
212,137.946,2050,43,1076,251,8553.0,80.17175406256614,16.08709486777717
213,202.179,2144,202,1235,409,8553.0,80.17277675930453,16.08709486777717
214,136.546,2161,211,1332,530,8553.0,80.17379945604289,16.08709486777717
215,151.024,1567,291,277,1128,8553.0,80.15927686501404,16.086273649568167
216,120.467,1463,187,173,1024,8553.0,80.16029955913905,16.086273649568163
217,103.989,1377,78,71,909,8553.0,80.16132225326406,16.086273649568163
218,166.463,1448,135,52,838,8553.0,80.16234494738904,16.086273649568163
219,183.261,1478,277,155,781,8553.0,80.16336764151407,16.08627364956816
220,172.742,1699,205,377,584,8553.0,80.16439033563907,16.086273649568163
221,169.902,1715,385,420,490,8553.0,80.16541302976408,16.086273649568163
222,166.023,1659,373,513,416,8553.0,80.16643572388908,16.086273649568163
223,146.305,1767,208,635,218,8553.0,80.16745841801409,16.086273649568163
224,154.704,1827,145,700,155,8553.0,80.1684811121391,16.086273649568167
225,137.586,1940,9,846,14,8553.0,80.16950380626409,16.08627364956816
226,196.019,2091,0,988,165,8553.0,80.1705265003891,16.086273649568163
227,233.855,2163,84,1103,253,8553.0,80.1715491945141,16.086273649568163
228,182.381,2244,184,1203,353,8553.0,80.17257188863911,16.08627364956816
229,118.468,2279,280,1299,449,8553.0,80.17359458276411,16.08627364956816
230,149.224,1567,291,277,1128,8553.0,80.15907204024303,16.085452432655018
231,161.583,1463,187,173,1024,8553.0,80.16009473175484,16.085452432655018
232,86.431,1401,112,105,952,8553.0,80.16111742326662,16.08545243265502
233,152.224,1410,33,88,873,8553.0,80.16214011477842,16.085452432655018
234,172.222,1718,224,396,564,8553.0,80.16418549780201,16.085452432655018
235,184.781,1766,272,443,517,8553.0,80.16520818931382,16.08545243265502
236,185.741,1950,355,818,365,8553.0,80.16623088082561,16.08545243265502
237,180.941,1950,355,818,365,8553.0,80.16725357233742,16.085452432655018
238,206.698,1846,243,713,253,8553.0,80.1682762638492,16.085452432655018
239,189.82,2020,91,887,101,8553.0,80.16929895536099,16.08545243265502
240,187.62,2091,0,988,165,8553.0,80.1703216468728,16.08545243265502
241,166.383,2169,77,1066,242,8553.0,80.17134433838459,16.085452432655018
242,215.377,2308,216,1205,382,8553.0,80.17236702989638,16.085452432655018
243,134.986,2370,300,1289,465,8553.0,80.17338972140818,16.085452432655018
244,196.019,2221,130,1118,295,8553.0,80.1711394941773,16.08463121703766
245,222.257,2318,227,1215,392,8553.0,80.17216218307604,16.084631217037657
246,184.301,2386,311,1299,476,8553.0,80.17318487197477,16.084631217037664
