,POP_2015,active_living,community_space,education,food_choices,mobility,ID_HDC_G0,lng,lat
0,2.819,3413,3741,3817,2400,1354,11127.0,105.58783110664817,20.915916537563657
1,22.387,3357,3685,3761,2344,1298,11127.0,105.5888718166115,20.915916537563653
2,35.378,3357,3685,3761,2344,1298,11127.0,105.58850981680123,20.915086435384787
3,84.662,3261,3589,3665,2248,1067,11127.0,105.59267264238281,20.915086435384787
4,112.475,3261,3589,3665,2248,1067,11127.0,105.59371334877818,20.915086435384787
5,101.058,4547,4875,4951,3534,615,11127.0,105.61036465110446,20.915086435384787
6,19.87,4991,5000,5000,3979,436,11127.0,105.61348677029063,20.91508643538479
7,24.159,4991,5000,5000,3979,436,11127.0,105.614527476686,20.915086435384787
8,84.354,5000,5000,5000,4272,484,11127.0,105.61556818308142,20.91508643538479
9,32.96,5000,5000,5000,4272,484,11127.0,105.61660888947681,20.915086435384787
10,29.435,5000,5000,5000,4479,677,11127.0,105.61764959587218,20.91508643538479
11,33.948,5000,5000,5000,5000,138,11127.0,105.62909736622149,20.91508643538479
12,68.794,5000,5000,5000,5000,138,11127.0,105.63013807261689,20.91508643538479
13,36.928,3261,3589,3665,2248,1067,11127.0,105.59231064614293,20.91425633495617
14,81.772,3261,3589,3665,2248,1067,11127.0,105.59335134897054,20.91425633495617
15,36.665,4547,4875,4951,3534,615,11127.0,105.61000259421225,20.914256334956168
16,18.119,4762,5000,5000,3750,400,11127.0,105.6120839998675,20.91425633495617
17,45.286,4774,5000,5000,3762,387,11127.0,105.61312470269506,20.914256334956168
18,40.01,4991,5000,5000,3979,436,11127.0,105.61416540552268,20.91425633495617
19,82.849,5000,5000,5000,4174,386,11127.0,105.61520610835028,20.91425633495617
20,69.602,5000,5000,5000,4189,349,11127.0,105.6162468111779,20.91425633495617
21,33.477,5000,5000,5000,4474,334,11127.0,105.62145032531593,20.91425633495617
22,55.862,5000,5000,5000,4583,225,11127.0,105.62249102814356,20.91425633495617
23,64.91,5000,5000,5000,4689,119,11127.0,105.62353173097114,20.914256334956168
24,40.616,5000,5000,5000,4808,0,11127.0,105.62457243379878,20.91425633495617
25,21.981,5000,5000,5000,4935,126,11127.0,105.62561313662638,20.91425633495617
26,55.031,5000,5000,5000,4935,126,11127.0,105.626653839454,20.91425633495617
27,54.492,5000,5000,5000,5000,283,11127.0,105.6276945422816,20.91425633495617
28,59.14,5000,5000,5000,5000,178,11127.0,105.62873524510918,20.91425633495617
29,69.513,5000,5000,5000,5000,113,11127.0,105.62977594793678,20.91425633495617
30,44.927,5000,5000,5000,5000,5,11127.0,105.63081665076439,20.91425633495617
31,0.0,549,355,301,262,349,11127.0,105.5742567803248,20.91342623627773
32,0.0,549,355,301,262,349,11127.0,105.5752974795848,20.913426236277736
33,47.053,3198,3526,3602,2185,1139,11127.0,105.58882656996477,20.913426236277733
34,78.953,3099,3427,3503,2086,1039,11127.0,105.58986726922481,20.913426236277733
35,11.252,3047,3375,3451,2034,988,11127.0,105.59090796848481,20.913426236277733
36,7.634,4774,5000,5000,3762,387,11127.0,105.61172195368479,20.913426236277733
37,29.952,4923,5000,5000,3910,239,11127.0,105.61276265294481,20.913426236277733
38,70.523,4923,5000,5000,3910,239,11127.0,105.61380335220477,20.91342623627773
39,97.713,5000,5000,5000,4073,285,11127.0,105.61484405146479,20.91342623627773
40,67.716,5000,5000,5000,4111,271,11127.0,105.61588475072479,20.913426236277733
41,34.801,5000,5000,5000,4111,271,11127.0,105.61692544998479,20.91342623627773
42,47.913,5000,5000,5000,4217,376,11127.0,105.61900684850478,20.91342623627773
43,34.622,5000,5000,5000,4330,478,11127.0,105.62004754776478,20.91342623627773
44,47.105,5000,5000,5000,4463,345,11127.0,105.62108824702477,20.913426236277733
45,77.393,5000,5000,5000,4605,247,11127.0,105.62212894628479,20.913426236277733
46,80.245,5000,5000,5000,4689,119,11127.0,105.6231696455448,20.91342623627773
47,51.932,5000,5000,5000,4926,254,11127.0,105.62421034480478,20.91342623627773
48,82.221,5000,5000,5000,4930,121,11127.0,105.6252510440648,20.913426236277733
49,39.112,5000,5000,5000,4935,126,11127.0,105.62629174332477,20.913426236277733
50,76.316,5000,5000,5000,5000,371,11127.0,105.6273324425848,20.913426236277733
51,64.932,5000,5000,5000,5000,178,11127.0,105.6283731418448,20.91342623627773
52,77.461,5000,5000,5000,5000,124,11127.0,105.62941384110478,20.913426236277736
53,86.981,5000,5000,5000,5000,10,11127.0,105.63045454036481,20.91342623627773
54,0.0,430,236,182,254,390,11127.0,105.57389488041426,20.91259613934938
55,0.808,430,236,182,254,390,11127.0,105.57493557610682,20.912596139349375
56,56.535,518,68,270,127,214,11127.0,105.57597627179938,20.912596139349375
57,41.447,486,196,398,0,87,11127.0,105.57701696749199,20.912596139349375
58,27.01,3145,3474,3550,2133,1086,11127.0,105.58846462011019,20.912596139349375
59,44.837,3047,3375,3451,2034,988,11127.0,105.58950531580275,20.912596139349372
60,51.326,2960,3288,3364,1947,901,11127.0,105.59054601149533,20.91259613934938
61,21.554,3021,3349,3425,2008,827,11127.0,105.59262740288048,20.912596139349375
62,48.699,4981,5000,5000,3968,181,11127.0,105.61344131673184,20.912596139349375
63,83.882,4987,5000,5000,3974,134,11127.0,105.61448201242442,20.91259613934938
64,70.321,4853,5000,5000,3840,0,11127.0,105.61552270811698,20.912596139349375
65,102.54,4997,5000,5000,3984,144,11127.0,105.61656340380955,20.91259613934938
66,120.435,5000,5000,5000,4042,201,11127.0,105.61760409950212,20.912596139349375
67,65.786,5000,5000,5000,4145,304,11127.0,105.61864479519467,20.912596139349375
68,0.0,5000,5000,5000,4408,557,11127.0,105.61968549088726,20.91259613934938
69,0.921,5000,5000,5000,4485,634,11127.0,105.6207261865798,20.912596139349375
70,3.345,5000,5000,5000,4510,659,11127.0,105.62176688227238,20.91259613934938
71,5.321,5000,5000,5000,4732,448,11127.0,105.62280757796495,20.912596139349375
72,66.751,5000,5000,5000,4926,254,11127.0,105.62384827365753,20.912596139349375
73,36.53,5000,5000,5000,4926,254,11127.0,105.62488896935008,20.912596139349375
74,14.01,5000,5000,5000,5000,411,11127.0,105.62697036073523,20.91259613934938
75,0.472,5000,5000,5000,5000,409,11127.0,105.62801105642781,20.91259613934938
76,34.307,5000,5000,5000,5000,226,11127.0,105.62905175212038,20.912596139349375
77,61.318,5000,5000,5000,5000,122,11127.0,105.63009244781294,20.912596139349372
78,46.476,0,449,247,319,604,11127.0,105.57249230621618,20.911766044171035
79,47.554,62,395,193,265,549,11127.0,105.57353299834146,20.91176604417104
80,14.01,430,236,182,254,390,11127.0,105.57457369046678,20.911766044171035
81,16.66,484,34,236,161,184,11127.0,105.57561438259211,20.911766044171028
82,42.233,457,173,375,28,58,11127.0,105.57665507471744,20.91176604417104
83,44.703,401,180,381,87,0,11127.0,105.57769576684275,20.911766044171035
84,27.235,3008,3336,3412,1995,949,11127.0,105.58810268809583,20.911766044171035
85,86.509,3090,3418,3494,2077,1031,11127.0,105.58914338022117,20.911766044171035
86,67.874,2854,3182,3258,1841,795,11127.0,105.59018407234649,20.91176604417104
87,31.164,2854,3182,3258,1841,795,11127.0,105.59122476447179,20.91176604417103
