,POP_2015,active_living,community_space,education,health_wellbeing,ID_HDC_G0,lng,lat
0,58.227,1375,1772,2056,1979,8607.0,83.02872915977639,24.225262960110285
1,81.101,1393,777,860,0,8607.0,83.04034858690349,24.225262960110285
2,58.177,1375,1772,2056,1979,8607.0,83.02839051177445,24.224425239733353
3,43.723,1393,777,860,0,8607.0,83.04000989150958,24.224425239733353
4,139.068,1023,1419,1703,1626,8607.0,83.03088215841004,24.222749805261817
5,62.672,1042,1439,1723,1646,8607.0,83.02737466125143,24.221912091167024
6,61.187,979,1375,1659,1582,8607.0,83.02843095557617,24.22191209116702
7,67.196,953,1349,1633,1556,8607.0,83.02948724990092,24.221912091167024
8,75.216,1023,1419,1703,1626,8607.0,83.03054354422568,24.22191209116702
9,100.046,1042,1439,1723,1646,8607.0,83.02703607556968,24.221074379166087
10,68.006,979,1375,1659,1582,8607.0,83.02809236558684,24.221074379166087
11,76.334,836,1232,1516,1439,8607.0,83.02914865560405,24.221074379166087
12,147.139,848,1244,1528,1451,8607.0,83.03020494562122,24.221074379166087
13,63.498,333,219,673,537,8607.0,83.03865526575868,24.221074379166087
14,27.005,259,147,600,464,8607.0,83.03971155577587,24.221074379166087
15,29.72,268,226,609,473,8607.0,83.04076784579306,24.22107437916609
16,86.148,842,1239,1522,1445,8607.0,83.02775379117652,24.220236669258924
17,71.755,842,1238,1522,1445,8607.0,83.02881007688634,24.22023666925892
18,63.641,712,1109,1392,1315,8607.0,83.02986636259615,24.220236669258924
19,89.475,712,1109,1392,1315,8607.0,83.03092264830596,24.22023666925892
20,72.96,548,944,1228,1151,8607.0,83.03197893401578,24.22023666925892
21,136.569,699,83,166,698,8607.0,83.03514779114522,24.220236669258917
22,123.738,634,0,83,693,8607.0,83.03620407685503,24.220236669258927
23,64.812,591,42,40,650,8607.0,83.03726036256484,24.220236669258924
24,86.331,311,196,651,515,8607.0,83.03831664827464,24.220236669258924
25,67.642,278,165,618,483,8607.0,83.03937293398447,24.220236669258924
26,80.501,268,226,609,473,8607.0,83.04042921969427,24.22023666925892
27,98.252,842,1239,1522,1445,8607.0,83.02741523234468,24.21939896144545
28,93.927,842,1239,1522,1445,8607.0,83.02847151374732,24.21939896144545
29,121.73,531,927,1211,1134,8607.0,83.03164035795524,24.21939896144545
30,122.995,514,910,1194,1117,8607.0,83.03269663935787,24.21939896144545
31,141.542,591,42,40,650,8607.0,83.03586548356579,24.21939896144544
32,103.22,577,104,21,636,8607.0,83.03692176496843,24.219398961445446
33,70.671,510,203,165,568,8607.0,83.03797804637107,24.219398961445442
34,77.701,254,139,560,458,8607.0,83.0390343277737,24.21939896144544
35,106.563,156,41,496,360,8607.0,83.04009060917635,24.219398961445446
36,20.032,222,249,630,316,8607.0,83.04220317198161,24.21939896144545
37,59.411,266,293,673,359,8607.0,83.04325945338427,24.21939896144544
38,155.401,537,491,196,566,8607.0,83.03552690585613,24.218561255725554
39,119.88,556,126,43,614,8607.0,83.0365831829518,24.218561255725557
40,114.851,465,246,125,523,8607.0,83.03763946004746,24.218561255725554
41,90.36,584,365,244,643,8607.0,83.03869573714312,24.21856125572556
42,109.65,17,96,358,222,8607.0,83.03975201423879,24.218561255725557
