,POP_2015,community_space,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,135.87,1080,1293,1710,1347,1325,5609.0,43.94313039921001,15.673363595932171
1,136.247,1080,1293,1710,1347,1325,5609.0,43.94415179802225,15.673363595932171
2,74.603,1728,1555,2460,336,1390,5609.0,43.93485007562269,15.672543021564577
3,80.893,1080,1293,1710,1347,1325,5609.0,43.94302124582355,15.672543021564577
4,140.651,1080,1293,1710,1347,1325,5609.0,43.94404264209866,15.672543021564577
5,0.0,1928,2045,2949,269,1410,5609.0,43.93065537405253,15.671722448456022
6,62.525,1856,1736,2640,155,1338,5609.0,43.93371955526694,15.671722448456025
7,53.09,1728,1555,2460,336,1390,5609.0,43.93474094900507,15.671722448456025
8,30.948,1395,1223,2127,668,1058,5609.0,43.937805130219466,15.671722448456022
9,158.012,1196,1169,1826,984,1005,5609.0,43.94086931143388,15.671722448456022
10,90.454,870,1083,1500,1310,1115,5609.0,43.943933492648284,15.671722448456022
11,104.293,783,996,1413,1403,1105,5609.0,43.94495488638642,15.671722448456023
12,8.114,1869,1986,2890,210,1351,5609.0,43.93054626405391,15.670901876606441
13,94.669,1810,1926,2831,151,1292,5609.0,43.931567655255215,15.670901876606441
14,88.756,1781,1892,2796,0,1263,5609.0,43.932589046456535,15.670901876606441
15,139.833,1856,1736,2640,155,1338,5609.0,43.93361043765785,15.67090187660644
16,120.144,1395,1223,2127,668,1058,5609.0,43.93769600246309,15.67090187660644
17,2.705,1196,1169,1826,984,1005,5609.0,43.94076017606704,15.67090187660644
18,96.241,854,1067,1484,1326,1099,5609.0,43.943824349670976,15.670901876606441
19,178.707,782,995,1412,1398,1101,5609.0,43.94484574087228,15.670901876606443
20,2.642,1827,1944,2848,168,1309,5609.0,43.93043716052627,15.670081306015758
21,63.783,1782,1899,2803,123,1264,5609.0,43.93145854919091,15.670081306015756
22,67.495,1622,1739,2643,283,1104,5609.0,43.93247993785555,15.670081306015758
23,108.948,1642,1759,2663,264,1124,5609.0,43.93350132652019,15.670081306015758
24,3.523,1642,1759,2663,264,1124,5609.0,43.93452271518482,15.670081306015756
25,1.321,1115,943,1847,948,778,5609.0,43.93962965850803,15.670081306015756
26,2.705,1622,1739,2643,283,1104,5609.0,43.9323708357257,15.6692607366839
27,34.534,1579,1696,2600,232,1061,5609.0,43.93339222185382,15.6692607366839
28,60.575,1642,1759,2663,264,1124,5609.0,43.93441360798193,15.6692607366839
29,5.095,1314,1142,2046,824,977,5609.0,43.93747776636629,15.669260736683901
30,46.045,1222,1050,1954,915,885,5609.0,43.938499152494416,15.669260736683897
31,3.711,1115,943,1847,948,778,5609.0,43.93952053862253,15.6692607366839
32,215.882,416,629,1045,1165,741,5609.0,43.94667024151937,15.6692607366839
33,0.0,1314,1142,2046,824,977,5609.0,43.9373686580256,15.668440168610797
34,0.0,1247,1075,1979,891,910,5609.0,43.93839004161735,15.668440168610793
35,11.7,784,718,1414,1326,553,5609.0,43.942475575984346,15.668440168610797
36,89.888,784,718,1414,1326,553,5609.0,43.943496959576095,15.668440168610797
37,34.722,612,825,1242,1363,725,5609.0,43.944518343167836,15.668440168610795
38,77.433,410,623,1040,1161,729,5609.0,43.94553972675959,15.668440168610795
39,170.341,405,618,1035,1155,727,5609.0,43.94656111035134,15.668440168610797
40,108.256,2533,2649,3554,900,1061,5609.0,43.922960221379135,15.667619601796371
41,108.193,2442,2559,3463,858,1019,5609.0,43.92398160243466,15.667619601796368
42,30.193,2354,2471,3375,770,931,5609.0,43.92500298349019,15.667619601796371
43,54.851,2213,2330,3234,691,1072,5609.0,43.92602436454572,15.667619601796368
44,112.596,2119,2236,3140,650,1202,5609.0,43.927045745601255,15.667619601796371
45,70.954,2138,2255,3160,617,1235,5609.0,43.92806712665677,15.667619601796371
46,43.151,2080,2197,3101,533,1248,5609.0,43.9290885077123,15.66761960179637
47,40.132,1255,1372,2276,525,738,5609.0,43.93521679404547,15.667619601796371
48,123.73,771,599,1503,1207,434,5609.0,43.94134508037863,15.667619601796371
49,20.318,771,599,1480,1207,434,5609.0,43.94236646143416,15.667619601796371
50,97.122,784,718,1414,1326,553,5609.0,43.943387842489685,15.66761960179637
51,73.722,612,546,1242,1154,507,5609.0,43.94440922354521,15.667619601796371
52,149.017,599,546,1229,1154,507,5609.0,43.94543060460074,15.667619601796368
53,170.152,306,324,1036,1026,686,5609.0,43.94747336671179,15.667619601796368
54,0.0,395,608,1024,1145,812,5609.0,43.95053750987838,15.66761960179637
55,118.383,421,1083,1006,1127,796,5609.0,43.95462303410049,15.667619601796371
56,59.883,344,1160,1083,1204,873,5609.0,43.955644415156016,15.667619601796368
57,54.285,459,1560,1333,1512,1181,5609.0,43.958708558322606,15.667619601796371
58,104.167,2576,2634,3597,844,1004,5609.0,43.92285116148652,15.666799036240555
59,123.667,2442,2559,3463,858,1019,5609.0,43.92387254000597,15.666799036240553
60,140.147,2354,2471,3375,770,931,5609.0,43.924893918525434,15.666799036240555
61,127.001,2213,2330,3234,691,1072,5609.0,43.9259152970449,15.666799036240555
62,141.531,2133,2250,3154,619,1019,5609.0,43.92693667556435,15.666799036240555
63,141.406,2039,2155,3060,614,1122,5609.0,43.92795805408381,15.666799036240553
64,150.086,1938,2055,2959,618,1126,5609.0,43.92897943260327,15.666799036240553
65,75.672,1056,1173,2077,741,538,5609.0,43.93612908223946,15.666799036240551
66,95.046,1052,1169,2073,737,534,5609.0,43.93715046075893,15.666799036240555
67,68.941,832,771,1675,1055,461,5609.0,43.9402145963173,15.666799036240553
