,POP_2015,food_choices,health_wellbeing,ID_HDC_G0,lng,lat
0,151.93,2314,900,8068.0,77.71502970422804,14.426683084305603
1,143.297,2251,1112,8068.0,77.72113597600051,14.426683084305601
2,193.275,2456,1030,8068.0,77.71078232954287,14.425864341570486
3,179.956,2404,977,8068.0,77.71180003919314,14.425864341570485
4,149.891,2298,877,8068.0,77.71281774884342,14.425864341570486
5,107.852,2200,786,8068.0,77.71383545849366,14.425864341570488
6,126.42,2257,843,8068.0,77.71485316814393,14.425864341570488
7,19.479,2164,1025,8068.0,77.71994171639523,14.425864341570486
8,48.763,2246,1106,8068.0,77.72095942604551,14.425864341570486
9,99.913,2246,1106,8068.0,77.72197713569578,14.425864341570488
10,112.668,2079,939,8068.0,77.72299484534605,14.425864341570488
11,91.974,2132,992,8068.0,77.72401255499629,14.425864341570488
12,158.004,2320,1181,8068.0,77.72503026464655,14.425864341570485
13,143.427,2320,1181,8068.0,77.72604797429682,14.425864341570488
14,217.092,2342,1203,8068.0,77.72706568394707,14.425864341570485
15,194.923,2464,302,8068.0,77.72808339359734,14.425864341570486
16,113.448,2475,238,8068.0,77.7291011032476,14.425864341570486
17,143.644,2581,160,8068.0,77.73011881289784,14.425864341570485
18,154.403,2643,98,8068.0,77.73113652254814,14.425864341570486
19,152.364,2743,81,8068.0,77.7321542321984,14.425864341570486
20,175.184,2425,998,8068.0,77.71060581384569,14.425045599985161
21,191.973,2348,921,8068.0,77.71162352118426,14.42504559998516
22,170.281,2243,822,8068.0,77.71264122852287,14.42504559998516
23,176.745,2167,746,8068.0,77.71365893586147,14.42504559998516
24,106.507,2093,680,8068.0,77.71467664320005,14.42504559998516
25,78.611,2147,733,8068.0,77.71569435053864,14.425045599985161
26,122.429,2105,692,8068.0,77.71671205787722,14.425045599985161
27,98.134,5000,5000,8068.0,77.71772976521584,14.425045599985161
28,86.984,5000,5000,8068.0,77.71874747255444,14.42504559998516
29,6.03,2016,876,8068.0,77.71976517989302,14.425045599985161
30,30.586,2246,1106,8068.0,77.72078288723162,14.425045599985161
31,105.423,2144,1005,8068.0,77.7218005945702,14.425045599985161
32,160.607,2079,939,8068.0,77.72281830190879,14.425045599985163
33,162.602,2107,967,8068.0,77.72383600924738,14.425045599985163
34,190.368,2205,1065,8068.0,77.72485371658597,14.42504559998516
35,154.186,2303,1163,8068.0,77.72587142392457,14.42504559998516
36,115.444,2313,1174,8068.0,77.72688913126316,14.42504559998516
37,53.926,2464,302,8068.0,77.72790683860174,14.425045599985161
38,123.514,2437,201,8068.0,77.72892454594032,14.425045599985161
39,190.845,2567,156,8068.0,77.72994225327894,14.42504559998516
40,150.889,2647,47,8068.0,77.73095996061753,14.425045599985161
41,153.101,2695,51,8068.0,77.73197766795612,14.425045599985161
42,134.186,2671,153,8068.0,77.73299537529469,14.425045599985161
43,44.859,2379,1127,8068.0,77.70941160426086,14.424226859549565
44,55.922,2380,1025,8068.0,77.71042930928793,14.424226859549563
45,179.131,2318,914,8068.0,77.71144701431501,14.424226859549565
46,130.254,2196,770,8068.0,77.71246471934207,14.424226859549563
47,127.646,2150,723,8068.0,77.71348242436913,14.424226859549561
48,107.201,2016,596,8068.0,77.7145001293962,14.424226859549561
49,83.644,1931,518,8068.0,77.71551783442327,14.424226859549563
50,67.158,2004,591,8068.0,77.71653553945033,14.424226859549563
51,94.186,5000,5000,8068.0,77.71755324447741,14.424226859549563
52,42.299,5000,5000,8068.0,77.71857094950445,14.424226859549561
53,6.464,2016,876,8068.0,77.71958865453153,14.424226859549567
54,16.442,1776,637,8068.0,77.72162406458565,14.424226859549561
55,173.058,1938,799,8068.0,77.72264176961272,14.424226859549561
56,206.16,2045,905,8068.0,77.72365947463977,14.424226859549563
57,117.136,2148,1009,8068.0,77.72467717966687,14.424226859549561
58,71.67,2238,1099,8068.0,77.72569488469394,14.424226859549565
59,201.821,2252,125,8068.0,77.72773029474807,14.424226859549565
60,185.032,2346,115,8068.0,77.72874799977512,14.424226859549561
61,209.847,2472,134,8068.0,77.7297657048022,14.424226859549563
62,194.099,2533,161,8068.0,77.73078340982927,14.424226859549565
63,191.713,2623,132,8068.0,77.73180111485632,14.424226859549563
64,68.199,2671,153,8068.0,77.73281881988339,14.424226859549563
65,177.873,2379,1127,8068.0,77.70923511315371,14.423408120263622
66,153.405,2250,998,8068.0,77.7102528158694,14.423408120263622
67,136.312,2252,938,8068.0,77.7112705185851,14.423408120263623
68,90.08,2185,809,8068.0,77.71228822130078,14.423408120263622
69,177.136,2148,722,8068.0,77.71330592401647,14.423408120263622
70,148.503,1951,527,8068.0,77.71432362673217,14.423408120263623
71,33.796,1885,457,8068.0,77.71534132944785,14.423408120263623
72,47.592,1927,514,8068.0,77.71635903216352,14.423408120263622
73,59.566,2121,708,8068.0,77.71737673487922,14.423408120263622
74,58.568,1722,582,8068.0,77.72144754574195,14.423408120263622
75,64.512,1913,774,8068.0,77.72246524845765,14.423408120263622
76,26.551,2044,904,8068.0,77.72348295117334,14.423408120263622
77,71.93,1952,636,8068.0,77.72450065388904,14.423408120263622
78,168.025,1996,316,8068.0,77.72551835660474,14.423408120263622
79,161.778,2116,195,8068.0,77.72653605932041,14.423408120263622
80,203.73,2252,125,8068.0,77.72755376203611,14.423408120263622
81,139.869,2236,20,8068.0,77.72857146475178,14.423408120263622
82,146.203,2336,46,8068.0,77.72958916746748,14.423408120263622
83,165.292,2477,95,8068.0,77.73060687018317,14.423408120263622
84,178.481,2507,170,8068.0,77.73162457289884,14.42340812026362
