,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,82.55,2806,2548,1697,199,4313,8312.0,81.35598018254298,23.318384155448047
1,57.81,2806,2548,1697,199,4313,8312.0,81.35703193885574,23.31838415544805
2,41.437,2806,2548,1697,199,4313,8312.0,81.35566325656939,23.317548652158806
3,76.065,2806,2548,1697,199,4313,8312.0,81.35671500878499,23.31754865215881
4,33.298,2636,2378,2042,602,4143,8312.0,81.36092201764734,23.31754865215881
5,45.791,2636,2378,2042,602,4143,8312.0,81.36197376986293,23.31754865215881
6,2.187,2587,2428,1466,156,4093,8312.0,81.35534634540981,23.316713150866352
7,5.629,2609,2351,1498,9,4116,8312.0,81.35639809352843,23.316713150866352
8,52.694,2607,2349,1502,0,4113,8312.0,81.35744984164705,23.31671315086635
9,75.133,2727,2469,1749,310,4234,8312.0,81.35955333788428,23.31671315086635
10,90.841,2560,2302,1896,456,4066,8312.0,81.36060508600289,23.316713150866352
11,45.696,2525,2267,1931,491,4032,8312.0,81.36165683412152,23.31671315086635
12,0.0,2439,2280,1318,247,3945,8312.0,81.3550294490638,23.315877651570613
13,0.0,2565,2322,1445,44,4072,8312.0,81.35608119308567,23.315877651570613
14,24.683,2555,2297,1442,19,4062,8312.0,81.3571329371075,23.315877651570617
15,74.981,2729,2472,1625,185,4236,8312.0,81.35818468112934,23.315877651570613
16,86.353,2748,2490,1643,203,4254,8312.0,81.35923642515117,23.315877651570617
17,48.796,2641,2383,1814,375,4148,8312.0,81.36028816917299,23.315877651570617
18,86.924,2451,2193,1954,596,3957,8312.0,81.36133991319485,23.315877651570613
19,22.667,2546,2288,2049,692,4053,8312.0,81.36239165721666,23.315877651570613
20,0.0,2439,2280,1318,247,3945,8312.0,81.35471256753097,23.315042154271502
21,2.415,2400,2242,1280,208,3907,8312.0,81.35576430745621,23.315042154271502
22,36.987,2385,2127,1274,137,3892,8312.0,81.35681604738147,23.315042154271506
23,0.133,2769,2511,1687,247,4275,8312.0,81.35891952723193,23.315042154271502
24,1.711,2769,2511,1687,247,4275,8312.0,81.35997126715718,23.31504215427151
25,30.236,2598,2340,2101,792,4021,8312.0,81.36207474700767,23.31504215427151
26,25.805,2257,2098,1136,0,3763,8312.0,81.3554474366396,23.31420665896893
27,79.754,2375,2127,1270,137,3882,8312.0,81.35649917246845,23.314206658968924
28,46.248,2281,2023,1364,240,3788,8312.0,81.35755090829728,23.314206658968935
29,42.197,2195,1937,1479,355,3701,8312.0,81.35860264412612,23.31420665896893
30,34.02,2191,1933,1694,825,3697,8312.0,81.35965437995497,23.314206658968924
31,81.2,2191,1933,1694,825,3697,8312.0,81.36070611578381,23.314206658968928
32,51.401,2477,2219,1980,843,3984,8312.0,81.36175785161268,23.314206658968928
33,7.778,2177,2018,1056,80,3683,8312.0,81.35513058063536,23.3133711656628
34,20.405,2255,2097,1135,4,3762,8312.0,81.35618231236802,23.313371165662808
35,30.179,2240,1982,1406,281,3746,8312.0,81.35723404410064,23.3133711656628
36,48.53,2172,1914,1479,355,3679,8312.0,81.35828577583328,23.313371165662808
37,66.386,2068,1810,1499,454,3574,8312.0,81.35933750756591,23.313371165662804
38,83.177,2148,1890,1651,868,3655,8312.0,81.36038923929854,23.313371165662804
39,86.943,2390,2132,1893,930,3897,8312.0,81.36144097103117,23.3133711656628
40,62.621,2352,2094,1855,932,3858,8312.0,81.36249270276383,23.313371165662808
41,21.222,2450,2193,1954,826,3865,8312.0,81.36354443449648,23.313371165662808
42,44.878,2606,2348,2109,641,3681,8312.0,81.3645961662291,23.313371165662808
43,11.657,2606,2348,2109,641,3681,8312.0,81.36564789796175,23.313371165662808
44,13.559,2173,2014,1052,90,3679,8312.0,81.35481373944306,23.31253567435304
45,81.561,2173,2014,1052,90,3679,8312.0,81.3558654670797,23.312535674353033
46,33.412,2068,1810,1499,454,3574,8312.0,81.35902064998955,23.312535674353033
47,24.702,2057,1799,1560,909,3564,8312.0,81.36007237762617,23.312535674353033
48,66.557,2273,2015,1776,975,3780,8312.0,81.36217583289942,23.312535674353033
49,36.835,2346,2088,1849,901,3853,8312.0,81.36322756053603,23.312535674353033
50,66.006,2567,2309,2070,711,3750,8312.0,81.36427928817267,23.312535674353033
51,49.899,2537,2279,2040,711,3750,8312.0,81.36533101580928,23.312535674353036
52,5.591,2739,2481,2242,509,3548,8312.0,81.36638274344591,23.312535674353033
53,23.846,2746,2618,2379,372,3411,8312.0,81.36743447108253,23.312535674353033
54,3.651,1902,1744,782,148,3409,8312.0,81.35344518952142,23.311700185039538
55,22.078,2024,1866,904,238,3531,8312.0,81.35449691306222,23.311700185039538
56,33.298,1859,1601,1290,625,3366,8312.0,81.35765208368461,23.311700185039534
57,62.906,1859,1601,1290,625,3366,8312.0,81.3587038072254,23.311700185039538
58,42.958,2360,2102,1863,888,3866,8312.0,81.3629107013886,23.311700185039534
59,74.259,2792,2593,2354,619,3457,8312.0,81.3650141484702,23.311700185039534
60,42.92,2803,2605,2366,632,3467,8312.0,81.36606587201098,23.311700185039538
61,79.945,2665,2720,2481,492,3329,8312.0,81.3671175955518,23.311700185039534
62,52.409,2671,2756,2538,212,3336,8312.0,81.36816931909257,23.311700185039534
63,54.482,2671,2756,2538,212,3336,8312.0,81.36922104263338,23.311700185039538
64,12.227,2569,2654,2640,110,3234,8312.0,81.37027276617418,23.31170018503954
65,66.234,1753,1595,633,0,3260,8312.0,81.35207666260203,23.310864697722213
66,58.38,1850,1692,730,103,3357,8312.0,81.3531283820472,23.310864697722213
67,52.903,1898,1739,777,157,3404,8312.0,81.35418010149239,23.310864697722213
68,65.796,1859,1601,1290,625,3366,8312.0,81.35733525982786,23.310864697722216
69,57.6,1838,1580,1305,646,3344,8312.0,81.35838697927302,23.310864697722213
70,77.625,2707,2724,2485,724,3372,8312.0,81.36469729594401,23.310864697722213
71,36.816,2707,2724,2485,724,3372,8312.0,81.36574901538917,23.310864697722213
72,49.937,2655,2720,2481,482,3320,8312.0,81.36680073483433,23.310864697722216
73,35.351,2581,2665,2544,537,3245,8312.0,81.3678524542795,23.310864697722213
74,40.181,2666,2751,2599,207,3331,8312.0,81.36890417372466,23.310864697722213
75,68.82,2546,2630,2664,87,3211,8312.0,81.36995589316983,23.310864697722213
76,59.825,1753,1595,633,0,3260,8312.0,81.35175987403362,23.310029212400988
77,37.576,1745,1586,624,2,3251,8312.0,81.35281158938334,23.310029212400988
78,56.574,2664,2748,2533,760,3328,8312.0,81.36438045823027,23.310029212400988
79,72.376,2658,2743,2534,715,3323,8312.0,81.36543217358,23.310029212400988
80,19.549,2704,2788,2579,631,3368,8312.0,81.36648388892974,23.31002921240099
81,42.92,2458,2543,2751,0,3123,8312.0,81.3696390349789,23.310029212400984
82,87.209,2411,2496,2799,47,3076,8312.0,81.37069075032862,23.310029212400988
