,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,2.318,316,654,0,708,0,257,9611.0,89.6566830901229,27.44997169522327
1,167.497,58,521,0,598,257,0,9611.0,89.65775742113465,27.44997169522326
2,356.229,58,521,0,598,316,58,9611.0,89.65883175214641,27.44997169522326
3,188.465,326,461,326,537,749,491,9611.0,89.65990608315819,27.449971695223265
4,120.368,323,458,323,534,746,488,9611.0,89.66098041416994,27.449971695223265
5,43.56,1168,1618,1306,1552,752,1618,9611.0,89.6620547451817,27.449971695223265
6,41.242,1168,1618,1306,1552,752,1618,9611.0,89.66312907619348,27.449971695223265
7,66.258,1021,1471,1159,1406,606,1471,9611.0,89.66635206922874,27.449971695223265
8,36.366,1021,1471,1159,1406,606,1471,9611.0,89.66742640024052,27.449971695223265
9,108.002,1257,904,8,878,172,1046,9611.0,89.65733022309125,27.449125261969602
10,108.014,1255,902,8,876,165,1044,9611.0,89.65840454898407,27.449125261969602
11,224.032,159,293,159,369,581,323,9611.0,89.66055320076973,27.449125261969606
12,40.522,111,245,111,322,534,276,9611.0,89.66162752666254,27.449125261969602
13,133.316,859,1309,997,1243,443,1309,9611.0,89.66377617844822,27.4491252619696
14,0.16,1021,1471,1159,1406,606,1471,9611.0,89.66592483023386,27.4491252619696
15,10.071,1021,1471,1159,1406,606,1471,9611.0,89.66699915612669,27.449125261969602
16,69.455,1262,909,15,883,172,1051,9611.0,89.65690304392942,27.448278831178207
17,117.366,1262,909,15,883,172,1051,9611.0,89.65797736470356,27.448278831178207
18,141.069,1089,736,173,711,0,879,9611.0,89.65905168547768,27.448278831178207
19,48.915,111,245,111,322,534,276,9611.0,89.6601260062518,27.448278831178207
20,113.974,29,164,29,240,489,240,9611.0,89.66120032702591,27.44827883117821
21,23.498,859,1309,997,1243,443,1309,9611.0,89.66227464780003,27.448278831178204
22,14.387,859,1309,997,1243,443,1309,9611.0,89.66334896857417,27.448278831178207
23,91.835,793,1244,931,1178,378,1244,9611.0,89.66549761012242,27.44827883117821
24,61.543,1171,213,792,792,950,960,9611.0,89.65647588364855,27.447432402848992
