,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,27.809,907,962,377,354,738,3028,2283,7958.0,76.63258305468663,10.821322650262163
1,81.828,934,988,404,380,764,3055,2309,7958.0,76.63359194232847,10.821322650262164
2,84.162,879,933,349,325,709,3000,2254,7958.0,76.63460082997031,10.821322650262164
3,62.421,1055,1109,301,501,885,3176,2430,7958.0,76.63560971761213,10.821322650262163
4,85.318,1113,1168,344,560,944,3234,2489,7958.0,76.63661860525396,10.821322650262164
5,51.729,1113,1168,344,560,944,3234,2489,7958.0,76.63762749289582,10.821322650262164
6,20.073,672,726,424,779,1114,2660,1885,7958.0,76.63863638053765,10.821322650262164
7,50.373,610,664,362,717,1052,2592,1817,7958.0,76.63964526817948,10.821322650262164
8,69.846,854,908,606,836,1296,2304,1530,7958.0,76.64065415582132,10.821322650262164
9,58.442,854,908,606,836,1296,2304,1530,7958.0,76.64166304346314,10.821322650262164
10,19.651,1554,126,37,0,1474,2100,1325,7958.0,76.64368081874682,10.821322650262164
11,0.0,2213,466,568,429,1429,2055,1398,7958.0,76.64670748167232,10.821322650262164
12,0.667,2745,217,534,217,1258,1883,1345,7958.0,76.64771636931417,10.821322650262164
13,6.402,1517,1452,767,963,1038,3420,1949,7958.0,76.62741007801473,10.820508308129527
14,18.273,1484,1420,734,931,1005,3388,1917,7958.0,76.6284189639642,10.820508308129527
15,33.056,1018,1072,488,464,848,3139,2329,7958.0,76.63144562181266,10.820508308129527
16,48.839,971,1026,441,418,802,3092,2346,7958.0,76.63245450776213,10.820508308129527
17,50.306,814,868,284,260,644,2935,2189,7958.0,76.63346339371161,10.820508308129527
18,90.075,862,916,332,308,692,2983,2237,7958.0,76.6344722796611,10.820508308129527
19,54.908,967,1021,198,413,797,3088,2342,7958.0,76.63548116561057,10.82050830812953
20,62.599,1088,1143,319,535,919,3209,2463,7958.0,76.63649005156006,10.820508308129527
21,93.098,1113,1168,344,560,944,3234,2489,7958.0,76.63749893750955,10.820508308129527
22,6.713,591,646,343,699,1034,2579,1804,7958.0,76.63850782345902,10.820508308129527
23,39.547,610,664,362,717,1052,2592,1817,7958.0,76.6395167094085,10.82050830812953
24,9.225,786,840,538,768,1228,2236,1462,7958.0,76.64052559535799,10.820508308129527
25,60.176,792,844,543,769,1234,2229,1454,7958.0,76.64153448130747,10.820508308129527
26,85.985,1670,40,153,167,1590,2216,1441,7958.0,76.64254336725695,10.820508308129526
27,18.495,1557,90,40,47,1477,2103,1328,7958.0,76.64355225320642,10.820508308129527
28,1.111,1517,112,0,37,1437,2062,1287,7958.0,76.64456113915591,10.820508308129527
29,18.228,1389,239,127,164,1309,1935,1160,7958.0,76.64557002510539,10.820508308129527
30,72.402,2527,0,316,0,1040,1665,1127,7958.0,76.64859668295385,10.820508308129527
31,24.253,3639,2014,1391,2041,1552,2741,1552,7958.0,76.65364111270125,10.820508308129527
32,38.435,3592,1966,1344,1994,1505,2693,1505,7958.0,76.65464999865073,10.82050830812953
33,0.0,1810,1745,682,1256,1331,3713,2223,7958.0,76.62526378131331,10.81969396684312
34,0.711,1753,1689,738,1200,1274,3657,2186,7958.0,76.62627266557057,10.819693966843122
35,31.322,1491,1339,630,938,924,3382,1812,7958.0,76.62728154982786,10.819693966843122
36,38.702,1372,1307,622,818,893,3276,1804,7958.0,76.6282904340851,10.819693966843122
37,19.807,1372,1307,622,818,893,3276,1804,7958.0,76.62929931834235,10.81969396684312
38,73.892,971,1026,441,418,802,3092,2346,7958.0,76.6313170868569,10.819693966843124
39,87.874,953,1007,423,399,783,3074,2328,7958.0,76.63232597111416,10.81969396684312
40,21.718,749,803,218,195,579,2870,2124,7958.0,76.6333348553714,10.81969396684312
41,74.759,674,728,144,121,504,2795,2049,7958.0,76.63434373962868,10.819693966843122
42,54.574,837,892,69,284,668,2958,2213,7958.0,76.63535262388595,10.819693966843122
43,11.315,478,532,230,585,920,2480,1705,7958.0,76.63837927665773,10.81969396684312
44,17.206,488,542,240,595,931,2470,1695,7958.0,76.639388160915,10.81969396684312
45,20.94,652,707,404,760,1095,2306,1531,7958.0,76.64039704517225,10.819693966843122
46,99.256,1629,0,112,126,1549,2175,1400,7958.0,76.64241481368678,10.819693966843122
47,40.458,1629,0,112,126,1549,2175,1400,7958.0,76.64342369794406,10.81969396684312
48,16.583,1389,239,127,164,1309,1935,1160,7958.0,76.64443258220132,10.819693966843122
49,0.022,1389,239,127,164,1309,1935,1160,7958.0,76.64544146645858,10.819693966843122
50,54.485,2527,0,316,0,1040,1665,1127,7958.0,76.6474592349731,10.819693966843122
51,89.519,2527,0,316,0,1040,1665,1127,7958.0,76.64846811923037,10.81969396684312
52,26.765,3639,2014,1391,2041,1552,2741,1552,7958.0,76.65351254051669,10.819693966843122
53,16.205,3592,1966,1344,1994,1505,2693,1505,7958.0,76.65452142477396,10.819693966843118
54,5.202,1823,1758,669,1269,1344,3727,2216,7958.0,76.62513526678627,10.818879626402873
55,50.795,1491,1339,630,938,924,3382,1812,7958.0,76.62715303191663,10.81887962640287
56,62.932,1454,1301,604,900,887,3344,1786,7958.0,76.6281619144818,10.818879626402872
57,58.042,1443,1095,564,1030,681,3138,1747,7958.0,76.62917079704698,10.818879626402872
58,80.739,911,965,381,357,682,2973,2235,7958.0,76.63118856217736,10.818879626402872
59,100.945,911,965,381,357,682,2973,2235,7958.0,76.63219744474253,10.818879626402873
60,37.724,674,728,144,121,504,2795,2049,7958.0,76.63320632730772,10.818879626402873
