,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,119.812,0,593,475,100,223,0,9532.0,88.36483707915414,25.85954753371031
1,163.73,62,655,537,162,160,62,9532.0,88.36590215845914,25.85954753371031
2,180.628,0,816,698,323,0,223,9532.0,88.36696723776416,25.85954753371031
3,97.959,0,816,698,323,0,223,9532.0,88.36803231706915,25.859547533710302
4,183.762,173,420,302,0,302,0,9532.0,88.36338150219822,25.858705562530602
5,153.693,116,477,359,15,333,56,9532.0,88.36444657679642,25.858705562530602
6,162.417,26,620,502,126,196,26,9532.0,88.3655116513946,25.858705562530602
7,54.887,271,117,0,0,0,302,9532.0,88.36086088231602,25.857863593627062
8,180.882,173,420,302,0,302,0,9532.0,88.36299102209924,25.85786359362706
9,148.187,173,420,302,0,302,0,9532.0,88.36405609199085,25.857863593627062
10,214.044,0,153,0,0,0,574,9532.0,88.35834029881066,25.85702162699959
11,124.005,153,0,117,117,0,420,9532.0,88.35940536399588,25.85702162699959
12,131.807,271,117,0,0,0,302,9532.0,88.3604704291811,25.85702162699959
13,180.84,271,117,0,0,0,302,9532.0,88.36153549436635,25.85702162699959
14,189.819,0,153,0,0,0,574,9532.0,88.35794987263837,25.856179662648078
15,256.183,153,0,117,117,0,420,9532.0,88.35901493311741,25.85617966264808
16,193.291,385,231,113,113,113,416,9532.0,88.36007999359647,25.856179662648074
17,169.405,385,231,113,113,113,416,9532.0,88.36114505407552,25.856179662648074
18,145.18,467,507,389,294,389,294,9532.0,88.3632751750336,25.856179662648074
19,91.267,467,507,389,294,389,294,9532.0,88.36434023551267,25.856179662648078
20,119.558,0,1046,892,892,892,1466,9532.0,88.34903901783053,25.855337700572427
21,105.539,0,1046,892,892,892,1466,9532.0,88.35010407360365,25.85533770057243
22,146.493,0,696,543,543,543,1117,9532.0,88.35223418514983,25.855337700572427
23,150.559,0,696,543,543,543,1117,9532.0,88.35329924092292,25.85533770057243
24,197.908,434,281,163,163,163,465,9532.0,88.35968957556149,25.855337700572427
25,145.053,434,281,163,163,163,465,9532.0,88.36075463133461,25.85533770057243
26,140.437,467,507,389,294,389,294,9532.0,88.3628847428808,25.85533770057243
27,169.109,467,507,389,294,389,294,9532.0,88.36394979865389,25.855337700572427
28,57.428,0,696,543,543,543,1117,9532.0,88.35290886867153,25.854495740772567
29,164.281,961,807,689,689,689,797,9532.0,88.36238822671184,25.851969875026636
30,81.823,961,807,689,689,689,797,9532.0,88.36199787759655,25.85112792432891
31,173.64,961,807,689,689,689,797,9532.0,88.36306290984305,25.85112792432891
