,POP_2015,active_living,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,5.726,5000,1098,5000,5000,461,5000,10879.0,117.26755019345676,39.76263235499519
1,2.625,5000,1098,5000,5000,461,5000,10879.0,117.26872511894102,39.7626323549952
2,2.858,4954,1029,5000,5000,345,5000,10879.0,117.26990004442524,39.762632354995205
3,3.089,4955,1030,5000,5000,115,5000,10879.0,117.27224989539371,39.76263235499519
4,1.766,5000,1145,5000,5000,0,5000,10879.0,117.27342482087799,39.76263235499521
5,1.29,5000,1145,5000,5000,0,5000,10879.0,117.27459974636221,39.76263235499521
6,2.326,5000,12,5000,5000,1133,5000,10879.0,117.2618986752304,39.76173886674065
7,2.909,4523,539,5000,5000,605,5000,10879.0,117.26777325496752,39.76173886674065
8,1.749,4892,967,5000,5000,407,5000,10879.0,117.26894817091498,39.76173886674065
9,4.23,4778,853,5000,5000,292,5000,10879.0,117.27012308686241,39.76173886674065
10,5.071,4724,799,5000,5000,346,5000,10879.0,117.27129800280981,39.76173886674065
11,5.774,4894,968,5000,5000,176,5000,10879.0,117.2724729187573,39.76173886674065
12,1.854,5000,1083,5000,5000,61,5000,10879.0,117.27364783470469,39.76173886674065
13,1.626,4406,1124,5000,5000,15,5000,10879.0,117.27482275065213,39.76173886674066
14,1.914,4411,1129,5000,5000,0,5000,10879.0,117.27599766659957,39.76173886674065
15,0.673,4573,1347,5000,5000,217,5000,10879.0,117.27717258254698,39.76173886674065
16,2.005,4558,1336,5000,5000,207,5000,10879.0,117.27834749849443,39.76173886674065
17,4.534,5000,0,5000,5000,1129,5000,10879.0,117.26094690210181,39.76084538282682
18,2.746,4511,527,5000,5000,601,5000,10879.0,117.26682143415705,39.76084538282683
19,2.773,4511,527,5000,5000,601,5000,10879.0,117.26799634056813,39.76084538282683
20,4.371,4724,799,5000,5000,346,5000,10879.0,117.27034615339025,39.76084538282683
21,1.96,4411,1129,5000,5000,0,5000,10879.0,117.2738708726234,39.76084538282683
22,0.937,4411,1129,5000,5000,0,5000,10879.0,117.27504577903447,39.76084538282682
23,0.043,4558,1336,5000,5000,207,5000,10879.0,117.2762206854455,39.76084538282683
24,0.0,4558,1336,5000,5000,207,5000,10879.0,117.27739559185656,39.76084538282682
25,0.0,4274,1620,5000,5000,490,5000,10879.0,117.27666679541143,39.7590584280207
26,8.374,5000,888,5000,5000,2018,5000,10879.0,117.2545672082432,39.758164957128024
27,4.684,5000,888,5000,5000,2018,5000,10879.0,117.25574208604772,39.75816495712803
28,6.205,4684,353,5000,5000,1483,5000,10879.0,117.26161647507034,39.75816495712802
29,6.293,4156,882,5000,5000,956,5000,10879.0,117.26749086409298,39.75816495712803
30,5.044,4058,979,5000,5000,861,5000,10879.0,117.26866574189748,39.758164957128024
31,3.928,4058,979,5000,5000,861,5000,10879.0,117.26984061970204,39.75816495712803
32,1.356,4047,1473,5000,5000,364,5000,10879.0,117.27454013092013,39.758164957128024
33,0.008,4058,1483,5000,5000,354,5000,10879.0,117.27571500872465,39.758164957128024
34,0.878,3885,1657,5000,5000,528,5000,10879.0,117.27476326519559,39.757271490575384
35,2.532,3885,1657,5000,5000,528,5000,10879.0,117.27381156482178,39.756378028362604
36,2.468,4633,1329,5000,5000,2458,5000,10879.0,117.25406232037069,39.7554845704895
37,1.631,4734,1227,5000,5000,2356,5000,10879.0,117.25523716957261,39.7554845704895
38,5.89,4734,1227,5000,5000,2356,5000,10879.0,117.25641201877448,39.75548457048949
39,6.638,4348,691,5000,5000,1821,5000,10879.0,117.26111141558198,39.7554845704895
40,0.905,4348,691,5000,5000,1821,5000,10879.0,117.26228626478388,39.7554845704895
41,1.548,3721,1317,5000,5000,1198,5000,10879.0,117.26933535999521,39.7554845704895
42,3.443,3853,1449,5000,5000,1066,5000,10879.0,117.27051020919708,39.7554845704895
43,5.932,3853,1449,5000,5000,1066,5000,10879.0,117.27168505839897,39.7554845704895
44,4.445,3876,1626,5000,5000,890,5000,10879.0,117.27285990760086,39.7554845704895
45,3.476,4633,1329,5000,5000,2458,5000,10879.0,117.25311085883385,39.754591116955915
46,4.175,4734,1227,5000,5000,2356,5000,10879.0,117.25428569850241,39.75459111695591
47,3.244,4734,1227,5000,5000,2356,5000,10879.0,117.25546053817094,39.75459111695592
48,8.749,4348,691,5000,5000,1821,5000,10879.0,117.26015989684508,39.75459111695592
49,8.42,4348,691,5000,5000,1821,5000,10879.0,117.26133473651362,39.75459111695591
50,6.18,3721,1317,5000,5000,1198,5000,10879.0,117.26838377452484,39.75459111695591
51,5.718,3853,1449,5000,5000,1066,5000,10879.0,117.26955861419339,39.75459111695592
52,1.807,3853,1449,5000,5000,1066,5000,10879.0,117.27073345386194,39.75459111695592
53,5.209,3876,1626,5000,5000,890,5000,10879.0,117.27190829353044,39.75459111695592
54,0.441,4105,2199,5000,5000,1070,5000,10879.0,117.27425797286753,39.75459111695592
55,0.0,4105,2199,5000,5000,1070,5000,10879.0,117.27543281253605,39.75459111695592
56,0.0,3922,2028,5000,5000,899,5000,10879.0,117.27660765220459,39.75459111695592
57,0.286,4217,2325,5000,4899,1195,5000,10879.0,117.2801321712102,39.754591116955915
58,0.043,4227,2326,5000,4890,1196,5000,10879.0,117.28130701087878,39.75459111695591
59,0.0,4548,2647,4700,4568,1518,5000,10879.0,117.28365669021582,39.754591116955915
60,0.0,4569,2668,4683,4551,1539,5000,10879.0,117.2848315298844,39.754591116955915
61,0.0,4809,2908,4911,4779,1778,5000,10879.0,117.28718120922143,39.75459111695591
62,0.0,5000,3159,5000,5000,2030,5000,10879.0,117.28953088855852,39.754591116955915
63,0.0,5000,3163,5000,5000,2034,5000,10879.0,117.29070572822704,39.754591116955915
64,0.0,5000,3411,5000,5000,2282,5000,10879.0,117.29305540756411,39.75459111695592
65,0.0,5000,3411,5000,5000,2282,5000,10879.0,117.29423024723266,39.75459111695591
66,4.922,4867,1490,5000,5000,2619,5000,10879.0,117.25450910070946,39.75369766776166
67,4.224,4867,1490,5000,5000,2619,5000,10879.0,117.2556839308451,39.75369766776166
68,1.544,3474,2026,5000,5000,937,5000,10879.0,117.274481213015,39.75369766776166
69,0.016,3501,2042,5000,5000,912,5000,10879.0,117.27565604315065,39.75369766776166
