,POP_2015,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,1.533,4560,1341,3811,6516.0,70.85111490567387,22.842468383318703
1,4.291,4568,1335,3820,6516.0,70.85216435747769,22.842468383318707
2,3.602,4560,1341,3811,6516.0,70.85084560112638,22.841634003917804
3,7.108,4563,1335,3815,6516.0,70.85189504894124,22.841634003917804
4,7.318,3851,3351,2983,6516.0,70.82826879355575,22.839965250956002
5,55.368,3851,3351,2983,6516.0,70.82931823339327,22.839965250956006
6,30.96,3851,3351,2983,6516.0,70.82799961087592,22.839130877394936
7,13.353,3851,3351,2983,6516.0,70.82904904672503,22.839130877394933
8,8.909,4204,1018,3456,6516.0,70.85003776370743,22.839130877394936
9,32.531,4207,997,3459,6516.0,70.85108719955655,22.839130877394933
10,32.895,4143,957,3395,6516.0,70.84976850997434,22.838296505780303
11,2.356,4143,933,3395,6516.0,70.85081794183526,22.838296505780306
12,56.613,4090,0,3342,6516.0,70.853966237418,22.838296505780306
13,0.077,3711,3211,2843,6516.0,70.81906586062989,22.837462136112016
14,14.12,3711,3211,2843,6516.0,70.8201152885028,22.83746213611202
15,22.607,3375,2874,2507,6516.0,70.82536242786728,22.837462136112013
16,20.653,3390,2890,2522,6516.0,70.82851071148598,22.83746213611202
17,40.137,3574,3074,2706,6516.0,70.82956013935888,22.837462136112016
18,42.761,3623,3122,2755,6516.0,70.83060956723176,22.837462136112016
19,4.042,4056,23,3308,6516.0,70.85369698043549,22.83746213611202
20,16.495,3201,2701,2333,6516.0,70.82194501960396,22.83662776839
21,35.826,3220,2719,2352,6516.0,70.82299444348902,22.83662776839
22,27.607,3273,2773,2406,6516.0,70.82404386737407,22.836627768389995
23,64.429,3375,2874,2507,6516.0,70.82509329125914,22.83662776839
24,32.55,3390,2890,2522,6516.0,70.82824156291434,22.83662776839
25,34.159,3623,3122,2755,6516.0,70.82929098679944,22.83662776839
26,41.823,3623,3122,2755,6516.0,70.83034041068447,22.83662776839
27,29.6,3976,0,3227,6516.0,70.85342773615598,22.83662776839
28,55.253,3201,2701,2333,6516.0,70.82167590765629,22.835793402614154
29,32.129,3184,2684,2316,6516.0,70.82272532755371,22.835793402614158
30,42.359,3184,2684,2316,6516.0,70.82377474745114,22.835793402614154
31,58.337,3155,2654,2287,6516.0,70.8269230071434,22.835793402614158
32,30.998,3489,2988,2621,6516.0,70.83007126683569,22.835793402614158
33,28.469,3489,2988,2621,6516.0,70.83112068673313,22.835793402614154
34,7.223,2987,2487,2120,6516.0,70.82455505613513,22.8349590387844
35,2.874,3073,2573,2205,6516.0,70.8256044720451,22.8349590387844
36,44.85,3098,2597,2230,6516.0,70.82665388795505,22.8349590387844
37,42.666,3074,2574,2206,6516.0,70.82770330386502,22.8349590387844
38,47.781,3593,3093,2725,6516.0,70.83085155159495,22.8349590387844
39,39.37,3632,3131,2764,6516.0,70.83190096750491,22.8349590387844
40,15.097,3760,550,3011,6516.0,70.85079045388446,22.834959038784397
41,50.482,2871,2370,2003,6516.0,70.82323654569574,22.83412467690065
42,46.21,2907,2406,2039,6516.0,70.82428595761843,22.83412467690065
43,26.898,2987,2487,2120,6516.0,70.82533536954114,22.83412467690065
44,44.064,3011,2511,2143,6516.0,70.82638478146386,22.834124676900654
45,34.734,3011,2511,2143,6516.0,70.82743419338655,22.834124676900654
46,48.356,3008,2508,2140,6516.0,70.82848360530926,22.83412467690065
47,70.407,3593,3093,2725,6516.0,70.83058242915467,22.83412467690065
48,65.426,3619,3119,2752,6516.0,70.8316318410774,22.834124676900654
49,3.18,3608,1174,2859,6516.0,70.84317537222717,22.83412467690065
50,63.989,3608,1174,2859,6516.0,70.84422478414987,22.83412467690065
51,46.229,3525,1038,2777,6516.0,70.8452741960726,22.834124676900654
52,49.888,3683,768,2935,6516.0,70.84947184376342,22.834124676900654
53,17.051,3602,373,2854,6516.0,70.85157066760884,22.834124676900654
54,24.925,3608,367,2859,6516.0,70.85262007953155,22.83412467690065
55,0.019,2686,2186,1818,6516.0,70.81876983211997,22.833290316962806
56,36.152,2749,2248,1881,6516.0,70.82296746386247,22.833290316962806
57,68.663,2768,2268,1900,6516.0,70.82401687179812,22.833290316962803
58,78.875,2837,2337,1969,6516.0,70.82506627973375,22.83329031696281
59,53.682,2875,2375,2007,6516.0,70.82611568766937,22.833290316962806
60,62.782,2895,2395,2028,6516.0,70.827165095605,22.833290316962806
61,74.315,3008,2508,2140,6516.0,70.82821450354064,22.833290316962806
62,40.347,3015,2544,2176,6516.0,70.82926391147626,22.83329031696281
63,23.622,3571,1209,2823,6516.0,70.84290621463948,22.83329031696281
64,103.033,3512,1078,2764,6516.0,70.84395562257512,22.833290316962806
65,95.447,3507,1020,2759,6516.0,70.84500503051073,22.833290316962806
66,14.886,3524,762,2776,6516.0,70.84710384638201,22.833290316962806
67,44.179,3761,845,3012,6516.0,70.84815325431765,22.833290316962806
68,83.722,3683,768,2935,6516.0,70.84920266225326,22.833290316962806
69,36.612,3590,675,2842,6516.0,70.8502520701889,22.83329031696281
70,4.33,3579,396,2831,6516.0,70.85130147812454,22.833290316962803
71,18.794,3596,379,2848,6516.0,70.85235088606017,22.833290316962806
72,0.0,2686,2186,1818,6516.0,70.81850077893006,22.832455958970794
73,44.677,2649,2149,1781,6516.0,70.82269839472504,22.83245595897079
74,94.987,2688,2188,1820,6516.0,70.82374779867378,22.83245595897079
75,93.205,2673,2172,1805,6516.0,70.82479720262252,22.832455958970794
76,55.214,2713,2213,1845,6516.0,70.82584660657128,22.83245595897079
77,76.288,2825,2343,1975,6516.0,70.82689601052002,22.83245595897079
78,75.809,2806,2343,1981,6516.0,70.82794541446874,22.83245595897079
79,41.037,2797,2343,1981,6516.0,70.8289948184175,22.832455958970794
80,52.475,2511,2057,1695,6516.0,70.831093626315,22.832455958970794
81,46.076,2511,2057,1695,6516.0,70.83214303026372,22.83245595897079
82,51.708,2356,1902,1540,6516.0,70.8342418381612,22.832455958970794
83,52.781,2401,1948,1585,6516.0,70.83529124210995,22.83245595897079
84,71.212,2401,1947,1585,6516.0,70.83634064605869,22.832455958970794
85,50.291,3438,1152,2690,6516.0,70.84263706975115,22.832455958970794
86,42.876,3457,1133,2709,6516.0,70.84368647369989,22.83245595897079
87,53.375,3349,862,2601,6516.0,70.84473587764865,22.83245595897079
88,75.292,3357,870,2609,6516.0,70.84578528159739,22.83245595897079
89,68.644,3461,754,2713,6516.0,70.84683468554613,22.832455958970794
90,84.335,3500,738,2752,6516.0,70.84788408949484,22.83245595897079
91,85.963,3590,675,2842,6516.0,70.84893349344361,22.83245595897079
92,57.13,3567,651,2819,6516.0,70.84998289739235,22.832455958970794
93,27.052,3445,530,2697,6516.0,70.85103230134109,22.83245595897079
94,12.127,3824,598,3076,6516.0,70.85313110923856,22.832455958970794
95,45.463,3830,594,3082,6516.0,70.85418051318732,22.83245595897079
96,0.0,2472,1972,1687,6516.0,70.81718233847279,22.831621602924525
97,11.15,2463,1962,1595,6516.0,70.822429338283,22.83162160292453
98,97.114,2520,2020,1652,6516.0,70.82347873824506,22.83162160292452
99,85.35,2592,2092,1725,6516.0,70.82452813820709,22.831621602924525
100,73.051,2695,2195,1827,6516.0,70.82557753816913,22.83162160292453
101,52.934,2755,2284,1916,6516.0,70.82662693813117,22.83162160292453
102,67.131,2755,2284,1916,6516.0,70.82767633809321,22.831621602924525
103,66.154,2692,2230,1865,6516.0,70.82872573805525,22.831621602924525
104,55.233,2520,2067,1704,6516.0,70.8297751380173,22.83162160292453
105,55.176,2470,2016,1654,6516.0,70.83082453797934,22.831621602924525
106,63.242,2441,1987,1625,6516.0,70.83187393794138,22.83162160292452
107,55.368,2340,1887,1524,6516.0,70.83292333790341,22.831621602924525
108,45.214,2266,1812,1450,6516.0,70.83397273786548,22.831621602924525
109,58.241,2371,1917,1555,6516.0,70.8350221378275,22.83162160292453
110,31.573,3227,1062,2479,6516.0,70.84341733752385,22.831621602924525
111,65.79,3287,1003,2538,6516.0,70.8444667374859,22.831621602924525
112,69.794,3353,866,2605,6516.0,70.84551613744794,22.83162160292453
113,59.793,3394,687,2646,6516.0,70.84656553740996,22.831621602924525
114,89.795,3369,636,2620,6516.0,70.84761493737201,22.831621602924525
115,77.649,3317,465,2568,6516.0,70.84866433733406,22.83162160292453
116,35.711,3360,476,2612,6516.0,70.85076313725814,22.83162160292453
117,44.907,3818,601,3070,6516.0,70.85286193718223,22.83162160292452
118,0.862,2472,1972,1687,6516.0,70.81691331465834,22.830787248823903
119,1.264,2367,1866,1582,6516.0,70.81796271063386,22.830787248823906
120,18.143,2367,1866,1582,6516.0,70.81901210660939,22.830787248823903
121,27.109,2366,1866,1498,6516.0,70.82006150258492,22.83078724882391
122,41.727,2366,1866,1498,6516.0,70.82111089856045,22.830787248823903
123,67.706,2379,1878,1511,6516.0,70.82216029453599,22.830787248823906
124,85.619,2411,1911,1544,6516.0,70.82320969051152,22.83078724882391
125,74.583,2485,1985,1617,6516.0,70.82425908648705,22.830787248823906
126,77.438,2402,1902,1534,6516.0,70.82635787843812,22.830787248823903
127,38.719,2601,2130,1762,6516.0,70.82740727441364,22.830787248823903
128,68.357,2579,2108,1741,6516.0,70.82845667038916,22.830787248823906
129,82.572,2555,2101,1739,6516.0,70.82950606636469,22.830787248823903
130,86.04,2430,1976,1614,6516.0,70.83055546234023,22.830787248823906
131,84.067,2347,1893,1531,6516.0,70.83160485831577,22.83078724882391
132,63.586,2314,1860,1498,6516.0,70.83265425429127,22.830787248823906
133,75.982,2249,1795,1433,6516.0,70.83370365026683,22.83078724882391
134,62.188,2159,1706,1343,6516.0,70.83475304624234,22.83078724882391
135,16.457,3227,1062,2479,6516.0,70.84314821404658,22.83078724882391
136,108.589,3388,901,2640,6516.0,70.84419761002214,22.830787248823906
137,58.797,3232,745,2484,6516.0,70.84524700599763,22.830787248823906
138,17.856,3158,671,2410,6516.0,70.84629640197316,22.830787248823903
139,84.852,3249,514,2501,6516.0,70.8473457979487,22.830787248823906
140,68.338,3303,474,2555,6516.0,70.84839519392423,22.83078724882391
141,58.548,3235,352,2487,6516.0,70.84944458989978,22.830787248823906
142,0.0,2367,1866,1582,6516.0,70.8176936955268,22.82995289666885
143,5.882,2367,1866,1582,6516.0,70.818743087516,22.829952896668846
144,47.762,2260,1759,1392,6516.0,70.8197924795052,22.829952896668846
145,52.896,2275,1775,1407,6516.0,70.8208418714944,22.829952896668846
146,76.116,2334,1834,1466,6516.0,70.82189126348361,22.829952896668843
147,46.708,2429,1929,1561,6516.0,70.82294065547282,22.82995289666885
148,92.152,2229,1729,1361,6516.0,70.823990047462,22.829952896668846
149,50.214,2229,1729,1361,6516.0,70.82503943945123,22.82995289666885
150,84.297,2311,1811,1443,6516.0,70.82608883144043,22.829952896668846
151,59.889,2495,1995,1627,6516.0,70.82713822342964,22.82995289666885
152,49.486,2530,2059,1691,6516.0,70.82818761541883,22.829952896668843
153,76.423,2481,2027,1665,6516.0,70.82923700740804,22.82995289666885
154,77.936,2392,1938,1576,6516.0,70.83028639939725,22.82995289666885
155,79.775,2295,1841,1479,6516.0,70.83133579138644,22.829952896668843
156,76.633,2224,1770,1408,6516.0,70.83238518337565,22.82995289666885
157,65.157,2192,1738,1376,6516.0,70.83343457536486,22.829952896668843
158,65.464,2107,1653,1291,6516.0,70.83448396735407,22.82995289666885
159,56.785,2088,1634,1272,6516.0,70.83553335934327,22.82995289666885
160,42.225,2105,1651,1289,6516.0,70.83658275133247,22.829952896668846
161,29.044,3388,901,2640,6516.0,70.84392849525693,22.829952896668846
162,44.811,2980,772,2232,6516.0,70.84497788724612,22.829952896668846
163,62.284,3096,633,2348,6516.0,70.84602727923532,22.82995289666885
164,45.808,3061,560,2312,6516.0,70.84707667122454,22.82995289666885
165,80.35,3198,395,2449,6516.0,70.84812606321374,22.82995289666885
166,75.388,3235,352,2487,6516.0,70.84917545520294,22.82995289666885
167,23.354,3120,236,2372,6516.0,70.85022484719214,22.82995289666885
168,57.303,4125,932,3377,6516.0,70.85442241514896,22.829952896668846
169,32.818,4135,694,3387,6516.0,70.85547180713817,22.829952896668846
170,19.254,4343,1466,3595,6516.0,70.86491633504102,22.82995289666885
171,31.975,4343,1466,3595,6516.0,70.86596572703024,22.829952896668846
172,27.071,2260,1759,1392,6516.0,70.81952346911932,22.82911854645927
173,37.933,2174,1674,1306,6516.0,70.82057285712239,22.82911854645927
174,43.509,2229,1729,1361,6516.0,70.8237210211316,22.82911854645927
175,37.972,2170,1670,1302,6516.0,70.82477040913469,22.82911854645927
176,46.555,2361,1861,1494,6516.0,70.82581979713773,22.829118546459267
177,85.312,2449,1949,1581,6516.0,70.82686918514082,22.829118546459267
178,72.495,2489,1989,1622,6516.0,70.82791857314388,22.82911854645927
179,64.87,2489,2035,1673,6516.0,70.82896796114694,22.82911854645927
180,75.12,2364,1910,1548,6516.0,70.83001734915001,22.829118546459267
181,92.439,2262,1808,1445,6516.0,70.8310667371531,22.82911854645927
182,73.434,2175,1721,1359,6516.0,70.83211612515616,22.82911854645927
183,60.617,2119,1665,1303,6516.0,70.83316551315922,22.82911854645927
184,77.61,2014,1560,1197,6516.0,70.8342149011623,22.829118546459267
185,73.261,2071,1618,1255,6516.0,70.83526428916537,22.82911854645927
186,60.674,2046,1592,1230,6516.0,70.83631367716843,22.82911854645927
187,43.489,1959,1506,1143,6516.0,70.83736306517152,22.829118546459267
188,36.861,3004,870,2256,6516.0,70.84365939318992,22.82911854645927
189,71.69,2953,806,2205,6516.0,70.84470878119298,22.829118546459274
190,92.075,2998,615,2250,6516.0,70.84575816919605,22.82911854645927
191,98.186,2988,516,2239,6516.0,70.84680755719911,22.82911854645927
