,POP_2015,active_living,community_space,education,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,158.496,4611,5000,3898,3257,1531,8978.0,85.03493720290045,24.818060795476885
1,194.753,4611,5000,3898,3257,1531,8978.0,85.03599661046404,24.81806079547688
2,49.105,4611,5000,3898,3257,1531,8978.0,85.03458000600388,24.817221571606524
3,58.247,4611,5000,3898,3257,1531,8978.0,85.03563940911735,24.817221571606527
4,214.457,2757,2366,2842,2495,1244,8978.0,85.0003104364844,24.813864697715616
5,58.309,1859,1016,543,1448,1531,8978.0,85.00419098238602,24.813025484640047
6,128.168,1859,1016,543,1448,1531,8978.0,85.00525036325185,24.813025484640047
7,257.077,1774,931,458,1362,1446,8978.0,85.00630974411764,24.813025484640043
8,223.661,1816,973,500,1404,1488,8978.0,85.00736912498346,24.813025484640043
9,62.756,1856,1013,540,1445,1528,8978.0,85.0084285058493,24.813025484640043
10,118.162,2039,0,2380,1625,2500,8978.0,85.01478479104415,24.813025484640047
11,148.984,2084,848,2425,1670,2545,8978.0,85.01584417190998,24.813025484640043
12,220.202,2094,859,2435,1681,2555,8978.0,85.0169035527758,24.813025484640047
13,226.07,2147,912,2488,1734,2608,8978.0,85.0179629336416,24.813025484640047
14,238.176,3646,4702,2932,2292,1931,8978.0,85.02431921883648,24.813025484640047
15,310.753,3585,4642,2872,2232,1870,8978.0,85.02537859970228,24.813025484640047
16,363.441,3728,4784,3014,2374,2013,8978.0,85.02643798056808,24.813025484640043
17,239.906,3591,4647,2877,2237,1876,8978.0,85.02749736143392,24.813025484640047
18,17.48,3142,2751,2587,2423,1629,8978.0,84.99218086271742,24.81218627372316
19,226.934,2539,2148,2624,2277,1026,8978.0,84.99853712121879,24.812186273723157
20,238.361,2512,2121,2597,2251,999,8978.0,84.99959649763566,24.81218627372316
21,117.976,1974,1131,658,1563,1646,8978.0,85.00277462688636,24.812186273723157
22,124.894,1881,1038,565,1469,1553,8978.0,85.00383400330324,24.812186273723164
23,128.291,1805,962,489,1394,1477,8978.0,85.00489337972013,24.812186273723157
24,222.425,1726,883,410,1314,1398,8978.0,85.00595275613705,24.812186273723164
