,POP_2015,community_space,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,0.266,1050,500,837,7203.0,74.43385229336617,17.996788972933285
1,19.779,1050,500,837,7203.0,74.43363707759136,17.9959645465219
2,91.983,850,199,712,7203.0,74.4319623324242,17.993491276106308
3,104.358,850,199,712,7203.0,74.43174716602317,17.992666855573717
4,77.972,674,114,527,7203.0,74.4327763304902,17.992666855573717
5,111.005,674,114,527,7203.0,74.43380549495723,17.992666855573713
6,98.876,669,18,621,7203.0,74.43256117271304,17.991842436510623
7,92.965,582,53,516,7203.0,74.43359033420512,17.991842436510627
8,74.597,529,20,421,7203.0,74.4346194956972,17.991842436510623
9,86.583,547,76,299,7203.0,74.4356486571893,17.991842436510627
10,84.19,593,161,143,7203.0,74.43667781868136,17.991842436510623
11,44.979,671,89,65,7203.0,74.43770698017345,17.991842436510623
12,32.665,761,0,154,7203.0,74.43873614166554,17.99184243651063
13,106.526,529,122,608,7203.0,74.43234602653457,17.99101801891696
14,85.928,536,99,511,7203.0,74.43337518505189,17.991018018916964
15,71.958,488,62,462,7203.0,74.43440434356918,17.991018018916957
16,55.063,490,61,280,7203.0,74.4354335020865,17.991018018916957
17,46.39,546,148,192,7203.0,74.43646266060382,17.991018018916964
18,91.062,737,154,27,7203.0,74.43749181912112,17.991018018916957
19,35.734,810,48,203,7203.0,74.4385209776384,17.991018018916957
20,88.812,529,122,608,7203.0,74.43213089195451,17.99019360279265
21,75.313,469,173,629,7203.0,74.43316004749722,17.990193602792647
22,57.108,341,33,446,7203.0,74.43418920303992,17.99019360279265
23,63.531,385,95,353,7203.0,74.43521835858259,17.99019360279265
24,44.468,546,148,276,7203.0,74.4362475141253,17.99019360279265
25,17.591,723,291,148,7203.0,74.437276669668,17.99019360279265
26,57.272,750,0,342,7203.0,74.43830582521069,17.99019360279265
27,79.772,457,173,641,7203.0,74.4319157689726,17.98936918813761
28,88.137,457,173,641,7203.0,74.43294492154082,17.98936918813761
29,57.661,212,96,563,7203.0,74.4339740741091,17.989369188137612
30,67.172,261,42,494,7203.0,74.43500322667732,17.989369188137612
31,24.259,292,44,444,7203.0,74.43603237924557,17.98936918813761
32,2.189,521,0,681,7203.0,74.4370615318138,17.989369188137612
33,48.415,521,0,681,7203.0,74.43809068438203,17.989369188137612
34,88.526,764,73,457,7203.0,74.43911983695027,17.98936918813761
35,66.62,283,302,770,7203.0,74.43170065758852,17.988544774951773
36,76.417,267,286,754,7203.0,74.43272980718247,17.988544774951773
37,73.41,166,191,674,7203.0,74.43375895677643,17.988544774951773
38,74.985,163,95,584,7203.0,74.43478810637038,17.988544774951773
39,73.697,202,190,730,7203.0,74.43581725596431,17.988544774951777
40,25.281,354,190,614,7203.0,74.43684640555826,17.988544774951773
41,42.095,521,76,604,7203.0,74.43787555515217,17.988544774951773
42,77.931,653,37,560,7203.0,74.43890470474615,17.988544774951777
43,81.163,864,82,607,7203.0,74.43993385434008,17.98854477495177
44,47.249,914,168,694,7203.0,74.44096300393403,17.988544774951773
45,63.817,149,268,736,7203.0,74.43251470442183,17.987720363235063
46,69.585,36,258,759,7203.0,74.43354385104165,17.987720363235056
47,65.781,52,195,684,7203.0,74.43457299766148,17.987720363235056
48,91.942,169,145,771,7203.0,74.43560214428129,17.98772036323506
49,73.104,421,99,683,7203.0,74.43663129090108,17.987720363235056
50,29.106,447,113,646,7203.0,74.43766043752089,17.98772036323506
51,47.065,550,155,670,7203.0,74.43868958414069,17.987720363235056
52,88.444,735,47,709,7203.0,74.43971873076052,17.987720363235056
53,34.2,862,178,747,7203.0,74.44074787738032,17.987720363235052
54,81.776,294,120,923,7203.0,74.43229961325866,17.986895952987382
55,61.997,198,217,827,7203.0,74.43332875690449,17.986895952987382
56,79.015,92,180,787,7203.0,74.43435790055034,17.98689595298738
57,98.099,179,67,850,7203.0,74.43538704419618,17.986895952987382
58,74.863,287,79,819,7203.0,74.436416187842,17.986895952987382
59,53.917,382,0,769,7203.0,74.43744533148784,17.98689595298738
60,75.497,574,53,774,7203.0,74.43847447513367,17.986895952987382
61,56.249,664,124,767,7203.0,74.43950361877953,17.986895952987382
62,10.023,809,188,799,7203.0,74.44053276242536,17.986895952987382
63,65.638,348,66,977,7203.0,74.43208453369266,17.98607154420868
64,77.317,342,87,971,7203.0,74.43311367436468,17.986071544208677
65,73.124,171,117,842,7203.0,74.4341428150367,17.986071544208677
66,64.308,265,29,937,7203.0,74.43517195570871,17.986071544208677
67,68.767,346,0,884,7203.0,74.43620109638076,17.986071544208677
68,45.408,474,40,852,7203.0,74.43723023705276,17.986071544208677
69,75.149,589,69,853,7203.0,74.43825937772479,17.986071544208677
70,54.142,656,135,856,7203.0,74.43928851839682,17.986071544208677
71,53.529,747,225,946,7203.0,74.44031765906885,17.986071544208677
72,72.613,415,0,1044,7203.0,74.43186946572354,17.985247136898867
73,111.496,451,55,1079,7203.0,74.43289860342192,17.985247136898867
74,81.592,413,148,1071,7203.0,74.43392774112029,17.98524713689887
75,77.399,368,0,1040,7203.0,74.43495687881865,17.98524713689887
76,73.042,443,0,982,7203.0,74.435986016517,17.985247136898867
77,77.869,511,67,914,7203.0,74.43701515421537,17.98524713689887
78,89.201,572,0,970,7203.0,74.43804429191374,17.98524713689887
79,78.913,747,225,946,7203.0,74.43907342961212,17.98524713689887
80,63.286,803,281,1002,7203.0,74.4401025673105,17.98524713689887
81,98.876,862,341,1061,7203.0,74.44113170500887,17.98524713689887
82,83.474,486,117,1115,7203.0,74.43268354407591,17.98442273105787
83,59.297,465,188,1094,7203.0,74.43371267880079,17.98442273105787
84,40.111,551,10,1125,7203.0,74.43474181352568,17.98442273105787
85,52.649,484,41,1023,7203.0,74.43577094825054,17.98442273105787
86,101.228,588,97,1042,7203.0,74.43680008297542,17.984422731057872
87,89.528,622,179,1127,7203.0,74.43782921770028,17.98442273105787
88,80.733,862,341,1061,7203.0,74.43988748715006,17.984422731057872
89,26.816,862,341,1061,7203.0,74.44091662187492,17.98442273105787
90,68.726,781,297,1410,7203.0,74.43246849632642,17.983598326685605
91,81.285,703,218,1332,7203.0,74.43349762807794,17.983598326685613
92,39.334,621,136,1249,7203.0,74.43452675982948,17.983598326685613
93,77.174,670,0,1228,7203.0,74.43555589158105,17.98359832668561
94,85.274,593,105,1123,7203.0,74.43658502333257,17.983598326685613
95,121.437,673,230,1177,7203.0,74.43761415508413,17.983598326685613
96,112.478,774,331,1279,7203.0,74.43864328683566,17.98359832668561
97,72.572,621,136,1249,7203.0,74.4332825889515,17.982773923782016
98,78.381,621,136,1249,7203.0,74.43431171772986,17.982773923782016
