,POP_2015,community_space,education,food_choices,health_wellbeing,mobility,nightlife,ID_HDC_G0,lng,lat
0,63.035,654,232,4970,4213,5000,5000,1879.0,-0.661948298497367,5.5535024267500805
1,81.882,654,232,4970,4213,5000,5000,1879.0,-0.6609476207974465,5.553502426750082
2,65.217,654,232,4970,4213,5000,5000,1879.0,-0.6619477369613,5.552692200136443
3,74.79,501,79,4953,4196,5000,5000,1879.0,-0.6609470601102626,5.552692200136444
4,49.339,1581,1416,1908,1050,1886,1627,1879.0,-0.7089789476156743,5.551881973949403
5,17.567,1589,1424,1916,1058,1894,1636,1879.0,-0.707978271613394,5.551881973949402
6,50.641,1589,1424,1916,1058,1894,1636,1879.0,-0.7069775956111135,5.551881973949403
7,34.92,1754,1589,2081,1223,2059,1801,1879.0,-0.7039755676042722,5.551881973949402
8,31.928,1754,1589,2081,1223,2059,1801,1879.0,-0.7029748916019919,5.551881973949403
9,93.761,501,79,4953,4196,5000,5000,1879.0,-0.6619471755084947,5.551881973949402
10,45.842,501,79,4953,4196,5000,5000,1879.0,-0.6609464995062144,5.551881973949403
11,74.755,217,204,5000,4320,5000,5000,1879.0,-0.6599458235039339,5.551881973949402
12,102.278,217,204,5000,4320,5000,5000,1879.0,-0.6589451475016536,5.551881973949403
13,48.348,1581,1416,1908,1050,1886,1627,1879.0,-0.708978346360463,5.551071748188896
14,72.269,1589,1424,1916,1058,1894,1636,1879.0,-0.7079776712068138,5.551071748188895
15,91.022,1589,1424,1916,1058,1894,1636,1879.0,-0.7069769960531646,5.551071748188896
16,86.125,1591,1426,1918,1060,1896,1637,1879.0,-0.704975645745866,5.551071748188895
17,69.102,1728,1563,2055,1198,2033,1775,1879.0,-0.703974970592217,5.551071748188896
18,83.793,1754,1589,2081,1223,2059,1801,1879.0,-0.7029742954385677,5.551071748188895
19,27.089,1252,994,1634,965,1880,1804,1879.0,-0.7009729451312693,5.551071748188896
20,57.598,1252,994,1634,965,1880,1804,1879.0,-0.6999722699776201,5.551071748188896
21,18.616,1340,1047,1647,1068,1967,1900,1879.0,-0.6989715948239709,5.551071748188897
22,69.432,1506,1212,1747,1461,2133,2066,1879.0,-0.694968894209374,5.551071748188895
23,36.779,1506,1212,1747,1461,2133,2066,1879.0,-0.6939682190557248,5.551071748188895
24,51.579,1834,1598,1830,1921,2262,2373,1879.0,-0.6899655184411281,5.551071748188896
25,29.195,1950,1715,1947,2038,2378,2490,1879.0,-0.6889648432874789,5.551071748188895
26,30.11,2447,2212,2444,2535,2875,2987,1879.0,-0.6859628178265313,5.551071748188896
27,46.264,2447,2212,2444,2535,2875,2987,1879.0,-0.684962142672882,5.551071748188895
28,27.012,2879,671,3602,2845,3874,3705,1879.0,-0.6789580917509869,5.551071748188896
29,71.412,2879,671,3602,2845,3874,3705,1879.0,-0.6779574165973375,5.551071748188896
30,69.265,2797,589,3665,2907,3936,3768,1879.0,-0.6769567414436883,5.551071748188896
31,48.534,2611,518,3823,3066,4095,3927,1879.0,-0.6759560662900391,5.551071748188895
32,62.753,2598,549,3864,3107,4135,3967,1879.0,-0.6749553911363899,5.551071748188896
33,47.602,2545,539,3944,3187,4215,4047,1879.0,-0.6739547159827406,5.551071748188896
34,70.655,2374,825,4230,3473,4501,4333,1879.0,-0.6719533656754423,5.551071748188897
35,26.731,2241,919,4285,3528,4556,4388,1879.0,-0.6709526905217932,5.551071748188896
