,POP_2015,active_living,community_space,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,22.492,2600,2304,2513,259,2461,2821,7495.0,75.03626160548498,14.18438513158065
1,27.69,2913,2611,2370,663,2767,3127,7495.0,75.03931270755015,14.184385131580651
2,49.086,2913,2611,2370,663,2767,3127,7495.0,75.04032974157188,14.184385131580651
3,14.521,1758,2019,2319,1758,1993,2012,7495.0,75.02388983667929,14.183566726092252
4,52.046,1740,2001,2301,1740,1976,1994,7495.0,75.02490686843224,14.183566726092252
5,21.513,2600,2304,2513,259,2461,2821,7495.0,75.03609421771486,14.183566726092252
6,59.108,2882,2581,2339,633,2737,3097,7495.0,75.03914531297374,14.18356672609225
7,44.145,2972,2670,2428,722,2826,3186,7495.0,75.04016234472671,14.183566726092252
8,12.586,2961,2659,2418,711,2815,3175,7495.0,75.04117937647965,14.183566726092252
9,2.82,1693,1954,2254,1693,1928,1946,7495.0,75.02372248683461,14.182748321732694
10,16.199,1667,1928,2228,1667,1902,1920,7495.0,75.02473951631895,14.18274832173269
11,28.435,1718,1979,2279,1718,1953,1971,7495.0,75.02575654580329,14.182748321732694
12,10.955,1742,2003,2303,1742,1978,1996,7495.0,75.02677357528766,14.18274832173269
13,21.163,2647,2352,2305,326,2508,2868,7495.0,75.03694387013115,14.182748321732696
14,53.142,2690,2395,2262,369,2551,2911,7495.0,75.0379608996155,14.18274832173269
15,50.578,2748,2446,2205,498,2603,2963,7495.0,75.03897792909987,14.182748321732694
16,43.865,2842,2541,2299,593,2697,3057,7495.0,75.03999495858422,14.18274832173269
17,36.337,2961,2659,2418,711,2815,3175,7495.0,75.04101198806855,14.182748321732692
18,11.747,1632,1893,2193,1632,1867,1886,7495.0,75.02355514769006,14.181929918501908
19,38.598,1623,1884,2184,1623,1858,1876,7495.0,75.02457217490593,14.18192991850191
20,54.167,1528,1789,2089,1528,1763,1782,7495.0,75.02558920212181,14.181929918501906
21,28.179,1593,1854,2154,1593,1828,1847,7495.0,75.0266062293377,14.181929918501911
22,11.491,2340,2044,2511,0,2201,2561,7495.0,75.03474244706476,14.181929918501908
23,39.437,2340,2044,2511,0,2201,2561,7495.0,75.03575947428065,14.181929918501911
24,47.688,2535,2240,2409,214,2396,2756,7495.0,75.03677650149652,14.181929918501908
25,32.608,2535,2240,2409,214,2396,2756,7495.0,75.03779352871241,14.181929918501911
26,52.442,2748,2446,2205,498,2603,2963,7495.0,75.0388105559283,14.181929918501911
27,27.363,2637,2335,2094,549,2492,2852,7495.0,75.03982758314417,14.18192991850191
28,26.338,1908,2169,2469,1908,2143,2161,7495.0,75.02135376935031,14.181111516399827
29,58.759,1805,2066,2366,1805,2040,2059,7495.0,75.0223707942979,14.181111516399826
30,47.991,1748,2009,2309,1748,1983,2001,7495.0,75.02338781924546,14.181111516399827
31,30.393,1553,1814,2114,1553,1788,1806,7495.0,75.02440484419301,14.181111516399824
32,68.012,1493,1754,2054,1493,1729,1747,7495.0,75.02542186914056,14.181111516399822
33,34.239,1576,1837,2137,1576,1811,1829,7495.0,75.02643889408812,14.181111516399824
34,36.896,2241,1946,2413,98,2102,2462,7495.0,75.03559211861618,14.181111516399826
35,32.025,2431,2135,2304,287,2291,2651,7495.0,75.03660914356375,14.181111516399827
36,40.043,2444,2148,2291,300,2304,2664,7495.0,75.0376261685113,14.181111516399826
37,44.122,2611,2310,2068,524,2466,2826,7495.0,75.03864319345887,14.181111516399826
38,25.196,2535,2233,1992,600,2389,2749,7495.0,75.03966021840641,14.181111516399824
39,14.614,2469,2168,1926,666,2324,2684,7495.0,75.040677243354,14.181111516399826
40,38.668,1776,2037,2337,1776,2011,2029,7495.0,75.0222034788212,14.180293115426378
41,65.355,1746,2007,2307,1746,1982,2000,7495.0,75.02322050150056,14.180293115426373
42,59.481,1461,1722,2022,1461,1697,1715,7495.0,75.02423752417997,14.180293115426373
43,70.599,1399,1660,1960,1399,1635,1653,7495.0,75.02525454685933,14.180293115426378
44,46.289,1442,1702,2003,1442,1677,1695,7495.0,75.02627156953872,14.180293115426373
45,60.53,1408,1669,1969,1408,1644,1662,7495.0,75.02728859221811,14.180293115426373
46,34.099,1500,1654,2061,1337,1735,1753,7495.0,75.02830561489749,14.180293115426378
47,6.293,2241,1946,2413,98,2102,2462,7495.0,75.03542477365319,14.180293115426377
48,26.967,2527,2231,2401,384,2388,2748,7495.0,75.03644179633255,14.180293115426375
49,35.358,2527,2231,2401,384,2388,2748,7495.0,75.03745881901195,14.180293115426375
50,30.626,2629,2327,2086,530,2484,2844,7495.0,75.03949286437073,14.180293115426375
51,15.919,2469,2168,1926,666,2324,2684,7495.0,75.0405098870501,14.180293115426373
52,6.783,2415,2113,1829,822,2270,2630,7495.0,75.04152690972948,14.180293115426375
53,0.489,1679,1940,2240,1679,1914,1933,7495.0,75.02203617404389,14.179474715581485
54,51.836,1679,1940,2240,1679,1914,1933,7495.0,75.02305319445523,14.179474715581486
55,73.046,1421,1682,1982,1421,1657,1675,7495.0,75.0240702148666,14.179474715581488
56,61.09,1361,1622,1922,1361,1596,1614,7495.0,75.02508723527795,14.179474715581488
57,38.225,1341,1602,1902,1341,1577,1595,7495.0,75.02610425568929,14.179474715581486
58,44.541,1461,1678,2022,1422,1697,1715,7495.0,75.02712127610067,14.179474715581488
59,43.585,1500,1654,2061,1337,1735,1753,7495.0,75.028138296512,14.179474715581485
60,24.38,1401,1555,1962,1238,1636,1654,7495.0,75.02915531692335,14.179474715581485
61,43.492,2527,2231,2401,384,2388,2748,7495.0,75.03627445980281,14.179474715581488
62,69.993,2611,2316,2414,468,2472,2832,7495.0,75.03729148021417,14.179474715581486
63,67.662,2745,2443,2202,603,2600,2960,7495.0,75.03830850062553,14.179474715581486
64,20.045,2745,2443,2202,603,2600,2960,7495.0,75.03932552103689,14.179474715581485
65,55.216,2415,2113,1829,822,2270,2630,7495.0,75.04034254144823,14.179474715581488
66,37.479,2415,2113,1829,822,2270,2630,7495.0,75.04135956185958,14.179474715581485
67,45.94,1727,1988,2288,1727,1962,1980,7495.0,75.0208518618223,14.178656316865087
68,14.311,1726,1987,2287,1726,1961,1979,7495.0,75.02186887996577,14.178656316865085
69,15.966,1679,1940,2240,1679,1914,1933,7495.0,75.02288589810922,14.178656316865089
70,42.653,1221,1482,1782,1221,1456,1474,7495.0,75.02491993439617,14.178656316865089
71,66.38,1191,1452,1752,1191,1426,1444,7495.0,75.02593695253964,14.178656316865089
72,37.665,1255,1515,1816,1255,1490,1508,7495.0,75.02695397068311,14.178656316865087
73,44.961,1355,1535,1916,1274,1591,1609,7495.0,75.02797098882655,14.178656316865089
74,18.064,1401,1555,1962,1238,1636,1654,7495.0,75.02898800697002,14.178656316865087
75,27.76,1470,1472,1939,869,1629,1724,7495.0,75.03000502511348,14.17865631686509
76,42.793,1470,1472,1939,869,1629,1724,7495.0,75.03102204325695,14.178656316865089
77,32.025,1934,1638,2105,406,1794,2154,7495.0,75.03407309768735,14.178656316865089
78,15.406,1937,1641,2108,403,1797,2157,7495.0,75.03509011583083,14.178656316865087
79,11.887,2611,2316,2414,468,2472,2832,7495.0,75.03712415211774,14.178656316865087
80,18.623,2164,1863,1600,989,2019,2379,7495.0,75.03915818840468,14.178656316865089
81,50.088,2175,1873,1589,1000,2029,2389,7495.0,75.04017520654816,14.178656316865089
82,22.958,1695,1956,2256,1695,1930,1948,7495.0,75.0206845807109,14.177837919277112
83,3.193,1695,1956,2256,1695,1930,1948,7495.0,75.02170159658662,14.177837919277112
84,12.47,1221,1482,1782,1221,1456,1474,7495.0,75.0247526442138,14.177837919277108
85,51.3,1177,1438,1738,1177,1412,1431,7495.0,75.02576966008952,14.177837919277112
86,68.501,1094,1355,1655,1094,1329,1347,7495.0,75.02678667596525,14.17783791927711
87,73.14,1169,1398,1730,1169,1405,1423,7495.0,75.02780369184099,14.177837919277112
88,54.517,1250,1375,1811,1111,1485,1504,7495.0,75.02882070771669,14.177837919277112
89,26.361,1346,1372,1839,1005,1528,1599,7495.0,75.02983772359244,14.177837919277108
90,58.666,1507,1451,1918,863,1607,1761,7495.0,75.03085473946814,14.17783791927711
91,61.905,1868,1566,2033,478,1722,2082,7495.0,75.03492280297105,14.177837919277112
92,16.712,2154,1852,1610,978,2008,2368,7495.0,75.03899086647394,14.177837919277108
