,POP_2015,education,food_choices,health_wellbeing,nightlife,ID_HDC_G0,lng,lat
0,0.0,1145,1366,1007,1053,714.0,-72.27487707228944,11.723333553720824
1,0.0,1145,1366,1007,1053,714.0,-72.274745271501,11.722518233677874
2,0.0,868,1089,730,776,714.0,-72.27272358616695,11.722518233677873
3,0.0,834,1054,695,741,714.0,-72.2717127434999,11.722518233677873
4,0.0,898,1093,743,789,714.0,-72.27360263972713,11.721702914555575
5,0.0,834,1054,695,741,714.0,-72.27259179890333,11.721702914555575
6,0.0,706,927,568,614,714.0,-72.27158095807954,11.721702914555575
7,37.665,286,841,482,528,714.0,-72.26955927643198,11.721702914555575
8,104.939,142,697,338,384,714.0,-72.26854843560818,11.721702914555575
9,216.74,85,662,382,428,714.0,-72.26753759478439,11.721702914555575
10,226.659,0,609,400,400,714.0,-72.2665267539606,11.721702914555577
11,268.873,150,546,519,519,714.0,-72.26551591313682,11.721702914555577
12,0.0,882,1246,1073,1119,714.0,-72.27448169943904,11.720887596353855
13,0.0,898,1093,743,789,714.0,-72.27347086045833,11.720887596353853
14,0.0,765,959,609,655,714.0,-72.27246002147764,11.720887596353853
15,0.0,765,959,609,655,714.0,-72.27144918249698,11.720887596353853
16,0.0,588,809,450,496,714.0,-72.2704383435163,11.720887596353853
17,11.262,380,778,419,466,714.0,-72.2694275045356,11.720887596353853
18,127.09,142,697,338,384,714.0,-72.26841666555492,11.720887596353853
19,264.1,108,639,359,405,714.0,-72.26740582657423,11.720887596353853
20,227.405,33,619,434,434,714.0,-72.26639498759356,11.720887596353855
21,203.837,150,546,519,519,714.0,-72.26538414861287,11.720887596353853
22,0.0,923,1165,993,1039,714.0,-72.27434992816518,11.720072279072644
23,0.0,897,1064,891,937,714.0,-72.27333909102747,11.72007227907264
24,0.0,684,879,528,575,714.0,-72.27232825388975,11.720072279072644
25,0.0,679,869,514,560,714.0,-72.27131741675204,11.720072279072644
26,85.92,465,704,345,391,714.0,-72.27030657961433,11.720072279072642
27,61.382,392,638,279,325,714.0,-72.2692957424766,11.720072279072644
28,178.105,255,562,203,250,714.0,-72.26828490533889,11.720072279072644
29,284.088,135,538,294,317,714.0,-72.26727406820116,11.72007227907264
30,261.639,97,511,302,302,714.0,-72.26626323106345,11.720072279072644
31,153.12,246,443,417,417,714.0,-72.26525239392573,11.720072279072644
32,77.865,871,1073,983,1029,714.0,-72.27421816672923,11.719256962711883
33,0.224,856,1022,929,975,714.0,-72.27320733143434,11.719256962711881
34,0.0,671,866,516,562,714.0,-72.27219649613944,11.719256962711878
35,54.744,516,711,421,467,714.0,-72.27118566084457,11.719256962711881
36,148.869,513,701,346,392,714.0,-72.27017482554969,11.719256962711881
37,158.863,439,519,160,206,714.0,-72.26916399025478,11.71925696271188
38,241.874,353,440,81,127,714.0,-72.2681531549599,11.71925696271188
39,228.971,274,406,139,172,714.0,-72.26714231966501,11.719256962711881
40,265.517,377,312,286,286,714.0,-72.26613148437013,11.719256962711881
41,309.148,377,312,286,286,714.0,-72.26512064907524,11.719256962711878
42,33.19,825,991,925,971,714.0,-72.274086415131,11.718441647271494
43,0.0,803,970,903,949,714.0,-72.2730755816788,11.718441647271497
44,0.0,569,736,618,665,714.0,-72.2720647482266,11.718441647271495
45,91.663,367,562,406,452,714.0,-72.27105391477441,11.718441647271497
46,150.286,408,587,280,326,714.0,-72.27004308132223,11.718441647271497
47,218.53,390,452,98,139,714.0,-72.26903224787003,11.718441647271497
48,255.299,429,358,10,43,714.0,-72.26802141441782,11.718441647271497
49,259.103,344,268,63,63,714.0,-72.26701058096562,11.718441647271495
50,215.546,463,224,197,197,714.0,-72.26599974751345,11.718441647271492
51,305.046,451,177,182,352,714.0,-72.26498891406123,11.718441647271497
52,106.207,80,1540,1555,1717,714.0,-72.2810304946378,11.717626332751419
53,0.0,80,1540,1555,1717,714.0,-72.28001966302817,11.717626332751422
54,3.58,247,1270,1285,1447,714.0,-72.27900883141854,11.717626332751419
55,129.85,345,1114,1130,1291,714.0,-72.27799799980889,11.71762633275142
56,62.128,474,1031,1047,1204,714.0,-72.27698716819927,11.71762633275142
57,83.683,518,997,1004,1170,714.0,-72.27597633658962,11.71762633275142
58,215.472,616,1041,974,1020,714.0,-72.27496550497997,11.71762633275142
59,22.748,692,964,898,944,714.0,-72.27395467337034,11.717626332751419
60,0.0,656,823,735,781,714.0,-72.27294384176069,11.71762633275142
61,0.0,569,736,618,665,714.0,-72.27193301015106,11.71762633275142
62,99.271,322,516,366,412,714.0,-72.27092217854144,11.717626332751422
63,205.552,251,445,320,360,714.0,-72.26991134693179,11.717626332751422
64,282.746,313,399,159,192,714.0,-72.26890051532217,11.717626332751422
65,249.034,409,323,11,11,714.0,-72.26788968371251,11.71762633275142
66,272.677,393,247,84,84,714.0,-72.26687885210288,11.71762633275142
67,240.233,435,161,176,206,714.0,-72.26586802049323,11.71762633275142
68,302.66,438,166,173,349,714.0,-72.2648571888836,11.717626332751422
69,223.005,461,191,191,377,714.0,-72.26384635727396,11.717626332751422
70,178.478,590,320,320,532,714.0,-72.2628355256643,11.717626332751419
71,269.768,721,452,452,642,714.0,-72.26182469405467,11.71762633275142
72,236.057,788,581,581,771,714.0,-72.26081386244502,11.717626332751422
73,297.141,597,772,772,962,714.0,-72.2598030308354,11.717626332751422
74,281.702,476,751,751,1037,714.0,-72.25879219922577,11.71762633275142
75,242.471,363,855,855,1202,714.0,-72.25778136761612,11.717626332751422
76,185.191,460,921,921,1207,714.0,-72.25677053600648,11.717626332751422
77,132.46,733,1229,1229,1576,714.0,-72.2547488727872,11.717626332751422
78,36.098,0,1459,1475,1636,714.0,-72.28089874981768,11.716811019151585
79,0.0,1073,1239,1255,1516,714.0,-72.27988792005044,11.716811019151583
80,0.671,218,1241,1256,1418,714.0,-72.27887709028322,11.716811019151585
81,3.431,383,1075,1091,1322,714.0,-72.27786626051599,11.716811019151585
82,82.638,457,1008,1024,1258,714.0,-72.27685543074878,11.716811019151585
83,105.983,543,916,931,1193,714.0,-72.27584460098154,11.716811019151585
84,185.191,549,715,731,992,714.0,-72.27483377121432,11.716811019151585
85,92.558,512,679,695,904,714.0,-72.27382294144712,11.716811019151585
86,0.075,405,571,587,829,714.0,-72.27281211167988,11.716811019151585
87,0.82,405,571,587,829,714.0,-72.27180128191269,11.716811019151585
88,181.685,241,435,320,353,714.0,-72.27079045214545,11.716811019151583
89,314.966,159,354,241,333,714.0,-72.26977962237822,11.716811019151585
90,308.253,211,296,176,294,714.0,-72.26876879261101,11.716811019151585
91,281.403,351,77,92,254,714.0,-72.26573630330935,11.716811019151585
92,293.188,272,0,7,339,714.0,-72.26472547354213,11.716811019151585
93,285.506,437,168,168,515,714.0,-72.26371464377492,11.716811019151585
94,233.745,570,309,309,602,714.0,-72.26270381400768,11.716811019151585
95,276.854,570,390,390,737,714.0,-72.26169298424047,11.716811019151585
96,221.513,600,506,506,853,714.0,-72.26068215447324,11.716811019151585
97,283.939,457,649,649,996,714.0,-72.25967132470602,11.716811019151585
98,257.611,364,742,742,1089,714.0,-72.2586604949388,11.716811019151585
99,60.487,349,853,853,1200,714.0,-72.25764966517157,11.716811019151585
100,192.052,0,1069,1069,1416,714.0,-72.25663883540436,11.716811019151583
101,149.465,0,1069,1069,1416,714.0,-72.25562800563712,11.716811019151585
102,173.183,208,1278,1278,1625,714.0,-72.25461717586991,11.716811019151585
103,0.0,1073,1239,1255,1516,714.0,-72.2797561869108,11.715995706471926
104,0.0,1073,1239,1255,1516,714.0,-72.27874535898586,11.715995706471926
105,0.0,1189,1355,1371,1632,714.0,-72.2777345310609,11.715995706471926
106,46.913,1057,1223,1239,1500,714.0,-72.27672370313596,11.715995706471926
107,75.106,1057,1223,1239,1500,714.0,-72.27571287521101,11.715995706471926
108,42.513,543,710,725,987,714.0,-72.27470204728607,11.715995706471926
109,47.51,456,622,638,899,714.0,-72.27369121936113,11.715995706471926
110,15.513,347,514,529,791,714.0,-72.27268039143618,11.715995706471926
111,78.462,279,445,461,722,714.0,-72.27166956351127,11.715995706471926
112,117.469,100,331,283,544,714.0,-72.27065873558632,11.715995706471928
113,191.829,42,268,225,486,714.0,-72.26964790766137,11.715995706471924
114,315.563,155,181,70,370,714.0,-72.26863707973644,11.715995706471926
115,255.97,206,99,20,279,714.0,-72.26762625181149,11.715995706471926
116,255.001,109,102,201,288,714.0,-72.26661542388655,11.715995706471926
117,272.155,170,0,99,390,714.0,-72.2656045959616,11.715995706471922
118,286.102,284,103,103,450,714.0,-72.26459376803668,11.715995706471926
119,297.961,361,187,187,534,714.0,-72.26358294011175,11.715995706471926
120,282.895,466,286,286,633,714.0,-72.26257211218677,11.715995706471926
121,265.144,562,397,397,744,714.0,-72.26156128426184,11.715995706471926
122,216.516,596,510,510,857,714.0,-72.2605504563369,11.715995706471926
123,201.674,289,779,779,1126,714.0,-72.25953962841197,11.715995706471926
124,224.571,289,790,790,1137,714.0,-72.25852880048701,11.715995706471926
125,81.371,148,920,920,1267,714.0,-72.25751797256208,11.715995706471922
126,65.708,0,1069,1069,1416,714.0,-72.25650714463714,11.715995706471926
127,159.087,0,1069,1069,1416,714.0,-72.25549631671218,11.715995706471926
128,30.878,208,1278,1278,1625,714.0,-72.25448548878725,11.715995706471926
129,3.878,1178,1345,1360,1622,714.0,-72.27861363752629,11.715180394712373
130,1.044,1121,1287,1303,1564,714.0,-72.27760281144349,11.715180394712371
131,11.262,991,1157,1173,1434,714.0,-72.27659198536067,11.715180394712373
132,0.0,1067,1234,1249,1511,714.0,-72.27558115927789,11.715180394712373
133,0.0,656,823,838,1100,714.0,-72.27457033319509,11.715180394712373
134,51.239,328,396,510,771,714.0,-72.27254868102948,11.715180394712371
135,158.788,253,295,435,696,714.0,-72.27153785494667,11.715180394712373
136,195.632,202,275,384,645,714.0,-72.27052702886388,11.715180394712373
137,268.65,0,231,226,488,714.0,-72.26951620278108,11.715180394712373
138,291.696,116,121,136,436,714.0,-72.26850537669829,11.715180394712371
139,295.425,204,15,135,355,714.0,-72.26749455061548,11.715180394712373
140,201.525,54,81,181,343,714.0,-72.26648372453266,11.715180394712371
141,215.024,148,63,163,408,714.0,-72.2654728984499,11.715180394712373
142,285.282,222,193,193,540,714.0,-72.2644620723671,11.715180394712373
143,295.649,304,275,275,622,714.0,-72.26345124628429,11.715180394712373
144,249.183,368,339,339,686,714.0,-72.26244042020149,11.715180394712373
145,233.819,478,449,449,796,714.0,-72.2614295941187,11.715180394712371
146,220.245,539,698,647,1045,714.0,-72.26041876803588,11.715180394712373
147,144.17,402,834,783,1182,714.0,-72.25940794195309,11.715180394712373
148,166.172,369,902,850,1249,714.0,-72.25839711587028,11.715180394712371
149,69.885,277,994,942,1341,714.0,-72.25738628978749,11.715180394712375
150,45.347,152,1119,1067,1466,714.0,-72.2563754637047,11.715180394712373
151,14.096,299,1266,1214,1613,714.0,-72.25536463762191,11.715180394712373
152,3.133,299,1266,1214,1613,714.0,-72.25435381153909,11.715180394712371
153,3.804,974,1140,1156,1417,714.0,-72.27747110166355,11.714365083872861
154,10.889,909,1076,1091,1353,714.0,-72.27646027742276,11.714365083872863
155,5.445,883,1049,1065,1326,714.0,-72.27544945318195,11.71436508387286
156,19.914,656,823,838,1100,714.0,-72.27443862894116,11.71436508387286
157,0.0,507,300,689,950,714.0,-72.27342780470036,11.714365083872861
158,143.499,409,347,591,852,714.0,-72.27241698045955,11.71436508387286
159,264.473,375,208,557,819,714.0,-72.27140615621879,11.71436508387286
160,307.582,184,182,295,521,714.0,-72.2683736834964,11.71436508387286
161,293.038,129,85,205,424,714.0,-72.2673628592556,11.71436508387286
162,223.792,31,68,232,435,714.0,-72.2663520350148,11.714365083872861
163,250.078,61,176,131,520,714.0,-72.26534121077401,11.71436508387286
164,278.271,108,216,143,561,714.0,-72.26433038653322,11.714365083872858
165,266.934,317,346,306,693,714.0,-72.26331956229242,11.71436508387286
166,198.69,397,437,385,784,714.0,-72.26230873805162,11.71436508387286
167,189.591,516,556,504,903,714.0,-72.26129791381082,11.714365083872861
168,241.501,539,698,647,1045,714.0,-72.26028708957004,11.714365083872861
169,194.29,473,824,772,1171,714.0,-72.25927626532923,11.714365083872861
170,77.567,369,902,850,1249,714.0,-72.25826544108845,11.714365083872861
171,44.899,270,1237,1185,1584,714.0,-72.25725461684766,11.714365083872858
172,22.077,237,1205,1153,1552,714.0,-72.25624379260687,11.71436508387286
173,1.268,305,1273,1221,1620,714.0,-72.25523296836604,11.71436508387286
174,9.025,1135,1301,1317,1578,714.0,-72.27835022411989,11.713549773953318
175,0.448,1135,1301,1317,1578,714.0,-72.27733940172095,11.713549773953316
176,13.723,803,970,985,1247,714.0,-72.27531775692312,11.713549773953318
177,0.0,794,961,976,1238,714.0,-72.27430693452418,11.713549773953316
178,20.66,507,300,689,950,714.0,-72.27329611212527,11.713549773953316
