,POP_2015,active_living,community_space,education,health_wellbeing,ID_HDC_G0,lng,lat
0,21.812,91,5000,5000,5000,5587.0,47.96789894946013,34.089577432784374
1,35.836,0,5000,5000,5000,5587.0,47.969020467771806,34.08957743278437
2,0.693,1165,1587,3336,1231,5587.0,47.97126350439517,34.089577432784374
3,0.166,1165,1587,3336,1231,5587.0,47.972385022706824,34.089577432784374
4,0.0,1322,1456,3478,1388,5587.0,47.97350654101851,34.08957743278437
5,0.0,1367,1342,3364,1433,5587.0,47.974628059330165,34.08957743278437
6,59.45,91,5000,5000,5000,5587.0,47.96759217170563,34.08870860258152
7,39.91,91,5000,5000,5000,5587.0,47.968713682844665,34.08870860258152
8,4.296,1060,1534,3231,1126,5587.0,47.96983519398369,34.08870860258151
9,6.873,1165,1587,3336,1231,5587.0,47.97095670512271,34.08870860258152
10,0.0,1145,1518,3315,1211,5587.0,47.972078216261735,34.08870860258151
11,0.0,1197,1466,3368,1263,5587.0,47.97319972740076,34.08870860258152
12,0.0,1292,1268,3289,1358,5587.0,47.97432123853979,34.08870860258151
13,0.0,1198,1174,3196,1264,5587.0,47.975442749678834,34.08870860258151
14,0.0,1198,1174,3196,1264,5587.0,47.97656426081785,34.08870860258152
15,40.603,179,5000,5000,5000,5587.0,47.96728540728542,34.08783977573842
16,22.754,179,5000,5000,5000,5587.0,47.96840691125211,34.08783977573842
17,51.135,1067,1541,3238,1133,5587.0,47.96952841521879,34.08783977573842
18,47.588,1035,1509,3206,1101,5587.0,47.97064991918549,34.08783977573842
19,0.0,1197,1466,3368,1263,5587.0,47.97177142315217,34.08783977573842
20,0.0,1197,1466,3368,1263,5587.0,47.972892927118856,34.08783977573842
21,0.0,1198,1174,3196,1264,5587.0,47.975135935052236,34.08783977573842
22,0.0,1198,1174,3196,1264,5587.0,47.97625743901894,34.08783977573842
23,82.398,818,1292,2989,884,5587.0,47.96697865619885,34.08697095225497
24,66.379,880,1354,3051,946,5587.0,47.968100152993514,34.08697095225498
25,93.678,896,1369,3067,962,5587.0,47.96922164978818,34.08697095225498
26,71.201,910,1384,3081,976,5587.0,47.97034314658286,34.08697095225497
27,3.409,974,1447,3145,1040,5587.0,47.971464643377516,34.08697095225497
28,94.51,818,1292,2989,884,5587.0,47.966671918445336,34.086102132131025
29,85.391,786,1260,2957,852,5587.0,47.9677934080683,34.086102132131025
30,84.782,773,1247,2944,839,5587.0,47.96891489769125,34.08610213213102
31,23.752,773,1247,2944,839,5587.0,47.97003638731421,34.086102132131025
32,48.641,678,1152,2849,744,5587.0,47.96748667647581,34.08523331536642
33,88.994,641,1114,2812,707,5587.0,47.96860815892737,34.08523331536643
34,89.632,587,1061,2758,653,5587.0,47.96717995821543,34.08436450196106
35,71.534,587,1061,2758,653,5587.0,47.9683014334959,34.08436450196107
36,87.941,466,940,2637,532,5587.0,47.96942290877636,34.08436450196107
37,32.205,480,953,2650,546,5587.0,47.97054438405682,34.08436450196107
38,13.082,423,897,2594,489,5587.0,47.97166585933729,34.08436450196107
39,106.012,534,1008,2678,600,5587.0,47.967994721396266,34.083495691914806
40,75.608,461,935,2632,527,5587.0,47.96911618950593,34.0834956919148
41,112.275,385,859,2556,451,5587.0,47.97023765761562,34.0834956919148
42,90.879,416,843,2587,482,5587.0,47.9713591257253,34.0834956919148
43,46.673,378,786,2549,444,5587.0,47.97248059383498,34.0834956919148
44,0.0,584,559,2581,649,5587.0,47.97472353005435,34.0834956919148
45,126.743,534,1008,2678,600,5587.0,47.96768802262781,34.0826268852275
46,127.02,504,977,2648,570,5587.0,47.96880948356703,34.08262688522751
47,86.833,314,788,2485,380,5587.0,47.96993094450625,34.08262688522751
48,101.466,265,739,2436,331,5587.0,47.97105240544546,34.08262688522751
49,103.767,262,736,2433,328,5587.0,47.97217386638468,34.0826268852275
50,79.848,415,630,2586,481,5587.0,47.9732953273239,34.082626885227505
51,37.97,543,559,2581,609,5587.0,47.974416788263106,34.0826268852275
52,2.522,534,487,2509,600,5587.0,47.97553824920234,34.08262688522751
53,55.625,680,633,2655,746,5587.0,47.97665971014155,34.08262688522751
54,106.039,438,911,2582,504,5587.0,47.96850279095902,34.08175808189906
55,105.651,362,836,2506,428,5587.0,47.96962424472809,34.08175808189906
56,51.773,180,654,2349,246,5587.0,47.97074569849715,34.08175808189906
57,44.317,123,597,2289,189,5587.0,47.971867152266206,34.08175808189906
58,84.255,386,635,2557,452,5587.0,47.972988606035265,34.08175808189906
59,17.849,707,338,2323,577,5587.0,47.97411005980433,34.08175808189905
60,16.103,595,425,2447,661,5587.0,47.9752315135734,34.08175808189906
61,31.069,733,586,2642,798,5587.0,47.97635296734246,34.08175808189905
62,15.16,772,547,2603,821,5587.0,47.97747442111151,34.08175808189906
63,16.685,811,508,2563,844,5587.0,47.97859587488057,34.08175808189906
64,57.704,457,931,2601,523,5587.0,47.96819611168129,34.0808892819293
65,20.205,337,811,2481,403,5587.0,47.96931755828051,34.08088928192931
66,30.764,143,617,2182,209,5587.0,47.970439004879715,34.0808892819293
67,51.412,47,521,2212,113,5587.0,47.971560451478936,34.0808892819293
68,90.131,0,473,2200,65,5587.0,47.97268189807814,34.08088928192931
69,62.194,633,263,2249,503,5587.0,47.97380334467738,34.08088928192931
70,97.281,688,338,2363,618,5587.0,47.97492479127659,34.0808892819293
71,50.414,718,313,2369,639,5587.0,47.97604623787581,34.0808892819293
72,21.84,854,398,2454,735,5587.0,47.97716768447503,34.0808892819293
73,0.721,890,423,2479,760,5587.0,47.97828913107424,34.0808892819293
74,0.0,367,765,2125,315,5587.0,47.96788944573321,34.08002048531812
75,20.87,291,762,2125,303,5587.0,47.969010885162895,34.08002048531812
76,83.257,161,634,2192,227,5587.0,47.97013232459258,34.08002048531812
77,91.821,87,488,2119,21,5587.0,47.97125376402227,34.08002048531812
78,77.354,65,467,2134,0,5587.0,47.97237520345197,34.08002048531812
79,67.986,239,387,2122,233,5587.0,47.97349664288165,34.08002048531812
80,108.063,616,194,2232,486,5587.0,47.97461808231133,34.08002048531812
81,94.621,680,219,2274,550,5587.0,47.97573952174103,34.08002048531812
82,92.819,807,340,2396,677,5587.0,47.976860961170715,34.08002048531813
83,47.92,761,287,2343,631,5587.0,47.9779824006004,34.08002048531812
84,77.714,548,749,2105,325,5587.0,47.96758279311417,34.079151692065366
85,87.941,432,646,2006,208,5587.0,47.96870422537463,34.079151692065366
86,132.369,374,608,1996,148,5587.0,47.96982565763509,34.07915169206536
87,94.704,296,523,1973,56,5587.0,47.970947089895574,34.079151692065366
88,139.658,126,352,2082,114,5587.0,47.97206852215605,34.079151692065366
89,122.308,228,321,2056,222,5587.0,47.973189954416505,34.07915169206537
90,77.936,512,127,2128,382,5587.0,47.97431138667698,34.079151692065366
91,86.5,512,38,2120,382,5587.0,47.97543281893744,34.079151692065366
92,93.623,629,156,2157,499,5587.0,47.97655425119791,34.079151692065366
93,95.535,784,311,2258,654,5587.0,47.97767568345838,34.079151692065366
94,62.138,842,369,2195,712,5587.0,47.978797115718855,34.079151692065366
95,112.553,602,775,2044,378,5587.0,47.96727615382357,34.078282902170926
96,104.099,580,712,1980,340,5587.0,47.96839757891513,34.07828290217093
97,91.406,465,609,1911,224,5587.0,47.9695190040067,34.07828290217093
98,111.444,419,514,1909,170,5587.0,47.97064042909826,34.078282902170926
99,119.454,290,354,1958,112,5587.0,47.97176185418981,34.078282902170926
100,76.439,280,221,1936,187,5587.0,47.972883279281376,34.07828290217093
101,59.422,346,127,1961,216,5587.0,47.97400470437294,34.078282902170926
102,113.162,490,42,2048,360,5587.0,47.975126129464485,34.078282902170926
103,122.863,717,244,2069,587,5587.0,47.976247554556046,34.078282902170926
104,109.31,842,369,2195,712,5587.0,47.977368979647615,34.07828290217093
105,51.523,900,426,2140,690,5587.0,47.97849040473917,34.07828290217093
106,108.229,730,862,1924,490,5587.0,47.96696952786079,34.07741411563466
