,POP_2015,active_living,community_space,health_wellbeing,mobility,ID_HDC_G0,lng,lat
0,0.0,2100,888,908,1577,6638.0,71.75734220702527,21.107717212775658
1,18.114,2100,888,908,1577,6638.0,71.7570935829039,21.106886704071577
2,0.0,2100,888,908,1577,6638.0,71.75813511817955,21.106886704071577
3,131.054,1905,2000,569,1180,6638.0,71.75039452610781,21.101903689001126
4,51.713,1560,1571,224,893,6638.0,71.75351906698904,21.101903689001126
5,28.285,1560,1571,224,893,6638.0,71.75456058061611,21.10190368900113
6,25.485,1297,85,1125,890,6638.0,71.76185117600565,21.101903689001123
7,106.54,1355,268,1182,947,6638.0,71.76289268963274,21.101903689001126
8,91.569,1391,305,1218,984,6638.0,71.76393420325981,21.10190368900113
9,74.084,1352,422,1179,944,6638.0,71.76497571688688,21.101903689001126
10,78.541,1905,2000,569,1180,6638.0,71.75014600537644,21.101073192680946
11,84.369,1622,1717,286,955,6638.0,71.75222902541566,21.101073192680946
12,65.17,1614,1717,278,947,6638.0,71.75327053543528,21.10107319268095
13,113.997,1406,1726,70,739,6638.0,71.75431204545487,21.101073192680946
14,65.313,1406,1726,70,739,6638.0,71.75535355547446,21.101073192680943
15,163.053,1340,42,1167,932,6638.0,71.76160261559207,21.101073192680946
16,98.912,1272,172,1100,865,6638.0,71.76264412561167,21.101073192680946
17,122.482,1313,347,1140,906,6638.0,71.76368563563128,21.101073192680943
18,98.426,1286,490,1113,878,6638.0,71.76472714565088,21.101073192680943
19,67.027,1237,552,1065,830,6638.0,71.7657686556705,21.101073192680943
20,106.511,1762,1906,475,970,6638.0,71.75093900324839,21.100242698129563
21,94.426,1762,1906,475,970,6638.0,71.7519805096607,21.100242698129556
22,97.197,1542,1810,205,875,6638.0,71.75302201607299,21.10024269812956
23,125.54,1406,1726,70,739,6638.0,71.75406352248527,21.100242698129563
24,60.913,1336,1796,0,669,6638.0,71.75510502889759,21.100242698129556
25,66.598,1260,1871,75,593,6638.0,71.75614653530991,21.100242698129563
26,71.57,1317,2205,612,650,6638.0,71.75718804172222,21.100242698129563
27,29.599,1353,35,1180,945,6638.0,71.76135406737143,21.100242698129563
28,38.17,1155,227,982,747,6638.0,71.76239557378373,21.100242698129563
29,109.226,1155,277,982,747,6638.0,71.76343708019603,21.10024269812956
30,101.597,1208,415,1036,801,6638.0,71.76447858660835,21.100242698129563
31,89.598,1177,601,1004,770,6638.0,71.76552009302064,21.100242698129563
32,13.085,1103,607,930,695,6638.0,71.76656159943295,21.100242698129556
33,102.512,1779,2165,734,987,6638.0,71.74860749768115,21.099412205346894
34,76.255,1779,2165,734,987,6638.0,71.74964900048633,21.099412205346894
35,30.142,1677,2063,632,885,6638.0,71.75069050329152,21.099412205346894
36,121.082,1762,1906,475,970,6638.0,71.7517320060967,21.09941220534689
37,123.568,1260,1871,75,593,6638.0,71.75485651451224,21.099412205346894
38,109.397,1236,1896,99,569,6638.0,71.75589801731743,21.09941220534689
39,0.057,1211,363,1038,803,6638.0,71.76214703414854,21.09941220534689
40,20.342,1087,296,914,679,6638.0,71.76318853695372,21.09941220534689
41,90.998,1105,505,933,698,6638.0,71.7642300397589,21.099412205346894
42,89.112,1105,591,933,698,6638.0,71.76527154256408,21.099412205346894
43,56.827,1035,675,862,627,6638.0,71.76631304536927,21.09941220534689
44,15.742,1811,2244,813,1019,6638.0,71.74940051632689,21.098581714332852
45,72.541,1655,2087,656,863,6638.0,71.75044201552511,21.098581714332855
46,44.256,1364,2251,874,571,6638.0,71.75252501392158,21.098581714332852
47,152.282,1317,2205,982,530,6638.0,71.75356651311984,21.098581714332855
48,96.54,1278,2166,943,491,6638.0,71.75460801231806,21.098581714332852
49,108.597,1212,1920,124,545,6638.0,71.75564951151632,21.098581714332852
50,1.6,992,391,819,584,6638.0,71.76294000590399,21.098581714332852
51,23.799,992,391,819,584,6638.0,71.76398150510224,21.098581714332852
52,6.228,1035,675,862,627,6638.0,71.76502300430047,21.098581714332855
53,115.597,976,734,803,568,6638.0,71.76606450349871,21.098581714332852
54,7.057,921,788,749,514,6638.0,71.76710600269695,21.098581714332855
55,2.029,1069,1122,896,661,6638.0,71.76814750189517,21.098581714332852
56,2.886,1153,1206,980,745,6638.0,71.76918900109342,21.098581714332855
57,0.343,2001,2433,1002,1209,6638.0,71.74706905317441,21.097751225087368
58,1.571,1930,2362,931,1138,6638.0,71.74811054876587,21.097751225087368
59,74.969,1811,2244,813,1019,6638.0,71.74915204435736,21.097751225087368
60,80.826,1783,2215,784,991,6638.0,71.75019353994882,21.09775122508737
